Date,Open,Close,High,Low,Volume
16-11-20,0.7,0.8,0.9,0.7,637485
17-11-20,0.8,0.8,0.9,0.8,318250
18-11-20,0.9,0.9,0.9,0.7,207700
19-11-20,0.9,0.8,0.9,0.8,435975
20-11-20,0.8,0.8,0.9,0.7,444400
23-11-20,0.9,0.9,0.9,0.8,167710
24-11-20,0.9,0.8,0.9,0.8,312145
25-11-20,0.9,0.8,0.9,0.7,485328
26-11-20,0.8,0.7,0.9,0.7,655500
27-11-20,0.8,0.8,0.8,0.7,150632
30-11-20,0.8,0.8,0.8,0.7,270555
01-12-20,0.8,0.8,0.8,0.7,209401
02-12-20,0.7,0.8,0.8,0.7,357217
03-12-20,0.8,0.8,0.8,0.7,555400
04-12-20,0.8,0.8,0.8,0.7,55500
07-12-20,0.7,0.8,0.8,0.7,149202
08-12-20,0.7,0.7,0.8,0.7,217810
09-12-20,0.8,0.8,0.8,0.7,613410
10-12-20,0.9,0.7,0.9,0.7,457167
11-12-20,0.7,0.8,0.8,0.7,255100
14-12-20,0.8,0.8,0.9,0.7,669586
15-12-20,0.8,0.8,0.9,0.8,347965
16-12-20,0.9,0.9,0.9,0.8,567420
17-12-20,0.9,0.9,1.0,0.8,2994466
18-12-20,0.9,1.0,1.0,0.9,2820520
21-12-20,1.1,1.1,1.1,1.0,3228446
22-12-20,1.1,1.0,1.1,1.0,1645445
23-12-20,1.0,1.0,1.1,0.9,1913023
24-12-20,1.0,0.9,1.0,0.9,3764913
25-12-20,1.0,1.0,1.0,0.9,982486
28-12-20,1.1,1.1,1.1,0.9,1846295
29-12-20,1.1,1.2,1.2,1.0,4919943
30-12-20,1.3,1.3,1.3,1.2,3840612
31-12-20,1.3,1.2,1.3,1.2,2208092
04-01-21,1.2,1.3,1.3,1.1,2189462
05-01-21,1.3,1.2,1.3,1.2,1768296
06-01-21,1.2,1.1,1.3,1.1,2913608
07-01-21,1.1,1.2,1.2,1.1,1495670
08-01-21,1.2,1.3,1.3,1.2,2678530
11-01-21,1.3,1.4,1.4,1.3,1473080
12-01-21,1.5,1.5,1.5,1.4,6187336
13-01-21,1.6,1.5,1.6,1.4,2881676
14-01-21,1.5,1.4,1.5,1.4,1414500
15-01-21,1.5,1.5,1.5,1.4,1951801
18-01-21,1.5,1.6,1.6,1.4,3444241
19-01-21,1.6,1.6,1.7,1.5,7060142
20-01-21,1.6,1.7,1.7,1.5,5467600
21-01-21,1.7,1.8,1.8,1.6,2446290
22-01-21,1.9,1.9,1.9,1.8,4563619
25-01-21,2.0,2.0,2.0,1.9,4698073
26-01-21,2.0,2.2,2.2,1.8,8599248
27-01-21,2.2,2.0,2.4,2.0,4087038
28-01-21,1.8,1.8,1.8,1.8,443730
29-01-21,1.7,1.7,1.7,1.7,381521
01-02-21,1.6,1.6,1.6,1.6,512200
02-02-21,1.5,1.5,1.5,1.5,168020
03-02-21,1.4,1.6,1.6,1.4,6877131
04-02-21,1.7,1.7,1.7,1.6,1243100
05-02-21,1.8,1.6,1.8,1.6,1108200
08-02-21,1.6,1.5,1.6,1.5,2272729
09-02-21,1.4,1.5,1.5,1.4,2506110
17-02-21,1.5,1.6,1.6,1.4,895410
18-02-21,1.6,1.5,1.6,1.5,3829600
19-02-21,1.5,1.5,1.5,1.4,777102
22-02-21,1.5,1.5,1.6,1.4,2177620
23-02-21,1.5,1.6,1.6,1.4,1240517
24-02-21,1.6,1.5,1.6,1.5,2440150
25-02-21,1.5,1.5,1.6,1.4,624700
26-02-21,1.5,1.4,1.5,1.4,609340
01-03-21,1.4,1.5,1.5,1.4,1058746
02-03-21,1.5,1.4,1.6,1.4,2269026
03-03-21,1.5,1.5,1.5,1.4,1827945
04-03-21,1.5,1.6,1.6,1.5,4488027
05-03-21,1.7,1.7,1.7,1.6,2531428
08-03-21,1.7,1.8,1.8,1.6,3993794
09-03-21,1.9,1.9,1.9,1.7,3223142
10-03-21,1.9,1.8,2.0,1.8,4030853
11-03-21,1.7,1.7,1.8,1.7,3251534
12-03-21,1.8,1.8,1.8,1.6,1811222
15-03-21,1.7,1.8,1.8,1.7,1188753
16-03-21,1.8,1.8,1.8,1.7,1587999
17-03-21,1.8,1.8,1.8,1.7,879079
18-03-21,1.8,1.7,1.8,1.7,828171
19-03-21,1.8,1.7,1.8,1.7,1519498
22-03-21,1.7,1.7,1.8,1.6,1739574
23-03-21,1.7,1.8,1.8,1.7,1549811
24-03-21,1.8,1.8,1.8,1.7,2864599
25-03-21,1.7,1.7,1.8,1.7,797700
26-03-21,1.7,1.7,1.8,1.6,2273610
29-03-21,1.8,1.8,1.8,1.7,3436303
30-03-21,1.9,1.9,1.9,1.8,3655778
31-03-21,2.0,2.0,2.0,1.9,1691900
01-04-21,2.1,2.2,2.2,1.9,5464777
02-04-21,2.3,2.4,2.4,2.1,7030082
05-04-21,2.5,2.6,2.6,2.3,4754146
06-04-21,2.7,2.8,2.8,2.7,1989523
07-04-21,3.0,3.0,3.0,2.9,2196828
08-04-21,3.3,3.3,3.3,2.8,14994282
09-04-21,3.5,3.6,3.6,3.3,2822909
12-04-21,3.8,3.9,3.9,3.7,1710155
13-04-21,4.0,4.0,4.2,3.6,12201031
14-04-21,4.1,4.4,4.4,3.6,5274477
15-04-21,4.5,4.8,4.8,4.5,3126118
16-04-21,4.9,4.4,5.2,4.4,8656314
19-04-21,4.3,4.0,4.4,4.0,1350337
20-04-21,3.6,3.9,4.3,3.6,7454295
22-04-21,3.8,3.6,3.9,3.6,3034669
23-04-21,3.5,3.3,3.5,3.3,3758872
26-04-21,3.3,3.0,3.3,3.0,4925207
27-04-21,3.0,3.3,3.3,2.7,2169676
28-04-21,3.3,3.6,3.6,3.3,885998
29-04-21,3.9,3.8,3.9,3.7,5812595
04-05-21,3.6,3.5,3.8,3.5,3646622
05-05-21,3.5,3.7,3.7,3.3,1820550
06-05-21,3.7,3.5,3.7,3.4,2250557
07-05-21,3.4,3.2,3.4,3.2,3015468
10-05-21,3.2,3.5,3.5,2.9,2430834
11-05-21,3.5,3.4,3.6,3.3,962151
12-05-21,3.4,3.4,3.4,3.2,1238183
13-05-21,3.3,3.4,3.4,3.2,1793287
14-05-21,3.4,3.3,3.4,3.2,1535051
17-05-21,3.3,3.4,3.5,3.2,1643139
18-05-21,3.5,3.6,3.7,3.3,4028370
19-05-21,3.6,3.4,3.7,3.4,638698
20-05-21,3.4,3.3,3.5,3.2,1379086
21-05-21,3.3,3.3,3.5,3.2,1503617
24-05-21,3.3,3.3,3.4,3.2,1019211
25-05-21,3.2,3.2,3.4,3.2,1301779
26-05-21,3.3,3.1,3.3,3.1,1181494
27-05-21,3.2,3.1,3.2,2.9,2030709
28-05-21,3.1,3.3,3.4,3.0,2168753
31-05-21,3.3,3.2,3.4,3.1,1149856
01-06-21,3.2,3.2,3.3,3.1,1150141
02-06-21,3.2,3.2,3.3,3.1,1100560
03-06-21,3.2,3.5,3.5,3.1,3967325
04-06-21,3.6,3.6,3.8,3.4,3591960
07-06-21,3.6,3.3,3.7,3.3,1764040
08-06-21,3.3,3.3,3.6,3.2,2865310
09-06-21,3.4,3.4,3.4,3.2,982177
10-06-21,3.5,3.5,3.6,3.4,2709737
11-06-21,3.5,3.4,3.6,3.3,1542659
14-06-21,3.5,3.4,3.5,3.3,1202485
15-06-21,3.4,3.3,3.4,3.2,1683605
16-06-21,3.3,3.3,3.4,3.2,1490773
17-06-21,3.3,3.4,3.5,3.3,1860695
18-06-21,3.4,3.4,3.5,3.3,2167849
21-06-21,3.4,3.6,3.6,3.4,3326721
22-06-21,3.6,3.4,3.6,3.4,2061366
23-06-21,3.5,3.4,3.5,3.3,1599040
24-06-21,3.4,3.4,3.4,3.3,710105
25-06-21,3.4,3.4,3.5,3.3,1672811
28-06-21,3.4,3.3,3.5,3.3,1074000
29-06-21,3.4,3.3,3.4,3.2,1925734
30-06-21,3.3,3.2,3.4,3.2,1134100
01-07-21,3.2,3.3,3.3,3.1,1233389
02-07-21,3.3,3.1,3.3,3.1,1713836
