Date,Open,Close,High,Low,Volume
16-11-20,14.9,14.9,14.9,14.9,100
17-11-20,16.3,16.3,16.3,16.3,21249
18-11-20,15.0,15.0,17.0,15.0,5300
19-11-20,16.5,16.5,16.5,16.5,1500
20-11-20,16.5,16.5,16.5,16.5,0
23-11-20,14.9,18.1,18.1,14.9,46803
24-11-20,16.3,16.3,16.3,16.3,100
25-11-20,17.9,17.9,17.9,17.9,20051
26-11-20,16.2,16.2,16.2,16.2,100
27-11-20,14.8,17.8,17.8,14.6,32636
30-11-20,16.3,16.3,16.3,16.3,116
01-12-20,15.1,17.9,17.9,15.1,11030
02-12-20,18.5,16.5,19.6,16.5,19700
03-12-20,18.1,18.1,18.1,18.1,4200
04-12-20,19.8,18.1,19.8,18.1,21700
07-12-20,18.5,18.1,18.7,18.1,1100
08-12-20,18.0,18.0,18.8,18.0,19500
09-12-20,18.0,18.0,18.0,18.0,2600
10-12-20,18.2,18.2,18.2,18.2,400
11-12-20,16.4,18.2,19.6,16.4,1200
14-12-20,18.0,16.5,18.0,16.5,400
15-12-20,18.1,18.1,18.1,18.1,100
16-12-20,18.5,19.1,19.3,18.2,31900
17-12-20,19.0,19.0,19.0,19.0,2200
18-12-20,19.0,19.0,19.0,19.0,0
21-12-20,19.0,19.0,19.0,19.0,0
22-12-20,18.1,19.0,19.0,18.1,3000
23-12-20,19.0,19.0,19.0,19.0,50
24-12-20,19.0,19.0,19.1,19.0,900
25-12-20,17.4,19.0,19.0,17.4,500
28-12-20,17.4,17.4,17.4,17.4,100
29-12-20,19.1,19.1,19.1,19.1,700
30-12-20,17.5,17.5,17.5,17.5,100
31-12-20,19.2,16.6,19.2,16.6,300
04-01-21,18.2,18.2,18.2,18.2,100
05-01-21,18.2,18.2,18.2,18.2,0
06-01-21,19.4,19.2,19.4,19.2,2400
07-01-21,19.2,19.2,19.2,19.2,0
08-01-21,19.5,18.1,20.9,17.6,16801
11-01-21,18.1,18.1,18.1,18.1,0
12-01-21,18.1,18.1,18.1,18.1,0
13-01-21,16.8,19.0,19.0,16.8,3343
14-01-21,20.9,20.9,20.9,20.9,6700
15-01-21,22.9,22.9,22.9,22.5,700
18-01-21,22.9,25.0,25.0,22.9,15600
19-01-21,22.5,22.5,22.5,22.5,100
20-01-21,20.3,20.3,20.3,20.3,100
21-01-21,20.0,22.3,22.3,18.4,18600
22-01-21,24.4,23.1,24.4,23.1,725
25-01-21,23.1,23.1,23.1,23.1,0
26-01-21,25.4,25.4,25.4,25.4,100
27-01-21,25.4,25.4,25.4,25.4,0
28-01-21,23.0,22.9,23.0,22.9,1000
29-01-21,20.9,20.9,20.9,20.9,100
01-02-21,22.0,22.9,22.9,18.9,700
02-02-21,21.1,22.9,25.1,21.1,11100
03-02-21,20.7,20.7,20.7,20.7,100
04-02-21,22.7,22.7,22.7,22.7,210
05-02-21,24.9,21.8,24.9,21.8,9400
08-02-21,23.9,23.9,23.9,23.9,100
09-02-21,21.9,21.9,21.9,21.9,100
17-02-21,23.9,24.0,24.0,23.9,220
18-02-21,24.0,24.0,24.0,24.0,0
19-02-21,24.5,24.1,26.4,24.1,22200
22-02-21,24.1,24.1,24.1,24.1,0
23-02-21,24.1,24.1,24.1,24.1,0
24-02-21,24.1,24.1,24.1,24.1,20
25-02-21,21.8,21.8,21.8,21.8,128
26-02-21,21.8,21.8,21.8,21.8,0
01-03-21,21.8,21.8,21.8,21.8,0
02-03-21,23.9,23.9,23.9,23.9,4000
03-03-21,23.9,23.9,23.9,23.9,16
04-03-21,21.9,26.1,26.1,21.9,518
05-03-21,23.7,23.7,23.7,23.7,100
08-03-21,23.7,23.7,23.7,23.7,0
09-03-21,24.0,24.0,24.0,24.0,3000
10-03-21,21.8,24.0,24.0,21.8,3448
11-03-21,24.0,24.0,24.0,24.0,3000
12-03-21,24.0,24.0,24.0,24.0,0
15-03-21,24.0,24.0,24.0,24.0,8
16-03-21,24.0,24.0,24.0,24.0,0
17-03-21,24.0,24.0,24.0,24.0,11
18-03-21,24.0,24.0,24.0,24.0,0
19-03-21,24.0,24.0,24.0,24.0,0
22-03-21,24.0,24.0,24.0,24.0,0
23-03-21,24.0,24.0,24.0,24.0,0
24-03-21,24.0,24.0,24.0,24.0,2011
