Date,Open,Close,High,Low,Volume
16-11-20,2.7,2.7,2.7,2.7,11900
17-11-20,2.7,2.7,2.7,2.7,0
18-11-20,2.6,2.7,2.7,2.6,6200
19-11-20,2.7,2.8,2.8,2.7,7500
20-11-20,2.7,2.8,2.8,2.6,3700
23-11-20,2.7,2.8,2.8,2.7,640
24-11-20,2.7,2.8,2.8,2.7,59100
25-11-20,2.7,2.8,2.8,2.7,35700
26-11-20,2.8,2.9,2.9,2.8,26000
27-11-20,2.9,3.1,3.1,2.9,235902
30-11-20,3.1,3.2,3.3,3.1,20000
01-12-20,3.2,3.1,3.2,3.0,55000
02-12-20,3.1,3.0,3.1,3.0,36900
03-12-20,3.0,3.1,3.1,3.0,55030
04-12-20,3.0,3.0,3.1,2.9,53602
07-12-20,3.1,3.2,3.3,3.0,135008
08-12-20,3.2,3.3,3.3,3.2,84209
09-12-20,3.3,3.6,3.6,3.3,408210
10-12-20,3.6,3.7,3.8,3.6,350151
11-12-20,3.6,3.6,3.7,3.4,131600
14-12-20,3.6,3.7,3.8,3.4,191900
15-12-20,3.8,4.0,4.0,3.8,539940
16-12-20,4.1,4.4,4.4,4.1,638330
17-12-20,4.8,4.4,4.8,4.4,797952
18-12-20,4.4,4.6,4.7,4.4,479881
21-12-20,4.7,4.8,5.0,4.4,937300
22-12-20,4.9,4.8,4.9,4.6,577840
23-12-20,4.8,4.5,4.8,4.5,585330
24-12-20,4.6,4.3,4.6,4.1,452910
25-12-20,4.3,4.7,4.7,4.3,547281
28-12-20,4.8,4.8,5.1,4.7,1044676
29-12-20,4.9,4.8,4.9,4.7,728790
30-12-20,4.6,4.7,4.8,4.6,316051
31-12-20,4.7,4.6,4.7,4.4,316030
04-01-21,4.6,4.7,4.8,4.6,477200
05-01-21,4.7,4.6,4.7,4.5,359751
06-01-21,4.6,5.0,5.0,4.6,1495219
07-01-21,5.2,5.5,5.5,4.9,1047535
08-01-21,5.9,6.0,6.0,5.9,2098361
11-01-21,6.6,6.4,6.6,6.0,2551510
12-01-21,6.6,6.4,6.6,5.9,1464130
13-01-21,6.4,6.1,6.4,6.1,861661
14-01-21,6.0,6.5,6.5,5.9,1145316
15-01-21,6.5,7.1,7.1,6.5,2065600
18-01-21,7.6,7.8,7.8,7.3,2515000
19-01-21,8.0,7.4,8.2,7.1,2325300
20-01-21,7.4,7.8,7.8,6.7,1545503
21-01-21,8.0,7.8,8.0,7.5,1391025
22-01-21,8.0,8.1,8.5,7.9,2644005
25-01-21,8.1,7.8,8.4,7.5,1286800
26-01-21,7.8,7.3,7.9,7.1,1161712
27-01-21,7.3,6.6,7.3,6.6,1837750
28-01-21,6.1,6.0,6.4,6.0,597525
29-01-21,5.4,6.5,6.6,5.4,1503700
01-02-21,6.0,5.9,6.5,5.9,639907
02-02-21,5.9,5.9,6.1,5.5,377210
03-02-21,5.8,6.4,6.4,5.8,1017900
04-02-21,6.4,6.7,6.9,6.4,776300
05-02-21,6.7,6.8,7.0,6.7,546000
08-02-21,6.9,6.4,6.9,6.2,973810
09-02-21,6.0,6.7,6.7,6.0,441600
17-02-21,6.3,7.1,7.3,6.3,734337
18-02-21,7.1,7.1,7.3,6.9,603252
19-02-21,6.9,7.0,7.1,6.9,439300
22-02-21,7.0,6.8,7.1,6.8,816341
23-02-21,6.8,7.0,7.0,6.7,551400
24-02-21,7.0,7.1,7.4,7.0,788519
25-02-21,7.1,7.3,7.3,7.0,801960
26-02-21,7.3,7.2,7.3,7.0,488900
01-03-21,7.0,7.5,7.5,7.0,1020303
02-03-21,7.6,7.5,7.6,7.3,377680
03-03-21,7.5,7.8,7.8,7.4,1140400
04-03-21,7.8,7.7,8.0,7.3,1225370
05-03-21,7.7,7.9,8.0,7.4,944300
08-03-21,8.0,8.3,8.4,8.0,1338410
09-03-21,8.4,8.4,8.4,8.1,1118510
10-03-21,8.4,8.9,9.1,8.4,2182700
11-03-21,9.0,8.9,9.2,8.8,1094750
12-03-21,9.0,8.8,9.1,8.7,727600
15-03-21,8.8,8.7,8.9,8.4,1455077
16-03-21,8.7,8.6,8.8,8.4,858910
17-03-21,8.6,8.7,8.7,8.5,703300
18-03-21,8.7,8.8,8.9,8.6,750400
19-03-21,8.8,9.1,9.2,8.7,1604900
22-03-21,9.1,9.1,9.2,8.9,779820
23-03-21,9.1,9.0,9.1,8.8,704315
24-03-21,8.9,8.7,8.9,8.1,1689500
25-03-21,8.7,8.9,9.1,8.4,1116200
26-03-21,8.9,8.9,8.9,8.4,764800
29-03-21,8.9,8.9,9.1,8.8,1053953
30-03-21,8.9,8.9,9.0,8.7,1069903
31-03-21,9.0,9.7,9.7,8.9,3882461
01-04-21,9.9,10.6,10.6,9.7,1933011
02-04-21,10.6,10.8,11.2,10.6,2106430
05-04-21,10.8,10.4,10.8,10.2,1991070
06-04-21,10.4,10.9,11.1,10.2,1878866
07-04-21,10.9,10.7,11.1,10.6,1452685
08-04-21,10.7,10.7,11.0,10.4,1525904
09-04-21,10.7,10.7,10.8,10.6,1050433
12-04-21,10.6,11.7,11.7,10.6,4267487
