Date,Open,Close,High,Low,Volume
16-11-20,17.8,17.8,17.8,17.8,2400
17-11-20,17.8,20.0,20.0,17.8,2400
18-11-20,17.9,17.9,17.9,17.9,2600
19-11-20,17.9,17.9,17.9,17.9,2200
20-11-20,18.0,18.0,18.0,18.0,2600
23-11-20,18.0,18.0,18.0,18.0,0
24-11-20,18.0,18.0,18.0,18.0,0
25-11-20,17.8,17.8,17.8,17.8,2300
26-11-20,17.8,17.8,17.8,17.8,0
27-11-20,18.0,18.0,18.0,18.0,100
30-11-20,17.9,17.9,17.9,17.9,2100
01-12-20,19.5,19.9,19.9,17.7,2600
02-12-20,18.0,18.0,18.0,18.0,0
03-12-20,18.0,18.0,18.0,18.0,0
04-12-20,18.0,18.0,18.0,18.0,2300
07-12-20,17.8,17.8,17.8,17.8,100
08-12-20,17.8,17.8,17.8,17.8,0
09-12-20,18.0,18.0,18.0,18.0,100
10-12-20,17.9,17.9,17.9,17.9,2400
11-12-20,17.9,17.9,17.9,17.9,2600
14-12-20,18.0,18.0,18.0,18.0,1900
15-12-20,18.0,18.0,18.0,18.0,0
16-12-20,18.0,18.0,18.0,18.0,2300
17-12-20,18.0,18.0,18.0,18.0,5200
18-12-20,18.0,18.0,18.0,18.0,2400
21-12-20,18.0,18.0,18.0,18.0,0
22-12-20,19.3,18.0,19.3,18.0,2400
23-12-20,18.1,20.8,20.8,18.1,2700
24-12-20,18.4,18.4,18.4,18.4,0
25-12-20,18.2,18.2,18.2,18.2,2400
28-12-20,18.2,18.2,18.2,18.2,0
29-12-20,18.2,20.5,20.5,18.2,3605
30-12-20,19.0,19.0,19.0,19.0,2600
31-12-20,19.1,21.5,21.5,19.1,3400
04-01-21,21.0,21.0,21.0,21.0,102
05-01-21,21.1,21.1,21.1,21.1,2400
06-01-21,21.1,21.1,21.1,21.1,3100
07-01-21,21.5,21.5,21.5,21.5,108
08-01-21,21.5,21.5,21.5,21.5,2600
11-01-21,21.5,21.5,21.5,21.5,0
12-01-21,21.6,21.8,21.8,21.6,2908
13-01-21,21.5,21.5,21.5,21.5,2400
14-01-21,21.6,21.6,21.6,21.6,2100
15-01-21,22.5,22.5,22.5,22.5,100
18-01-21,21.6,21.6,21.6,21.6,2600
19-01-21,21.6,21.6,21.6,21.6,2100
20-01-21,21.1,21.1,21.1,21.1,2300
21-01-21,21.2,21.2,21.2,21.2,2400
22-01-21,21.4,21.4,21.4,21.4,2300
25-01-21,21.5,21.5,21.5,21.5,2200
26-01-21,21.6,21.6,21.6,21.6,1800
27-01-21,21.5,21.5,21.5,21.5,2300
28-01-21,21.0,21.0,21.0,21.0,3700
29-01-21,21.1,21.1,21.1,21.1,3300
01-02-21,21.2,21.2,21.2,21.2,2100
02-02-21,21.2,21.2,21.2,21.2,2400
03-02-21,21.3,21.2,21.3,21.2,2700
04-02-21,21.3,23.3,23.3,21.3,2400
05-02-21,21.6,21.6,21.6,21.6,2400
08-02-21,21.0,21.0,21.0,21.0,2100
09-02-21,21.2,21.5,21.5,21.2,3200
17-02-21,21.3,24.2,24.2,21.3,2600
18-02-21,21.5,21.5,21.5,21.5,1700
19-02-21,21.6,21.6,21.6,21.6,2700
22-02-21,21.6,22.0,22.0,21.5,1100
23-02-21,21.7,21.7,21.7,21.7,2400
24-02-21,21.9,21.9,21.9,21.9,3202
03-03-21,20.8,20.8,20.8,20.8,3200
04-03-21,22.8,22.8,22.8,22.8,1100
05-03-21,25.0,25.0,25.0,25.0,100
08-03-21,27.5,27.5,27.5,27.5,100
09-03-21,30.2,30.2,30.2,30.2,4300
10-03-21,30.2,30.2,30.2,30.2,0
11-03-21,33.2,33.2,33.2,33.2,100
12-03-21,36.5,33.3,36.5,33.2,34300
15-03-21,33.5,34.0,36.6,33.5,80708
16-03-21,35.6,34.0,35.6,34.0,32100
17-03-21,34.0,32.9,34.0,32.2,38400
18-03-21,32.8,31.9,32.8,31.5,140300
19-03-21,31.3,32.8,32.8,31.3,21400
22-03-21,32.8,30.5,32.8,30.0,24000
23-03-21,30.5,29.8,31.2,29.2,52100
24-03-21,29.8,29.7,29.8,28.7,25700
25-03-21,29.7,29.6,29.9,29.0,22200
26-03-21,29.6,29.2,29.6,28.2,20400
29-03-21,29.2,29.3,30.5,29.2,37600
30-03-21,29.3,29.1,29.4,28.3,38400
31-03-21,29.2,29.2,30.0,28.8,47900
01-04-21,29.2,29.0,29.2,28.7,33300
02-04-21,29.0,29.1,29.1,28.9,46600
05-04-21,29.1,29.2,29.4,29.0,44000
06-04-21,29.2,29.1,29.3,29.0,23287
07-04-21,29.1,29.1,29.3,29.0,22800
08-04-21,29.1,29.1,29.1,28.3,90800
09-04-21,29.1,29.0,29.2,28.7,50702
12-04-21,29.0,28.8,29.0,28.0,35655
13-04-21,28.8,28.8,29.2,28.6,49600
14-04-21,28.8,28.6,28.9,28.3,33500
15-04-21,28.6,28.5,28.8,28.3,42300
16-04-21,28.5,27.6,28.6,27.5,50600
19-04-21,27.5,28.0,28.0,27.5,32400
20-04-21,28.0,27.9,28.2,27.9,26600
22-04-21,27.9,26.9,27.9,26.9,53800
23-04-21,26.9,26.5,26.9,26.4,40500
26-04-21,26.5,26.7,26.9,26.5,26100
27-04-21,26.7,26.5,26.8,26.4,28000
28-04-21,26.5,26.5,26.7,26.4,30600
29-04-21,26.5,26.3,26.6,26.3,25700
04-05-21,26.0,25.5,26.0,25.3,29400
05-05-21,25.5,25.5,25.5,25.0,38100
06-05-21,25.4,25.2,25.6,25.2,32811
07-05-21,25.2,24.8,25.3,24.7,38500
10-05-21,24.8,24.8,24.8,24.1,51840
11-05-21,24.8,25.3,25.4,24.7,59310
12-05-21,25.3,25.3,25.4,25.1,33601
13-05-21,25.3,25.4,25.6,25.2,50203
14-05-21,25.4,25.5,25.6,25.3,54139
17-05-21,25.5,25.5,25.7,25.3,52308
18-05-21,25.5,25.2,25.6,25.1,29500
19-05-21,25.2,25.0,25.2,24.9,26900
20-05-21,25.0,24.8,25.0,24.7,37309
21-05-21,24.9,25.5,25.9,24.8,255501
24-05-21,25.5,25.7,25.8,25.5,142200
25-05-21,25.7,25.5,25.8,25.5,83800
26-05-21,25.5,28.0,28.0,25.4,889430
27-05-21,28.6,29.1,30.3,28.0,454151
28-05-21,29.2,29.7,29.8,28.7,306800
31-05-21,29.9,31.7,31.8,28.0,881807
01-06-21,31.7,30.4,31.7,30.2,515340
02-06-21,30.4,30.1,30.4,29.0,314070
03-06-21,30.0,31.2,31.5,29.5,512500
04-06-21,31.2,30.3,31.3,29.9,399959
07-06-21,30.3,28.3,30.3,27.7,277750
08-06-21,28.2,26.0,28.3,26.0,325023
09-06-21,26.0,27.1,27.3,25.6,287223
10-06-21,27.1,26.6,27.1,26.6,90700
11-06-21,26.6,27.0,27.2,26.5,139101
14-06-21,27.2,27.7,28.1,27.0,303763
15-06-21,27.8,27.5,27.9,27.4,126046
16-06-21,27.5,26.6,27.5,26.5,147711
17-06-21,26.5,26.5,26.5,26.1,161914
18-06-21,26.5,26.7,26.9,26.3,193410
21-06-21,26.7,26.2,26.7,26.2,118629
22-06-21,26.2,26.2,26.4,26.0,100700
23-06-21,26.2,26.2,26.4,26.0,140100
24-06-21,26.2,26.0,26.3,25.9,109900
25-06-21,26.0,25.9,26.1,25.7,77910
28-06-21,25.9,26.6,26.6,25.8,174247
29-06-21,26.6,26.9,27.0,26.5,170860
30-06-21,26.9,26.3,26.9,26.3,79800
01-07-21,26.9,26.4,26.9,26.0,108600
02-07-21,26.4,26.3,26.7,26.1,129822
05-07-21,26.3,26.0,26.4,25.9,157579
06-07-21,26.0,26.3,26.5,26.0,301473
07-07-21,26.3,25.7,26.3,25.5,101801
08-07-21,25.7,25.5,25.8,25.2,81900
09-07-21,25.5,24.7,25.6,24.7,101610
12-07-21,24.7,23.0,24.7,22.3,178100
13-07-21,23.0,22.9,23.1,22.7,48870
14-07-21,22.9,22.8,23.1,22.5,51200
15-07-21,22.7,23.3,23.5,22.6,119100
16-07-21,23.3,23.3,23.6,23.0,89337
19-07-21,23.2,21.6,23.2,21.5,71392
20-07-21,20.9,22.0,22.0,20.9,145200
21-07-21,22.0,21.8,22.5,21.8,90100
22-07-21,21.8,22.0,22.0,21.6,78109
23-07-21,22.0,21.8,22.2,21.7,56300
26-07-21,21.8,21.8,21.8,21.3,48042
27-07-21,21.8,22.1,22.3,21.8,55002
28-07-21,22.1,22.1,22.3,22.0,42418
29-07-21,22.1,22.7,22.7,22.1,92320
30-07-21,22.7,23.2,23.4,22.7,116100
02-08-21,23.3,23.3,23.5,23.2,102200
03-08-21,23.3,23.3,23.5,23.2,84320
04-08-21,23.3,23.5,23.5,23.3,87300
05-08-21,23.6,23.5,23.6,23.3,53500
06-08-21,23.5,23.5,23.5,23.3,53100
09-08-21,23.5,23.5,23.6,23.3,104000
10-08-21,23.5,23.1,23.5,22.1,136700
11-08-21,23.1,23.4,23.4,23.1,55920
12-08-21,23.5,23.0,23.5,23.0,66602
13-08-21,23.4,22.9,23.4,22.6,70300
16-08-21,22.9,23.0,23.0,22.7,71500
17-08-21,23.0,23.1,23.2,23.0,69519
18-08-21,23.1,23.1,23.2,23.0,59430
19-08-21,23.1,23.0,23.1,22.9,36101
20-08-21,23.0,22.6,23.1,22.3,88600
23-08-21,22.5,21.8,22.5,21.8,65182
24-08-21,21.8,22.0,22.1,21.7,64700
25-08-21,22.0,22.1,22.1,21.8,57500
26-08-21,22.1,22.0,22.2,21.8,61600
27-08-21,22.0,21.9,22.0,21.7,45500
30-08-21,21.8,22.1,22.1,21.8,37363
31-08-21,22.1,22.0,22.2,21.9,53500
01-09-21,22.0,22.1,22.1,21.9,28725
06-09-21,22.1,22.2,22.2,22.0,67750
07-09-21,22.2,23.2,23.7,22.2,238513
08-09-21,23.2,23.0,23.5,22.9,68313
09-09-21,23.0,23.0,23.0,22.7,55112
10-09-21,23.0,22.0,23.0,22.0,175305
13-09-21,23.0,22.2,23.0,21.9,69432
14-09-21,22.2,22.0,22.4,22.0,50101
15-09-21,22.1,22.0,22.2,22.0,37700
16-09-21,22.0,22.2,22.3,22.0,49000
17-09-21,22.2,22.7,22.7,22.1,74512
20-09-21,22.7,22.9,22.9,22.7,67035
21-09-21,22.7,22.5,22.8,22.5,40058
22-09-21,22.5,22.3,22.6,22.3,46954
23-09-21,22.4,22.5,22.7,22.3,73000
24-09-21,22.5,22.9,23.0,22.5,114698
27-09-21,22.9,22.5,23.1,22.5,75315
28-09-21,22.5,22.5,22.6,22.2,43700
29-09-21,22.5,21.9,22.6,21.9,76100
30-09-21,21.9,22.0,22.3,21.8,45945
01-10-21,22.0,21.8,22.2,21.8,51500
04-10-21,21.8,21.5,22.0,21.5,47700
05-10-21,21.6,22.1,22.2,21.4,52400
06-10-21,22.1,22.1,22.3,22.0,30200
07-10-21,22.1,22.0,22.1,21.9,33413
08-10-21,21.8,22.0,22.0,21.8,24517
11-10-21,22.0,22.2,22.3,21.9,38300
12-10-21,22.2,22.4,22.5,22.2,43700
13-10-21,22.4,22.3,22.5,22.1,43100
14-10-21,22.3,22.2,22.4,22.0,38749
15-10-21,22.2,22.0,22.2,21.9,52213
18-10-21,22.0,21.9,22.1,21.8,37620
19-10-21,21.9,21.7,22.0,21.7,45005
20-10-21,21.7,21.6,22.0,21.6,37200
21-10-21,21.5,21.7,21.7,21.4,47200
22-10-21,21.7,21.6,21.7,21.5,44353
25-10-21,21.6,21.5,21.8,21.5,35107
26-10-21,21.5,21.6,21.7,21.4,31183
27-10-21,21.6,21.5,21.6,21.4,77895
28-10-21,21.6,21.6,21.8,21.5,53310
29-10-21,21.7,21.8,21.9,21.7,58345
01-11-21,21.9,22.1,22.2,21.8,65924
02-11-21,22.1,22.2,22.3,22.1,70146
03-11-21,22.2,22.7,22.8,22.2,122422
04-11-21,22.7,22.8,23.0,22.7,53274
05-11-21,22.8,22.9,23.0,22.5,78491
08-11-21,22.9,22.9,23.0,22.6,64249
09-11-21,22.9,22.7,22.9,22.6,35807
10-11-21,22.7,22.5,22.8,22.5,49969
11-11-21,22.5,22.4,22.7,22.1,65991
12-11-21,22.4,22.6,22.6,22.2,48503
15-11-21,22.6,22.7,22.8,22.6,56833
16-11-21,22.7,22.6,22.8,22.5,49870
17-11-21,22.6,22.6,22.7,22.5,37771
18-11-21,22.6,22.4,22.6,22.3,51602
19-11-21,22.4,23.4,23.7,22.4,258392
22-11-21,23.5,25.1,25.2,23.4,247276
23-11-21,25.1,24.5,25.2,23.5,113950
24-11-21,24.5,25.3,25.3,23.9,248179
25-11-21,25.3,25.0,25.4,24.7,145005
26-11-21,25.0,24.8,25.0,24.4,68254
29-11-21,24.4,24.0,24.4,23.3,150429
30-11-21,24.0,23.3,24.1,23.2,84482
01-12-21,23.3,23.2,23.6,23.1,58164
02-12-21,23.3,23.8,23.8,23.3,57588
03-12-21,23.8,23.4,24.0,23.4,51052
06-12-21,23.3,22.5,23.4,22.1,95975
07-12-21,22.5,23.0,23.0,22.2,59154
08-12-21,23.0,22.9,23.1,22.2,51413
09-12-21,22.9,22.8,22.9,22.7,31764
10-12-21,22.8,22.7,22.9,22.5,29915
