Date,Open,Close,High,Low,Volume
16-11-20,4.5,4.2,4.5,4.2,10400
17-11-20,4.5,4.5,4.5,4.5,200
18-11-20,4.5,4.5,4.5,4.5,2810
19-11-20,4.5,4.5,4.5,4.3,5900
20-11-20,4.5,4.5,4.5,4.5,3500
23-11-20,4.5,4.5,4.5,4.5,6430
24-11-20,4.3,4.3,4.3,4.3,1100
25-11-20,4.3,4.3,4.3,4.3,500
26-11-20,4.5,4.4,4.5,4.4,500
27-11-20,4.5,4.5,4.5,4.5,100
30-11-20,4.3,4.3,4.3,4.3,500
01-12-20,4.5,4.3,4.5,4.3,300
02-12-20,4.4,4.5,4.5,4.4,706
03-12-20,4.5,4.5,4.5,4.5,193
04-12-20,4.3,4.3,4.3,4.3,500
07-12-20,4.3,4.3,4.4,4.3,2710
08-12-20,4.4,4.3,4.5,4.3,3250
09-12-20,4.5,4.5,4.5,4.3,2539
10-12-20,4.5,4.5,4.5,4.5,142
11-12-20,4.4,4.5,4.5,4.4,3317
14-12-20,4.5,4.5,4.5,4.5,134
15-12-20,4.5,4.3,4.5,4.3,8954
16-12-20,4.3,4.3,4.3,4.3,528
17-12-20,4.5,4.5,4.5,4.5,200
18-12-20,4.3,4.3,4.4,4.3,8342
21-12-20,4.5,4.4,4.5,4.3,9292
22-12-20,4.3,4.5,4.5,4.3,8182
23-12-20,4.5,4.5,4.5,4.5,1738
24-12-20,4.5,4.6,4.6,4.4,24638
25-12-20,4.5,4.5,4.5,4.4,1596
28-12-20,4.5,4.5,4.5,4.5,10376
29-12-20,4.5,4.7,4.7,4.4,17812
30-12-20,4.7,4.7,5.1,4.7,28404
31-12-20,4.7,4.7,4.7,4.7,6284
04-01-21,4.6,4.8,4.8,4.5,2726
05-01-21,4.7,4.7,4.7,4.5,27866
06-01-21,4.6,4.7,4.7,4.6,10900
07-01-21,4.7,4.8,4.8,4.7,23162
08-01-21,4.8,5.1,5.2,4.8,46823
11-01-21,5.0,5.6,5.6,4.9,26311
12-01-21,5.7,5.9,6.1,5.7,90930
13-01-21,5.9,5.8,6.4,5.8,290123
14-01-21,5.8,5.6,6.2,5.6,137560
15-01-21,5.5,5.6,5.7,5.4,66838
18-01-21,5.6,5.3,5.6,5.1,204869
19-01-21,5.3,5.2,5.3,4.9,17400
20-01-21,5.1,5.2,5.2,4.9,6338
21-01-21,5.0,4.7,5.0,4.7,185900
22-01-21,4.7,5.0,5.0,4.7,73300
25-01-21,4.9,5.0,5.1,4.8,49200
26-01-21,4.9,4.7,4.9,4.6,107400
27-01-21,4.6,4.3,4.6,4.3,76500
28-01-21,4.1,3.9,4.5,3.9,102400
29-01-21,3.9,4.2,4.2,3.9,20029
01-02-21,4.3,3.9,4.3,3.9,23800
02-02-21,3.9,3.9,3.9,3.7,90900
03-02-21,3.7,4.2,4.2,3.7,35045
04-02-21,4.5,4.3,4.5,4.1,10213
05-02-21,4.3,4.2,4.3,4.1,12100
08-02-21,4.2,4.0,4.2,4.0,18191
09-02-21,4.0,4.1,4.1,4.0,10400
17-02-21,4.0,4.2,4.2,4.0,8200
18-02-21,4.3,4.2,4.3,4.1,11509
19-02-21,4.2,4.3,4.3,4.2,28554
22-02-21,4.3,4.3,4.4,4.2,22614
23-02-21,4.3,4.5,4.7,4.3,34109
