Date,Open,Close,High,Low,Volume
16-11-20,6.6,6.5,6.7,6.5,125157
17-11-20,6.5,6.6,6.7,6.5,62001
18-11-20,6.6,6.7,6.7,6.6,101440
19-11-20,6.7,6.7,6.7,6.6,93234
20-11-20,6.6,6.6,6.6,6.6,51145
23-11-20,6.7,6.7,6.7,6.6,58606
24-11-20,6.7,7.3,7.3,6.7,269271
25-11-20,7.7,7.9,8.0,7.5,316500
26-11-20,7.7,7.3,7.7,7.3,131592
27-11-20,7.2,7.4,7.5,7.1,110821
30-11-20,7.4,7.3,7.6,7.2,103141
01-12-20,7.2,7.6,7.6,6.6,160538
02-12-20,7.6,7.8,7.8,7.6,44383
03-12-20,7.8,7.9,8.0,7.8,98328
04-12-20,7.9,7.7,7.9,7.6,115170
07-12-20,7.8,7.8,7.9,7.5,227052
08-12-20,7.6,7.7,7.9,7.6,59918
09-12-20,7.7,7.6,7.7,7.5,60332
10-12-20,7.7,7.4,7.7,7.4,81436
11-12-20,7.4,7.6,7.6,7.4,52350
14-12-20,7.6,7.6,7.6,6.9,134542
15-12-20,7.6,7.5,7.6,7.4,49500
16-12-20,7.6,8.1,8.2,7.5,306667
17-12-20,8.0,7.8,8.5,7.8,118220
18-12-20,8.1,8.0,8.1,7.8,38820
21-12-20,8.0,8.0,8.1,7.9,93950
22-12-20,8.0,8.1,8.3,7.9,244586
23-12-20,8.3,8.6,8.8,8.3,372767
24-12-20,8.7,8.4,8.8,8.0,177354
25-12-20,8.3,8.6,8.7,8.2,124450
28-12-20,9.0,9.4,9.4,9.0,679873
29-12-20,10.3,10.3,10.3,10.2,754015
30-12-20,11.3,11.3,11.3,11.0,616295
31-12-20,12.2,11.7,12.3,11.3,453443
04-01-21,11.8,12.8,12.8,11.8,290000
05-01-21,14.0,14.0,14.0,13.5,452960
06-01-21,15.3,14.3,15.3,13.1,448650
07-01-21,14.3,13.4,14.3,13.3,418000
08-01-21,13.0,13.3,13.5,12.2,522550
11-01-21,13.3,14.5,14.6,12.5,405386
12-01-21,14.6,14.7,15.2,14.2,216736
13-01-21,14.7,14.2,14.7,13.9,421823
14-01-21,14.0,14.3,14.8,13.4,421856
15-01-21,14.8,14.8,15.1,14.4,258200
18-01-21,15.2,16.2,16.2,15.1,585586
19-01-21,17.0,16.8,17.5,15.0,567700
20-01-21,16.9,16.9,17.0,16.0,296350
21-01-21,17.2,17.0,17.8,16.8,315736
22-01-21,17.2,16.7,17.2,16.4,262980
25-01-21,16.9,16.7,17.0,16.4,138640
26-01-21,16.7,15.7,16.7,15.2,143200
27-01-21,15.7,14.2,15.7,14.2,547700
28-01-21,12.8,12.8,13.0,12.8,229750
29-01-21,11.6,13.1,13.8,11.6,290620
01-02-21,13.8,13.8,14.4,13.2,164803
02-02-21,13.8,14.0,14.0,13.0,51750
03-02-21,14.0,14.2,14.3,13.8,90544
04-02-21,13.8,13.9,14.2,13.8,58300
05-02-21,14.0,13.5,14.0,13.5,435124
08-02-21,14.1,13.2,14.4,13.2,188536
09-02-21,13.2,13.9,13.9,13.0,93559
17-02-21,13.9,14.2,14.3,12.7,56700
18-02-21,14.0,14.1,14.2,13.8,282506
19-02-21,14.1,15.0,15.2,13.7,218900
22-02-21,15.0,15.8,16.0,15.0,396620
23-02-21,16.0,15.5,16.0,15.4,152404
24-02-21,15.5,15.0,15.6,14.3,260301
25-02-21,15.0,15.0,15.0,14.4,165900
26-02-21,14.8,14.6,15.0,14.5,217200
01-03-21,14.5,14.6,14.8,14.5,169507
02-03-21,14.6,15.7,16.0,14.4,785223
03-03-21,15.8,15.6,16.5,15.0,478400
04-03-21,15.6,14.8,15.6,14.3,672473
05-03-21,14.7,14.9,15.0,14.1,247520
08-03-21,15.0,15.0,15.8,14.9,659780
09-03-21,15.0,14.7,15.0,14.7,237130
10-03-21,15.0,14.8,15.2,14.6,291165
11-03-21,14.8,14.7,15.0,14.7,212200
12-03-21,14.8,15.0,15.0,14.6,306409
15-03-21,15.0,15.4,15.8,14.9,542430
16-03-21,15.4,15.7,16.1,15.2,933300
17-03-21,15.7,15.5,16.0,15.3,343616
18-03-21,15.4,15.1,15.5,14.9,477000
19-03-21,15.1,14.9,15.1,14.5,398300
22-03-21,14.9,14.4,14.9,14.3,605500
23-03-21,13.9,14.6,14.9,13.9,232524
24-03-21,14.7,14.1,14.7,13.6,383730
25-03-21,14.1,13.1,14.3,13.1,374200
26-03-21,13.1,13.3,13.6,12.1,443000
29-03-21,13.4,13.5,13.6,13.2,157900
30-03-21,13.6,13.5,13.9,13.4,184007
31-03-21,13.5,13.2,13.7,13.2,239000
01-04-21,13.2,13.7,13.7,13.2,238800
02-04-21,14.0,13.6,14.2,13.6,248800
05-04-21,13.6,14.1,14.2,13.6,370000
06-04-21,14.1,13.8,14.1,13.8,147800
07-04-21,13.9,13.9,14.0,13.8,198930
08-04-21,13.8,13.9,14.0,13.7,206620
09-04-21,13.9,13.9,14.0,13.8,246800
12-04-21,13.9,13.8,14.0,13.2,704818
13-04-21,13.8,13.4,13.8,13.4,402778
14-04-21,13.4,13.4,13.5,13.1,146700
15-04-21,13.4,13.0,13.5,13.0,222100
16-04-21,13.0,12.2,13.0,11.8,628129
19-04-21,12.2,12.3,12.4,11.9,281200
