Date,Open,Close,High,Low,Volume
16-12-20,14.8,14.8,14.8,14.8,100
17-12-20,14.8,14.8,14.8,14.8,0
18-12-20,14.6,14.6,14.6,14.6,100
21-12-20,14.5,14.5,14.5,14.5,100
22-12-20,14.5,14.5,14.5,14.5,0
23-12-20,14.5,14.5,14.5,14.5,0
24-12-20,12.4,12.4,12.4,12.4,2300
25-12-20,12.5,12.5,12.5,12.5,1100
28-12-20,12.6,12.6,12.6,12.6,1100
29-12-20,12.8,12.8,12.8,12.8,1000
30-12-20,12.6,12.6,12.6,12.6,100
31-12-20,12.5,12.6,12.6,12.5,1300
04-01-21,10.7,12.5,12.5,10.7,1900
05-01-21,13.9,13.9,13.9,13.9,100
06-01-21,14.0,13.9,14.0,13.9,5200
07-01-21,12.7,12.7,12.7,12.7,200
08-01-21,12.7,12.7,12.7,12.7,0
11-01-21,12.7,12.7,12.7,12.7,0
12-01-21,12.1,12.7,12.7,12.1,400
13-01-21,12.3,12.3,12.3,12.3,0
14-01-21,12.3,12.3,12.3,12.3,0
15-01-21,12.3,12.3,12.3,12.3,0
18-01-21,12.5,12.5,12.5,12.5,100
19-01-21,12.5,12.5,12.5,12.5,100
20-01-21,12.5,12.5,12.5,12.5,0
21-01-21,12.5,12.5,12.5,12.5,0
22-01-21,12.5,12.5,12.5,12.5,0
25-01-21,13.0,13.0,13.0,13.0,100
26-01-21,13.0,13.4,13.4,12.5,1200
27-01-21,13.3,13.5,13.5,13.3,400
28-01-21,13.0,11.4,13.0,11.4,200
29-01-21,13.0,13.0,13.0,13.0,100
01-02-21,13.0,13.0,13.0,13.0,0
02-02-21,13.0,13.0,13.0,13.0,200
03-02-21,13.0,13.0,13.0,13.0,0
04-02-21,13.0,13.0,13.0,13.0,0
05-02-21,13.0,13.0,13.0,13.0,100
08-02-21,13.0,13.0,13.0,13.0,100
09-02-21,13.0,13.0,13.0,13.0,100
17-02-21,13.0,13.0,13.0,13.0,100
18-02-21,13.0,13.0,13.0,13.0,0
19-02-21,13.0,13.0,13.0,13.0,0
22-02-21,13.0,13.0,13.0,13.0,0
23-02-21,13.0,13.0,13.0,13.0,0
24-02-21,13.0,13.0,13.0,13.0,0
25-02-21,12.1,13.3,13.3,12.1,300
26-02-21,12.5,12.5,12.5,12.5,0
01-03-21,12.5,12.5,12.5,12.5,200
02-03-21,13.9,13.9,13.9,13.9,300
03-03-21,13.9,13.9,13.9,13.9,0
04-03-21,13.9,13.9,13.9,13.9,0
05-03-21,13.9,13.9,13.9,13.9,0
08-03-21,13.9,13.9,13.9,13.9,100
09-03-21,13.9,13.9,13.9,13.9,0
10-03-21,13.9,13.9,13.9,13.9,100
11-03-21,13.9,13.9,13.9,13.9,400
12-03-21,13.9,13.9,13.9,13.9,0
15-03-21,13.8,13.9,13.9,12.1,300
16-03-21,13.3,13.9,13.9,13.3,1900
17-03-21,13.4,13.5,13.5,13.4,700
18-03-21,13.5,13.5,13.5,13.5,800
19-03-21,13.5,13.5,13.5,13.5,800
22-03-21,13.5,13.5,13.5,13.5,0
23-03-21,14.0,14.0,14.0,14.0,100
24-03-21,14.0,14.0,14.0,14.0,0
25-03-21,14.0,14.0,14.0,14.0,0
26-03-21,14.0,14.0,14.0,14.0,0
29-03-21,14.0,14.0,14.0,14.0,0
30-03-21,14.0,14.0,14.0,14.0,0
31-03-21,13.8,13.8,13.8,13.8,100
01-04-21,11.9,13.8,13.8,11.9,1100
02-04-21,13.0,13.1,13.1,13.0,800
05-04-21,13.0,13.0,13.0,13.0,0
06-04-21,13.9,13.8,13.9,13.8,800
07-04-21,13.8,13.8,13.8,13.8,0
08-04-21,13.7,13.7,13.7,13.7,200
09-04-21,13.8,13.5,13.8,13.5,1300
12-04-21,14.0,15.2,15.2,14.0,3500
13-04-21,14.8,14.8,14.8,14.8,0
14-04-21,14.8,14.8,14.8,14.8,0
15-04-21,13.0,13.0,13.0,13.0,2000
