Date,Open,Close,High,Low,Volume
16-11-20,2.4,2.4,2.4,2.4,0
17-11-20,2.3,2.2,2.4,2.2,5400
18-11-20,2.2,2.2,2.2,2.2,6100
19-11-20,2.2,2.1,2.2,2.1,5800
20-11-20,2.2,2.2,2.2,2.2,6500
23-11-20,2.2,2.1,2.2,2.1,3100
24-11-20,2.1,2.1,2.1,2.1,0
25-11-20,2.1,2.2,2.2,2.1,2700
26-11-20,2.2,2.1,2.2,2.1,6400
27-11-20,2.2,2.3,2.3,1.9,58500
30-11-20,2.4,2.4,2.5,2.3,9700
01-12-20,2.3,2.2,2.4,2.2,42100
02-12-20,2.2,2.3,2.3,2.2,16200
03-12-20,2.3,2.5,2.5,2.2,27700
04-12-20,2.5,2.6,2.6,2.3,109700
07-12-20,2.5,2.6,2.7,2.5,44510
08-12-20,2.5,2.4,2.6,2.4,500
09-12-20,2.3,2.3,2.4,2.3,8100
10-12-20,2.5,2.5,2.5,2.5,100
11-12-20,2.5,2.6,2.7,2.5,368200
14-12-20,2.7,2.8,2.8,2.6,475999
15-12-20,2.9,3.0,3.0,2.9,54300
16-12-20,3.3,3.3,3.3,3.3,16400
17-12-20,3.6,3.6,3.6,3.5,377570
18-12-20,3.9,3.9,3.9,3.9,181439
21-12-20,4.2,4.2,4.2,4.1,174450
22-12-20,4.2,4.0,4.5,3.8,119700
23-12-20,3.8,4.1,4.2,3.8,60558
24-12-20,4.2,3.9,4.2,3.7,39180
25-12-20,3.9,3.8,3.9,3.6,40421
28-12-20,3.8,3.8,4.0,3.5,56602
29-12-20,3.6,3.8,3.8,3.6,17810
30-12-20,3.8,3.8,3.8,3.5,77400
31-12-20,3.8,3.6,3.8,3.5,954200
04-01-21,3.7,3.6,3.7,3.6,16810
05-01-21,3.6,3.4,3.7,3.4,65600
06-01-21,3.6,3.7,3.7,3.5,125600
07-01-21,4.0,4.0,4.0,4.0,172500
08-01-21,4.4,4.0,4.4,4.0,198220
11-01-21,4.0,3.9,4.0,3.8,29900
12-01-21,3.9,3.9,4.2,3.6,136500
13-01-21,3.8,4.0,4.0,3.8,28610
14-01-21,4.1,4.0,4.1,3.9,8900
15-01-21,4.0,4.0,4.1,3.8,51400
18-01-21,4.0,3.8,4.0,3.8,39123
19-01-21,3.8,3.8,4.0,3.6,18610
20-01-21,3.8,4.0,4.0,3.8,16300
21-01-21,4.0,3.9,4.0,3.9,55600
22-01-21,3.9,3.8,3.9,3.8,11900
25-01-21,3.8,3.9,3.9,3.7,2760
26-01-21,3.9,3.9,4.0,3.6,19100
