Date,Open,Close,High,Low,Volume
16-11-20,3.8,3.8,3.8,3.8,0
17-11-20,3.8,3.8,3.8,3.8,0
18-11-20,3.8,3.8,3.8,3.8,0
19-11-20,3.8,3.8,3.8,3.8,0
20-11-20,3.5,3.5,3.5,3.5,35200
23-11-20,3.5,3.5,3.5,3.5,0
24-11-20,3.5,3.5,3.5,3.5,0
25-11-20,3.5,3.5,3.5,3.5,0
26-11-20,3.5,3.5,3.5,3.5,0
27-11-20,3.8,3.8,3.8,3.8,100
30-11-20,3.8,3.8,3.8,3.8,0
01-12-20,3.8,3.8,3.8,3.8,0
02-12-20,3.8,3.8,3.8,3.8,0
03-12-20,3.8,3.8,3.8,3.8,0
04-12-20,3.8,3.8,3.8,3.8,0
07-12-20,3.8,3.8,3.8,3.8,0
08-12-20,3.8,3.8,3.8,3.8,0
09-12-20,3.8,3.8,3.8,3.8,0
10-12-20,3.8,3.8,3.8,3.8,0
11-12-20,3.8,3.8,3.8,3.8,0
14-12-20,3.8,3.8,3.8,3.8,0
15-12-20,3.8,3.8,3.8,3.8,0
16-12-20,3.8,3.8,3.8,3.8,0
17-12-20,3.8,3.8,3.8,3.8,0
18-12-20,4.1,4.1,4.1,4.1,3420
21-12-20,4.1,4.1,4.1,4.1,0
22-12-20,4.1,4.1,4.1,4.1,0
23-12-20,4.1,4.1,4.1,4.1,0
24-12-20,4.1,4.1,4.1,4.1,0
25-12-20,4.5,3.7,4.5,3.7,14500
28-12-20,3.7,3.7,3.7,3.7,0
29-12-20,3.7,3.7,3.7,3.7,0
30-12-20,3.7,3.7,3.7,3.7,0
31-12-20,3.7,3.7,3.7,3.7,0
04-01-21,3.7,3.7,3.7,3.7,0
05-01-21,3.7,3.7,3.7,3.7,0
06-01-21,3.7,3.7,3.7,3.7,0
07-01-21,3.7,3.7,3.7,3.7,0
08-01-21,3.7,3.5,3.7,3.5,16000
11-01-21,3.5,3.5,3.5,3.5,0
12-01-21,3.5,3.5,3.5,3.5,0
13-01-21,3.5,3.5,3.5,3.5,0
14-01-21,3.5,3.5,3.5,3.5,0
15-01-21,3.8,3.2,3.8,3.2,13300
18-01-21,3.2,3.2,3.2,3.2,0
19-01-21,3.2,3.2,3.2,3.2,0
20-01-21,3.2,3.2,3.2,3.2,0
21-01-21,3.2,3.2,3.2,3.2,0
22-01-21,3.5,3.5,3.5,3.5,100
25-01-21,3.5,3.5,3.5,3.5,0
26-01-21,3.5,3.5,3.5,3.5,0
27-01-21,3.5,3.5,3.5,3.5,0
28-01-21,3.5,3.5,3.5,3.5,0
29-01-21,3.8,3.8,3.8,3.8,6800
01-02-21,3.8,3.8,3.8,3.8,0
02-02-21,3.8,3.8,3.8,3.8,0
03-02-21,3.8,3.8,3.8,3.8,0
04-02-21,3.8,3.8,3.8,3.8,0
05-02-21,3.5,3.5,4.1,3.5,45610
08-02-21,3.5,3.5,3.5,3.5,0
09-02-21,3.5,3.5,3.5,3.5,0
17-02-21,3.5,3.5,3.5,3.5,0
18-02-21,3.5,3.5,3.5,3.5,0
19-02-21,3.8,3.2,3.8,3.2,11200
22-02-21,3.2,3.2,3.2,3.2,0
23-02-21,3.2,3.2,3.2,3.2,0
24-02-21,3.2,3.2,3.2,3.2,0
25-02-21,3.2,3.2,3.2,3.2,0
26-02-21,3.4,2.9,3.5,2.9,106700
01-03-21,2.9,2.9,2.9,2.9,0
02-03-21,2.9,2.9,2.9,2.9,0
03-03-21,2.9,2.9,2.9,2.9,0
04-03-21,2.9,2.9,2.9,2.9,0
05-03-21,2.9,2.7,3.1,2.7,87600
08-03-21,2.7,2.7,2.7,2.7,0
09-03-21,2.7,2.7,2.7,2.7,0
10-03-21,2.7,2.7,2.7,2.7,0
11-03-21,2.7,2.7,2.7,2.7,0
12-03-21,2.7,2.9,2.9,2.7,44750
15-03-21,2.9,2.9,2.9,2.9,0
16-03-21,2.9,2.9,2.9,2.9,0
17-03-21,2.9,2.9,2.9,2.9,0
18-03-21,2.9,2.9,2.9,2.9,0
19-03-21,3.1,3.1,3.1,3.1,4862100
22-03-21,3.1,3.1,3.1,3.1,0
23-03-21,3.1,3.1,3.1,3.1,0
24-03-21,3.1,3.1,3.1,3.1,0
25-03-21,3.1,3.1,3.1,3.1,0
26-03-21,3.4,3.4,3.4,3.4,211136
29-03-21,3.4,3.4,3.4,3.4,0
30-03-21,3.4,3.4,3.4,3.4,0
31-03-21,3.4,3.4,3.4,3.4,0
01-04-21,3.4,3.4,3.4,3.4,0
02-04-21,3.7,3.7,3.7,3.7,12200
05-04-21,3.7,3.7,3.7,3.7,0
06-04-21,3.7,3.7,3.7,3.7,0
07-04-21,3.7,3.7,3.7,3.7,0
08-04-21,3.7,3.7,3.7,3.7,0
09-04-21,4.0,4.0,4.0,4.0,273786
12-04-21,4.0,4.0,4.0,4.0,0
13-04-21,4.0,4.0,4.0,4.0,0
14-04-21,4.0,4.0,4.0,4.0,0
15-04-21,4.0,4.0,4.0,4.0,0
16-04-21,4.4,4.4,4.4,4.1,714776
19-04-21,4.4,4.4,4.4,4.4,0
20-04-21,4.4,4.4,4.4,4.4,0
22-04-21,4.4,4.4,4.4,4.4,0
23-04-21,4.8,4.8,4.8,4.8,136106
26-04-21,4.8,4.8,4.8,4.8,0
27-04-21,4.8,4.8,4.8,4.8,0
28-04-21,4.8,4.8,4.8,4.8,0
29-04-21,5.2,5.2,5.2,5.2,21010
04-05-21,5.7,5.7,5.7,5.7,20600
05-05-21,6.2,6.2,6.2,6.2,36600
06-05-21,6.8,6.8,6.8,6.8,33710
07-05-21,7.4,7.3,7.4,6.5,431640
10-05-21,7.3,7.5,7.8,7.2,416112
11-05-21,7.5,6.8,7.5,6.8,193410
12-05-21,6.8,6.2,6.8,6.2,32700
13-05-21,5.6,5.6,6.2,5.6,267700
14-05-21,5.1,5.2,5.6,5.1,308800
17-05-21,5.2,5.7,5.7,5.1,793001
18-05-21,5.7,5.9,6.2,5.7,483500
19-05-21,5.9,5.4,6.0,5.4,390900
20-05-21,5.4,5.7,5.9,5.0,179900
21-05-21,5.6,5.8,6.2,5.2,595300
24-05-21,5.6,5.6,5.6,5.3,303900
25-05-21,5.6,5.7,6.1,5.1,437200
26-05-21,5.7,5.4,5.8,5.2,376800
27-05-21,5.3,5.3,5.4,4.9,311500
28-05-21,5.3,4.8,5.3,4.8,468000
31-05-21,4.8,4.8,4.8,4.4,197900
01-06-21,4.7,4.7,4.7,4.4,134300
02-06-21,4.6,4.8,4.8,4.4,119400
03-06-21,4.8,4.9,5.1,4.7,362800
04-06-21,4.9,4.8,4.9,4.5,239100
07-06-21,4.8,4.8,4.8,4.4,335130
08-06-21,4.7,4.5,4.9,4.5,415300
09-06-21,4.5,4.3,4.5,4.1,218200
10-06-21,4.3,4.3,4.5,4.1,266400
11-06-21,4.3,4.3,4.3,4.1,45200
14-06-21,4.3,4.5,4.5,4.2,55600
15-06-21,4.5,4.5,4.5,4.4,138451
16-06-21,4.5,4.5,4.7,4.2,358439
17-06-21,4.4,4.4,4.5,4.1,91000
18-06-21,4.3,4.5,4.5,4.1,530400
21-06-21,4.4,4.5,4.5,4.1,421200
22-06-21,4.5,4.5,4.5,4.2,276310
23-06-21,4.4,4.4,4.5,4.2,894000
24-06-21,4.4,4.3,4.4,4.2,146800
25-06-21,4.3,4.2,4.3,4.2,81700
28-06-21,4.2,4.0,4.3,3.9,512830
29-06-21,4.0,4.4,4.4,4.0,509100
30-06-21,4.4,4.7,4.8,4.4,579092
01-07-21,4.6,4.6,4.7,4.4,374927
02-07-21,4.6,4.3,4.6,4.2,162143
05-07-21,4.3,4.3,4.3,4.0,171100
06-07-21,4.3,4.1,4.3,4.0,405600
07-07-21,4.0,4.1,4.1,3.9,111751
08-07-21,4.1,4.0,4.2,3.9,378539
09-07-21,4.0,3.9,4.1,3.9,64400
12-07-21,4.0,3.6,4.0,3.6,136625
13-07-21,3.4,3.4,3.6,3.3,98200
14-07-21,3.4,3.6,3.7,3.4,57700
15-07-21,3.6,3.7,3.8,3.6,75600
16-07-21,3.7,3.6,3.7,3.6,62902
19-07-21,3.6,3.3,3.6,3.3,246913
20-07-21,3.3,3.4,3.4,3.0,365827
21-07-21,3.4,3.3,3.4,3.2,48000
22-07-21,3.3,3.5,3.6,3.2,170255
23-07-21,3.5,3.6,3.7,3.5,95600
26-07-21,3.6,3.7,3.7,3.6,62200
27-07-21,3.6,3.7,3.7,3.5,182591
28-07-21,3.7,3.6,3.8,3.6,74700
29-07-21,3.6,3.7,3.7,3.6,36900
30-07-21,3.7,3.8,3.8,3.6,117003
02-08-21,3.8,3.9,4.0,3.7,55200
03-08-21,3.8,3.8,3.8,3.7,11700
04-08-21,3.8,3.9,3.9,3.7,42708
05-08-21,3.9,4.1,4.1,3.8,67020
06-08-21,4.1,4.1,4.1,4.0,58140
09-08-21,4.2,4.2,4.2,4.1,177200
10-08-21,4.2,4.0,4.2,4.0,280721
11-08-21,4.0,4.2,4.3,4.0,225402
12-08-21,4.1,4.2,4.2,4.1,128410
13-08-21,4.1,4.2,4.2,4.1,101200
16-08-21,4.2,4.2,4.2,4.1,85900
17-08-21,4.2,4.2,4.3,4.1,56000
18-08-21,4.2,4.1,4.3,4.1,81549
19-08-21,4.2,4.5,4.5,4.1,926720
20-08-21,4.8,4.8,4.9,4.6,841115
23-08-21,4.8,5.1,5.2,4.7,438220
24-08-21,5.1,4.8,5.2,4.6,756725
25-08-21,5.0,4.6,5.0,4.5,492900
26-08-21,4.5,4.9,4.9,4.5,214120
27-08-21,4.9,4.9,4.9,4.6,233810
30-08-21,4.9,5.1,5.2,4.8,350609
31-08-21,5.1,5.0,5.1,5.0,279619
01-09-21,5.0,5.5,5.5,5.0,560737
06-09-21,5.8,5.9,6.0,5.8,500409
07-09-21,6.0,5.4,6.0,5.4,574930
08-09-21,5.1,5.2,5.4,5.0,435610
09-09-21,5.2,5.7,5.7,5.1,338191
10-09-21,6.0,5.8,6.0,5.4,287600
13-09-21,5.8,6.0,6.1,5.7,366128
14-09-21,6.0,6.6,6.6,5.8,717503
15-09-21,6.8,6.3,6.9,6.2,364050
16-09-21,6.3,6.1,6.5,6.1,355556
17-09-21,6.1,6.4,6.7,6.0,361700
20-09-21,6.5,6.8,6.9,6.4,389203
21-09-21,6.6,6.8,6.8,6.3,469242
22-09-21,6.8,7.4,7.4,6.7,647710
23-09-21,7.6,6.9,8.0,6.7,423398
24-09-21,6.8,7.2,7.2,6.8,360400
27-09-21,7.2,7.9,7.9,7.2,655961
28-09-21,8.4,8.2,8.6,7.8,860416
29-09-21,8.1,7.8,8.1,7.6,373335
30-09-21,7.7,8.0,8.3,7.6,278900
01-10-21,7.8,7.2,8.1,7.2,410600
04-10-21,7.2,7.9,7.9,6.5,922300
