Date,Open,Close,High,Low,Volume
16-11-20,6.9,6.9,6.9,6.9,7
17-11-20,6.8,6.8,6.8,6.8,100
18-11-20,6.7,6.5,6.7,6.5,6600
19-11-20,6.5,6.5,6.5,6.5,6100
20-11-20,6.6,6.6,6.6,6.6,100
23-11-20,7.1,6.9,7.1,6.9,2300
24-11-20,6.7,6.7,6.7,6.7,2500
25-11-20,6.7,6.7,6.7,6.7,1100
26-11-20,6.8,7.2,7.3,6.8,6366
27-11-20,7.1,7.0,7.1,7.0,6500
30-11-20,6.8,6.7,6.8,6.7,3100
01-12-20,7.0,6.9,7.0,6.5,5158
02-12-20,6.6,6.4,6.6,6.4,7600
03-12-20,7.0,7.0,7.0,7.0,100
04-12-20,7.0,7.0,7.0,7.0,1099
07-12-20,6.9,6.9,6.9,6.8,3603
08-12-20,6.9,6.7,6.9,6.7,2700
09-12-20,6.7,6.7,6.7,6.7,2000
10-12-20,6.7,6.8,7.1,6.7,1700
11-12-20,6.8,6.8,6.8,6.8,0
14-12-20,6.7,7.0,7.0,6.5,10100
15-12-20,7.0,7.1,7.1,7.0,3900
16-12-20,6.5,7.1,7.1,6.5,3098
17-12-20,7.0,7.0,7.2,7.0,12900
18-12-20,7.1,7.2,7.2,7.1,9000
21-12-20,7.2,7.2,7.2,7.2,800
22-12-20,7.2,7.2,7.2,7.2,6
23-12-20,7.2,7.2,7.3,7.2,26165
24-12-20,7.1,6.8,7.1,6.8,5807
25-12-20,7.1,6.8,7.1,6.8,5900
28-12-20,7.1,7.4,7.4,7.1,24900
29-12-20,8.0,8.1,8.1,7.5,38605
30-12-20,8.6,8.9,8.9,8.6,32567
31-12-20,9.3,9.2,9.3,8.6,22920
04-01-21,8.4,8.3,9.0,8.3,1600
05-01-21,8.3,7.9,8.3,7.6,7610
06-01-21,8.0,8.3,8.3,8.0,11800
07-01-21,8.3,8.0,8.3,8.0,7810
08-01-21,8.0,8.0,8.0,7.6,7600
11-01-21,8.1,8.8,8.8,8.0,37840
12-01-21,8.8,8.8,9.0,8.3,13700
13-01-21,8.8,8.7,8.8,8.3,4900
14-01-21,8.3,8.2,8.6,8.0,6140
15-01-21,8.2,8.5,8.6,8.2,11600
18-01-21,8.4,8.4,8.5,8.3,6741
19-01-21,8.4,8.2,8.6,7.9,5740
20-01-21,7.8,7.8,7.8,7.8,700
21-01-21,7.8,8.5,8.5,7.8,15900
22-01-21,8.5,8.4,8.5,8.3,16841
25-01-21,8.4,8.4,8.5,8.4,8400
26-01-21,8.3,8.2,8.3,8.2,11465
27-01-21,8.2,8.2,8.3,8.2,11152
28-01-21,8.2,7.4,8.2,7.4,9000
29-01-21,7.7,8.1,8.1,6.8,1800
01-02-21,8.1,8.1,8.1,8.1,100
02-02-21,8.1,8.1,8.1,8.1,40
03-02-21,8.1,8.1,8.1,8.1,300
04-02-21,7.6,8.1,8.1,7.5,1200
05-02-21,8.1,8.1,8.1,8.1,18
08-02-21,8.1,8.1,8.1,8.1,0
09-02-21,8.1,8.1,8.1,8.1,0
17-02-21,8.6,8.5,8.6,8.5,500
18-02-21,8.5,8.5,8.5,8.5,0
19-02-21,8.5,8.5,8.5,8.5,0
22-02-21,7.8,8.4,8.4,7.7,8897
23-02-21,8.0,8.2,8.2,8.0,1450
24-02-21,8.4,8.2,8.4,8.0,700
25-02-21,8.2,8.5,8.9,8.2,1600
26-02-21,8.5,8.3,8.5,8.3,1100
01-03-21,7.8,8.4,9.0,7.7,28000
02-03-21,8.3,8.3,8.3,8.3,241
03-03-21,8.0,8.0,8.0,8.0,1100
04-03-21,8.0,8.1,8.1,7.8,1193
05-03-21,8.1,8.0,8.1,8.0,31830
08-03-21,7.7,8.2,8.5,7.7,5500
09-03-21,7.8,7.8,7.8,7.8,1100
10-03-21,8.1,8.4,8.4,8.1,2115
11-03-21,7.9,8.3,8.3,7.9,1200
12-03-21,8.3,8.2,8.3,7.7,12597
15-03-21,8.1,8.2,8.2,8.0,1008
16-03-21,7.9,8.1,8.1,7.8,3448
17-03-21,7.9,7.9,7.9,7.8,5800
18-03-21,7.9,7.8,7.9,7.8,1000
19-03-21,7.8,7.8,7.8,7.8,10100
22-03-21,8.0,8.5,8.5,8.0,41310
23-03-21,8.5,8.5,8.5,8.4,6100
24-03-21,8.5,8.5,8.5,8.5,1611
25-03-21,8.3,8.3,8.3,7.9,3700
26-03-21,7.9,8.3,8.3,7.9,2100
29-03-21,8.0,8.3,8.3,8.0,200
30-03-21,8.2,8.2,8.2,8.2,3301
31-03-21,8.2,8.3,8.4,8.0,8834
01-04-21,8.3,8.3,8.3,8.3,6950
02-04-21,8.2,8.2,8.2,8.2,3500
05-04-21,8.2,8.2,8.2,8.1,10900
06-04-21,8.3,8.2,8.3,8.2,2600
07-04-21,8.2,8.2,8.2,8.2,3200
08-04-21,8.2,8.7,9.0,8.2,33900
09-04-21,8.7,8.7,8.7,8.7,500
12-04-21,8.7,9.0,9.0,8.7,5970
13-04-21,8.8,8.6,9.0,8.6,32900
14-04-21,8.7,8.6,8.7,8.4,2900
15-04-21,8.3,8.3,8.3,8.3,700
