Date,Open,Close,High,Low,Volume
16-11-20,14.8,14.5,14.8,14.4,5010
17-11-20,14.5,14.5,14.5,14.5,1
18-11-20,14.0,14.0,14.0,14.0,200
19-11-20,15.0,14.4,15.0,14.4,1000
20-11-20,14.4,14.5,14.5,14.4,900
23-11-20,14.7,14.7,14.7,14.7,300
24-11-20,14.8,14.8,14.8,14.8,200
25-11-20,14.7,14.9,14.9,14.7,1000
26-11-20,14.9,14.9,14.9,14.9,0
27-11-20,14.8,14.8,14.8,14.8,100
30-11-20,14.9,14.8,14.9,14.8,440
01-12-20,14.9,14.9,14.9,14.9,100
02-12-20,14.9,14.9,14.9,14.9,0
03-12-20,14.9,14.9,14.9,14.9,0
04-12-20,14.9,14.9,14.9,14.9,0
07-12-20,14.9,14.9,14.9,14.9,0
08-12-20,14.9,14.9,14.9,14.9,2100
09-12-20,14.7,14.7,14.7,14.7,400
10-12-20,14.7,14.7,14.7,14.7,0
11-12-20,14.7,14.7,14.7,14.7,0
14-12-20,14.7,14.7,14.7,14.7,0
15-12-20,14.7,14.8,14.8,14.7,6100
16-12-20,14.7,14.8,14.8,14.7,10500
17-12-20,15.0,15.0,15.0,15.0,1200
18-12-20,15.0,15.0,15.0,15.0,200
21-12-20,15.0,15.0,15.0,15.0,1040
22-12-20,15.0,15.0,15.0,15.0,0
23-12-20,15.0,15.0,15.0,15.0,3000
24-12-20,14.8,14.8,14.8,14.8,200
25-12-20,15.0,15.0,15.0,15.0,111
28-12-20,15.0,15.0,15.0,15.0,329
29-12-20,15.3,15.3,15.3,15.3,900
30-12-20,15.3,15.3,15.3,15.3,500
31-12-20,15.6,15.3,15.6,15.3,2400
04-01-21,15.4,15.5,15.5,15.4,4600
05-01-21,15.5,15.5,15.5,15.5,100
06-01-21,16.0,16.0,16.0,16.0,1700
07-01-21,15.9,16.1,16.1,15.9,3600
08-01-21,16.1,16.3,16.3,16.1,2100
11-01-21,16.5,16.7,16.7,16.4,1300
12-01-21,16.7,16.6,16.7,16.6,700
13-01-21,16.5,16.5,16.5,16.5,100
14-01-21,16.5,16.5,16.5,16.5,571
15-01-21,16.5,16.5,16.5,16.5,1100
18-01-21,16.5,16.5,16.5,16.5,6869
19-01-21,16.2,16.2,16.2,16.2,500
20-01-21,16.2,16.2,16.2,16.2,0
21-01-21,16.4,16.2,16.4,16.2,5700
22-01-21,16.5,16.5,16.5,16.5,3500
25-01-21,16.5,16.5,16.5,16.5,3900
26-01-21,16.5,16.4,16.5,16.3,12500
27-01-21,16.5,16.3,16.5,16.3,8200
28-01-21,16.3,16.2,16.3,15.4,16200
29-01-21,16.2,16.2,16.2,16.0,6300
01-02-21,16.3,16.3,16.3,16.3,100
02-02-21,15.3,15.3,15.3,15.3,100
03-02-21,16.2,16.2,16.2,16.0,7800
04-02-21,16.4,16.2,16.4,16.2,200
05-02-21,16.0,16.2,16.4,16.0,6400
08-02-21,16.2,16.1,16.2,16.1,2331
09-02-21,16.2,16.4,16.4,16.2,2000
17-02-21,16.9,17.4,17.5,16.5,19600
18-02-21,17.4,18.9,19.1,17.0,52000
19-02-21,18.0,18.5,18.9,18.0,28320
22-02-21,18.5,18.5,19.3,18.5,13982
23-02-21,18.9,18.5,19.0,18.5,11100
