Date,Open,Close,High,Low,Volume
16-11-20,83.9,83.9,83.9,83.9,210
17-11-20,83.9,83.9,83.9,83.9,0
18-11-20,83.9,83.9,83.9,83.9,10
19-11-20,79.1,79.1,79.1,79.1,126
20-11-20,79.1,79.1,79.1,79.1,10
23-11-20,80.0,82.0,82.0,80.0,1409
24-11-20,82.0,82.0,82.0,82.0,1124
25-11-20,82.0,82.0,82.0,82.0,1600
26-11-20,82.0,82.1,83.0,82.0,9350
27-11-20,83.0,83.0,83.0,83.0,3700
30-11-20,83.0,83.0,83.0,83.0,2000
01-12-20,83.0,83.0,83.0,83.0,0
02-12-20,81.5,81.5,81.5,81.5,110
03-12-20,81.5,81.5,81.5,81.5,100
04-12-20,82.0,81.6,82.0,81.5,2600
07-12-20,81.8,82.0,82.0,81.6,2303
08-12-20,82.9,82.0,82.9,82.0,2207
09-12-20,82.9,82.5,82.9,82.0,5400
10-12-20,82.9,82.9,82.9,82.9,100
11-12-20,82.5,83.0,83.0,82.5,1263
14-12-20,83.2,84.5,84.5,83.2,2800
15-12-20,84.6,86.0,86.0,84.6,3700
16-12-20,85.1,85.0,85.3,85.0,1345
17-12-20,85.0,85.0,85.0,85.0,200
18-12-20,85.0,85.0,85.0,85.0,50
21-12-20,86.0,86.0,86.0,86.0,110
22-12-20,82.0,82.0,82.0,82.0,103
23-12-20,83.0,83.0,83.0,83.0,150
24-12-20,85.0,86.0,86.0,85.0,6100
25-12-20,86.0,86.0,86.0,86.0,0
28-12-20,77.4,84.2,84.2,77.4,536
29-12-20,84.2,84.2,84.2,84.2,115
30-12-20,85.5,86.8,86.9,85.5,10788
31-12-20,78.2,86.8,86.8,78.2,790
04-01-21,86.8,86.8,87.0,86.8,1425
05-01-21,87.0,87.0,87.0,87.0,330
06-01-21,78.3,87.0,87.0,78.3,910
07-01-21,87.5,87.5,87.5,87.0,1000
08-01-21,86.5,90.0,90.0,86.0,8400
11-01-21,88.0,88.5,88.5,88.0,300
12-01-21,88.5,88.5,88.5,88.5,2800
13-01-21,88.5,88.0,88.5,88.0,4701
14-01-21,88.0,84.0,88.0,84.0,12840
15-01-21,88.0,89.0,89.0,88.0,20000
18-01-21,88.1,89.1,89.1,88.1,5885
19-01-21,89.2,90.0,90.0,88.3,18805
20-01-21,90.0,92.4,92.4,90.0,3601
21-01-21,89.5,93.0,93.0,89.5,1939
22-01-21,98.0,98.0,98.0,98.0,2033
25-01-21,98.0,103.0,107.8,98.0,2250
26-01-21,104.0,105.0,107.9,104.0,1223
27-01-21,101.0,98.9,101.0,98.9,300
28-01-21,90.0,94.0,94.0,89.1,3810
29-01-21,98.9,98.9,98.9,98.9,130
01-02-21,99.0,99.0,102.0,99.0,1500
02-02-21,100.0,99.0,100.0,99.0,1180
03-02-21,98.7,99.1,99.1,98.7,600
04-02-21,94.4,94.4,94.4,94.4,100
05-02-21,94.5,99.0,99.0,94.5,400
08-02-21,98.9,100.0,100.0,98.9,2110
09-02-21,99.1,99.6,100.0,99.1,310
17-02-21,96.2,99.6,99.6,96.2,1360
18-02-21,99.5,100.9,101.0,99.5,4035
19-02-21,101.9,104.0,104.0,101.9,1510
22-02-21,105.0,105.0,108.0,105.0,1240
23-02-21,106.0,109.7,109.7,106.0,2700
24-02-21,108.0,108.5,108.5,108.0,1659
25-02-21,108.4,110.0,110.9,108.4,2631
26-02-21,113.0,112.0,113.0,112.0,1700
01-03-21,112.0,112.2,115.0,112.0,608
02-03-21,112.2,115.0,115.0,112.0,1700
03-03-21,114.0,114.0,114.0,114.0,1015
04-03-21,114.3,115.0,115.0,114.2,1200
05-03-21,114.0,114.2,114.2,114.0,420
08-03-21,116.9,120.0,123.5,116.9,1050
09-03-21,123.8,132.0,132.0,123.8,28078
10-03-21,138.0,145.2,145.2,138.0,35395
11-03-21,148.0,148.0,159.7,148.0,24949
12-03-21,148.0,139.9,148.0,137.0,17500
15-03-21,142.0,139.9,143.9,137.5,15585
16-03-21,140.0,140.0,141.0,138.0,6801
17-03-21,141.0,140.5,141.0,139.8,8530
18-03-21,138.6,139.4,140.0,138.3,10600
19-03-21,140.0,138.2,140.0,138.2,6010
22-03-21,138.3,142.6,144.0,138.3,10131
23-03-21,142.6,143.0,143.6,142.0,12200
24-03-21,144.4,143.0,144.4,142.2,18942
25-03-21,143.0,143.5,143.5,142.0,14910
26-03-21,142.0,137.4,142.0,134.9,6950
29-03-21,134.1,134.0,135.5,133.1,6300
30-03-21,130.4,129.1,132.3,129.0,8605
31-03-21,129.1,129.0,129.1,119.0,7200
01-04-21,122.0,127.5,128.0,122.0,3631
02-04-21,126.5,127.6,130.0,124.0,3500
05-04-21,126.0,126.0,127.5,125.5,3508
06-04-21,126.0,125.4,126.0,125.4,1900
07-04-21,125.4,124.4,126.0,123.0,1681
08-04-21,124.5,124.5,124.5,124.5,1710
09-04-21,124.6,124.5,128.0,124.5,12711
12-04-21,124.5,124.4,125.0,124.3,6441
13-04-21,124.4,121.0,124.4,121.0,2000
14-04-21,121.0,119.9,125.0,119.8,5065
15-04-21,120.0,120.2,120.2,120.0,1112
16-04-21,120.0,120.0,120.0,118.1,1900
19-04-21,120.0,118.0,120.0,117.0,4907
20-04-21,120.0,118.2,120.0,118.2,1600
22-04-21,118.2,117.0,118.2,117.0,4410
23-04-21,117.5,113.0,117.5,112.5,2001
26-04-21,113.0,114.0,116.9,113.0,3200
27-04-21,114.0,114.0,114.0,113.0,2300
28-04-21,114.0,117.0,117.0,113.0,1320
29-04-21,115.0,115.0,115.0,115.0,1000
04-05-21,115.1,114.0,115.1,114.0,3800
05-05-21,102.6,116.9,117.0,102.6,2747
06-05-21,115.0,116.0,116.0,115.0,3108
07-05-21,115.0,115.0,115.5,115.0,2200
10-05-21,103.5,110.5,118.0,103.5,5600
11-05-21,111.0,111.0,111.0,111.0,265
12-05-21,112.0,112.4,112.4,112.0,500
13-05-21,113.0,115.0,115.0,113.0,1133
14-05-21,115.0,115.0,115.0,113.1,6400
17-05-21,115.0,115.0,115.0,114.1,4223
18-05-21,115.0,115.0,115.0,115.0,2100
19-05-21,104.1,115.0,115.0,104.1,2303
20-05-21,115.0,115.0,115.0,114.0,10300
21-05-21,115.0,116.0,116.0,115.0,18510
24-05-21,115.0,119.9,120.0,115.0,413
25-05-21,119.0,119.0,120.0,119.0,700
26-05-21,119.0,118.0,119.0,117.5,1310
27-05-21,106.2,115.0,115.0,106.2,2400
28-05-21,115.0,114.5,115.0,114.5,2032
31-05-21,114.5,113.5,114.6,113.5,4300
01-06-21,114.0,113.6,114.0,113.2,3700
02-06-21,113.6,113.6,113.6,113.6,100
03-06-21,113.6,113.1,113.6,113.0,1010
04-06-21,113.1,120.0,120.0,113.1,9080
07-06-21,121.0,120.5,123.0,120.4,4154
08-06-21,120.0,119.0,120.0,119.0,4300
09-06-21,115.0,120.0,120.0,115.0,700
10-06-21,117.0,117.0,117.1,117.0,1302
11-06-21,117.5,117.0,117.5,116.0,500
14-06-21,115.2,115.2,115.2,115.2,100
15-06-21,115.3,114.5,115.6,114.5,4400
16-06-21,116.7,113.1,116.7,110.6,900
17-06-21,114.0,117.7,117.7,114.0,337
18-06-21,117.8,117.8,117.8,117.8,100
21-06-21,116.0,116.0,116.0,116.0,443
22-06-21,115.0,116.0,116.0,115.0,800
23-06-21,116.0,116.0,116.0,116.0,1601
24-06-21,115.0,115.0,115.1,115.0,1213
25-06-21,115.0,115.5,115.5,114.5,1402
28-06-21,115.5,116.5,116.5,115.5,300
29-06-21,115.0,116.3,116.3,115.0,1930
30-06-21,116.5,118.0,118.0,116.3,1600
01-07-21,117.5,120.0,120.0,117.5,1131
02-07-21,120.0,123.0,123.0,119.5,10200
05-07-21,120.7,120.5,120.7,120.0,800
06-07-21,120.0,119.1,120.0,119.1,710
07-07-21,116.0,123.0,123.0,116.0,6510
08-07-21,123.1,123.5,123.5,110.7,2740
09-07-21,123.5,123.5,123.5,123.5,57
12-07-21,120.0,120.0,120.0,119.0,8300
13-07-21,123.0,122.5,123.0,120.0,400
14-07-21,121.0,120.0,121.0,120.0,1600
15-07-21,115.7,115.6,115.7,115.6,2000
16-07-21,120.0,118.0,120.0,118.0,400
