Date,Open,Close,High,Low,Volume
16-11-20,4.0,4.0,4.0,4.0,48600
17-11-20,4.0,4.0,4.0,4.0,23200
18-11-20,4.0,4.0,4.0,4.0,16700
19-11-20,4.0,3.9,4.1,3.9,86620
20-11-20,4.0,4.0,4.0,3.9,17200
23-11-20,4.0,4.0,4.1,3.9,45610
24-11-20,4.1,4.0,4.1,3.9,25020
25-11-20,4.0,4.0,4.1,4.0,45000
26-11-20,4.0,4.1,4.1,3.9,19100
27-11-20,4.0,4.0,4.0,4.0,27500
30-11-20,4.0,3.9,4.0,3.9,20800
01-12-20,4.0,4.1,4.1,4.0,78200
02-12-20,4.1,4.1,4.1,4.1,2000
03-12-20,4.0,4.0,4.0,3.9,22200
04-12-20,3.9,4.0,4.0,3.9,9200
07-12-20,4.0,4.1,4.1,4.0,6430
08-12-20,4.1,4.0,4.1,3.9,19800
09-12-20,4.0,4.1,4.1,4.0,20500
10-12-20,4.1,4.0,4.1,4.0,55200
11-12-20,4.0,4.0,4.0,3.9,11800
14-12-20,4.1,4.0,4.1,3.9,104000
15-12-20,4.0,3.9,4.1,3.9,79100
16-12-20,3.9,4.0,4.1,3.9,23800
17-12-20,4.0,4.0,4.1,4.0,48200
18-12-20,4.0,4.1,4.1,4.0,45100
21-12-20,4.1,4.5,4.5,4.1,490110
22-12-20,4.5,4.9,4.9,4.5,506400
23-12-20,5.0,4.7,5.0,4.6,277730
24-12-20,4.7,4.3,4.7,4.3,182200
25-12-20,4.3,4.4,4.6,4.3,106700
28-12-20,4.4,4.7,4.7,4.4,119104
29-12-20,4.6,4.6,4.7,4.6,94500
30-12-20,4.6,4.6,4.7,4.5,78900
31-12-20,4.6,4.8,4.8,4.5,126970
04-01-21,4.8,4.9,4.9,4.8,119500
05-01-21,5.0,4.9,5.0,4.8,113000
06-01-21,4.9,4.8,4.9,4.8,84900
07-01-21,4.8,4.7,4.9,4.7,66700
08-01-21,4.7,5.1,5.1,4.7,669500
11-01-21,5.4,5.6,5.6,5.4,477554
12-01-21,5.6,5.2,5.7,5.2,119900
13-01-21,5.2,5.1,5.2,5.0,215800
14-01-21,5.1,5.3,5.6,5.1,194814
15-01-21,5.4,5.5,5.6,5.3,126025
18-01-21,5.5,5.4,5.6,5.4,137300
19-01-21,5.4,5.0,5.5,5.0,319100
20-01-21,5.0,5.3,5.3,5.0,290300
21-01-21,5.3,5.4,5.5,5.3,236300
22-01-21,5.4,5.3,5.4,5.2,125900
25-01-21,5.3,5.4,5.5,5.3,121500
26-01-21,5.3,5.2,5.5,4.9,305265
27-01-21,5.4,5.0,5.4,5.0,61100
28-01-21,4.9,4.5,5.1,4.5,246131
29-01-21,4.3,4.8,4.9,4.1,91100
01-02-21,4.8,4.7,4.8,4.5,55000
02-02-21,4.6,4.8,4.8,4.5,31000
03-02-21,4.9,4.9,5.0,4.8,47800
04-02-21,4.9,4.9,5.0,4.8,17600
05-02-21,4.8,5.0,5.0,4.6,53600
08-02-21,5.0,4.9,5.2,4.6,151400
09-02-21,4.8,4.9,4.9,4.8,26800
17-02-21,5.0,4.9,5.0,4.9,12930
18-02-21,4.9,5.1,5.1,4.9,105600
19-02-21,5.0,5.0,5.1,5.0,54300
22-02-21,5.0,4.9,5.1,4.9,62700
23-02-21,4.9,5.0,5.1,4.9,97300
24-02-21,5.1,5.1,5.1,4.9,121200
25-02-21,5.1,5.6,5.6,5.0,792509
26-02-21,5.8,6.0,6.1,5.7,357820
01-03-21,6.0,6.0,6.4,6.0,420800
02-03-21,6.0,6.0,6.1,5.8,268900
03-03-21,6.4,6.4,6.4,5.8,488500
04-03-21,6.4,6.4,6.5,5.8,234500
05-03-21,6.2,6.4,6.4,6.1,170729
08-03-21,6.4,6.3,6.6,6.3,258000
09-03-21,6.3,6.8,6.8,6.2,273000
10-03-21,6.8,7.3,7.3,6.8,328700
11-03-21,7.5,7.3,7.7,7.0,210200
12-03-21,7.2,7.3,7.4,7.0,205400
15-03-21,7.3,7.1,7.3,7.0,131300
16-03-21,7.0,6.7,7.3,6.4,310900
17-03-21,6.7,6.7,6.8,6.6,61000
18-03-21,6.6,6.7,7.1,6.6,236500
19-03-21,6.7,6.7,6.7,6.4,141900
22-03-21,6.6,6.6,6.7,6.4,103100
23-03-21,6.6,6.6,6.6,6.5,98100
24-03-21,6.5,6.4,6.5,6.2,57300
25-03-21,6.5,6.9,7.0,6.3,106500
26-03-21,6.9,6.5,6.9,6.4,135200
29-03-21,6.4,6.6,6.7,6.3,50928
30-03-21,6.6,6.7,6.9,6.5,59250
