Date,Open,Close,High,Low,Volume
16-11-20,3.1,3.4,3.4,3.1,2757120
17-11-20,3.5,3.7,3.7,3.3,1907845
18-11-20,3.9,3.7,4.0,3.6,742810
19-11-20,3.7,3.4,3.7,3.4,649000
20-11-20,3.2,3.3,3.4,3.1,3539120
23-11-20,3.3,3.0,3.3,3.0,2444100
24-11-20,2.9,3.0,3.2,2.7,572662
25-11-20,3.1,2.7,3.1,2.7,9113258
26-11-20,2.7,2.8,2.9,2.7,563000
27-11-20,2.8,2.8,2.9,2.7,472373
30-11-20,2.8,2.6,2.8,2.6,885610
01-12-20,2.6,2.7,2.7,2.5,922637
02-12-20,2.7,2.7,2.7,2.6,593366
03-12-20,2.7,2.6,2.7,2.6,373652
04-12-20,2.7,2.6,2.7,2.6,461590
07-12-20,2.6,2.6,2.7,2.6,561450
08-12-20,2.7,2.7,2.7,2.6,516100
09-12-20,2.7,2.6,2.7,2.5,655924
10-12-20,2.6,2.6,2.7,2.5,474410
11-12-20,2.5,2.5,2.7,2.5,499400
14-12-20,2.6,2.6,2.7,2.5,518500
15-12-20,2.6,2.6,2.7,2.5,631610
16-12-20,2.6,2.6,2.7,2.5,526501
17-12-20,2.6,2.6,2.6,2.5,568230
18-12-20,2.6,2.5,2.6,2.5,488850
21-12-20,2.6,2.6,2.6,2.5,785510
22-12-20,2.6,2.7,2.7,2.5,1579290
23-12-20,2.7,2.9,2.9,2.7,2786490
24-12-20,2.9,2.7,3.1,2.7,1455297
25-12-20,2.7,2.8,2.9,2.7,743260
28-12-20,2.8,2.8,2.9,2.7,1222710
29-12-20,2.8,2.7,2.8,2.7,1219440
30-12-20,2.8,2.8,2.8,2.7,1328750
31-12-20,2.8,2.8,2.9,2.7,766454
04-01-21,2.8,2.9,2.9,2.8,746060
05-01-21,2.9,2.8,2.9,2.8,1422570
06-01-21,2.8,2.8,2.9,2.7,843000
07-01-21,2.7,2.8,2.9,2.7,830144
08-01-21,2.8,2.9,3.0,2.8,4113990
11-01-21,3.0,3.1,3.1,2.9,1229461
12-01-21,3.3,3.4,3.4,3.2,3007650
13-01-21,3.6,3.4,3.6,3.2,2666871
14-01-21,3.4,3.5,3.5,3.3,803823
15-01-21,3.5,3.3,3.6,3.3,2243970
18-01-21,3.4,3.5,3.6,3.3,2546030
19-01-21,3.6,3.5,3.8,3.2,4256350
20-01-21,3.5,3.6,3.6,3.3,1683803
21-01-21,3.5,3.9,3.9,3.5,3833208
22-01-21,3.7,4.0,4.2,3.7,2096206
25-01-21,4.1,3.9,4.1,3.8,1822935
26-01-21,3.8,3.6,3.9,3.6,2455643
27-01-21,3.4,3.3,3.5,3.3,2066111
28-01-21,3.0,3.0,3.1,3.0,290695
29-01-21,2.7,2.8,2.9,2.7,3586212
01-02-21,2.8,2.8,3.0,2.6,1360400
02-02-21,2.8,2.7,2.8,2.6,672800
03-02-21,2.8,2.9,2.9,2.7,1228304
04-02-21,3.0,2.9,3.0,2.8,761400
05-02-21,2.9,3.0,3.0,2.9,592512
08-02-21,3.0,2.8,3.0,2.7,1164413
09-02-21,2.8,2.9,2.9,2.7,999025
17-02-21,2.9,3.0,3.0,2.8,748900
18-02-21,3.0,3.0,3.1,2.9,666980
19-02-21,3.0,3.0,3.1,2.9,418300
22-02-21,2.9,3.0,3.0,2.9,1093603
23-02-21,3.0,3.3,3.3,2.9,2128669
24-02-21,3.4,3.4,3.6,3.3,2946200
25-02-21,3.4,3.4,3.5,3.2,1129803
26-02-21,3.3,3.2,3.3,3.1,1362800
01-03-21,3.2,3.3,3.4,3.1,1157017
02-03-21,3.4,3.3,3.4,3.2,792300
03-03-21,3.3,3.6,3.6,3.3,2447700
04-03-21,3.6,3.4,3.7,3.3,2463275
05-03-21,3.5,3.6,3.6,3.4,1120900
08-03-21,3.6,3.7,3.7,3.6,1797313
09-03-21,3.7,3.6,3.7,3.5,1767052
10-03-21,3.6,3.6,3.6,3.5,961165
11-03-21,3.6,3.6,3.7,3.6,1712310
12-03-21,3.7,3.8,3.8,3.7,2307227
15-03-21,3.8,3.9,3.9,3.7,2220215
16-03-21,3.8,3.8,3.9,3.7,1182204
17-03-21,3.8,3.6,3.8,3.6,1060901
18-03-21,3.6,3.7,3.8,3.6,1315040
19-03-21,3.7,3.7,3.7,3.5,1336200
22-03-21,3.7,3.7,3.7,3.6,878379
