Date,Open,Close,High,Low,Volume
16-11-20,22.8,22.5,22.9,22.3,148661
17-11-20,22.5,22.8,23.0,22.2,204110
18-11-20,22.9,23.5,23.8,22.5,276242
19-11-20,23.5,23.4,23.9,23.0,155020
20-11-20,23.4,23.4,23.5,23.0,125871
23-11-20,23.4,23.6,23.8,23.2,151004
24-11-20,23.6,23.6,23.7,23.2,209414
25-11-20,23.6,25.9,25.9,23.6,406713
26-11-20,25.9,26.9,27.5,25.9,274098
27-11-20,26.3,27.0,27.0,25.8,125990
30-11-20,26.5,26.0,26.8,25.8,153532
01-12-20,25.5,26.0,27.0,25.2,169306
02-12-20,26.0,26.5,26.5,25.6,164980
03-12-20,27.0,26.5,27.3,26.5,117664
04-12-20,26.9,26.5,26.9,26.3,103440
07-12-20,26.5,26.5,26.9,26.4,109830
08-12-20,26.5,27.1,27.1,26.5,220762
09-12-20,27.1,27.4,28.0,27.1,95517
10-12-20,27.4,26.6,27.4,26.3,157921
11-12-20,26.5,26.8,26.8,26.2,107772
14-12-20,26.8,27.8,27.8,26.5,304100
15-12-20,27.7,28.5,28.9,27.7,236315
16-12-20,28.9,28.2,28.9,27.7,158270
17-12-20,28.1,27.8,28.1,26.8,300030
18-12-20,27.8,28.0,28.0,27.5,126211
21-12-20,28.0,27.9,28.3,27.8,151640
22-12-20,27.8,29.2,29.2,27.8,293031
23-12-20,29.1,28.9,29.5,28.1,141371
24-12-20,28.9,28.7,29.0,27.0,228172
25-12-20,28.4,28.8,28.9,27.6,133975
28-12-20,28.0,27.8,29.0,27.0,108740
29-12-20,27.8,28.3,28.3,27.5,124425
30-12-20,28.3,28.3,28.3,27.8,73741
31-12-20,28.3,27.9,28.4,27.9,100618
04-01-21,28.0,28.8,29.2,28.0,194880
05-01-21,29.0,29.4,29.8,29.0,298831
06-01-21,29.5,29.0,29.5,28.9,139699
07-01-21,28.8,29.7,30.0,28.7,176954
08-01-21,29.7,29.1,29.8,29.1,164432
11-01-21,29.1,29.6,29.8,28.9,177000
12-01-21,29.6,30.2,30.8,29.1,172728
13-01-21,30.2,30.7,31.0,29.8,178600
14-01-21,30.7,30.7,30.9,30.0,83930
15-01-21,30.7,31.0,31.6,30.3,161729
18-01-21,30.8,30.3,31.5,29.7,203390
19-01-21,30.3,29.7,30.4,27.4,276530
20-01-21,29.4,29.0,29.6,27.9,176980
21-01-21,29.0,29.4,29.4,28.6,163700
22-01-21,29.3,28.9,29.4,28.7,82259
25-01-21,28.6,28.4,28.9,28.4,54249
26-01-21,28.0,28.8,28.8,27.4,214088
27-01-21,28.8,27.8,28.8,27.5,175511
28-01-21,27.2,25.1,27.3,25.1,167300
29-01-21,22.7,27.0,27.6,22.6,228610
01-02-21,27.0,24.3,27.0,24.3,105850
02-02-21,24.3,24.9,24.9,22.6,54156
03-02-21,25.1,25.1,25.7,24.6,136300
04-02-21,25.1,25.3,26.0,25.1,74100
05-02-21,25.4,25.5,25.6,25.2,69001
08-02-21,26.0,26.5,26.8,25.5,113350
09-02-21,26.4,26.8,26.8,26.0,76641
17-02-21,26.1,27.3,27.4,26.1,91360
18-02-21,27.3,28.5,28.5,26.8,172839
19-02-21,28.5,29.5,29.7,28.2,168204
22-02-21,29.5,28.4,29.9,28.4,129803
23-02-21,28.5,28.4,28.6,27.6,113502
24-02-21,28.4,28.0,28.5,27.7,111663
25-02-21,28.1,28.3,28.5,28.0,63100
26-02-21,27.3,27.9,27.9,27.3,125500
01-03-21,27.8,28.0,28.0,27.6,110500
02-03-21,28.2,28.8,28.8,28.0,154400
03-03-21,28.8,29.2,29.5,28.4,169344
04-03-21,32.0,28.9,32.0,28.1,107533
05-03-21,28.8,29.0,29.0,28.3,74000
08-03-21,29.0,30.2,30.4,28.8,349581
09-03-21,30.4,31.0,31.2,29.6,315793
10-03-21,31.1,34.1,34.1,31.1,522238
11-03-21,34.1,35.5,36.9,34.1,436739
12-03-21,35.5,35.2,36.9,34.0,220236
15-03-21,35.2,35.0,35.5,34.6,162260
16-03-21,35.0,34.5,35.1,33.7,213935
17-03-21,34.1,37.4,37.9,34.1,391700
18-03-21,37.5,41.1,41.1,37.5,478487
19-03-21,42.0,43.9,45.2,41.5,335956
22-03-21,43.9,41.5,43.9,40.3,219860
23-03-21,41.0,37.5,41.0,37.4,614002
24-03-21,36.5,37.9,38.0,35.0,283420
25-03-21,38.0,39.0,41.5,36.6,306460
26-03-21,39.0,38.7,39.0,36.3,147696
29-03-21,38.3,37.9,38.7,37.0,134102
30-03-21,37.6,37.5,37.9,37.0,120910
31-03-21,37.5,36.7,37.5,36.3,174503
01-04-21,36.5,38.1,38.2,36.5,154020
02-04-21,38.8,37.9,39.2,36.5,148344
05-04-21,37.9,37.5,38.0,37.3,92712
06-04-21,37.5,37.3,37.5,36.8,107300
07-04-21,36.9,38.2,39.1,36.1,116251
08-04-21,38.5,37.6,38.5,37.6,62600
09-04-21,37.6,38.0,38.5,37.2,115735
12-04-21,38.0,38.3,38.5,37.5,113250
13-04-21,38.4,37.7,39.4,37.7,179800
14-04-21,37.5,37.6,37.8,37.3,81300
15-04-21,37.6,37.5,37.8,37.1,101200
16-04-21,37.7,36.5,38.0,34.3,183500
19-04-21,36.5,36.1,37.0,36.0,84800
20-04-21,36.1,35.9,36.3,35.0,101050
22-04-21,35.9,33.1,36.0,33.1,147521
23-04-21,32.6,33.5,33.8,32.1,99300
26-04-21,33.5,32.7,34.4,31.8,99600
27-04-21,33.5,31.0,33.5,31.0,93213
28-04-21,31.0,31.2,31.3,30.5,155410
29-04-21,31.4,32.1,32.9,31.4,67100
04-05-21,31.0,31.5,31.7,30.3,49300
05-05-21,31.5,31.8,32.3,31.0,65320
06-05-21,31.8,32.4,33.0,31.8,102424
07-05-21,32.9,32.4,33.2,32.0,140900
10-05-21,32.5,32.0,32.5,31.5,93703
11-05-21,32.0,31.7,32.0,31.4,76800
12-05-21,31.5,33.4,34.0,30.9,180600
13-05-21,33.4,32.6,33.4,32.6,122622
14-05-21,32.7,31.7,32.8,31.7,118000
17-05-21,32.0,31.0,32.0,30.9,94830
18-05-21,30.8,29.4,30.9,29.4,178957
19-05-21,29.4,29.9,30.8,29.4,104470
20-05-21,30.0,30.4,30.6,29.9,104500
21-05-21,30.4,31.2,31.4,30.0,106659
24-05-21,31.0,31.5,31.5,30.7,99866
25-05-21,31.5,31.9,32.2,31.5,80503
26-05-21,31.9,31.3,32.0,31.3,75651
27-05-21,31.3,30.8,31.3,30.4,75068
28-05-21,30.8,30.8,31.3,30.5,66635
31-05-21,31.0,30.3,31.0,29.9,131600
01-06-21,30.0,31.9,32.0,29.8,193700
02-06-21,31.9,34.2,34.4,31.9,297334
03-06-21,34.1,34.0,34.8,33.2,154600
04-06-21,34.2,33.3,34.4,33.0,127000
07-06-21,33.3,32.9,33.3,32.0,159870
08-06-21,32.9,34.0,35.5,32.6,318600
09-06-21,34.0,34.3,34.9,33.5,116700
10-06-21,34.3,33.5,34.3,33.5,67761
11-06-21,33.5,33.8,33.9,33.2,96939
14-06-21,34.0,35.5,36.5,33.8,432218
15-06-21,35.6,36.8,37.5,35.1,236651
16-06-21,37.0,36.4,37.0,36.0,92015
17-06-21,36.3,36.3,36.3,35.4,185000
18-06-21,36.3,36.6,37.3,36.0,221000
21-06-21,36.0,36.1,36.5,35.5,161420
22-06-21,36.0,36.0,37.5,36.0,180964
23-06-21,36.0,33.9,36.3,33.7,283414
24-06-21,33.9,33.4,34.0,32.8,197400
25-06-21,33.4,33.3,33.5,32.6,168268
28-06-21,33.3,33.0,33.4,32.3,150864
29-06-21,33.2,32.9,33.2,32.8,136900
30-06-21,33.1,32.5,33.1,32.0,83200
01-07-21,32.6,32.5,32.6,32.2,138626
02-07-21,32.5,32.4,32.9,32.4,119530
05-07-21,32.4,31.6,32.4,30.8,208549
06-07-21,31.3,30.9,31.5,30.9,114400
07-07-21,30.5,31.0,31.0,29.0,134053
08-07-21,31.1,31.2,31.5,30.2,116371
09-07-21,30.8,31.0,31.2,30.5,61400
12-07-21,30.6,31.0,31.0,28.5,146229
13-07-21,28.9,29.0,29.2,27.9,41230
14-07-21,29.1,29.1,30.5,28.5,70533
15-07-21,29.2,29.0,29.2,28.6,34487
16-07-21,29.0,29.0,29.1,28.6,33650
19-07-21,28.7,28.2,28.8,27.6,79920
20-07-21,28.0,28.5,28.5,27.5,52795
21-07-21,28.5,28.5,29.0,28.4,41100
22-07-21,28.5,29.0,29.2,28.5,92310
23-07-21,29.1,30.8,30.8,28.9,192452
26-07-21,30.8,31.5,31.5,29.6,191190
27-07-21,31.6,31.6,32.4,31.2,147988
28-07-21,31.5,30.9,31.7,30.3,119042
29-07-21,31.0,30.9,31.0,29.7,131138
30-07-21,30.8,30.8,30.9,29.8,124130
02-08-21,30.8,30.9,31.1,30.4,188071
03-08-21,30.9,33.0,33.0,30.7,581126
04-08-21,33.1,33.6,34.5,33.0,271450
05-08-21,33.5,33.2,33.5,32.8,149370
06-08-21,33.0,33.2,34.5,32.5,401870
09-08-21,33.0,33.9,34.4,33.0,432900
10-08-21,33.9,35.4,35.4,33.9,571782
11-08-21,35.4,33.0,35.5,33.0,553577
12-08-21,33.0,33.9,34.5,32.0,467164
13-08-21,33.9,34.0,34.0,32.3,332247
16-08-21,34.1,36.7,36.9,34.0,826039
17-08-21,36.7,35.6,36.8,35.5,298618
18-08-21,35.7,35.7,35.7,34.6,244756
19-08-21,35.7,35.7,35.7,35.0,161688
20-08-21,35.8,35.1,37.0,33.0,595150
23-08-21,35.0,32.5,35.1,32.5,305010
24-08-21,32.2,31.2,32.5,30.6,330790
25-08-21,31.2,32.2,32.2,30.5,166664
26-08-21,32.3,32.1,32.5,31.0,202220
27-08-21,31.9,32.5,32.5,31.4,140647
30-08-21,32.5,33.7,33.8,32.5,269110
31-08-21,33.8,33.8,34.9,33.0,395575
01-09-21,34.0,35.5,35.5,33.8,487944
