Date,Open,Close,High,Low,Volume
16-11-20,8.0,8.0,8.0,8.0,0
17-11-20,9.2,9.2,9.2,9.2,1400
18-11-20,10.5,10.5,10.5,10.5,2000
19-11-20,12.0,12.0,12.0,12.0,13400
20-11-20,13.8,13.2,13.8,13.0,3800
23-11-20,13.3,13.3,13.3,13.3,0
24-11-20,11.4,11.4,12.9,11.4,3800
25-11-20,12.9,12.9,12.9,12.9,100
26-11-20,12.9,12.9,12.9,12.9,0
27-11-20,12.8,11.0,12.8,11.0,900
30-11-20,11.8,11.8,11.8,11.8,0
01-12-20,11.8,11.8,11.8,11.8,0
02-12-20,11.8,11.8,11.8,11.8,100
03-12-20,10.1,11.8,11.8,10.1,200
04-12-20,11.0,11.8,12.6,11.0,4500
07-12-20,12.1,12.1,12.1,12.1,100
08-12-20,12.6,12.5,13.0,12.5,500
09-12-20,13.8,12.7,13.8,12.7,2800
10-12-20,13.9,13.9,13.9,13.9,100
11-12-20,13.9,13.9,13.9,13.9,0
14-12-20,13.0,14.0,14.0,13.0,5100
15-12-20,13.5,13.0,13.5,11.5,500
16-12-20,12.9,14.0,14.0,12.9,8501
25-12-20,14.0,14.0,14.0,13.8,67500
28-12-20,15.4,15.4,15.4,15.4,23300
29-12-20,16.9,16.5,16.9,16.3,57700
30-12-20,16.5,14.9,16.5,14.9,26600
31-12-20,15.0,14.1,15.0,14.0,9600
04-01-21,14.2,13.8,14.2,13.5,22100
05-01-21,13.6,13.2,13.6,13.0,2900
06-01-21,11.9,12.3,13.0,11.9,10300
07-01-21,12.0,12.0,12.3,11.8,6000
08-01-21,12.0,13.2,13.2,12.0,3200
11-01-21,14.0,13.6,14.4,13.5,10800
12-01-21,13.6,13.6,13.6,13.6,1500
13-01-21,13.6,13.0,13.6,12.9,1000
14-01-21,12.8,12.8,12.8,12.0,1800
15-01-21,12.4,13.0,13.0,12.2,8700
18-01-21,12.5,12.4,12.8,12.4,8600
19-01-21,12.2,12.2,12.3,12.1,5100
20-01-21,12.2,12.6,12.6,12.2,13800
21-01-21,12.6,12.9,13.0,12.6,4700
22-01-21,12.9,12.8,12.9,12.5,1200
25-01-21,12.5,12.3,12.5,12.3,1700
26-01-21,12.3,12.6,12.7,12.2,4200
27-01-21,12.3,12.3,12.3,12.3,100
28-01-21,11.1,11.1,11.2,11.1,3100
29-01-21,11.2,12.2,12.2,11.2,4000
01-02-21,12.2,12.2,12.2,12.2,8200
02-02-21,11.4,12.2,12.2,11.4,3000
03-02-21,12.2,12.2,12.2,12.2,0
04-02-21,12.2,12.2,12.2,12.2,0
05-02-21,12.2,12.3,12.3,12.2,2700
08-02-21,11.9,11.8,11.9,11.3,6000
09-02-21,12.2,12.2,12.7,12.2,3400
17-02-21,12.2,12.2,12.2,12.2,1000
18-02-21,12.5,12.5,12.5,12.5,100
19-02-21,12.0,11.6,12.0,11.5,4600
22-02-21,11.6,11.6,11.6,11.6,1300
23-02-21,11.6,11.9,11.9,11.6,8400
24-02-21,11.8,11.6,11.9,11.6,4600
25-02-21,11.8,11.8,11.8,11.8,100
26-02-21,11.8,11.8,11.8,11.8,4700
01-03-21,11.8,11.9,11.9,11.8,2500
02-03-21,11.9,11.9,11.9,11.9,1400
03-03-21,12.0,12.4,12.4,12.0,1900
04-03-21,12.4,12.4,12.4,12.4,1100
05-03-21,12.4,12.0,12.4,12.0,2800
08-03-21,12.5,12.5,12.5,12.5,100
09-03-21,12.5,12.4,12.5,12.4,2400
10-03-21,12.4,12.4,12.4,12.4,3700
11-03-21,12.1,12.3,12.3,12.1,600
12-03-21,12.3,12.3,12.3,12.3,0
15-03-21,12.3,12.3,12.3,12.1,3600
16-03-21,12.3,12.3,12.3,12.2,900
17-03-21,12.0,12.7,12.7,12.0,300
18-03-21,12.7,12.7,12.7,12.7,0
19-03-21,12.6,12.4,12.6,12.4,400
22-03-21,12.4,12.3,12.4,12.3,1400
23-03-21,12.3,12.3,12.3,12.3,300
24-03-21,12.2,12.2,12.2,12.1,1400
25-03-21,12.1,12.1,12.1,12.1,3100
26-03-21,12.3,12.0,12.3,11.9,800
29-03-21,12.0,12.1,12.4,12.0,1300
30-03-21,12.1,12.1,12.1,12.1,0
31-03-21,12.0,11.8,12.0,11.8,2400
01-04-21,12.0,12.4,12.4,12.0,200
02-04-21,12.5,12.5,12.5,12.5,3500
05-04-21,12.0,12.5,12.5,12.0,3800
06-04-21,12.5,12.5,12.5,12.4,1500
07-04-21,12.4,12.0,12.4,12.0,1800
08-04-21,12.5,12.5,12.5,12.5,800
09-04-21,12.0,12.5,12.5,12.0,400
12-04-21,12.0,12.4,12.4,12.0,300
13-04-21,12.5,12.5,12.5,12.5,500
14-04-21,12.5,12.5,12.5,12.5,5700
15-04-21,12.5,12.5,12.5,12.5,1000
16-04-21,12.1,12.4,12.4,12.1,2900
19-04-21,12.4,12.4,12.4,12.4,0
20-04-21,13.0,13.0,13.0,13.0,100
22-04-21,12.0,12.0,12.0,12.0,1000
23-04-21,12.0,12.0,12.0,12.0,8500
26-04-21,12.0,12.0,12.0,12.0,0
27-04-21,12.1,12.1,12.1,12.1,400
28-04-21,13.2,13.2,13.2,13.2,100
29-04-21,12.2,12.2,12.2,12.2,400
04-05-21,12.3,12.3,12.3,12.3,100
05-05-21,11.4,11.4,11.4,11.4,1300
06-05-21,12.5,12.0,12.5,12.0,300
07-05-21,12.0,12.0,12.0,12.0,100
10-05-21,11.5,11.5,12.2,11.5,800
11-05-21,11.5,11.5,11.5,11.5,0
12-05-21,11.5,11.5,11.5,11.5,2000
13-05-21,11.6,11.8,11.8,11.6,400
14-05-21,11.8,11.8,11.8,11.8,0
17-05-21,11.8,11.8,11.8,11.8,0
18-05-21,11.8,11.8,11.8,11.8,0
19-05-21,11.8,11.8,11.8,11.8,500
20-05-21,11.8,12.0,12.0,11.8,600
21-05-21,12.0,12.0,12.0,12.0,0
24-05-21,11.8,11.7,11.8,11.7,700
