Date,Open,Close,High,Low,Volume
16-11-20,13.5,13.1,13.6,13.1,89775
17-11-20,13.1,13.7,14.0,13.0,607800
18-11-20,13.5,13.8,14.2,13.5,400732
19-11-20,13.8,13.5,13.8,13.4,154009
20-11-20,13.5,13.4,13.5,13.1,267260
23-11-20,13.5,13.4,13.7,13.0,360967
24-11-20,13.6,14.3,14.4,13.5,929807
25-11-20,14.5,15.7,15.7,14.3,769220
26-11-20,15.7,16.0,16.5,15.0,534430
27-11-20,15.9,16.1,16.1,15.3,522025
30-11-20,16.1,15.7,16.5,15.5,481355
01-12-20,15.5,16.2,16.4,15.2,365860
02-12-20,16.2,17.1,17.7,16.0,1133447
03-12-20,17.0,16.7,17.7,16.7,451627
04-12-20,16.7,16.8,17.4,16.4,683267
07-12-20,16.7,16.7,17.1,16.6,287592
08-12-20,16.7,17.0,17.1,16.4,479245
09-12-20,17.0,16.9,17.3,16.7,328254
10-12-20,16.7,16.1,16.8,16.1,637150
11-12-20,15.9,16.0,16.3,15.7,351228
14-12-20,16.2,16.0,16.4,15.9,308620
15-12-20,16.0,16.4,16.8,15.7,395353
16-12-20,16.5,16.7,16.8,16.3,254365
17-12-20,16.5,16.2,16.6,15.9,388840
18-12-20,16.2,16.0,16.4,16.0,234935
21-12-20,16.0,16.0,16.3,15.9,225430
22-12-20,16.0,16.0,16.2,15.7,331424
23-12-20,16.0,17.1,17.6,16.0,1158469
24-12-20,17.1,16.6,17.4,15.6,376481
25-12-20,16.6,17.5,17.5,16.5,353257
28-12-20,17.5,17.2,18.0,17.2,672282
29-12-20,17.3,17.5,17.9,17.2,325190
30-12-20,17.0,17.2,17.8,17.0,315373
31-12-20,17.5,17.3,17.5,17.1,117121
04-01-21,17.3,17.1,17.4,17.1,241520
05-01-21,17.1,16.6,17.3,16.6,488613
06-01-21,16.7,16.4,16.9,16.3,509500
07-01-21,16.4,17.1,17.3,16.4,361058
08-01-21,17.1,16.8,17.3,16.5,335400
11-01-21,16.8,16.8,16.8,16.6,290540
12-01-21,16.8,18.4,18.4,16.5,1190495
13-01-21,18.5,18.8,19.5,18.4,968385
14-01-21,18.8,18.5,18.9,18.1,236583
15-01-21,18.3,18.3,18.7,18.3,520300
18-01-21,18.3,17.7,18.3,17.4,512980
19-01-21,17.9,16.4,18.0,16.0,545555
20-01-21,16.5,16.4,17.0,15.0,311873
21-01-21,16.6,17.0,17.1,16.4,146600
22-01-21,17.1,16.6,17.1,16.0,195470
25-01-21,16.6,16.6,17.2,16.3,203540
26-01-21,17.0,16.2,17.0,15.5,231010
27-01-21,16.2,15.0,16.2,14.9,254100
28-01-21,14.5,13.5,14.5,13.5,392756
29-01-21,12.3,13.8,14.1,12.2,185850
01-02-21,14.0,13.5,14.0,13.0,102000
02-02-21,13.5,13.6,13.7,12.8,104420
03-02-21,13.6,14.6,14.6,13.5,148824
04-02-21,14.6,15.0,15.2,14.4,113050
05-02-21,14.9,15.3,15.3,14.7,193310
08-02-21,15.3,14.7,15.3,14.5,87734
09-02-21,14.8,14.8,15.0,14.4,109050
17-02-21,15.2,16.1,16.2,15.2,275218
18-02-21,16.1,15.9,16.1,15.6,144710
19-02-21,15.6,15.9,16.1,15.6,88010
22-02-21,15.9,16.4,16.6,15.8,286830
23-02-21,16.4,16.6,16.6,15.9,200400
24-02-21,16.6,16.4,16.7,16.2,243210
25-02-21,16.4,16.5,16.6,16.1,182127
26-02-21,16.4,16.4,16.4,16.1,128500
01-03-21,16.4,16.7,16.8,16.2,302075
02-03-21,16.8,17.5,17.5,16.7,559773
03-03-21,17.5,17.5,17.7,17.2,247500
04-03-21,17.5,17.0,17.5,16.4,296300
05-03-21,16.5,17.0,17.0,16.5,190335
08-03-21,17.1,16.9,17.3,16.7,347655
