Date,Open,Close,High,Low,Volume
16-11-20,16.3,16.4,16.5,16.3,136500
17-11-20,16.4,16.5,16.5,16.4,89410
18-11-20,16.4,16.4,16.4,16.3,114300
19-11-20,16.4,16.4,16.4,16.3,31700
20-11-20,16.4,16.5,16.5,16.4,180300
23-11-20,16.4,16.4,16.6,16.3,123400
24-11-20,16.4,16.5,16.5,16.4,204400
25-11-20,16.4,16.5,16.5,16.4,223100
26-11-20,16.5,16.5,16.5,16.3,252300
27-11-20,16.4,16.3,16.4,16.2,95200
30-11-20,16.0,16.4,16.4,15.9,219415
01-12-20,16.3,16.6,16.6,16.3,203200
02-12-20,16.5,16.5,16.5,16.3,95700
03-12-20,16.4,16.5,16.5,16.4,186400
04-12-20,16.4,16.5,16.5,16.3,81100
07-12-20,16.4,16.5,16.4,16.4,73100
08-12-20,16.5,16.4,16.5,16.4,95600
09-12-20,16.4,16.4,16.4,16.4,171600
10-12-20,16.4,16.4,16.4,16.3,70000
11-12-20,16.4,16.4,16.4,16.4,220300
14-12-20,16.3,16.4,16.5,16.3,167410
15-12-20,16.4,16.4,16.5,16.4,281100
16-12-20,16.4,16.6,16.6,16.0,383700
17-12-20,16.4,16.6,16.6,16.1,120000
18-12-20,16.4,16.5,16.5,16.4,142700
21-12-20,16.4,16.5,16.5,16.1,228300
22-12-20,16.4,16.5,16.5,16.0,102700
23-12-20,16.4,16.4,16.4,16.3,125600
24-12-20,16.4,16.5,16.5,16.4,125800
25-12-20,16.5,16.5,16.5,16.4,73705
28-12-20,16.4,16.4,16.5,16.4,127100
29-12-20,16.4,16.5,16.5,16.4,232912
30-12-20,16.5,16.5,16.5,16.4,46300
31-12-20,16.5,16.5,16.5,16.4,25223
04-01-21,16.3,16.4,16.4,16.3,138125
05-01-21,16.4,16.4,16.5,16.4,79800
06-01-21,16.4,16.4,16.4,16.3,64500
07-01-21,16.3,16.3,16.4,16.2,365110
08-01-21,16.4,17.1,17.1,16.4,397975
11-01-21,17.0,17.0,17.0,16.5,357700
12-01-21,17.0,16.9,17.0,16.3,130600
13-01-21,16.7,16.5,17.0,16.4,150700
14-01-21,16.2,17.2,18.1,14.9,682805
15-01-21,17.1,18.9,18.9,16.0,727500
18-01-21,18.9,19.3,19.8,18.5,567561
19-01-21,19.1,18.2,19.1,17.4,736600
20-01-21,18.2,18.0,18.2,17.3,449500
21-01-21,17.8,18.0,18.5,16.2,367400
22-01-21,18.1,17.2,18.2,17.0,410826
25-01-21,17.1,17.2,17.2,16.4,440192
26-01-21,17.2,17.4,17.5,16.7,542950
27-01-21,17.3,17.9,18.1,17.1,622088
28-01-21,17.9,18.1,18.4,17.6,370129
29-01-21,18.0,18.8,19.0,18.0,626700
01-02-21,19.2,18.9,19.2,18.0,518763
02-02-21,18.8,19.2,19.4,18.7,491800
03-02-21,19.2,19.5,21.1,18.4,591390
04-02-21,19.2,18.6,19.6,18.6,500500
05-02-21,18.5,18.8,19.0,18.5,1260100
08-02-21,18.8,18.9,19.1,18.7,568900
09-02-21,18.9,19.1,19.3,18.9,940492
17-02-21,19.2,19.1,19.3,18.8,436000
18-02-21,19.1,18.4,19.2,18.4,415600
19-02-21,18.4,17.5,18.5,17.0,392302
22-02-21,17.5,16.8,17.5,16.4,416120
23-02-21,16.9,16.9,17.2,16.4,655110
24-02-21,17.0,16.8,17.1,16.5,802564
25-02-21,16.9,16.8,16.9,16.5,546600
26-02-21,16.6,16.3,16.9,16.0,590700
01-03-21,16.2,16.5,16.5,16.2,615374
02-03-21,16.5,16.5,16.8,16.2,790304
03-03-21,16.4,16.2,16.6,16.0,834300
04-03-21,16.3,15.9,16.4,15.8,526800
05-03-21,16.0,16.0,16.0,15.6,466600
08-03-21,16.0,15.8,16.2,15.2,589800
09-03-21,15.7,15.8,15.8,15.5,861300
10-03-21,15.8,16.2,16.2,15.7,506029
11-03-21,16.2,16.2,16.5,15.8,431504
12-03-21,16.2,16.0,16.3,15.6,496200
15-03-21,16.0,15.6,16.1,15.5,461610
16-03-21,15.6,15.6,15.9,15.2,561840
17-03-21,15.7,15.6,15.7,15.5,824000
18-03-21,15.5,15.7,15.8,15.2,354800
19-03-21,15.6,15.5,15.7,15.2,603100
