Date,Open,Close,High,Low,Volume
16-11-20,15.4,15.6,15.6,15.3,12010
17-11-20,15.5,15.6,15.8,15.5,4000
18-11-20,15.6,15.6,15.6,15.5,6650
19-11-20,15.6,15.7,15.7,15.6,15702
20-11-20,15.8,15.8,15.8,15.7,4500
23-11-20,15.8,15.7,15.8,15.6,9700
24-11-20,15.7,16.0,16.0,15.6,13200
25-11-20,16.1,15.8,16.1,15.8,17800
26-11-20,16.2,16.1,16.2,15.8,26200
27-11-20,16.1,16.1,16.2,16.1,3500
30-11-20,16.1,16.6,16.6,16.1,21115
01-12-20,16.6,17.9,18.0,16.6,32210
02-12-20,17.9,18.0,18.0,17.9,20600
03-12-20,18.0,17.8,18.0,17.0,13500
04-12-20,17.8,17.5,17.8,16.4,23929
07-12-20,16.0,17.7,17.7,16.0,8090
08-12-20,17.5,17.7,17.8,17.2,4440
09-12-20,17.7,17.3,17.7,17.3,10730
10-12-20,17.3,17.3,17.3,17.3,1012
11-12-20,16.6,17.4,17.4,16.6,11320
14-12-20,17.5,17.6,17.6,17.5,5215
15-12-20,17.5,17.6,17.7,17.5,10300
16-12-20,17.6,17.8,18.3,17.6,14700
17-12-20,17.8,18.6,18.6,17.8,50848
18-12-20,18.6,19.0,19.0,18.6,49735
21-12-20,19.0,19.0,19.0,18.5,14204
22-12-20,19.1,19.3,19.4,19.0,10840
23-12-20,19.3,20.2,21.0,19.3,28360
24-12-20,19.1,20.0,20.0,18.7,12041
25-12-20,20.0,20.1,20.1,19.9,13196
28-12-20,20.0,20.8,20.9,20.0,15720
29-12-20,20.9,22.0,22.0,20.9,63500
30-12-20,22.6,23.2,23.5,22.3,9913
31-12-20,22.2,22.8,22.9,22.2,3042
04-01-21,22.8,22.8,22.8,21.7,28030
05-01-21,22.9,22.8,22.9,22.0,5050
06-01-21,22.8,22.8,22.9,22.8,27380
07-01-21,22.4,23.0,23.0,22.4,10600
08-01-21,23.2,23.2,23.5,22.9,38863
11-01-21,23.3,22.7,23.3,22.7,15027
12-01-21,23.2,22.7,23.2,22.5,14301
13-01-21,22.7,22.7,22.7,22.5,6300
14-01-21,22.7,22.5,22.7,22.5,12142
15-01-21,22.9,22.8,22.9,22.5,4700
18-01-21,22.6,22.6,22.8,22.5,10410
19-01-21,22.8,21.0,22.8,20.4,70060
20-01-21,20.8,20.8,21.0,20.2,52100
21-01-21,21.0,20.9,21.0,20.8,9410
22-01-21,20.9,20.5,20.9,20.4,26800
25-01-21,20.1,19.6,20.1,19.3,25810
26-01-21,19.6,19.5,19.6,19.5,8435
27-01-21,19.0,19.4,19.4,18.0,12700
28-01-21,17.6,17.6,18.0,17.6,9500
29-01-21,16.0,19.1,19.1,16.0,2800
01-02-21,19.9,19.6,19.9,19.2,400
02-02-21,18.1,19.5,19.5,18.1,6300
03-02-21,19.0,19.8,20.0,18.6,2100
04-02-21,19.8,19.8,19.8,19.8,0
05-02-21,19.2,18.7,19.7,18.7,3800
08-02-21,19.6,19.0,19.6,18.6,17380
09-02-21,18.7,19.4,19.4,18.7,800
17-02-21,19.4,19.5,19.5,19.1,2900
18-02-21,19.2,19.5,19.5,19.0,18300
19-02-21,19.2,19.2,19.2,19.2,1025
22-02-21,19.5,19.5,19.5,19.5,100
23-02-21,19.5,19.5,19.5,19.5,0
24-02-21,19.2,19.2,19.5,19.2,8100
25-02-21,19.2,19.2,19.2,19.2,0
26-02-21,19.2,19.3,19.5,19.2,2800
01-03-21,20.2,20.1,20.2,20.1,2800
02-03-21,20.8,19.5,20.8,19.5,1700
03-03-21,19.7,19.7,19.7,19.2,15200
04-03-21,19.7,19.5,19.7,19.5,14300
05-03-21,19.5,19.5,19.5,19.2,8600
08-03-21,20.0,19.5,20.0,19.5,17800
09-03-21,19.5,19.5,19.5,19.3,13100
10-03-21,19.5,19.5,19.5,19.5,7200
11-03-21,19.5,19.5,19.5,19.5,6920
12-03-21,19.6,19.4,19.6,19.4,6300
15-03-21,19.5,19.4,19.5,19.4,2200
16-03-21,19.2,19.4,19.4,19.1,9030
17-03-21,19.4,19.4,19.4,19.4,11800
18-03-21,19.4,19.3,19.4,19.3,13700
19-03-21,19.5,19.3,19.5,19.3,13305
22-03-21,19.3,19.3,19.4,19.3,2463
23-03-21,19.3,19.1,19.3,19.1,12000
24-03-21,19.0,19.3,19.4,18.2,26800
25-03-21,18.9,19.2,19.2,17.8,35120
26-03-21,18.5,18.5,18.5,18.0,6400
29-03-21,18.6,18.5,18.6,18.5,18500
30-03-21,18.5,18.5,18.5,18.5,11700
31-03-21,18.4,18.6,18.6,18.4,3400
