Date,Open,Close,High,Low,Volume
16-11-20,22.2,22.7,22.7,22.0,600
17-11-20,22.0,22.6,22.6,21.8,8300
18-11-20,22.6,21.9,22.6,21.9,613
19-11-20,22.7,23.0,23.0,22.5,322
20-11-20,22.8,22.8,22.8,21.8,11300
23-11-20,21.9,22.8,22.8,21.8,12600
24-11-20,22.9,22.7,22.9,22.7,3710
25-11-20,22.4,22.7,22.7,22.4,200
26-11-20,22.5,23.0,23.3,22.5,12700
27-11-20,22.9,22.7,22.9,22.7,800
30-11-20,22.3,22.8,22.8,22.0,4300
01-12-20,22.8,22.9,22.9,22.7,4100
02-12-20,22.8,23.4,23.5,22.8,32610
03-12-20,23.4,23.6,23.6,23.4,1470
04-12-20,23.4,23.5,23.8,23.0,3640
07-12-20,23.1,23.8,24.1,23.1,3820
08-12-20,24.0,23.9,24.0,23.1,5710
09-12-20,23.7,23.9,23.9,23.5,6000
10-12-20,23.5,23.4,23.5,23.4,2500
11-12-20,23.5,23.5,23.5,23.2,4500
14-12-20,23.4,24.5,24.5,23.4,4700
15-12-20,24.5,24.4,24.5,23.5,9200
16-12-20,23.5,24.2,24.2,23.4,16100
17-12-20,24.2,24.2,24.2,24.2,6
18-12-20,24.2,24.4,24.4,23.5,4500
21-12-20,24.3,24.4,24.4,23.5,10100
22-12-20,24.1,24.4,24.4,24.0,16506
23-12-20,24.3,25.4,26.8,24.3,13505
24-12-20,24.9,25.4,25.4,24.9,29010
25-12-20,25.0,25.4,25.4,24.9,12000
28-12-20,25.0,25.4,25.4,25.0,10600
29-12-20,25.0,25.5,25.7,25.0,5406
30-12-20,25.5,26.5,26.8,25.5,9410
31-12-20,27.2,26.5,27.2,26.5,210
04-01-21,26.5,26.5,27.0,25.7,5506
05-01-21,26.0,26.9,26.9,26.0,12100
06-01-21,27.5,26.9,27.5,26.2,4900
07-01-21,26.3,26.6,26.9,25.8,7700
08-01-21,26.6,27.0,27.0,26.6,28000
11-01-21,26.1,27.2,27.2,26.1,1300
12-01-21,26.2,26.9,26.9,26.2,8200
13-01-21,26.2,26.8,26.9,26.2,18600
14-01-21,26.3,26.5,26.5,26.1,3000
15-01-21,26.5,26.3,26.5,26.1,5400
18-01-21,26.3,26.1,26.3,25.6,15200
19-01-21,26.1,25.8,26.4,23.6,8604
20-01-21,24.3,24.7,25.7,23.8,8400
21-01-21,23.5,23.2,23.5,22.3,83700
22-01-21,23.8,23.5,23.8,23.3,10900
25-01-21,23.2,23.8,23.8,22.0,6400
26-01-21,22.8,22.7,23.0,22.7,6200
27-01-21,22.8,22.5,23.0,21.2,3400
28-01-21,22.0,20.4,22.0,20.3,6528
29-01-21,22.4,22.2,22.4,20.2,12300
01-02-21,22.2,22.2,22.2,22.2,0
02-02-21,20.4,22.5,22.5,20.3,900
03-02-21,22.5,22.5,22.5,22.4,400
04-02-21,22.0,22.0,22.1,22.0,400
05-02-21,21.1,21.7,21.7,21.1,900
08-02-21,21.6,21.7,21.7,21.6,2000
09-02-21,21.2,21.0,21.2,20.1,2500
17-02-21,20.6,22.7,22.7,20.6,1510
18-02-21,21.4,22.3,22.3,21.4,200
19-02-21,22.3,22.3,22.3,22.3,0
22-02-21,21.8,22.0,22.1,21.5,4700
23-02-21,22.5,22.3,22.5,22.3,200
24-02-21,22.3,22.1,22.3,22.1,400
25-02-21,21.4,21.7,22.0,21.4,600
26-02-21,21.7,21.9,21.9,21.7,1500
01-03-21,21.9,21.8,21.9,21.1,3700
02-03-21,21.8,21.8,21.8,21.8,3300
03-03-21,21.5,21.7,21.7,21.5,2800
04-03-21,21.7,21.8,21.8,21.7,12300
05-03-21,21.7,21.5,21.7,21.5,2100
08-03-21,21.7,21.8,21.8,21.7,3100
09-03-21,21.8,21.8,21.8,21.7,2600
10-03-21,22.0,22.1,22.2,22.0,2900
11-03-21,22.3,22.3,22.3,22.1,4500
12-03-21,22.5,22.5,22.5,22.2,2310
15-03-21,22.6,22.5,22.6,22.4,2900
16-03-21,22.6,22.5,22.6,22.5,3000
17-03-21,22.5,22.5,22.5,22.5,500
18-03-21,22.5,22.6,22.7,22.5,6100
19-03-21,22.5,22.5,22.5,22.4,3900
22-03-21,22.4,22.3,22.4,22.3,2410
23-03-21,22.3,22.1,22.3,22.1,500
24-03-21,21.7,21.8,22.2,21.7,3600
25-03-21,22.0,22.0,22.0,22.0,200
26-03-21,22.2,21.6,22.4,21.1,1000
29-03-21,21.6,21.8,22.5,21.3,5000
30-03-21,22.0,21.9,22.0,21.9,1200
31-03-21,21.3,21.5,22.0,20.5,1200
01-04-21,22.0,22.4,22.4,21.8,3400
02-04-21,22.4,22.2,22.4,22.2,1400
05-04-21,22.2,22.2,22.2,22.2,2200
06-04-21,22.2,22.2,22.2,21.8,2701
07-04-21,21.8,22.1,22.1,21.8,1500
08-04-21,22.1,22.1,22.1,22.1,400
09-04-21,22.2,22.0,22.2,21.8,2300
12-04-21,22.0,22.0,22.0,21.9,6100
13-04-21,22.0,22.0,22.0,21.9,1700
14-04-21,22.0,22.3,22.3,22.0,8801
15-04-21,21.6,22.2,22.2,21.6,1622
16-04-21,21.7,21.5,21.9,21.5,6408
19-04-21,21.7,21.7,21.7,21.7,600
20-04-21,21.7,21.7,21.7,21.7,1221
22-04-21,21.7,21.5,21.7,21.5,5300
23-04-21,21.0,21.0,21.0,21.0,200
26-04-21,21.0,21.0,21.0,21.0,0
27-04-21,21.0,21.0,21.0,21.0,0
28-04-21,20.6,20.6,20.6,20.6,300
29-04-21,20.5,20.5,20.5,20.5,100
04-05-21,20.9,20.9,20.9,20.9,800
05-05-21,21.9,21.9,21.9,21.9,200
06-05-21,21.1,21.0,21.1,21.0,600
07-05-21,21.5,21.5,21.5,21.5,101
10-05-21,21.5,21.5,21.5,21.5,0
11-05-21,21.5,21.5,21.5,21.5,0
12-05-21,20.2,21.5,21.5,20.2,200
13-05-21,21.0,20.8,21.0,20.8,1100
14-05-21,20.9,20.9,20.9,20.9,100
17-05-21,20.9,20.9,20.9,20.9,0
18-05-21,20.9,20.9,20.9,20.9,0
19-05-21,21.0,20.8,21.0,20.7,3900
20-05-21,20.5,20.5,20.5,20.5,5900
21-05-21,20.5,20.0,20.5,20.0,1500
24-05-21,20.5,20.5,20.5,20.5,1100
25-05-21,20.5,20.5,20.5,20.5,0
26-05-21,20.5,20.5,20.5,20.5,2900
27-05-21,20.5,20.4,20.5,20.4,7800
28-05-21,20.4,20.4,20.4,20.4,4300
31-05-21,20.1,20.1,20.1,20.1,1000
01-06-21,20.1,20.1,20.1,20.1,1100
02-06-21,20.1,20.1,20.1,20.1,208
03-06-21,20.0,21.1,21.1,20.0,13700
04-06-21,21.1,21.1,21.1,21.1,0
07-06-21,21.1,21.1,21.1,21.1,0
08-06-21,21.1,21.1,21.1,21.1,0
09-06-21,20.0,20.0,20.0,20.0,100
10-06-21,20.1,20.7,20.7,20.1,8600
11-06-21,21.0,21.0,21.0,21.0,3000
14-06-21,20.1,20.0,20.1,20.0,3600
15-06-21,20.0,20.5,20.5,20.0,3400
16-06-21,20.5,20.5,20.5,20.5,0
17-06-21,20.4,20.5,20.5,20.4,4500
18-06-21,21.0,21.9,22.1,21.0,3100
21-06-21,21.9,21.9,21.9,21.9,0
22-06-21,21.9,21.9,21.9,21.9,0
23-06-21,20.0,20.0,20.0,19.8,1400
24-06-21,20.7,20.8,20.8,20.7,4100
25-06-21,20.8,21.0,21.0,20.8,4010
28-06-21,20.9,20.9,20.9,20.9,600
29-06-21,20.9,20.9,20.9,20.9,1
30-06-21,20.9,20.9,20.9,20.9,0
01-07-21,20.9,20.9,20.9,20.9,0
02-07-21,20.9,20.9,20.9,20.9,0
05-07-21,20.6,20.6,20.6,20.6,100
06-07-21,20.6,20.6,20.6,20.6,700
07-07-21,20.5,20.5,20.5,20.5,200
08-07-21,20.5,20.5,20.5,20.5,200
09-07-21,19.6,19.6,19.6,19.6,500
12-07-21,20.0,20.0,20.0,20.0,1200
13-07-21,20.0,20.0,20.0,20.0,0
14-07-21,19.5,19.5,19.5,19.5,2000
15-07-21,20.8,20.8,20.8,20.8,100
16-07-21,20.8,20.8,20.8,20.8,0
19-07-21,19.5,19.5,19.5,19.5,100
20-07-21,19.5,19.5,19.5,19.5,0
21-07-21,19.5,19.5,19.5,19.5,2000
22-07-21,19.5,19.5,19.5,19.5,0
23-07-21,19.5,19.5,19.5,19.5,0
26-07-21,19.5,19.5,19.5,19.5,0
27-07-21,19.5,19.5,19.5,19.5,0
28-07-21,19.5,19.5,19.5,19.5,0
29-07-21,19.5,19.0,19.5,19.0,2500
30-07-21,19.4,19.4,19.4,19.4,5000
02-08-21,19.0,19.0,19.0,19.0,800
03-08-21,18.5,18.0,18.5,18.0,8700
04-08-21,18.0,18.0,18.0,18.0,100
05-08-21,18.1,19.0,19.0,18.1,2100
06-08-21,18.8,18.8,18.8,18.7,4410
09-08-21,18.8,18.9,18.9,18.5,2002
10-08-21,18.9,19.1,19.1,18.9,1806
11-08-21,18.5,18.7,19.0,18.5,3300
12-08-21,18.7,19.3,19.3,18.7,2900
13-08-21,19.3,19.3,19.3,19.3,414
16-08-21,19.0,19.3,19.3,19.0,1000
17-08-21,18.7,19.0,19.0,18.7,1600
18-08-21,19.0,19.0,19.0,19.0,100
19-08-21,19.0,19.0,19.0,19.0,500
20-08-21,19.0,19.0,19.0,19.0,1500
23-08-21,19.2,19.2,19.2,19.2,700
24-08-21,18.9,18.8,18.9,18.8,700
