Date,Open,Close,High,Low,Volume
16-11-20,2.2,2.2,2.2,2.2,7
17-11-20,2.2,2.2,2.2,2.2,31400
18-11-20,2.1,2.1,2.2,2.1,10300
19-11-20,2.1,2.1,2.1,2.1,0
20-11-20,2.2,2.2,2.2,2.2,2005
23-11-20,2.2,2.1,2.2,2.1,7200
24-11-20,2.1,2.1,2.1,2.1,100
25-11-20,2.1,2.1,2.1,2.1,0
26-11-20,2.1,2.1,2.1,2.1,200
27-11-20,2.1,2.1,2.1,2.1,0
30-11-20,2.1,2.1,2.1,2.1,100
01-12-20,2.2,2.1,2.2,2.1,200
02-12-20,2.0,2.1,2.1,2.0,200
03-12-20,2.2,2.1,2.2,2.1,15400
04-12-20,2.2,2.3,2.3,2.2,198200
07-12-20,2.3,2.5,2.5,2.3,239201
08-12-20,2.6,2.7,2.7,2.6,236034
09-12-20,2.9,2.9,2.9,2.9,69840
10-12-20,3.1,3.1,3.1,3.1,94310
11-12-20,3.3,2.9,3.4,2.8,99500
14-12-20,3.0,3.1,3.1,3.0,38200
15-12-20,3.3,3.4,3.4,3.3,80800
16-12-20,3.4,3.7,3.7,3.4,179178
17-12-20,4.0,4.0,4.0,3.9,194500
18-12-20,4.0,3.7,4.1,3.6,149607
21-12-20,3.8,4.0,4.0,3.7,150853
22-12-20,4.2,4.4,4.4,4.2,287200
23-12-20,4.8,4.7,4.8,4.5,206708
24-12-20,5.0,4.3,5.1,4.3,224280
25-12-20,3.9,4.6,4.6,3.9,89713
28-12-20,4.8,4.5,4.8,4.4,85915
29-12-20,4.2,4.2,4.5,4.1,240100
30-12-20,4.2,4.0,4.2,4.0,50800
31-12-20,4.0,4.0,4.1,3.8,19840
04-01-21,4.0,4.3,4.4,4.0,139908
05-01-21,4.4,4.1,4.4,4.0,39000
06-01-21,4.1,4.3,4.3,4.1,76210
07-01-21,4.3,4.6,4.6,4.2,197605
08-01-21,4.6,4.9,5.0,4.6,293015
11-01-21,4.9,5.0,5.1,4.8,141100
12-01-21,5.0,4.7,5.0,4.5,78380
13-01-21,4.7,4.9,5.1,4.7,293987
14-01-21,4.9,5.1,5.2,4.6,167700
15-01-21,5.3,5.6,5.6,5.3,229710
18-01-21,5.6,6.1,6.1,5.6,95087
19-01-21,6.6,5.7,6.7,5.5,208300
20-01-21,5.7,5.8,5.8,5.2,439900
21-01-21,5.9,6.3,6.3,5.9,63900
22-01-21,6.5,6.9,6.9,6.5,171009
25-01-21,6.9,6.4,6.9,6.3,194828
26-01-21,5.8,5.8,5.9,5.8,140620
27-01-21,5.8,5.3,5.8,5.3,87500
28-01-21,4.8,4.8,4.8,4.8,2100
29-01-21,4.4,5.2,5.2,4.4,139537
01-02-21,5.2,4.7,5.2,4.7,27700
02-02-21,4.7,4.5,4.7,4.3,46707
03-02-21,4.7,4.9,4.9,4.3,35805
04-02-21,4.9,4.9,5.2,4.9,22807
05-02-21,4.8,4.8,4.9,4.7,41610
08-02-21,4.8,4.4,4.8,4.4,51000
09-02-21,4.4,4.7,4.7,4.3,25465
17-02-21,4.8,5.0,5.1,4.8,22600
18-02-21,5.3,4.7,5.3,4.6,22300
19-02-21,4.7,4.8,4.8,4.5,26100
22-02-21,4.8,4.8,4.8,4.7,15102
23-02-21,4.7,4.7,4.8,4.6,10700
24-02-21,4.8,4.9,4.9,4.7,29003
25-02-21,4.9,4.9,4.9,4.7,37007
26-02-21,4.7,4.9,4.9,4.6,26108
01-03-21,4.9,4.8,4.9,4.6,16700
02-03-21,4.9,5.2,5.2,4.9,150617
03-03-21,5.3,5.7,5.7,5.3,145217
04-03-21,6.1,6.2,6.2,5.7,154500
05-03-21,6.2,6.1,6.6,6.0,128000
08-03-21,6.0,6.5,6.7,5.8,97747
09-03-21,6.2,6.0,6.5,5.9,100400
10-03-21,6.0,6.2,6.2,5.9,60900
11-03-21,6.2,6.1,6.2,6.0,101140
12-03-21,6.1,6.0,6.1,6.0,70900
15-03-21,6.0,6.0,6.2,5.9,63700
16-03-21,6.0,5.9,6.0,5.9,55500
17-03-21,5.9,5.9,5.9,5.8,30800
18-03-21,5.9,5.9,5.9,5.8,56600
19-03-21,5.9,6.0,6.1,5.9,40234
22-03-21,5.9,6.0,6.0,5.9,45100
23-03-21,5.9,5.9,5.9,5.8,44477
24-03-21,5.9,5.9,5.9,5.7,24698
25-03-21,5.9,5.8,6.0,5.8,47000
26-03-21,5.8,5.8,5.8,5.4,39300
29-03-21,5.8,5.9,5.9,5.7,33003
30-03-21,5.9,6.0,6.0,5.8,54501
31-03-21,6.6,6.2,6.6,6.1,91850
01-04-21,6.3,6.8,6.8,6.2,444320
02-04-21,7.4,7.4,7.4,7.2,341080
05-04-21,7.7,8.0,8.1,7.4,260830
06-04-21,7.7,7.9,8.3,7.2,343651
07-04-21,7.8,8.6,8.6,7.6,263357
08-04-21,8.7,8.7,9.2,8.5,167300
09-04-21,8.6,8.5,8.6,8.3,118830
12-04-21,8.5,8.9,8.9,8.3,144861
13-04-21,9.0,8.7,9.3,8.5,214134
14-04-21,8.6,8.8,8.9,8.3,152567
15-04-21,8.8,8.7,8.9,8.4,66304
16-04-21,8.3,8.0,8.5,7.9,234295
19-04-21,8.0,8.2,8.2,7.7,173117
20-04-21,8.2,8.2,8.6,7.8,65100
22-04-21,8.2,7.7,8.2,7.5,62410
23-04-21,7.5,7.9,7.9,7.1,34700
26-04-21,7.3,7.2,7.5,7.2,148230
27-04-21,7.2,7.2,7.2,6.8,25221
28-04-21,7.2,7.5,7.5,7.1,106602
29-04-21,7.1,7.2,7.5,7.1,11800
04-05-21,7.2,7.0,7.2,7.0,26380
05-05-21,7.0,7.2,7.5,7.0,43628
06-05-21,7.2,7.2,7.3,7.0,32800
07-05-21,7.1,7.0,7.1,6.6,31700
10-05-21,6.9,7.2,7.3,6.8,40100
11-05-21,7.0,7.0,7.4,7.0,29700
12-05-21,7.0,7.0,7.0,6.8,31257
13-05-21,7.1,7.0,7.2,7.0,43545
14-05-21,7.0,7.1,7.2,6.9,57000
17-05-21,7.2,7.3,7.3,7.2,68577
18-05-21,7.3,7.2,7.3,7.1,41652
19-05-21,7.2,6.9,7.2,6.9,34100
20-05-21,6.9,7.1,7.3,6.7,50068
21-05-21,7.2,7.2,7.3,7.2,45916
24-05-21,7.2,7.3,7.5,7.2,52327
25-05-21,7.3,7.2,7.3,7.0,45800
26-05-21,7.2,7.1,7.3,7.0,41900
27-05-21,7.1,7.8,7.8,7.1,332461
28-05-21,8.1,8.5,8.5,7.9,318332
31-05-21,8.7,9.3,9.3,8.5,403671
01-06-21,9.7,9.9,10.2,9.5,672241
02-06-21,10.1,9.6,10.1,9.0,400583
03-06-21,9.6,10.4,10.4,9.5,357257
04-06-21,10.4,9.5,10.4,9.5,238505
07-06-21,9.5,8.9,9.5,8.6,270030
08-06-21,8.4,8.1,8.8,8.1,198010
09-06-21,7.8,8.9,8.9,7.5,237861
10-06-21,8.9,8.5,9.3,8.2,80000
11-06-21,8.5,8.6,8.9,8.3,114727
14-06-21,8.6,8.8,9.0,8.2,215300
15-06-21,8.8,8.5,9.0,8.5,88604
16-06-21,8.5,8.4,8.7,8.3,50417
17-06-21,8.3,8.5,8.5,8.2,57120
18-06-21,8.6,8.5,8.7,8.3,60700
21-06-21,8.5,8.5,8.6,8.3,59900
22-06-21,8.3,8.4,8.5,8.2,34800
23-06-21,8.3,8.5,8.8,8.3,200406
24-06-21,8.5,8.4,8.6,8.3,42700
25-06-21,8.4,9.2,9.2,8.3,449910
28-06-21,9.2,9.4,9.7,9.2,335217
29-06-21,9.4,9.2,9.6,9.2,187470
30-06-21,9.1,8.9,9.1,8.6,97293
01-07-21,8.5,9.5,9.7,8.5,378100
02-07-21,9.8,9.8,9.9,9.5,328327
05-07-21,9.9,9.4,9.9,9.1,129000
06-07-21,9.3,8.8,9.3,8.8,248300
07-07-21,8.5,8.8,8.8,8.0,180000
08-07-21,8.8,8.8,9.0,8.5,107000
09-07-21,8.8,8.1,8.8,8.1,75200
12-07-21,8.1,7.3,8.1,7.3,140900
13-07-21,7.3,7.5,7.6,7.0,78220
14-07-21,7.7,7.4,7.8,7.0,89000
15-07-21,7.3,7.7,7.7,7.1,89900
16-07-21,7.7,7.4,7.7,7.2,84001
19-07-21,7.3,6.7,7.3,6.7,175000
20-07-21,6.7,6.9,6.9,6.2,118734
21-07-21,6.9,6.8,7.0,6.6,84822
22-07-21,6.6,7.0,7.1,6.6,63901
23-07-21,6.9,6.9,7.1,6.6,60630
26-07-21,6.7,6.9,7.0,6.6,32600
27-07-21,7.0,7.0,7.1,6.8,37900
28-07-21,6.8,6.8,7.0,6.8,28607
29-07-21,6.9,7.1,7.1,6.8,87400
30-07-21,7.1,7.2,7.2,7.0,65029
02-08-21,7.2,7.2,7.3,7.1,55400
03-08-21,7.3,7.2,7.3,7.0,55027
04-08-21,7.2,7.9,7.9,7.2,156021
05-08-21,8.4,8.2,8.6,7.9,113207
06-08-21,8.2,8.1,8.2,7.9,62522
09-08-21,7.4,8.1,8.4,7.4,53822
10-08-21,8.1,8.1,8.1,7.8,100600
11-08-21,7.9,7.9,8.2,7.7,67108
12-08-21,8.0,7.9,8.2,7.8,83200
13-08-21,8.0,8.0,8.2,7.9,110402
16-08-21,8.0,8.7,8.7,8.0,200787
17-08-21,8.9,8.5,9.1,8.5,101033
18-08-21,8.5,8.5,8.7,8.4,174859
19-08-21,8.4,9.3,9.3,8.4,303470
20-08-21,10.0,9.1,10.2,8.8,321139
23-08-21,9.1,10.0,10.0,8.9,598763
24-08-21,10.0,10.4,11.0,9.9,635020
25-08-21,11.0,9.9,11.0,9.6,106500
26-08-21,9.6,9.5,9.9,9.2,187544
27-08-21,9.6,9.7,9.7,8.6,463331
30-08-21,9.9,10.4,10.5,9.7,315033
31-08-21,10.6,10.4,10.7,10.2,185451
01-09-21,10.4,10.4,10.5,9.9,295421
06-09-21,10.4,10.8,10.9,10.3,278101
07-09-21,10.2,10.2,11.0,10.2,242527
08-09-21,10.2,10.3,10.5,9.8,193906
09-09-21,10.0,10.1,10.3,10.0,114349
10-09-21,10.0,10.3,10.4,10.0,102438
13-09-21,10.3,10.2,10.5,10.0,178900
14-09-21,10.2,10.4,10.6,10.0,282428
15-09-21,10.4,10.4,10.5,10.2,179667
16-09-21,10.4,10.7,10.7,10.3,276800
17-09-21,10.9,11.7,11.7,10.8,326605
20-09-21,11.9,12.8,12.8,11.9,364247
21-09-21,13.8,12.7,13.8,11.6,418631
22-09-21,12.7,13.1,13.6,12.0,272900
23-09-21,13.1,12.5,13.1,12.3,277640
24-09-21,12.4,11.8,12.4,11.8,195077
27-09-21,11.7,10.7,11.7,10.7,266700
28-09-21,10.5,11.1,11.1,9.9,115310
29-09-21,11.1,11.3,11.3,10.4,103800
