Date,Open,Close,High,Low,Volume
16-11-20,8.5,8.2,8.5,8.2,101200
17-11-20,8.2,8.2,8.3,8.1,55108
18-11-20,8.1,8.3,8.4,8.1,40100
19-11-20,8.3,8.4,8.4,8.2,53400
20-11-20,8.4,8.4,8.6,8.3,57500
23-11-20,8.5,8.4,8.5,8.3,63000
24-11-20,8.3,8.4,8.5,8.3,42200
25-11-20,8.5,8.4,8.5,8.4,40200
26-11-20,8.4,8.4,8.5,8.3,42500
27-11-20,8.4,8.4,8.5,8.4,64100
30-11-20,8.4,8.4,8.4,8.3,44608
01-12-20,8.3,8.4,8.4,8.3,41200
02-12-20,8.3,8.4,8.5,8.3,61310
03-12-20,8.4,8.4,8.5,8.4,60300
04-12-20,8.3,8.5,8.5,8.3,45100
07-12-20,8.4,8.5,8.7,8.4,47800
08-12-20,8.5,8.5,8.6,8.4,53700
09-12-20,8.6,8.5,8.6,8.5,58610
10-12-20,8.4,8.5,8.6,8.4,52405
11-12-20,8.5,8.4,8.5,8.3,38900
14-12-20,8.5,8.4,8.5,8.3,93210
15-12-20,8.4,8.4,8.6,8.3,56000
16-12-20,8.4,8.4,8.5,8.4,45800
17-12-20,8.4,8.4,8.4,8.3,56500
18-12-20,8.4,8.5,8.6,8.2,51440
21-12-20,8.6,8.7,8.8,8.6,61700
22-12-20,8.7,8.9,8.9,8.7,92900
23-12-20,8.9,9.3,9.4,8.9,83200
24-12-20,9.3,9.3,9.4,9.0,85100
25-12-20,9.2,9.2,9.3,9.1,40360
28-12-20,9.1,9.1,9.2,9.0,54600
29-12-20,9.1,9.0,9.2,8.9,32500
30-12-20,9.2,8.9,9.2,8.8,84400
31-12-20,9.1,9.0,9.2,9.0,74408
04-01-21,9.1,9.2,9.2,9.1,65700
05-01-21,9.2,9.1,9.3,8.7,96300
06-01-21,9.2,9.3,9.4,9.2,114300
07-01-21,9.2,9.3,9.4,9.2,39000
08-01-21,9.3,9.2,9.3,9.1,30100
11-01-21,9.2,9.2,9.2,9.1,41200
12-01-21,9.3,9.6,9.6,9.2,121100
13-01-21,9.5,9.7,9.7,9.5,18600
14-01-21,9.6,9.7,9.7,9.5,44600
15-01-21,9.7,9.6,9.7,9.4,37505
18-01-21,9.6,9.5,9.6,9.5,24200
19-01-21,9.6,9.2,9.6,9.0,36100
20-01-21,9.3,9.2,9.5,9.0,44400
21-01-21,9.2,9.2,9.3,9.1,30400
22-01-21,9.2,9.2,9.2,9.0,62200
25-01-21,9.3,9.2,9.3,8.9,36500
26-01-21,9.1,9.0,9.2,8.8,30600
27-01-21,9.1,8.8,9.2,8.1,86800
28-01-21,8.7,9.0,9.2,8.4,68200
29-01-21,9.0,9.2,9.2,8.7,16400
01-02-21,9.1,9.1,9.4,9.0,25500
02-02-21,9.1,9.2,9.4,8.9,26600
03-02-21,9.1,9.2,9.5,8.7,329600
04-02-21,9.4,9.0,9.4,9.0,75200
05-02-21,9.1,9.0,9.4,9.0,27800
08-02-21,9.1,9.2,9.4,9.0,55500
09-02-21,9.1,9.6,9.6,9.1,55200
17-02-21,9.4,9.7,9.9,9.4,80200
18-02-21,9.6,9.6,9.8,9.5,57450
19-02-21,9.6,9.4,9.7,9.3,59400
22-02-21,9.5,9.7,9.7,9.2,102000
23-02-21,9.6,9.5,9.8,9.3,62600
24-02-21,9.5,9.0,9.5,9.0,68401
25-02-21,9.3,9.2,9.3,8.9,57200
26-02-21,9.1,9.4,9.5,9.1,45600
01-03-21,9.3,9.4,9.6,9.2,31200
02-03-21,9.3,9.5,9.6,9.3,34100
03-03-21,9.4,9.7,9.7,9.4,118300
04-03-21,9.5,9.6,9.8,9.5,28000
05-03-21,9.5,9.6,9.6,9.4,19100
08-03-21,9.5,9.6,9.8,9.4,70410
09-03-21,9.6,9.5,9.7,9.2,85500
10-03-21,9.5,9.5,9.6,9.3,28100
11-03-21,9.5,9.6,9.6,9.0,111400
12-03-21,9.6,9.8,9.9,9.6,81400
15-03-21,9.8,9.7,9.8,8.9,42200
16-03-21,9.2,9.4,9.4,9.2,5600
17-03-21,9.1,9.4,9.4,9.1,4400
18-03-21,9.4,9.2,9.4,9.2,9900
19-03-21,9.0,9.0,9.2,9.0,5200
22-03-21,8.8,9.1,9.1,8.8,17700
