Date,Open,Close,High,Low,Volume
16-11-20,14.8,14.8,14.8,14.8,0
17-11-20,14.8,14.8,14.8,14.8,0
18-11-20,14.8,14.8,14.8,14.8,0
19-11-20,14.8,14.8,14.8,14.8,0
20-11-20,14.8,14.8,14.8,14.8,0
23-11-20,14.8,14.8,14.8,14.8,0
24-11-20,14.8,14.8,14.8,14.8,0
25-11-20,13.4,13.4,13.4,13.4,500
26-11-20,14.7,14.7,14.7,14.7,100
27-11-20,13.3,13.3,13.3,13.3,2000
30-11-20,13.2,13.2,13.2,13.2,200
01-12-20,12.5,13.2,13.2,12.5,1300
02-12-20,13.2,13.2,13.2,13.2,0
03-12-20,13.2,12.5,13.2,12.5,500
04-12-20,12.5,12.5,12.5,12.5,0
07-12-20,12.5,12.5,12.5,12.5,500
08-12-20,13.7,13.7,13.7,13.7,100
09-12-20,12.7,13.3,13.3,12.7,410
10-12-20,12.7,12.6,12.7,12.6,1300
11-12-20,12.6,12.6,12.6,12.6,0
14-12-20,12.6,12.6,12.6,12.6,0
15-12-20,13.8,13.8,13.8,13.8,102
16-12-20,13.8,13.8,13.8,13.8,0
17-12-20,13.8,13.8,13.8,13.8,0
18-12-20,12.7,13.2,13.2,12.7,400
21-12-20,13.2,13.2,13.2,13.2,0
22-12-20,13.2,13.2,13.2,13.2,0
23-12-20,13.2,13.2,13.2,13.2,0
24-12-20,14.5,14.3,14.5,14.3,300
25-12-20,14.3,14.3,14.3,14.3,0
28-12-20,14.3,14.3,14.3,14.3,0
29-12-20,14.3,14.3,14.3,14.3,0
30-12-20,15.7,12.9,15.7,12.9,300
31-12-20,14.1,14.1,14.1,14.1,100
04-01-21,14.1,14.1,14.1,14.1,0
05-01-21,14.1,14.1,14.1,14.1,0
06-01-21,14.1,14.1,14.1,14.1,0
07-01-21,14.1,14.1,14.1,14.1,0
08-01-21,14.1,14.1,14.1,14.1,0
11-01-21,13.4,13.4,13.4,13.4,1000
12-01-21,13.4,13.4,13.4,13.4,0
13-01-21,13.4,13.4,13.4,13.4,0
14-01-21,13.4,13.4,13.4,13.4,0
15-01-21,13.4,13.4,13.4,13.4,0
18-01-21,13.4,13.4,13.4,13.4,0
19-01-21,13.4,13.4,13.4,13.4,0
20-01-21,13.4,13.4,13.4,13.4,0
21-01-21,13.4,13.2,13.4,13.2,6000
22-01-21,13.2,13.4,13.4,13.2,8600
25-01-21,13.4,13.4,13.4,13.4,3000
26-01-21,13.4,13.2,13.4,13.2,11200
27-01-21,13.2,13.2,13.2,13.2,0
28-01-21,13.5,13.5,13.5,13.5,1000
29-01-21,13.5,13.5,13.5,13.5,0
01-02-21,13.5,13.5,13.5,13.5,0
02-02-21,13.5,13.5,13.5,13.5,0
03-02-21,13.5,13.5,13.5,13.5,0
04-02-21,13.5,13.5,13.5,13.5,0
05-02-21,13.5,13.5,13.5,13.5,0
08-02-21,13.5,13.5,13.5,13.5,0
09-02-21,13.5,13.5,13.5,13.5,0
17-02-21,14.8,14.8,14.8,14.8,100
18-02-21,14.8,14.8,14.8,14.8,0
19-02-21,14.8,14.8,14.8,14.8,0
22-02-21,14.8,14.8,14.8,14.8,0
23-02-21,14.5,14.8,14.8,14.3,500
24-02-21,14.8,14.8,14.8,14.8,0
25-02-21,14.8,14.8,14.8,14.8,0
26-02-21,13.4,13.4,13.4,13.4,100
01-03-21,13.5,13.5,13.5,13.5,2800
02-03-21,13.5,13.5,13.5,13.5,3200
03-03-21,14.8,14.8,14.8,14.8,100
04-03-21,14.8,14.8,14.8,14.8,0
05-03-21,14.8,14.8,14.8,14.8,0
08-03-21,14.8,14.8,14.8,14.8,0
09-03-21,14.8,14.8,14.8,14.8,0
10-03-21,14.8,14.8,14.8,14.8,0
11-03-21,14.8,14.8,14.8,14.8,0
12-03-21,13.5,13.5,13.5,13.5,200
15-03-21,14.8,14.8,14.8,14.8,100
16-03-21,14.7,13.5,14.7,13.5,3100
17-03-21,14.7,14.7,14.7,14.7,100
18-03-21,14.7,14.7,14.7,14.7,0
19-03-21,14.7,13.8,14.7,13.8,5900
22-03-21,13.8,13.8,13.8,13.8,0
23-03-21,15.0,12.6,15.0,12.6,800
24-03-21,13.8,13.8,13.8,13.8,6000
25-03-21,15.0,13.8,15.0,13.8,1300
26-03-21,15.0,15.0,15.0,15.0,100
29-03-21,15.0,15.0,15.0,15.0,0
30-03-21,14.2,14.0,14.2,13.7,700
31-03-21,14.0,14.0,14.0,14.0,200
01-04-21,14.0,14.0,14.0,14.0,8000
02-04-21,14.0,14.0,14.0,14.0,41500
05-04-21,14.0,14.2,14.2,14.0,32100
06-04-21,14.6,14.2,14.6,14.2,7800
07-04-21,14.5,14.4,14.5,14.4,3600
08-04-21,14.4,14.3,14.4,14.2,5500
09-04-21,14.4,14.5,14.5,14.4,6595
12-04-21,14.5,15.3,15.3,14.5,15600
13-04-21,15.3,14.9,15.3,14.9,5700
14-04-21,15.0,15.0,15.0,15.0,11300
15-04-21,14.9,14.8,15.0,14.8,2200
16-04-21,14.8,14.8,14.8,14.8,22800
19-04-21,14.4,14.5,14.5,14.4,1600
20-04-21,15.0,15.0,15.0,14.6,4400
22-04-21,15.0,15.3,15.3,15.0,45100
23-04-21,15.2,15.2,15.2,15.2,1800
26-04-21,15.4,15.4,15.4,15.2,4600
27-04-21,15.4,15.5,15.5,15.4,9200
28-04-21,16.9,16.5,16.9,15.4,20200
29-04-21,13.7,13.7,16.0,13.7,1100
04-05-21,14.8,14.8,14.8,14.8,100
05-05-21,14.1,14.1,14.1,14.1,700
06-05-21,14.0,14.2,14.2,14.0,710
07-05-21,15.6,14.9,15.6,14.9,1100
10-05-21,14.0,14.2,14.2,14.0,1300
11-05-21,15.0,15.5,15.5,15.0,148400
12-05-21,14.1,14.1,14.1,14.1,200
13-05-21,14.1,14.1,14.1,14.1,100
14-05-21,13.1,13.1,13.1,13.1,100
17-05-21,14.0,12.6,14.0,12.6,1100
18-05-21,12.9,12.9,12.9,12.9,100
19-05-21,12.9,12.9,12.9,12.9,0
20-05-21,12.9,12.9,12.9,12.9,0
21-05-21,12.9,12.9,12.9,12.9,90
24-05-21,14.1,14.1,14.1,14.1,100
25-05-21,14.1,14.1,14.1,14.1,0
26-05-21,13.8,13.8,13.8,13.8,100
27-05-21,13.0,12.7,13.0,12.6,2300
28-05-21,12.7,12.7,12.7,12.7,1
31-05-21,12.9,12.9,12.9,12.9,3500
01-06-21,13.8,13.1,14.0,13.1,600
02-06-21,13.1,13.1,13.1,13.1,174
03-06-21,14.0,14.3,14.3,14.0,2100
04-06-21,14.3,14.3,14.3,14.3,0
07-06-21,14.2,14.2,14.2,14.2,100
08-06-21,14.2,14.2,14.2,14.2,0
09-06-21,14.2,14.2,14.2,14.2,0
10-06-21,15.6,15.6,15.6,15.6,4500
11-06-21,14.6,14.6,14.6,14.6,100
14-06-21,13.5,13.5,13.5,13.5,100
