Date,Open,Close,High,Low,Volume
16-11-20,1.3,1.2,1.3,1.2,8900
17-11-20,1.2,1.2,1.2,1.1,82300
18-11-20,1.1,1.3,1.3,1.1,20543
19-11-20,1.3,1.2,1.3,1.2,41527
20-11-20,1.2,1.2,1.2,1.1,2093
23-11-20,1.2,1.2,1.2,1.2,127800
24-11-20,1.3,1.2,1.3,1.2,47900
25-11-20,1.2,1.2,1.2,1.2,23600
26-11-20,1.2,1.3,1.3,1.1,14900
27-11-20,1.3,1.3,1.3,1.2,22069
30-11-20,1.3,1.2,1.3,1.2,60500
01-12-20,1.2,1.2,1.2,1.1,107910
02-12-20,1.3,1.2,1.3,1.2,11400
03-12-20,1.2,1.2,1.3,1.2,40300
04-12-20,1.2,1.2,1.3,1.2,354900
07-12-20,1.2,1.2,1.2,1.2,37300
08-12-20,1.2,1.3,1.3,1.2,441501
09-12-20,1.3,1.4,1.4,1.3,20700
10-12-20,1.3,1.3,1.4,1.3,82018
11-12-20,1.3,1.2,1.3,1.2,93356
14-12-20,1.2,1.2,1.3,1.2,14000
15-12-20,1.3,1.2,1.3,1.2,23115
16-12-20,1.2,1.3,1.3,1.2,12110
17-12-20,1.3,1.3,1.3,1.3,10748
18-12-20,1.3,1.4,1.4,1.3,438098
21-12-20,1.4,1.4,1.5,1.4,80355
22-12-20,1.4,1.5,1.5,1.3,437320
23-12-20,1.6,1.6,1.6,1.5,126633
24-12-20,1.6,1.7,1.7,1.5,350500
25-12-20,1.7,1.8,1.8,1.7,313670
28-12-20,1.9,1.9,1.9,1.9,132656
29-12-20,2.0,2.0,2.0,1.8,565428
30-12-20,2.0,2.0,2.1,1.9,235828
31-12-20,1.9,2.0,2.1,1.8,159995
04-01-21,2.0,2.1,2.1,1.9,236450
05-01-21,2.1,2.1,2.1,2.0,247051
06-01-21,2.1,2.1,2.2,2.0,223000
07-01-21,2.1,2.1,2.1,1.9,215440
08-01-21,2.0,2.0,2.1,2.0,372611
11-01-21,2.0,1.8,2.1,1.8,603710
12-01-21,1.9,1.9,1.9,1.8,414111
13-01-21,1.9,1.9,2.0,1.8,342220
14-01-21,1.9,1.9,1.9,1.8,144592
15-01-21,1.8,1.8,1.9,1.8,604519
18-01-21,1.9,1.9,1.9,1.8,314421
19-01-21,2.0,1.9,2.0,1.8,1382233
20-01-21,1.9,1.9,1.9,1.8,193310
21-01-21,1.9,2.0,2.0,1.9,325301
22-01-21,2.0,2.2,2.2,2.0,1129050
25-01-21,2.3,2.4,2.4,2.2,1170710
26-01-21,2.5,2.6,2.6,2.3,1016142
27-01-21,2.6,2.4,2.6,2.4,434840
28-01-21,2.3,2.2,2.3,2.2,28800
29-01-21,2.0,2.0,2.2,2.0,1006142
01-02-21,2.0,1.8,2.1,1.8,436700
02-02-21,1.7,1.7,1.8,1.7,498007
03-02-21,1.6,1.7,1.8,1.6,1687200
04-02-21,1.7,1.7,1.8,1.6,456250
05-02-21,1.7,1.8,1.8,1.7,396850
08-02-21,1.8,1.7,1.8,1.7,448444
09-02-21,1.6,1.7,1.8,1.6,269908
17-02-21,1.7,1.8,1.8,1.6,90400
18-02-21,1.8,1.8,1.8,1.7,144300
19-02-21,1.7,1.7,1.8,1.7,196395
22-02-21,1.8,1.8,1.8,1.7,779150
23-02-21,1.9,1.9,1.9,1.9,179630
24-02-21,2.0,2.0,2.0,1.9,707625
25-02-21,2.0,2.1,2.2,1.8,778600
26-02-21,2.1,2.2,2.2,1.9,440100
01-03-21,2.2,2.2,2.2,2.0,628720
02-03-21,2.2,2.2,2.2,2.0,296918
03-03-21,2.2,2.2,2.2,2.1,301042
04-03-21,2.2,2.3,2.4,2.2,995590
05-03-21,2.3,2.3,2.3,2.2,365300
08-03-21,2.3,2.5,2.5,2.3,1778932
09-03-21,2.6,2.7,2.7,2.5,1575641
10-03-21,2.8,2.7,2.8,2.6,537730
11-03-21,2.6,2.5,2.7,2.5,854717
12-03-21,2.4,2.5,2.6,2.4,500200
15-03-21,2.5,2.5,2.6,2.3,1500824
16-03-21,2.4,2.7,2.7,2.4,944581
17-03-21,2.7,2.7,2.8,2.6,856445
18-03-21,2.6,2.5,2.7,2.5,528985
19-03-21,2.5,2.5,2.6,2.4,739023
22-03-21,2.6,2.6,2.6,2.4,419970
23-03-21,2.6,2.5,2.6,2.5,594420
24-03-21,2.5,2.5,2.6,2.4,646957
25-03-21,2.5,2.7,2.7,2.4,1557692
26-03-21,2.8,2.9,2.9,2.8,2420679
29-03-21,3.1,3.1,3.1,2.9,1100986
30-03-21,3.3,3.2,3.3,2.9,1140510
31-03-21,3.2,3.2,3.3,2.9,1585569
01-04-21,3.2,3.5,3.5,3.0,1210635
02-04-21,3.5,3.8,3.8,3.5,1255942
05-04-21,3.8,3.8,4.1,3.6,1420468
06-04-21,3.8,3.9,4.0,3.8,1221014
07-04-21,3.9,4.2,4.2,3.8,1705785
08-04-21,4.6,4.6,4.6,4.3,1486484
09-04-21,4.6,4.6,4.6,4.4,798049
12-04-21,4.6,5.0,5.0,4.4,1414287
13-04-21,5.1,5.3,5.5,4.9,1728943
14-04-21,5.2,5.3,5.5,4.8,1488614
15-04-21,5.3,5.0,5.4,5.0,962766
16-04-21,5.0,4.6,5.0,4.5,1653207
19-04-21,4.7,4.8,5.0,4.2,2239073
20-04-21,4.9,5.2,5.2,4.9,1817498
22-04-21,5.2,5.6,5.7,5.1,2869874
23-04-21,5.6,5.4,5.7,5.1,998400
26-04-21,5.3,5.0,5.3,4.9,1250522
27-04-21,4.9,4.9,5.1,4.7,660937
28-04-21,4.9,5.2,5.3,4.9,698625
29-04-21,5.1,4.9,5.2,4.9,395796
04-05-21,4.9,4.7,5.0,4.5,607505
05-05-21,4.7,4.9,5.0,4.7,279030
06-05-21,4.9,4.5,5.0,4.5,628772
07-05-21,4.5,4.5,4.7,4.3,680965
10-05-21,4.3,4.6,4.6,4.3,368208
11-05-21,4.7,4.5,4.7,4.4,434499
12-05-21,4.4,4.5,4.5,4.3,286026
13-05-21,4.4,4.3,4.5,4.3,523260
14-05-21,4.3,4.2,4.3,4.1,374334
17-05-21,4.2,4.1,4.4,4.0,348110
18-05-21,4.0,4.5,4.5,3.9,919000
19-05-21,4.6,4.4,4.9,4.4,410976
20-05-21,4.5,4.5,4.5,4.3,139900
21-05-21,4.5,4.3,4.5,4.3,472600
24-05-21,4.4,4.4,4.5,4.2,313603
25-05-21,4.4,4.3,4.4,4.3,231280
26-05-21,4.2,4.1,4.3,4.1,363445
27-05-21,4.1,4.1,4.2,4.1,356910
28-05-21,4.0,4.1,4.1,4.0,214200
31-05-21,4.1,4.4,4.4,3.9,433639
01-06-21,4.4,4.3,4.5,4.2,421262
02-06-21,4.3,4.3,4.3,4.2,327800
03-06-21,4.3,4.6,4.6,4.2,736549
04-06-21,4.6,4.3,4.6,4.3,341262
07-06-21,4.3,4.3,4.4,4.2,260500
08-06-21,4.3,4.2,4.4,4.2,347800
09-06-21,4.2,4.3,4.4,4.0,418067
10-06-21,4.3,4.2,4.3,4.1,177806
11-06-21,4.3,4.2,4.3,4.2,164003
14-06-21,4.2,4.1,4.3,4.1,235600
15-06-21,4.1,4.1,4.2,4.0,233021
16-06-21,4.1,4.1,4.2,4.0,295800
17-06-21,4.1,4.1,4.1,4.0,385310
18-06-21,4.1,4.1,4.1,4.0,301700
21-06-21,4.1,4.5,4.5,4.0,1887095
22-06-21,4.5,4.4,4.7,4.4,736740
23-06-21,4.4,4.4,4.5,4.3,268540
24-06-21,4.3,4.2,4.4,4.1,403776
25-06-21,4.3,4.2,4.3,4.0,513405
28-06-21,4.2,4.1,4.3,4.1,616080
29-06-21,4.1,4.2,4.2,4.0,403900
30-06-21,4.1,4.1,4.3,4.1,545963
01-07-21,4.1,4.1,4.2,4.0,468700
02-07-21,4.1,4.1,4.2,4.0,253473
05-07-21,4.1,4.0,4.1,3.9,403000
06-07-21,4.0,3.8,4.0,3.8,427727
07-07-21,3.7,3.6,3.8,3.5,718399
08-07-21,3.6,3.8,3.9,3.5,515900
09-07-21,3.9,3.5,3.9,3.5,520243
12-07-21,3.5,3.2,3.6,3.2,402900
13-07-21,3.3,3.2,3.3,3.0,436500
14-07-21,3.3,3.3,3.4,3.2,161600
15-07-21,3.3,3.3,3.3,3.2,152905
16-07-21,3.2,3.1,3.3,3.0,376112
19-07-21,3.0,2.8,3.1,2.8,411331
20-07-21,2.8,2.8,2.9,2.6,339900
21-07-21,2.9,2.7,2.9,2.6,229200
22-07-21,2.6,2.7,2.8,2.5,705100
23-07-21,2.7,2.8,2.8,2.7,141500
26-07-21,2.7,2.7,2.8,2.6,308699
27-07-21,2.8,2.6,2.8,2.5,397890
28-07-21,2.6,2.6,2.7,2.5,201900
29-07-21,2.7,2.6,2.7,2.5,151700
30-07-21,2.7,2.6,2.7,2.5,255700
02-08-21,2.8,2.5,2.8,2.4,455500
03-08-21,2.6,2.5,2.6,2.4,213652
04-08-21,2.6,2.6,2.6,2.5,230438
05-08-21,2.7,2.8,2.8,2.5,913154
06-08-21,3.0,3.0,3.0,2.9,778720
09-08-21,3.2,3.3,3.3,3.0,824374
10-08-21,3.6,3.2,3.6,3.1,883803
11-08-21,3.5,3.2,3.5,3.0,802490
12-08-21,3.3,3.1,3.3,3.0,594247
13-08-21,3.1,3.0,3.1,2.9,480329
16-08-21,3.0,3.3,3.3,3.0,454123
17-08-21,3.3,3.2,3.3,3.1,261430
18-08-21,3.2,3.2,3.2,3.1,191393
19-08-21,3.2,3.1,3.2,2.9,469300
20-08-21,3.1,3.0,3.1,2.8,797621
23-08-21,3.0,3.0,3.0,2.8,248078
24-08-21,3.0,2.9,3.0,2.8,265460
25-08-21,2.9,3.0,3.0,2.8,368221
26-08-21,3.0,2.9,3.0,2.8,321455
27-08-21,2.8,2.9,2.9,2.8,145700
30-08-21,2.9,3.0,3.0,2.9,126703
31-08-21,3.0,3.1,3.1,2.9,528680
01-09-21,3.1,3.3,3.3,3.0,1007403
06-09-21,3.3,3.6,3.6,3.3,1411082
07-09-21,3.7,3.3,3.8,3.3,901321
08-09-21,3.3,3.3,3.3,3.2,496873
09-09-21,3.3,3.3,3.3,3.2,367078
10-09-21,3.3,3.4,3.4,3.1,590352
13-09-21,3.4,3.6,3.7,3.4,1416609
14-09-21,3.7,3.9,3.9,3.6,2816562
15-09-21,4.2,4.2,4.2,4.0,1220318
16-09-21,4.6,4.1,4.6,4.0,2182890
17-09-21,4.1,4.1,4.1,3.8,1389928
20-09-21,4.1,4.4,4.5,3.9,1362436
21-09-21,4.4,4.3,4.4,4.0,1386751
22-09-21,4.2,4.7,4.7,4.2,2025701
23-09-21,4.7,4.3,4.8,4.3,2546141
24-09-21,4.3,4.1,4.3,4.0,955450
27-09-21,4.0,3.7,4.2,3.7,1478642
28-09-21,3.8,3.9,4.0,3.4,994709
29-09-21,3.9,4.0,4.2,3.9,309955
30-09-21,4.0,4.1,4.2,4.0,475665
01-10-21,4.1,3.8,4.1,3.8,559670
04-10-21,3.9,3.8,4.0,3.8,327003
05-10-21,3.8,3.9,4.0,3.8,580555
06-10-21,3.9,3.9,4.0,3.8,437755
07-10-21,3.9,4.0,4.1,3.9,836851
08-10-21,4.0,4.0,4.1,3.9,481419
11-10-21,4.0,4.0,4.1,3.9,364170
12-10-21,4.0,3.9,4.0,3.9,351932
13-10-21,3.9,4.2,4.2,3.9,1467854
14-10-21,4.2,4.2,4.3,4.1,421333
15-10-21,4.2,4.2,4.2,4.0,595821
18-10-21,4.0,4.0,4.2,4.0,857401
19-10-21,4.0,4.2,4.2,3.9,976757
20-10-21,4.2,4.4,4.5,4.1,2655222
21-10-21,4.4,4.8,4.8,4.4,3129206
22-10-21,4.8,5.0,5.2,4.8,2370985
25-10-21,5.0,4.9,5.2,4.6,1913932
26-10-21,4.8,4.7,4.9,4.6,1185414
27-10-21,4.6,4.7,5.0,4.6,1128409
28-10-21,4.7,4.7,4.8,4.6,1063103
29-10-21,4.7,4.6,4.8,4.5,1246150
01-11-21,4.6,4.9,5.0,4.5,3191538
02-11-21,4.9,5.3,5.3,4.9,4009055
03-11-21,5.4,5.6,5.8,5.3,4263680
04-11-21,5.6,5.7,5.9,5.1,2240123
05-11-21,5.7,5.5,5.8,5.4,1758395
08-11-21,5.5,6.0,6.0,5.3,3216838
09-11-21,6.5,6.2,6.6,6.1,1610498
10-11-21,6.2,6.2,6.3,5.7,1570721
11-11-21,6.2,6.7,6.8,6.0,4601490
12-11-21,6.7,7.1,7.1,6.4,1786253
15-11-21,7.2,7.5,7.7,7.0,2099155
16-11-21,7.5,7.2,7.6,6.8,3590284
17-11-21,7.2,7.2,7.4,6.8,1722023
18-11-21,7.2,7.9,7.9,7.2,1829967
19-11-21,7.9,7.5,8.1,7.2,2298280
22-11-21,7.5,6.8,7.7,6.8,2228379
23-11-21,6.7,6.9,6.9,6.2,1773485
24-11-21,6.9,7.2,7.5,6.9,1407212
25-11-21,7.2,7.1,7.2,6.9,1074527
26-11-21,7.1,6.8,7.1,6.7,1671312
29-11-21,6.7,6.8,6.9,6.3,1308257
30-11-21,6.9,7.1,7.3,6.9,1914257
01-12-21,7.0,7.2,7.4,6.8,1814090
02-12-21,7.2,7.9,7.9,7.2,3168494
03-12-21,8.3,7.6,8.4,7.5,2137811
06-12-21,7.6,7.1,7.6,7.0,1864651
07-12-21,7.2,7.7,7.8,7.1,1854779
08-12-21,7.8,7.5,8.0,7.5,963423
09-12-21,7.5,7.9,8.2,7.4,1812227
10-12-21,7.9,7.9,8.0,7.7,1226140
13-12-21,8.0,8.4,8.5,7.8,1888307
14-12-21,8.4,8.3,8.7,8.1,1769058
15-12-21,8.4,8.3,8.5,8.1,1446458
16-12-21,8.3,8.3,8.4,8.0,1533301
17-12-21,8.4,8.4,8.7,8.3,1450755
20-12-21,8.4,8.5,8.7,8.3,1171832
21-12-21,8.5,8.4,8.6,8.3,1129199
22-12-21,8.4,9.1,9.2,8.3,2807414
23-12-21,9.1,8.9,9.5,8.4,1445661
24-12-21,9.0,8.8,9.0,8.6,759882
27-12-21,8.8,8.7,9.0,8.5,820845
28-12-21,8.8,9.0,9.2,8.6,1482236
29-12-21,9.0,9.0,9.2,8.9,659085
30-12-21,9.0,9.4,9.8,8.9,1423995
31-12-21,9.4,9.1,9.6,9.0,835294
04-01-22,9.1,9.1,9.2,9.0,680637
05-01-22,9.1,9.2,9.3,8.8,1408872
06-01-22,9.2,9.4,9.7,9.0,1299203
07-01-22,9.4,9.5,9.7,9.4,1021401
10-01-22,9.5,10.0,10.4,9.5,2416824
11-01-22,10.0,9.7,10.2,9.4,1132331
12-01-22,9.7,9.0,9.7,8.8,1654567
13-01-22,9.0,8.1,9.4,8.1,1913897
14-01-22,8.1,8.3,8.8,7.3,1445654
17-01-22,8.3,7.8,8.8,7.7,701848
18-01-22,7.8,7.1,7.9,7.1,840732
19-01-22,7.0,6.4,7.0,6.4,870399
20-01-22,6.1,7.0,7.0,5.8,584301
21-01-22,7.7,7.7,7.7,7.4,773813
24-01-22,7.8,7.1,8.3,7.1,778171
25-01-22,7.1,7.8,7.8,6.5,574121
26-01-22,7.8,7.7,8.1,7.6,404140
27-01-22,7.7,7.3,7.8,7.2,210100
28-01-22,7.2,7.1,7.4,7.0,280012
07-02-22,7.2,7.4,7.8,7.1,438046
08-02-22,7.5,7.4,7.5,7.1,365639
09-02-22,7.4,7.5,7.6,7.4,388231
10-02-22,7.5,7.4,7.6,7.3,377513
11-02-22,7.4,7.3,7.4,7.2,364702
14-02-22,7.2,7.2,7.3,7.0,520790
15-02-22,7.2,7.3,7.3,7.1,236103
16-02-22,7.3,7.5,7.9,7.3,605992
17-02-22,7.5,7.4,7.5,7.4,371781
18-02-22,7.4,7.5,7.5,7.2,384881
21-02-22,7.5,8.0,8.1,7.5,1041326
22-02-22,8.0,7.7,8.0,7.6,662772
23-02-22,7.7,7.7,7.9,7.5,325157
24-02-22,7.7,7.4,7.8,7.0,975540
25-02-22,7.1,7.4,7.6,7.0,492772
28-02-22,7.4,7.3,7.5,7.2,325035
01-03-22,7.3,7.4,7.5,7.2,370063
