Date,Open,Close,High,Low,Volume
16-11-20,29.9,31.0,31.5,29.9,210750
17-11-20,32.5,33.4,33.9,32.0,286310
18-11-20,33.6,34.6,35.0,33.6,536260
19-11-20,38.0,34.1,38.0,33.6,302860
20-11-20,34.1,34.5,34.6,33.5,341580
23-11-20,34.5,34.5,34.7,33.8,451650
24-11-20,34.5,34.3,34.5,33.8,215520
25-11-20,34.3,32.4,34.3,32.4,382260
26-11-20,32.4,31.8,32.4,30.6,244220
27-11-20,32.1,32.6,32.9,31.9,158690
30-11-20,33.2,33.6,33.7,32.6,252500
01-12-20,29.1,29.2,29.3,28.0,92860
02-12-20,29.3,28.5,29.3,28.2,85614
03-12-20,28.5,27.9,28.5,27.7,233862
04-12-20,27.9,28.7,28.9,27.4,208898
07-12-20,28.7,28.0,28.7,27.7,58210
08-12-20,28.0,28.0,28.3,27.6,112109
09-12-20,28.0,27.8,28.1,27.2,255550
10-12-20,27.8,27.7,27.9,25.6,152698
11-12-20,27.1,27.1,27.7,26.8,74390
14-12-20,26.9,27.7,28.1,26.8,294403
15-12-20,28.0,28.7,28.9,27.0,546040
16-12-20,29.0,28.7,29.5,28.3,77547
17-12-20,28.7,27.8,28.7,27.7,192960
18-12-20,27.8,27.6,27.8,27.3,133290
21-12-20,27.8,27.7,27.8,27.1,235437
22-12-20,27.7,27.1,27.8,26.8,384650
23-12-20,27.0,26.0,27.0,25.9,527960
24-12-20,26.1,24.7,26.1,23.4,168440
25-12-20,24.7,24.7,26.0,23.6,239734
28-12-20,24.8,25.5,25.6,24.8,109650
29-12-20,26.2,25.1,26.2,25.0,104600
30-12-20,25.1,25.3,25.5,25.0,117105
31-12-20,25.3,25.4,25.9,25.0,148322
04-01-21,26.0,25.7,26.0,25.4,67875
05-01-21,25.5,25.9,26.0,25.3,118470
06-01-21,25.9,26.5,26.6,25.9,147432
07-01-21,26.5,26.6,26.9,26.3,107500
08-01-21,26.8,26.8,26.9,26.4,141985
11-01-21,26.8,27.9,28.0,26.0,350620
12-01-21,28.0,27.9,28.1,27.5,194820
13-01-21,27.9,27.7,28.0,27.2,127200
14-01-21,27.4,27.2,27.5,26.7,128000
15-01-21,27.5,27.3,27.5,26.5,200552
18-01-21,27.3,27.0,27.5,26.8,96600
19-01-21,26.8,26.2,26.8,24.3,297560
20-01-21,26.0,26.0,26.3,24.5,139332
21-01-21,26.8,27.5,27.8,26.1,372300
22-01-21,27.5,27.3,27.9,27.0,123300
25-01-21,27.0,27.3,27.3,26.6,75400
26-01-21,27.0,26.5,27.3,25.3,101380
27-01-21,25.5,25.6,26.4,24.0,168410
28-01-21,25.0,23.1,25.4,23.1,248500
29-01-21,20.8,24.4,24.4,20.8,216880
01-02-21,24.5,24.0,24.5,23.0,66290
02-02-21,23.9,23.6,24.0,22.7,60600
03-02-21,23.6,24.0,24.3,23.2,62100
04-02-21,24.0,24.0,25.2,23.7,148900
05-02-21,24.0,23.8,24.0,22.9,153300
08-02-21,23.0,23.7,24.2,22.8,112100
09-02-21,23.5,23.8,23.9,23.3,26715
