Date,Open,Close,High,Low,Volume
16-11-20,2.4,2.4,2.5,2.3,1498290
17-11-20,2.4,2.4,2.5,2.4,1243189
18-11-20,2.4,2.4,2.5,2.3,1684501
19-11-20,2.4,2.6,2.6,2.4,6006961
20-11-20,2.6,2.7,2.8,2.6,6358781
23-11-20,2.7,2.7,2.7,2.6,2542038
24-11-20,2.7,2.5,2.7,2.5,1664686
25-11-20,2.5,2.5,2.6,2.5,2050515
26-11-20,2.5,2.6,2.7,2.5,2167172
27-11-20,2.6,2.6,2.7,2.6,999550
30-11-20,2.6,2.6,2.7,2.5,1925787
01-12-20,2.6,2.7,2.7,2.5,4454200
02-12-20,2.7,2.7,2.8,2.6,4553995
03-12-20,2.7,2.7,2.8,2.7,2755041
04-12-20,2.7,2.6,2.8,2.6,2079996
07-12-20,2.6,2.7,2.7,2.6,529522
08-12-20,2.7,2.7,2.7,2.6,719110
09-12-20,2.7,2.9,2.9,2.6,12156974
10-12-20,3.0,2.8,3.0,2.8,4431569
11-12-20,2.8,2.8,2.9,2.7,2329467
14-12-20,2.8,2.8,2.8,2.7,1744296
15-12-20,2.8,3.0,3.0,2.8,20491709
16-12-20,3.1,3.3,3.3,3.1,5301843
17-12-20,3.6,3.6,3.6,3.5,20930796
18-12-20,3.7,3.8,3.9,3.4,15416142
21-12-20,4.0,3.7,4.0,3.7,8923902
22-12-20,3.7,3.9,3.9,3.6,8386639
23-12-20,3.9,4.0,4.2,3.7,18157770
24-12-20,4.0,4.3,4.4,3.8,16144360
25-12-20,4.3,4.7,4.7,4.2,14684781
28-12-20,4.7,4.8,4.9,4.6,14956699
29-12-20,4.8,4.6,4.8,4.5,11847664
30-12-20,4.6,4.5,4.7,4.5,10249152
31-12-20,4.5,4.2,4.6,4.2,12941928
04-01-21,4.2,4.4,4.6,4.1,11309417
05-01-21,4.5,4.3,4.5,4.2,9280002
06-01-21,4.3,4.4,4.4,4.2,6725871
07-01-21,4.4,4.4,4.4,4.2,6314064
08-01-21,4.4,4.6,4.8,4.4,15773364
11-01-21,4.6,4.8,4.8,4.5,9689199
12-01-21,4.8,4.7,4.9,4.6,6961979
13-01-21,4.7,4.7,4.8,4.5,9999697
14-01-21,4.7,4.6,4.7,4.5,6586633
15-01-21,4.6,5.0,5.0,4.5,16755988
18-01-21,5.1,5.1,5.5,5.0,15144533
19-01-21,5.2,4.8,5.3,4.6,27724134
20-01-21,4.8,5.2,5.2,4.4,21209554
21-01-21,5.3,5.6,5.7,5.3,12332940
22-01-21,5.7,5.5,5.7,5.4,9699779
25-01-21,5.5,5.4,5.5,5.3,6829653
26-01-21,5.4,5.1,5.4,4.9,14186397
27-01-21,5.1,4.6,5.1,4.6,11824186
28-01-21,4.5,4.2,4.5,4.2,10234395
29-01-21,3.8,4.6,4.6,3.8,15454516
01-02-21,4.6,4.3,4.9,4.2,12432340
