Date,Open,Close,High,Low,Volume
16-11-20,9.5,9.5,9.5,9.5,0
17-11-20,9.5,9.5,9.5,9.5,0
18-11-20,8.9,8.9,8.9,8.9,100
19-11-20,8.9,8.9,8.9,8.9,0
20-11-20,8.9,8.9,8.9,8.9,0
23-11-20,8.9,8.9,8.9,8.9,0
24-11-20,8.9,8.9,8.9,8.9,0
25-11-20,8.9,8.9,8.9,8.9,0
26-11-20,8.9,8.9,8.9,8.9,0
27-11-20,8.9,8.9,8.9,8.9,0
30-11-20,8.9,8.9,8.9,8.9,0
01-12-20,8.9,8.9,8.9,8.9,0
02-12-20,8.9,8.9,8.9,8.9,0
03-12-20,8.9,8.9,8.9,8.9,0
04-12-20,8.9,8.9,8.9,8.9,0
07-12-20,8.9,8.9,8.9,8.9,0
08-12-20,8.9,8.9,8.9,8.9,0
09-12-20,8.9,8.9,8.9,8.9,100
10-12-20,8.9,8.9,8.9,8.9,0
11-12-20,8.9,8.9,8.9,8.9,0
14-12-20,9.7,9.7,9.7,9.7,2100
15-12-20,9.7,9.7,9.7,9.7,0
16-12-20,9.7,9.7,9.7,9.7,0
17-12-20,9.7,9.7,9.7,9.7,0
18-12-20,10.0,10.0,10.0,10.0,100
21-12-20,10.0,10.0,10.0,10.0,100
22-12-20,10.0,10.0,10.0,10.0,0
23-12-20,10.0,10.0,10.0,10.0,0
24-12-20,10.0,10.0,10.0,10.0,0
25-12-20,10.5,11.0,11.0,10.5,3000
28-12-20,11.0,11.0,11.0,11.0,0
29-12-20,11.0,11.0,11.0,11.0,0
30-12-20,11.0,11.0,11.0,11.0,0
31-12-20,11.0,11.0,11.0,11.0,0
04-01-21,11.0,11.0,11.0,11.0,0
05-01-21,11.0,11.0,11.0,11.0,0
06-01-21,11.0,11.0,11.0,11.0,5100
07-01-21,11.0,11.0,11.0,11.0,0
08-01-21,11.0,11.0,11.0,11.0,4900
11-01-21,12.1,12.1,12.1,12.1,100
12-01-21,12.1,12.1,12.1,12.1,0
13-01-21,13.1,13.1,13.1,13.1,100
14-01-21,14.4,11.8,14.4,11.8,300
15-01-21,12.9,12.9,12.9,12.9,100
18-01-21,14.1,14.1,14.1,14.1,100
19-01-21,15.0,12.7,15.0,12.7,300
20-01-21,11.5,11.5,11.5,11.5,100
21-01-21,11.5,11.5,11.5,11.5,100
22-01-21,10.4,10.4,10.4,10.4,100
25-01-21,10.4,9.6,10.4,9.6,200
26-01-21,10.5,10.5,10.5,10.5,11000
27-01-21,11.3,11.2,11.3,11.2,23700
28-01-21,11.2,12.2,12.2,11.2,2800
29-01-21,11.0,13.0,13.0,11.0,200
01-02-21,11.7,11.7,11.7,11.7,2400
02-02-21,11.7,11.7,11.7,11.7,0
03-02-21,11.7,11.7,11.7,11.7,0
04-02-21,11.7,11.7,11.7,11.7,2000
05-02-21,10.6,10.6,10.6,10.6,100
08-02-21,10.6,10.6,10.6,10.6,0
09-02-21,10.6,10.6,10.6,10.6,0
17-02-21,10.6,10.6,10.6,10.6,0
18-02-21,9.7,9.7,9.7,9.7,100
19-02-21,9.7,9.7,9.7,9.7,0
22-02-21,9.2,9.2,9.2,9.2,2000
23-02-21,9.2,9.2,9.2,9.2,0
24-02-21,9.3,9.3,9.3,9.3,1000
25-02-21,10.2,10.2,10.2,10.2,1900
26-02-21,9.2,9.2,9.2,9.2,100
01-03-21,9.2,9.2,9.2,9.2,100
02-03-21,9.2,9.2,9.2,9.2,0
03-03-21,10.1,9.5,10.1,9.5,600
04-03-21,9.5,9.5,9.5,9.5,0
05-03-21,9.5,10.0,10.0,9.5,1100
08-03-21,10.0,10.0,10.0,10.0,0
09-03-21,10.0,10.0,10.0,10.0,0
10-03-21,9.6,9.6,9.6,9.6,100
11-03-21,9.7,9.7,9.7,9.7,2800
12-03-21,10.0,10.6,10.6,10.0,13100
15-03-21,10.6,10.6,10.6,10.6,0
16-03-21,11.6,11.6,11.6,11.6,100
17-03-21,11.6,11.6,11.6,11.6,1000
18-03-21,11.6,11.6,11.6,11.6,0
19-03-21,11.0,10.8,11.5,10.8,8400
22-03-21,10.8,10.8,10.8,10.8,0
23-03-21,10.8,10.8,10.8,10.8,0
24-03-21,10.9,10.9,10.9,10.5,400
25-03-21,10.5,11.0,11.0,10.0,14000
26-03-21,11.0,11.0,11.0,11.0,200
29-03-21,10.0,10.0,10.0,10.0,400
30-03-21,10.8,10.8,10.8,10.8,100
31-03-21,10.8,10.8,10.8,10.8,0
01-04-21,11.2,11.2,11.2,10.6,3000
02-04-21,10.2,11.2,11.2,10.2,200
05-04-21,11.2,11.2,11.2,11.2,0
06-04-21,11.8,11.8,11.8,11.8,100
07-04-21,11.0,11.1,11.3,11.0,9500
08-04-21,10.1,11.0,11.0,10.1,1100
09-04-21,11.5,11.2,11.6,10.5,11600
12-04-21,11.5,11.3,11.5,11.3,900
13-04-21,11.0,11.2,11.2,11.0,1500
14-04-21,10.2,11.2,11.2,10.2,9600
15-04-21,11.2,11.2,11.2,11.2,0
16-04-21,11.2,11.2,11.2,11.2,0
19-04-21,11.2,11.2,11.2,11.2,0
20-04-21,11.2,11.2,11.2,11.2,0
22-04-21,11.0,10.2,12.3,10.2,7700
23-04-21,11.0,11.0,11.0,11.0,100
26-04-21,10.5,11.0,11.0,10.5,1000
27-04-21,10.8,10.8,10.8,10.8,1100
28-04-21,10.7,10.7,10.7,10.7,1000
29-04-21,11.3,11.3,11.3,11.3,100
04-05-21,11.3,11.3,11.3,11.3,0
05-05-21,11.3,11.3,11.3,11.3,0
06-05-21,11.3,11.3,11.3,11.3,0
07-05-21,11.2,10.5,11.2,10.5,2800
10-05-21,10.5,10.5,10.5,10.5,0
11-05-21,10.4,10.5,10.5,10.4,1100
12-05-21,10.0,10.8,10.8,10.0,2200
13-05-21,10.8,10.8,10.8,10.8,0
14-05-21,11.1,11.1,11.1,11.1,100
17-05-21,10.0,10.9,10.9,10.0,500
18-05-21,10.9,10.9,10.9,10.9,0
19-05-21,11.9,11.9,11.9,11.9,100
20-05-21,10.8,11.4,11.4,10.8,3200
21-05-21,11.4,11.4,11.4,11.4,0
24-05-21,11.4,11.4,11.4,11.4,0
25-05-21,11.4,11.4,11.4,11.4,0
26-05-21,10.3,11.2,11.2,10.3,200
27-05-21,11.2,11.2,11.2,11.2,0
28-05-21,10.1,10.5,10.5,10.1,4500
31-05-21,10.5,10.5,10.5,10.5,0
01-06-21,9.8,9.7,9.8,9.7,1600
02-06-21,10.4,10.4,10.4,10.4,400
03-06-21,10.4,10.4,10.4,10.4,0
04-06-21,10.4,10.4,10.4,10.4,0
07-06-21,10.4,10.4,10.4,10.4,0
08-06-21,10.4,10.4,10.4,10.4,0
09-06-21,10.4,10.4,10.4,10.4,0
