Date,Open,Close,High,Low,Volume
16-11-20,14.0,14.0,14.0,14.0,0
17-11-20,14.0,14.7,14.8,14.0,11000
18-11-20,14.7,14.7,14.7,14.7,0
19-11-20,14.0,14.0,14.0,14.0,1000
20-11-20,14.0,14.0,14.0,14.0,1
23-11-20,14.0,14.0,14.0,14.0,1500
24-11-20,14.9,14.9,14.9,14.9,150
25-11-20,14.9,14.9,14.9,14.9,0
26-11-20,14.9,14.9,14.9,14.9,200
27-11-20,14.9,16.0,16.0,14.9,5000
30-11-20,14.0,16.5,16.5,14.0,5121
01-12-20,16.0,16.0,16.0,16.0,0
02-12-20,14.2,14.8,16.0,14.2,3600
03-12-20,14.5,15.7,15.7,14.5,4604
04-12-20,14.5,15.0,15.0,14.5,4600
07-12-20,13.5,14.5,16.0,13.5,11100
08-12-20,15.7,14.3,15.9,14.3,5400
09-12-20,14.8,14.9,16.0,14.5,7000
10-12-20,14.7,15.1,17.0,14.7,9100
11-12-20,16.0,16.5,16.5,16.0,4300
14-12-20,15.2,16.4,16.4,15.2,300
15-12-20,16.3,17.0,17.0,16.3,5600
16-12-20,17.0,18.0,18.0,17.0,4000
17-12-20,16.7,17.5,17.5,16.7,4000
18-12-20,18.0,17.5,18.0,17.1,1100
21-12-20,15.2,16.8,18.5,15.2,10900
22-12-20,16.1,16.1,16.3,16.1,6100
23-12-20,18.0,18.0,18.0,18.0,500
24-12-20,16.4,16.4,16.4,16.4,100
25-12-20,17.8,16.4,18.0,16.1,17500
28-12-20,16.3,16.3,16.3,16.3,100
29-12-20,18.5,18.7,18.7,16.1,20400
30-12-20,21.3,19.5,21.3,19.0,15500
31-12-20,18.6,20.0,20.0,18.6,4000
04-01-21,18.8,18.8,18.8,18.8,0
05-01-21,18.9,21.6,21.6,18.9,9200
06-01-21,21.0,21.5,22.0,20.5,7121
07-01-21,21.0,21.0,21.0,19.1,9808
08-01-21,21.0,18.4,21.0,18.4,2450
11-01-21,20.5,20.5,21.2,20.5,15100
12-01-21,21.0,21.0,21.1,21.0,30021
13-01-21,19.5,19.6,19.6,19.5,11600
14-01-21,19.0,21.0,21.0,19.0,1978
15-01-21,21.0,23.0,23.0,21.0,3111
18-01-21,21.0,18.9,21.0,18.9,20200
19-01-21,19.2,20.5,20.5,18.2,43700
20-01-21,18.6,18.6,18.6,18.6,0
21-01-21,20.8,18.6,20.9,18.6,11000
22-01-21,18.8,21.6,21.6,18.8,46000
25-01-21,22.5,23.5,23.5,22.5,13000
26-01-21,20.0,22.0,22.0,20.0,14600
27-01-21,21.9,22.0,24.5,21.9,9700
28-01-21,22.0,22.2,22.6,22.0,13000
