Date,Open,Close,High,Low,Volume
16-11-20,2.3,2.4,2.4,2.3,500
17-11-20,2.3,2.3,2.4,2.3,69500
18-11-20,2.2,2.3,2.3,2.2,11200
19-11-20,2.3,2.3,2.4,2.3,75900
20-11-20,2.4,2.4,2.4,2.3,45100
23-11-20,2.4,2.3,2.4,2.3,9000
24-11-20,2.4,2.3,2.4,2.3,76600
25-11-20,2.3,2.5,2.5,2.3,82500
26-11-20,2.5,2.5,2.5,2.3,67810
27-11-20,2.4,2.4,2.4,2.3,28600
30-11-20,2.4,2.4,2.4,2.4,200
01-12-20,2.3,2.3,2.4,2.3,68800
02-12-20,2.3,2.4,2.4,2.3,15500
03-12-20,2.4,2.4,2.4,2.3,3700
04-12-20,2.4,2.4,2.4,2.4,100
07-12-20,2.4,2.4,2.4,2.3,8600
08-12-20,2.3,2.4,2.4,2.3,46400
09-12-20,2.4,2.4,2.4,2.3,46300
10-12-20,2.3,2.3,2.4,2.3,149440
11-12-20,2.4,2.4,2.4,2.2,71200
14-12-20,2.3,2.4,2.4,2.3,40500
15-12-20,2.4,2.4,2.5,2.3,149600
16-12-20,2.4,2.6,2.6,2.4,328822
17-12-20,2.7,2.8,2.8,2.7,355700
18-12-20,3.0,3.0,3.0,2.9,307800
21-12-20,3.1,3.0,3.2,2.9,175400
22-12-20,3.0,3.0,3.0,2.8,167000
23-12-20,2.9,3.0,3.0,2.8,109700
24-12-20,3.0,2.8,3.0,2.7,323500
25-12-20,2.9,2.9,2.9,2.7,33600
28-12-20,2.9,2.8,3.0,2.8,121222
29-12-20,2.8,2.7,2.8,2.6,115020
30-12-20,2.7,2.9,2.9,2.7,214200
31-12-20,3.0,3.1,3.1,2.9,246300
04-01-21,3.1,3.1,3.2,2.9,182410
05-01-21,3.0,3.2,3.3,2.9,142620
06-01-21,3.2,2.9,3.2,2.9,185606
07-01-21,2.9,3.1,3.1,2.9,51700
08-01-21,3.0,3.1,3.2,3.0,83400
11-01-21,3.1,3.0,3.2,3.0,109500
12-01-21,3.0,3.1,3.1,3.0,153140
13-01-21,3.1,3.3,3.3,3.1,242800
14-01-21,3.3,3.2,3.3,3.1,175000
15-01-21,3.2,3.5,3.5,3.2,388960
18-01-21,3.5,3.8,3.8,3.5,144920
19-01-21,3.9,3.5,4.1,3.5,254000
20-01-21,3.4,3.4,3.4,3.2,440700
21-01-21,3.2,3.6,3.6,3.2,106260
22-01-21,3.6,3.5,3.7,3.4,263600
25-01-21,3.5,3.4,3.6,3.4,277000
26-01-21,3.3,3.3,3.4,3.2,96880
27-01-21,3.2,3.0,3.3,3.0,430000
28-01-21,3.0,2.7,3.0,2.7,420000
29-01-21,2.6,2.8,2.9,2.5,139600
01-02-21,2.8,2.6,2.8,2.6,134200
02-02-21,2.5,2.5,2.7,2.5,109100
03-02-21,2.6,2.7,2.7,2.5,178100
04-02-21,2.8,2.9,2.9,2.8,332000
05-02-21,3.0,3.0,3.1,3.0,119800
08-02-21,3.0,2.8,3.1,2.7,182400
09-02-21,2.8,3.0,3.0,2.7,85400
17-02-21,3.1,2.9,3.1,2.9,24500
18-02-21,3.0,3.1,3.1,3.0,173300
19-02-21,3.0,3.1,3.1,3.0,96400
22-02-21,3.1,3.0,3.1,2.9,145700
23-02-21,3.0,3.1,3.1,2.9,102200
24-02-21,3.1,3.1,3.1,3.0,93800
25-02-21,3.1,3.0,3.1,2.9,135500
26-02-21,2.9,3.1,3.1,2.9,61200
01-03-21,3.1,3.1,3.2,3.0,230400
02-03-21,3.2,3.3,3.3,3.1,394600
03-03-21,3.3,3.4,3.4,3.2,254300
04-03-21,3.5,3.4,3.5,3.3,336220
05-03-21,3.4,3.6,3.6,3.3,246600
08-03-21,3.7,3.9,3.9,3.7,697170
09-03-21,4.0,3.9,4.2,3.9,558600
10-03-21,3.9,3.8,3.9,3.8,193000
11-03-21,3.7,3.7,3.9,3.5,414600
12-03-21,3.7,3.7,4.0,3.7,430813
15-03-21,3.7,4.0,4.0,3.7,364850
16-03-21,4.1,4.0,4.1,4.0,233200
17-03-21,4.1,4.1,4.2,4.0,127900
18-03-21,4.1,4.0,4.1,3.9,357300
19-03-21,4.0,4.1,4.4,4.0,912419
22-03-21,4.0,4.4,4.5,4.0,423900
23-03-21,4.4,4.8,4.8,4.4,1131813
24-03-21,4.9,5.2,5.2,4.9,218185
25-03-21,5.3,5.7,5.7,5.3,1946514
26-03-21,6.2,6.2,6.2,5.3,2337010
29-03-21,6.2,5.8,6.7,5.6,1882844
30-03-21,5.8,6.3,6.3,5.3,3577701
31-03-21,6.4,6.9,6.9,6.3,3222343
01-04-21,7.0,7.3,7.5,6.8,1316960
02-04-21,7.3,6.6,7.6,6.6,4367316
05-04-21,6.6,6.8,6.9,6.0,1493400
06-04-21,6.8,6.7,7.1,6.5,1195600
07-04-21,6.6,6.5,6.8,6.3,1148940
08-04-21,6.5,6.6,6.7,6.3,937103
09-04-21,6.5,7.2,7.2,6.5,2128415
12-04-21,7.2,6.8,7.5,6.7,1225700
13-04-21,6.5,6.9,7.0,6.5,1371101
14-04-21,6.7,6.7,6.9,6.3,1226300
15-04-21,6.7,6.6,7.1,6.4,4085037
16-04-21,6.6,6.5,6.6,6.0,1011903
19-04-21,6.5,6.0,6.5,6.0,617000
20-04-21,6.0,6.6,6.6,5.4,2548200
22-04-21,7.0,6.3,7.0,6.3,1159900
23-04-21,6.3,6.3,6.3,5.8,464600
26-04-21,6.3,5.8,6.5,5.8,391600
27-04-21,5.7,6.3,6.3,5.5,3611700
28-04-21,6.4,6.4,6.7,6.2,296600
29-04-21,6.4,6.1,6.7,6.0,158700
04-05-21,6.0,5.8,6.0,5.7,357800
05-05-21,5.8,6.1,6.2,5.8,416800
06-05-21,6.1,6.0,6.1,5.8,287800
07-05-21,5.9,5.6,5.9,5.5,386600
10-05-21,5.6,5.8,6.0,5.4,563209
11-05-21,5.9,5.9,5.9,5.6,390400
12-05-21,5.8,5.9,5.9,5.6,116500
13-05-21,5.8,5.7,5.9,5.6,236500
14-05-21,5.7,6.0,6.2,5.7,2120909
17-05-21,6.0,5.6,6.0,5.6,221900
18-05-21,5.7,5.7,5.8,5.5,220100
19-05-21,5.6,5.7,5.8,5.6,191400
20-05-21,5.6,5.6,5.7,5.5,118609
21-05-21,5.6,5.7,5.7,5.5,162100
24-05-21,6.2,5.5,6.2,5.5,103120
25-05-21,5.6,5.4,5.7,5.3,163900
26-05-21,5.4,5.3,5.5,5.2,305900
27-05-21,5.3,5.3,5.6,5.2,365500
28-05-21,5.3,5.3,5.3,5.1,138809
31-05-21,5.3,4.8,5.3,4.8,708200
01-06-21,4.8,5.2,5.2,4.4,1868900
02-06-21,5.2,5.2,5.4,5.1,119400
03-06-21,5.2,5.4,5.4,5.0,351600
04-06-21,5.4,5.1,5.4,5.0,426200
07-06-21,5.2,5.1,5.2,5.0,235300
08-06-21,5.0,5.1,5.5,4.9,250000
09-06-21,5.1,5.2,5.2,5.0,62229
10-06-21,5.2,5.1,5.2,5.0,58800
11-06-21,5.1,5.0,5.2,5.0,141400
14-06-21,5.0,4.9,5.0,4.9,145029
15-06-21,5.0,5.2,5.2,4.9,1151400
16-06-21,5.2,5.2,5.2,5.0,140000
17-06-21,5.2,5.2,5.2,5.0,104200
18-06-21,5.1,5.1,5.2,5.0,217700
21-06-21,5.1,5.2,5.3,5.1,307600
22-06-21,5.2,5.1,5.2,5.1,75200
23-06-21,5.1,5.1,5.2,5.0,250729
24-06-21,5.1,5.1,5.1,5.0,60200
25-06-21,5.1,5.1,5.1,4.9,73100
28-06-21,5.1,5.1,5.1,5.0,109729
29-06-21,5.1,5.1,5.1,5.0,123600
30-06-21,5.0,4.9,5.1,4.9,72900
01-07-21,4.9,5.0,5.0,4.9,66500
02-07-21,4.9,4.8,5.0,4.8,266500
05-07-21,4.8,4.6,4.8,4.5,178500
06-07-21,4.6,4.6,4.7,4.4,182700
07-07-21,4.5,4.2,4.5,4.2,190200
08-07-21,4.4,4.6,4.6,4.3,335100
09-07-21,4.7,4.8,5.0,4.7,435500
12-07-21,4.8,4.4,5.1,4.4,248400
13-07-21,4.1,4.5,4.5,4.1,107600
14-07-21,4.6,4.6,4.6,4.3,114601
15-07-21,4.6,4.5,4.6,4.3,43500
16-07-21,4.6,4.5,4.6,4.3,156000
19-07-21,4.3,4.2,4.3,4.1,190800
20-07-21,4.1,4.3,4.3,4.0,119600
21-07-21,4.3,4.7,4.7,4.3,521600
22-07-21,4.8,5.1,5.1,4.8,860400
23-07-21,5.5,5.1,5.6,5.1,1049000
26-07-21,5.0,5.2,5.2,4.7,255900
27-07-21,5.2,5.1,5.2,4.9,256200
28-07-21,4.9,4.8,5.0,4.7,305900
29-07-21,4.8,5.2,5.2,4.7,653700
30-07-21,5.6,5.2,5.6,5.0,251800
02-08-21,5.1,5.3,5.6,5.1,788000
03-08-21,5.3,5.4,5.4,5.2,277900
04-08-21,5.4,5.5,5.5,5.3,186100
05-08-21,5.3,5.6,5.6,5.3,487800
06-08-21,5.6,5.5,5.8,5.5,415100
09-08-21,5.4,5.4,5.6,5.3,221100
10-08-21,5.4,5.6,5.6,5.4,292200
11-08-21,5.6,5.8,5.8,5.5,366100
12-08-21,5.8,6.3,6.3,5.8,1609700
13-08-21,6.3,6.0,6.4,5.9,424600
16-08-21,6.2,6.1,6.3,6.1,304936
17-08-21,6.1,6.0,6.1,5.9,391800
18-08-21,6.0,6.1,6.3,6.0,461500
19-08-21,6.1,6.2,6.3,6.0,643100
20-08-21,6.3,6.3,6.7,6.0,1947250
23-08-21,6.3,6.1,6.8,6.0,1991317
24-08-21,6.3,6.0,6.5,5.9,598505
25-08-21,6.0,6.0,6.0,5.6,731350
26-08-21,6.0,6.0,6.1,5.8,377500
27-08-21,5.9,6.0,6.0,5.7,495600
30-08-21,6.0,6.2,6.3,5.9,506500
31-08-21,6.2,6.1,6.4,6.1,644600
01-09-21,6.1,6.1,6.2,6.0,519100
06-09-21,6.1,6.7,6.7,6.1,2167926
07-09-21,6.9,6.4,6.9,6.2,835500
08-09-21,6.4,6.5,6.7,6.3,575000
09-09-21,6.5,6.3,6.6,6.3,421800
10-09-21,6.3,6.9,6.9,6.2,1378643
13-09-21,6.9,7.5,7.5,6.9,2712787
14-09-21,8.0,8.2,8.2,7.5,1770541
15-09-21,8.4,8.2,8.8,7.5,1449851
16-09-21,8.2,7.9,8.2,7.7,1678672
17-09-21,7.8,8.6,8.6,7.8,613467
20-09-21,9.3,8.8,9.4,8.7,1553680
21-09-21,8.8,9.1,9.2,8.1,1306400
22-09-21,9.1,9.6,10.0,8.8,1220654
23-09-21,9.7,8.7,10.0,8.7,1426639
24-09-21,8.7,7.9,8.7,7.9,1447900
27-09-21,7.9,7.2,8.2,7.2,1164400
28-09-21,7.2,7.9,7.9,6.6,928581
29-09-21,7.9,8.3,8.6,7.8,648595
30-09-21,8.3,8.3,8.8,8.1,501400
01-10-21,8.2,8.2,8.4,8.0,710400
04-10-21,8.2,8.5,8.7,8.0,466001
05-10-21,8.3,8.4,8.6,8.0,358300
06-10-21,8.3,8.4,8.5,8.2,539410
07-10-21,8.4,8.5,8.8,8.4,583802
08-10-21,8.6,8.6,8.8,8.4,552900
11-10-21,8.6,8.5,8.7,8.4,434300
12-10-21,8.5,8.2,8.5,8.2,484501
13-10-21,8.2,8.3,8.3,8.1,255310
14-10-21,8.4,8.4,8.4,8.1,343600
15-10-21,8.4,8.2,8.5,8.2,556572
