Date,Open,Close,High,Low,Volume
16-11-20,12.6,12.6,12.6,12.6,0
17-11-20,12.6,12.6,12.6,12.6,20
18-11-20,12.5,12.5,12.5,12.5,400
19-11-20,12.5,12.5,12.5,12.5,0
20-11-20,12.5,12.5,12.5,12.5,1
23-11-20,12.5,12.5,12.5,12.5,100
24-11-20,12.5,12.5,12.5,12.5,0
25-11-20,12.5,12.5,12.5,12.5,0
26-11-20,13.4,13.4,13.4,13.4,200
27-11-20,13.4,13.4,13.4,13.4,0
30-11-20,13.4,13.4,13.4,13.4,0
01-12-20,13.4,13.4,13.4,13.4,0
02-12-20,13.4,13.4,13.4,13.4,0
03-12-20,13.4,13.4,13.4,13.4,0
04-12-20,13.4,13.4,13.4,13.4,1
07-12-20,13.4,13.4,13.4,13.4,0
08-12-20,13.4,13.4,13.4,13.4,0
09-12-20,13.4,13.4,13.4,13.4,0
10-12-20,14.0,14.7,14.7,14.0,6200
11-12-20,14.7,14.7,14.7,14.7,0
14-12-20,14.7,14.7,14.7,14.7,0
15-12-20,14.7,14.7,14.7,14.7,0
16-12-20,14.7,14.7,14.7,14.7,0
17-12-20,14.7,14.7,14.7,14.7,0
18-12-20,14.7,14.7,14.7,14.7,0
21-12-20,14.7,14.7,14.7,14.7,0
22-12-20,14.7,14.7,14.7,14.7,0
23-12-20,14.7,14.7,14.7,14.7,0
24-12-20,14.7,14.7,14.7,14.7,0
25-12-20,14.7,14.7,14.7,14.7,0
28-12-20,14.7,14.7,14.7,14.7,0
29-12-20,14.7,14.7,14.7,14.7,0
30-12-20,13.3,13.3,13.3,13.3,110
31-12-20,13.7,12.7,13.7,12.7,1640
04-01-21,12.7,12.7,12.7,12.7,0
05-01-21,12.7,12.7,12.7,12.7,0
06-01-21,12.7,12.7,12.7,12.7,0
07-01-21,12.6,12.6,12.6,12.6,100
08-01-21,13.0,12.5,13.5,12.5,2300
11-01-21,12.5,12.5,12.5,12.5,0
12-01-21,12.5,12.5,12.5,12.5,0
13-01-21,13.4,12.8,13.7,12.6,10100
14-01-21,12.8,12.8,12.8,12.8,0
15-01-21,12.8,12.8,12.8,12.8,0
18-01-21,12.8,12.8,12.8,12.8,0
19-01-21,13.1,13.1,13.7,13.1,2400
20-01-21,11.8,11.8,11.8,11.8,1900
21-01-21,12.9,12.9,12.9,12.9,100
22-01-21,12.3,12.0,12.3,12.0,5100
25-01-21,12.3,13.1,13.1,12.0,5100
26-01-21,11.9,14.3,14.3,11.8,6400
27-01-21,14.3,14.3,14.3,14.3,0
28-01-21,12.9,12.9,12.9,12.9,1200
29-01-21,12.2,13.0,13.0,12.2,2200
01-02-21,13.0,13.0,13.0,13.0,0
02-02-21,13.0,13.0,13.0,13.0,0
03-02-21,13.0,13.0,13.0,13.0,0
04-02-21,13.0,13.0,13.0,13.0,0
05-02-21,13.0,13.0,13.0,13.0,0
08-02-21,13.0,13.0,13.0,13.0,4000
09-02-21,13.0,13.0,13.0,13.0,0
17-02-21,14.3,14.3,14.3,14.3,100
18-02-21,14.3,14.3,14.3,14.3,0
19-02-21,14.3,14.3,14.3,14.3,0
22-02-21,14.3,14.3,14.3,14.3,0
23-02-21,12.9,12.9,12.9,12.9,3000
24-02-21,12.5,12.5,12.5,12.5,100
25-02-21,12.5,12.5,12.5,12.5,0
26-02-21,12.5,12.5,12.5,12.5,0
01-03-21,12.5,12.5,12.5,12.5,200
02-03-21,13.7,13.7,13.7,13.7,400
03-03-21,13.7,13.7,13.7,13.7,100
04-03-21,13.5,13.5,13.5,13.5,400
05-03-21,13.0,13.0,13.0,13.0,200
08-03-21,13.7,14.0,14.3,13.7,3040
09-03-21,14.0,13.7,14.0,13.7,1300
10-03-21,14.2,13.8,14.5,13.7,11200
11-03-21,14.5,14.0,14.5,14.0,2000
12-03-21,14.5,14.6,14.6,14.5,5000
15-03-21,14.5,14.7,14.7,14.5,1000
16-03-21,14.8,14.8,15.3,14.8,3200
17-03-21,14.5,14.9,14.9,14.4,900
18-03-21,15.0,14.8,15.1,14.8,3210
19-03-21,14.8,14.7,14.8,14.7,1610
22-03-21,15.5,15.0,15.5,14.8,17400
23-03-21,13.8,13.8,13.8,13.8,100
24-03-21,13.7,13.7,13.8,13.7,2600
25-03-21,12.7,13.7,13.7,12.7,1300
26-03-21,13.7,13.7,13.7,13.7,0
29-03-21,13.7,13.7,13.7,13.6,1400
30-03-21,13.5,13.5,13.7,13.5,1100
31-03-21,13.5,13.5,13.5,13.5,0
01-04-21,13.5,13.5,13.5,13.5,0
02-04-21,13.0,13.1,13.1,13.0,1301
05-04-21,12.5,12.0,12.5,12.0,8700
06-04-21,12.0,12.0,12.0,12.0,32539
07-04-21,12.0,12.0,12.0,12.0,0
08-04-21,12.0,12.4,12.4,12.0,19300
09-04-21,12.4,12.4,12.4,12.4,0
12-04-21,12.4,12.4,12.4,12.4,0
13-04-21,13.5,13.5,13.5,13.5,300
14-04-21,13.5,13.5,13.5,13.5,0
15-04-21,13.4,13.4,13.4,13.4,200
16-04-21,13.4,13.4,13.4,13.4,0
19-04-21,12.1,13.4,13.4,12.1,14600
20-04-21,14.3,14.7,14.7,13.7,64700
22-04-21,14.9,16.0,16.1,14.8,23900
23-04-21,15.9,15.0,15.9,15.0,6700
26-04-21,15.0,15.0,15.2,14.8,12900
27-04-21,14.9,14.9,15.0,14.0,21900
28-04-21,14.9,14.7,14.9,14.7,4200
29-04-21,14.7,14.8,14.8,14.5,6500
04-05-21,14.8,14.5,14.8,14.5,10600
05-05-21,14.3,14.5,14.5,14.1,16200
06-05-21,14.4,14.1,14.4,14.1,3800
07-05-21,14.1,14.0,14.1,13.9,6300
10-05-21,13.9,14.5,14.5,13.8,14400
11-05-21,14.4,14.5,14.5,14.4,11103
12-05-21,14.5,14.0,14.5,14.0,937
13-05-21,14.0,14.0,14.0,14.0,4500
14-05-21,14.0,14.0,14.0,14.0,0
17-05-21,14.0,14.5,14.5,14.0,3600
18-05-21,14.5,14.4,14.5,14.4,2500
19-05-21,14.4,14.4,14.4,14.4,0
20-05-21,14.4,14.4,14.4,14.2,2800
21-05-21,14.1,14.1,14.1,14.1,500
24-05-21,14.6,14.6,14.6,14.6,1100
25-05-21,14.1,14.0,14.1,13.9,16200
26-05-21,14.1,14.4,14.4,14.1,9500
27-05-21,14.4,14.4,14.4,14.4,0
28-05-21,13.9,14.2,14.2,13.9,2100
31-05-21,13.9,14.2,14.2,13.8,4900
01-06-21,15.6,14.6,15.6,14.6,200
02-06-21,14.5,14.5,14.5,14.5,1700
03-06-21,14.5,14.0,14.5,14.0,400
04-06-21,14.1,14.1,14.1,14.1,7500
07-06-21,14.9,14.3,15.0,14.3,8000
08-06-21,14.3,14.5,14.5,14.3,300
09-06-21,14.5,14.5,14.5,14.5,0
10-06-21,14.5,14.5,14.5,14.5,4900
11-06-21,14.2,15.0,15.0,14.0,13300
14-06-21,15.2,15.5,15.5,15.2,1000
15-06-21,15.5,15.5,15.5,15.5,4600
16-06-21,15.5,15.5,15.5,15.3,12300
17-06-21,15.5,15.5,15.5,15.5,14200
18-06-21,15.5,15.5,15.5,15.5,2200
21-06-21,15.5,15.5,15.5,15.5,0
22-06-21,15.5,15.5,15.5,15.5,100
23-06-21,15.7,15.5,15.7,15.5,2618
24-06-21,15.5,15.5,15.5,15.5,0
25-06-21,16.1,15.5,16.1,15.5,15000
28-06-21,15.7,15.5,15.7,15.5,22600
29-06-21,15.8,15.8,15.8,15.8,139
30-06-21,16.1,16.1,16.1,16.1,3000
01-07-21,16.1,16.1,16.1,16.1,100
02-07-21,16.1,16.1,16.1,16.1,0
05-07-21,16.1,16.1,16.1,16.1,8000
06-07-21,14.5,16.1,16.5,14.5,3303
07-07-21,14.5,16.9,16.9,14.5,900
08-07-21,16.1,16.1,16.1,16.1,3300
09-07-21,14.5,16.2,16.2,14.5,10200
12-07-21,14.6,16.5,16.5,14.6,3300
13-07-21,16.5,16.5,16.5,16.5,700
14-07-21,16.5,16.5,16.5,16.5,0
15-07-21,16.0,17.4,17.4,16.0,20900
16-07-21,17.7,17.7,17.7,17.7,5000
19-07-21,17.5,19.4,19.4,17.5,37400
20-07-21,21.3,20.2,21.3,20.1,24590
21-07-21,22.2,22.2,22.2,20.0,11900
22-07-21,22.2,22.0,22.2,20.7,2500
23-07-21,20.1,20.2,22.0,20.1,400
26-07-21,22.2,22.2,22.2,20.4,2000
27-07-21,21.0,21.1,24.4,21.0,5000
28-07-21,21.1,21.1,21.1,21.1,39
29-07-21,21.2,19.0,21.9,19.0,64000
30-07-21,20.9,20.9,20.9,20.3,3400
02-08-21,21.0,20.9,21.0,20.9,4740
03-08-21,20.9,19.3,20.9,19.3,4100
04-08-21,20.8,20.4,21.2,19.3,79600
05-08-21,20.1,20.8,22.4,20.1,3700
06-08-21,21.0,21.0,21.0,21.0,200
09-08-21,22.5,21.2,23.1,21.0,15000
10-08-21,21.5,21.5,21.5,21.5,110
11-08-21,22.0,23.6,23.6,22.0,1800
12-08-21,22.0,22.0,22.0,22.0,1500
13-08-21,22.5,23.0,23.0,22.5,1400
16-08-21,23.0,23.0,23.0,23.0,0
17-08-21,23.0,23.0,23.0,23.0,900
18-08-21,22.9,23.0,23.0,22.9,400
19-08-21,23.3,23.3,23.3,23.3,1200
20-08-21,24.0,24.0,24.0,24.0,4000
23-08-21,21.9,24.0,24.0,21.8,1000
24-08-21,22.3,22.4,24.0,22.2,500
25-08-21,23.8,22.5,23.8,22.5,3100
26-08-21,22.6,22.6,22.6,22.6,4200
27-08-21,22.6,22.5,22.6,22.5,2500
30-08-21,21.6,23.7,23.8,21.6,1300
31-08-21,21.7,23.8,24.0,21.7,4500
01-09-21,23.9,25.0,25.0,23.0,34700
06-09-21,25.0,26.8,27.5,25.0,2805
07-09-21,26.7,26.0,26.8,26.0,1500
08-09-21,26.0,25.9,26.5,25.9,2700
09-09-21,26.2,26.2,26.2,26.2,100
10-09-21,27.0,28.8,28.8,26.3,6005
13-09-21,29.0,26.8,29.0,26.8,1300
14-09-21,27.0,29.4,29.4,27.0,3625
15-09-21,26.6,26.6,26.6,26.5,6800
16-09-21,26.4,26.5,26.5,26.4,35854
17-09-21,26.5,26.5,26.5,26.5,10
20-09-21,29.0,29.0,29.0,29.0,100
21-09-21,29.0,29.0,29.0,29.0,100
22-09-21,29.0,28.2,29.0,26.5,3300
23-09-21,27.8,27.8,27.8,27.8,234
24-09-21,25.2,25.9,26.0,25.1,5320
27-09-21,24.0,24.0,24.0,24.0,300
28-09-21,24.0,24.0,24.0,24.0,0
29-09-21,24.0,23.6,24.0,23.6,6300
30-09-21,23.5,23.5,23.5,23.5,1400
01-10-21,23.1,25.5,25.5,23.0,527
04-10-21,25.5,23.7,25.5,23.7,800
05-10-21,24.3,24.3,24.3,24.3,100
06-10-21,24.0,24.0,24.0,23.8,3100
07-10-21,24.0,22.9,24.0,22.9,800
08-10-21,22.9,24.7,24.7,22.5,3400
11-10-21,23.3,24.5,24.5,23.3,1200
12-10-21,24.5,24.5,24.5,24.5,0
13-10-21,23.0,22.9,23.0,22.9,800
14-10-21,22.8,22.8,22.8,22.8,200
15-10-21,22.7,23.9,23.9,22.7,300
18-10-21,22.3,23.7,23.7,22.3,200
19-10-21,23.0,23.0,23.0,23.0,700
20-10-21,24.4,25.3,25.3,23.5,40940
21-10-21,27.7,27.7,27.7,27.7,418
22-10-21,28.0,29.9,29.9,28.0,1000
25-10-21,28.6,27.6,28.6,27.6,5800
26-10-21,25.3,27.0,27.5,25.2,2200
27-10-21,27.0,27.0,27.7,25.4,11110
28-10-21,27.5,27.7,28.0,27.5,2000
29-10-21,29.0,27.8,29.0,27.8,300
01-11-21,27.4,26.5,27.5,26.1,17883
02-11-21,27.2,27.2,27.2,27.2,100
03-11-21,27.3,27.3,27.3,27.3,500
04-11-21,27.0,27.0,27.0,27.0,816
05-11-21,26.9,26.8,26.9,26.8,900
08-11-21,26.8,27.0,27.0,26.8,3800
09-11-21,27.0,27.5,28.9,27.0,4420
10-11-21,27.5,27.5,27.5,27.5,1400
11-11-21,28.7,28.7,28.7,28.7,100
12-11-21,29.0,28.8,29.0,27.5,1400
15-11-21,28.8,31.3,31.3,28.5,4536
16-11-21,34.0,33.7,34.0,33.4,1300
17-11-21,33.7,34.0,34.5,30.4,1800
18-11-21,33.0,30.9,35.2,30.9,1210
19-11-21,29.2,33.5,33.5,29.2,1800
22-11-21,33.5,34.5,34.5,33.5,600
23-11-21,34.5,34.5,34.5,34.5,0
24-11-21,34.5,34.5,34.5,34.5,0
25-11-21,31.1,31.2,34.0,31.1,4700
26-11-21,28.6,29.7,29.9,28.6,1200
29-11-21,29.6,29.6,29.6,29.6,320
30-11-21,31.9,27.1,31.9,27.1,4100
01-12-21,29.4,26.8,29.4,26.8,311
02-12-21,26.8,26.8,26.8,26.8,0
03-12-21,26.8,26.8,26.8,26.8,0
06-12-21,26.8,26.8,26.8,26.8,100
07-12-21,24.5,24.5,24.5,24.5,200
08-12-21,26.9,26.9,26.9,25.7,4300
09-12-21,28.3,29.4,29.4,27.1,7300
10-12-21,30.0,29.9,30.0,28.0,7300
13-12-21,29.9,29.9,29.9,29.6,4100
14-12-21,29.9,29.9,29.9,29.9,83
15-12-21,29.9,29.9,29.9,29.9,0
16-12-21,29.5,29.7,29.7,29.5,300
17-12-21,29.9,29.9,29.9,29.9,400
20-12-21,29.8,29.8,29.8,29.8,300
21-12-21,28.1,28.0,28.1,28.0,2311
22-12-21,28.0,28.0,28.0,28.0,0
23-12-21,28.0,28.0,28.0,28.0,0
24-12-21,28.0,28.0,28.0,28.0,0
27-12-21,28.0,28.0,28.0,28.0,50
28-12-21,28.7,29.8,29.8,28.7,300
29-12-21,28.0,27.0,28.0,27.0,11000
30-12-21,27.1,26.2,27.1,26.2,1000
31-12-21,28.0,28.0,28.0,28.0,100
04-01-22,29.0,29.0,29.0,29.0,2000
05-01-22,28.5,28.5,28.5,28.5,900
06-01-22,27.0,29.8,29.8,27.0,200
07-01-22,29.8,30.0,30.0,29.8,2400
10-01-22,30.0,30.0,30.0,30.0,40
11-01-22,30.0,30.0,30.0,30.0,0
12-01-22,30.0,30.0,30.0,30.0,0
13-01-22,30.0,30.0,30.0,30.0,0
14-01-22,30.0,30.0,30.0,30.0,0
17-01-22,30.0,30.0,30.0,30.0,0
18-01-22,30.0,30.0,30.0,30.0,0
19-01-22,30.0,30.0,30.0,30.0,3400
20-01-22,30.6,30.6,30.6,30.6,100
21-01-22,30.8,30.0,30.8,30.0,400
24-01-22,29.6,29.6,29.6,29.6,100
25-01-22,30.0,30.0,30.0,30.0,100
26-01-22,30.0,30.0,30.0,30.0,0
27-01-22,29.7,30.1,30.1,29.7,200
28-01-22,29.0,29.0,29.0,29.0,1400
07-02-22,29.0,29.0,29.0,29.0,0
08-02-22,29.0,29.0,29.0,29.0,0
09-02-22,29.0,31.1,31.1,29.0,1000
10-02-22,31.0,33.2,33.2,28.5,900
11-02-22,33.2,33.2,33.2,33.2,0
14-02-22,32.6,33.6,33.6,32.6,600
15-02-22,32.5,34.0,34.0,32.0,800
16-02-22,34.0,36.7,36.7,33.8,1100
17-02-22,35.0,38.1,38.1,35.0,800
18-02-22,34.5,34.3,34.5,34.3,300
21-02-22,34.3,34.3,34.3,34.3,0
22-02-22,34.3,34.3,34.3,34.3,0
23-02-22,34.3,34.3,34.3,34.3,0
24-02-22,34.3,30.9,34.3,30.9,1400
25-02-22,32.3,33.9,33.9,32.3,1100
28-02-22,33.9,31.1,33.9,31.1,1100
01-03-22,33.7,34.2,34.2,33.7,583
02-03-22,35.0,35.0,36.5,35.0,5000
03-03-22,35.0,30.7,35.5,30.7,1700
04-03-22,33.7,31.9,33.7,31.5,3700
07-03-22,31.8,32.1,32.1,30.2,4930
08-03-22,31.0,31.0,31.0,31.0,1315
09-03-22,31.1,33.0,33.0,31.1,200
10-03-22,30.0,29.7,30.0,29.7,1000
11-03-22,31.0,31.0,31.0,31.0,400
14-03-22,30.9,30.9,30.9,30.9,100
15-03-22,30.8,28.1,30.9,28.1,1000
16-03-22,28.1,28.1,28.1,28.1,0
17-03-22,27.6,27.6,27.6,27.6,300
18-03-22,30.3,30.3,30.3,29.0,8400
21-03-22,30.3,30.3,30.3,30.3,0
22-03-22,30.3,30.3,30.3,30.3,0
23-03-22,30.3,30.3,30.3,30.3,0
24-03-22,30.2,30.2,30.2,30.2,4000
25-03-22,27.4,28.1,28.1,27.4,2302
28-03-22,30.9,30.9,30.9,30.9,1110
29-03-22,32.9,32.9,32.9,32.9,100
30-03-22,29.7,32.3,32.3,29.7,300
31-03-22,29.1,29.1,29.1,29.1,700
01-04-22,27.2,29.9,29.9,27.2,800
04-04-22,30.0,30.0,30.0,29.8,800
05-04-22,31.8,30.0,32.0,30.0,1100
06-04-22,30.0,31.8,32.0,30.0,2430
07-04-22,30.0,30.0,30.0,30.0,100
08-04-22,30.0,30.0,30.0,30.0,0
12-04-22,30.0,30.0,30.0,30.0,0
13-04-22,30.5,30.5,30.5,30.5,1300
14-04-22,30.5,30.5,30.5,30.5,0
15-04-22,30.5,30.5,30.5,30.5,0
18-04-22,30.5,30.5,30.5,30.5,0
19-04-22,30.5,30.5,30.5,30.5,0
20-04-22,30.5,30.5,30.5,30.5,0
21-04-22,27.5,33.1,33.1,27.5,900
22-04-22,33.1,33.1,33.1,33.1,0
25-04-22,33.1,33.1,33.1,33.1,0
26-04-22,33.1,33.1,33.1,33.1,0
27-04-22,33.1,33.1,33.1,33.1,0
28-04-22,33.1,33.1,33.1,33.1,0
29-04-22,33.1,33.1,33.1,33.1,0
04-05-22,29.8,29.8,29.8,29.8,100
05-05-22,32.7,32.7,32.7,32.7,200
06-05-22,33.5,33.5,33.5,33.5,7000
09-05-22,33.5,33.5,33.5,33.5,0
10-05-22,33.5,33.5,33.5,33.5,105
11-05-22,33.5,33.5,33.5,33.5,0
12-05-22,33.5,33.5,33.5,33.5,2
13-05-22,32.5,32.5,32.5,32.5,0
16-05-22,32.5,32.5,32.5,32.5,0
17-05-22,32.5,32.5,32.5,32.5,0
18-05-22,32.5,32.5,32.5,32.5,0
19-05-22,32.5,32.5,32.5,32.5,0
20-05-22,32.5,32.5,32.5,32.5,0
23-05-22,32.5,32.5,32.5,32.5,0
24-05-22,32.5,32.5,32.5,32.5,0
25-05-22,32.5,32.5,32.5,32.5,0
26-05-22,32.5,32.5,32.5,32.5,0
27-05-22,33.1,33.1,33.1,33.1,200
30-05-22,33.1,33.1,33.1,33.1,0
31-05-22,33.1,33.1,33.1,33.1,0
01-06-22,33.1,33.1,33.1,33.1,0
02-06-22,33.1,33.1,33.1,33.1,0
03-06-22,33.1,33.1,33.1,33.1,0
06-06-22,33.1,33.1,33.1,33.1,0
07-06-22,33.1,33.1,33.1,33.1,0
08-06-22,33.1,33.1,33.1,33.1,0
09-06-22,33.1,33.1,33.1,33.1,0
10-06-22,33.1,33.1,33.1,33.1,0
13-06-22,32.9,32.9,32.9,32.9,100
14-06-22,32.9,32.9,32.9,32.9,0
15-06-22,32.9,32.9,32.9,32.9,0
16-06-22,32.9,32.9,32.9,32.9,0
17-06-22,32.9,32.9,32.9,32.9,0
20-06-22,32.9,32.9,32.9,32.9,0
21-06-22,32.9,32.9,32.9,32.9,0
22-06-22,32.9,32.9,32.9,32.9,0
23-06-22,32.9,32.9,32.9,32.9,0
