Date,Open,Close,High,Low,Volume
16-11-20,1.6,1.6,1.6,1.5,14000
17-11-20,1.6,1.5,1.6,1.5,15100
18-11-20,1.5,1.5,1.5,1.4,39925
19-11-20,1.5,1.5,1.6,1.5,6300
20-11-20,1.6,1.6,1.6,1.6,300
23-11-20,1.6,1.6,1.6,1.6,100
24-11-20,1.6,1.5,1.6,1.5,38100
25-11-20,1.4,1.6,1.6,1.4,147800
26-11-20,1.6,1.6,1.7,1.6,58810
27-11-20,1.6,1.6,1.7,1.6,46020
30-11-20,1.6,1.6,1.7,1.6,20500
01-12-20,1.6,1.7,1.7,1.6,40300
02-12-20,1.7,1.7,1.7,1.7,100
03-12-20,1.7,1.6,1.7,1.6,7300
04-12-20,1.5,1.5,1.6,1.5,98900
07-12-20,1.5,1.6,1.6,1.4,21405
08-12-20,1.5,1.5,1.6,1.5,3200
09-12-20,1.6,1.6,1.6,1.5,7800
10-12-20,1.5,1.6,1.6,1.5,3400
11-12-20,1.5,1.6,1.6,1.5,800
14-12-20,1.5,1.6,1.6,1.5,2500
15-12-20,1.6,1.6,1.6,1.5,9600
16-12-20,1.5,1.5,1.6,1.5,20400
17-12-20,1.5,1.5,1.6,1.5,26800
18-12-20,1.6,1.6,1.6,1.5,300
21-12-20,1.5,1.7,1.7,1.5,98900
22-12-20,1.8,1.6,1.8,1.6,74200
23-12-20,1.7,1.7,1.7,1.6,10200
24-12-20,1.8,1.7,1.8,1.7,51700
25-12-20,1.7,1.8,1.8,1.7,52400
28-12-20,1.8,1.7,1.8,1.7,57125
29-12-20,1.7,1.8,1.8,1.7,71400
30-12-20,1.7,1.8,1.9,1.7,49520
31-12-20,1.7,1.9,1.9,1.7,7020
04-01-21,1.8,2.0,2.0,1.8,88800
05-01-21,2.0,2.2,2.2,2.0,109300
06-01-21,2.2,2.3,2.3,2.1,74800
07-01-21,2.3,2.2,2.3,2.1,15800
08-01-21,2.1,2.1,2.3,2.0,88900
11-01-21,2.0,2.0,2.1,2.0,93729
12-01-21,2.1,2.0,2.2,1.9,28900
13-01-21,2.1,2.2,2.2,2.1,50010
14-01-21,2.2,2.1,2.2,2.1,23600
15-01-21,2.2,2.3,2.3,2.2,99300
18-01-21,2.3,2.3,2.4,2.2,68700
19-01-21,2.2,2.2,2.5,2.1,154400
20-01-21,2.3,2.3,2.3,2.1,19800
21-01-21,2.3,2.3,2.4,2.1,78500
22-01-21,2.3,2.2,2.3,2.1,188800
25-01-21,2.1,2.2,2.3,2.0,586500
26-01-21,2.3,2.2,2.3,2.1,47300
27-01-21,2.3,2.1,2.3,2.0,367200
28-01-21,2.0,1.9,2.0,1.9,30300
29-01-21,1.8,1.8,1.9,1.8,181000
01-02-21,1.8,1.7,1.8,1.7,155500
02-02-21,1.6,1.7,1.7,1.6,75100
03-02-21,1.7,1.8,1.8,1.6,182400
04-02-21,1.8,1.8,1.8,1.7,25300
05-02-21,1.8,1.9,1.9,1.7,233500
08-02-21,2.0,1.9,2.0,1.8,271300
09-02-21,1.9,2.0,2.0,1.9,58400
17-02-21,2.0,2.2,2.2,2.0,67000
18-02-21,2.2,2.3,2.3,2.2,8600
19-02-21,2.3,2.3,2.3,2.1,8500
22-02-21,2.1,2.3,2.3,2.1,41500
23-02-21,2.2,2.2,2.2,2.1,350800
24-02-21,2.1,2.1,2.2,2.0,343500
25-02-21,2.1,2.0,2.1,1.9,291801
26-02-21,2.1,2.0,2.1,1.8,219600
01-03-21,1.9,2.1,2.1,1.9,205100
02-03-21,2.1,2.0,2.1,1.9,126000
03-03-21,2.0,2.2,2.2,2.0,412000
04-03-21,2.4,2.4,2.4,2.3,253019
05-03-21,2.5,2.6,2.6,2.5,425130
08-03-21,2.8,2.8,2.8,2.8,306900
09-03-21,3.0,3.0,3.0,3.0,328800
10-03-21,3.3,3.1,3.3,2.8,721500
11-03-21,3.0,3.0,3.1,2.8,244000
12-03-21,3.0,2.7,3.0,2.7,313100
15-03-21,2.7,2.9,2.9,2.5,248700
16-03-21,3.0,2.9,3.0,2.8,160200
17-03-21,2.7,3.0,3.1,2.7,483000
18-03-21,3.0,3.0,3.1,2.9,112730
19-03-21,2.9,3.0,3.0,2.8,143300
22-03-21,2.9,2.9,2.9,2.8,174900
23-03-21,2.8,2.9,2.9,2.7,195100
24-03-21,2.9,2.9,3.0,2.8,170100
25-03-21,3.0,3.1,3.1,2.9,378930
