Date,Open,Close,High,Low,Volume
16-11-20,9.2,9.2,9.2,9.2,0
17-11-20,9.2,9.2,9.2,9.2,0
18-11-20,9.2,9.2,9.2,9.2,0
19-11-20,9.2,9.2,9.2,9.2,0
20-11-20,9.2,9.2,9.2,9.2,0
23-11-20,9.2,9.2,9.2,9.2,0
24-11-20,9.2,9.2,9.2,9.2,0
25-11-20,9.2,9.2,9.2,9.2,0
26-11-20,9.2,9.2,9.2,9.2,0
27-11-20,9.2,9.2,9.2,9.2,0
30-11-20,9.0,8.4,9.0,8.4,15950
01-12-20,9.2,9.2,9.2,9.2,100
02-12-20,9.7,10.0,10.1,8.4,9112
03-12-20,9.8,9.8,9.8,9.8,150
04-12-20,9.8,9.8,9.8,9.8,0
07-12-20,9.8,9.8,9.8,9.8,0
08-12-20,9.8,9.8,9.8,9.8,0
09-12-20,9.8,9.8,9.8,9.8,0
10-12-20,9.8,9.8,9.8,9.8,0
11-12-20,9.8,9.8,9.8,9.8,0
14-12-20,9.8,9.8,9.8,9.8,0
15-12-20,9.8,9.8,9.8,9.8,0
16-12-20,9.8,9.8,9.8,9.8,0
17-12-20,8.9,10.2,10.2,8.9,2300
18-12-20,10.2,10.2,10.2,10.2,0
21-12-20,9.5,9.5,9.5,9.5,5000
22-12-20,9.5,9.5,9.5,9.5,310
23-12-20,9.5,9.5,9.5,9.5,0
24-12-20,9.5,9.5,9.5,9.5,0
25-12-20,9.5,9.5,9.5,9.5,11
28-12-20,9.5,9.5,9.5,9.5,50
29-12-20,9.0,9.0,9.0,9.0,1525
30-12-20,9.0,9.0,9.0,9.0,1
31-12-20,9.0,9.0,9.0,9.0,50
04-01-21,9.0,9.0,9.0,9.0,0
05-01-21,9.0,9.0,9.0,9.0,0
06-01-21,8.8,8.8,8.8,8.8,200
07-01-21,8.8,8.8,8.8,8.8,15
08-01-21,8.9,9.0,9.0,8.9,760
11-01-21,9.0,9.0,9.0,9.0,0
12-01-21,9.0,9.1,9.1,9.0,2270
13-01-21,9.0,9.0,9.0,9.0,100
14-01-21,9.0,9.1,9.1,9.0,800
15-01-21,9.1,9.1,9.1,9.1,25
18-01-21,9.1,9.1,9.1,9.1,25
19-01-21,9.2,9.2,9.2,9.2,800
20-01-21,9.2,9.2,9.2,9.2,0
21-01-21,9.2,9.2,9.2,9.2,0
22-01-21,9.2,9.2,9.2,9.2,0
25-01-21,9.0,10.0,10.0,9.0,2920
26-01-21,9.0,9.0,9.0,9.0,2200
27-01-21,9.0,9.0,9.0,9.0,500
28-01-21,9.0,9.0,9.1,9.0,3100
29-01-21,9.0,9.0,9.0,9.0,0
01-02-21,8.3,8.3,8.3,8.3,127
02-02-21,8.3,8.3,8.3,8.3,0
03-02-21,8.1,8.1,8.1,8.1,100
04-02-21,7.8,7.8,7.8,7.8,127
05-02-21,8.0,8.0,8.0,8.0,3000
08-02-21,8.0,8.0,8.0,8.0,0
09-02-21,7.4,7.4,7.4,7.4,200
17-02-21,7.4,7.4,7.4,7.4,0
18-02-21,7.4,7.4,7.4,7.4,0
19-02-21,7.4,7.4,7.4,7.4,0
22-02-21,7.4,7.4,7.4,7.4,0
23-02-21,7.4,7.4,7.4,7.4,0
24-02-21,7.4,7.4,7.4,7.4,0
25-02-21,7.4,7.4,7.4,7.4,0
26-02-21,7.4,7.4,7.4,7.4,0
01-03-21,7.4,7.4,7.4,7.4,17
02-03-21,7.4,7.4,7.4,7.4,0
03-03-21,7.6,7.6,7.6,7.6,1075
04-03-21,7.6,7.6,7.6,7.6,0
05-03-21,8.1,8.1,8.1,8.1,100
08-03-21,8.1,8.1,8.1,8.1,0
09-03-21,8.1,8.1,8.1,8.1,0
10-03-21,8.1,8.1,8.1,8.1,0
11-03-21,8.1,8.1,8.1,8.1,0
12-03-21,8.1,8.1,8.1,8.1,0
15-03-21,8.9,8.9,8.9,8.9,100
16-03-21,9.7,9.7,9.7,9.7,754
17-03-21,10.6,10.6,10.6,10.6,8900
18-03-21,11.6,11.6,11.6,11.6,35500
19-03-21,12.1,12.2,12.2,12.1,13500
22-03-21,13.4,13.4,13.4,13.4,24900
23-03-21,14.7,14.7,14.7,12.2,63245
24-03-21,14.7,14.5,14.7,14.5,7150
25-03-21,13.1,13.1,13.1,13.1,6950
26-03-21,11.8,12.0,13.1,11.8,17500
29-03-21,12.0,12.0,12.8,12.0,1702
30-03-21,11.6,12.1,13.2,11.1,26125
31-03-21,13.3,12.9,13.3,12.9,2700
01-04-21,14.0,14.1,14.1,13.0,20301
02-04-21,13.9,14.5,14.5,13.9,14435
05-04-21,15.6,15.6,15.6,15.6,129
06-04-21,14.7,14.3,14.7,14.3,500
07-04-21,14.7,13.7,14.7,13.7,36800
08-04-21,13.7,15.0,15.0,13.7,60386
09-04-21,13.5,16.0,16.5,13.5,69611
12-04-21,16.7,16.0,16.7,16.0,14300
13-04-21,16.0,15.9,16.8,15.9,16725
14-04-21,15.0,15.2,15.9,15.0,1975
15-04-21,15.0,15.0,15.0,15.0,1500
16-04-21,14.5,14.6,14.6,14.5,7400
19-04-21,14.6,14.6,14.6,14.6,4200
20-04-21,13.6,15.5,15.5,13.6,250
22-04-21,16.5,15.5,17.0,14.6,17346
23-04-21,14.2,14.5,14.5,14.2,500
26-04-21,14.7,14.6,14.7,14.6,600
27-04-21,14.6,14.6,14.6,14.6,700
28-04-21,15.5,15.6,15.6,15.5,10600
29-04-21,16.5,16.0,17.1,16.0,36701
04-05-21,14.5,17.6,17.6,14.5,8650
05-05-21,16.0,17.6,17.6,16.0,36600
06-05-21,16.2,16.5,17.0,16.2,11500
07-05-21,16.1,16.6,16.6,16.0,7900
10-05-21,16.5,15.7,16.6,15.6,4700
11-05-21,16.6,16.6,16.6,16.6,8050
12-05-21,17.0,16.7,17.0,16.0,22500
13-05-21,16.5,17.0,17.0,16.3,19000
14-05-21,16.5,16.2,16.5,16.1,8600
17-05-21,16.3,16.5,16.8,16.0,28300
18-05-21,17.0,16.6,17.0,16.5,14100
19-05-21,16.6,16.6,16.6,16.3,7660
20-05-21,16.6,16.4,16.6,16.0,8000
21-05-21,15.1,16.4,16.6,15.0,32956
24-05-21,16.6,17.4,17.4,16.6,14300
25-05-21,16.6,17.5,17.5,16.5,9000
26-05-21,17.5,19.2,19.2,17.5,81056
27-05-21,20.6,20.0,20.7,19.2,29380
28-05-21,20.7,20.0,20.7,20.0,9600
31-05-21,20.0,19.0,20.0,19.0,17300
01-06-21,19.8,19.0,19.8,18.9,16100
02-06-21,19.0,19.0,19.0,18.8,23700
03-06-21,18.8,18.6,19.2,18.2,30300
04-06-21,18.0,18.1,18.1,17.8,3500
07-06-21,17.5,17.6,17.6,17.3,6756
08-06-21,16.6,17.6,17.6,16.6,10200
09-06-21,17.0,17.5,17.5,16.8,10000
10-06-21,17.4,17.4,17.4,17.2,900
11-06-21,17.0,17.0,17.0,17.0,11356
14-06-21,17.5,18.7,18.7,17.0,82500
15-06-21,20.2,19.0,20.2,18.7,38300
16-06-21,19.0,18.9,19.0,18.9,6400
17-06-21,17.7,19.0,19.0,17.7,30500
18-06-21,19.5,18.5,19.5,18.5,27000
21-06-21,18.0,18.0,18.0,18.0,2700
22-06-21,17.7,17.8,18.0,17.6,24200
23-06-21,17.9,17.8,17.9,17.5,11700
24-06-21,17.5,17.6,17.6,17.5,4900
25-06-21,17.0,17.4,17.5,17.0,5600
28-06-21,17.4,17.5,17.5,17.0,11200
29-06-21,17.1,18.0,18.0,17.1,2500
30-06-21,17.2,17.2,17.6,17.2,4450
01-07-21,17.1,17.0,17.2,17.0,22400
02-07-21,17.0,17.5,17.5,17.0,1600
05-07-21,16.8,17.5,17.5,16.8,4000
06-07-21,17.0,16.9,17.0,16.5,4900
07-07-21,16.6,17.0,17.0,16.6,1930
08-07-21,16.3,16.8,16.9,16.3,5900
09-07-21,17.0,16.4,17.0,16.4,640
12-07-21,16.4,15.5,16.4,15.5,6400
13-07-21,15.6,16.2,16.2,15.5,6400
14-07-21,15.8,15.9,15.9,15.8,1000
15-07-21,15.1,16.5,16.5,15.1,3900
16-07-21,15.6,16.9,16.9,15.5,13600
19-07-21,16.0,16.0,16.0,15.7,17500
20-07-21,15.2,16.0,16.0,15.2,27000
21-07-21,15.7,15.9,15.9,15.6,15200
22-07-21,15.9,15.9,15.9,15.4,17600
23-07-21,17.4,15.9,17.4,15.9,29100
26-07-21,15.9,16.5,16.5,15.2,33100
27-07-21,16.5,16.5,16.6,15.9,23600
28-07-21,16.5,17.1,17.9,16.5,22100
29-07-21,17.2,18.6,18.8,17.2,62710
30-07-21,19.0,18.7,19.1,18.6,49200
02-08-21,17.8,18.7,19.4,17.8,19260
03-08-21,19.0,18.8,19.0,18.5,58700
04-08-21,18.7,18.8,19.0,18.6,34500
05-08-21,20.6,19.0,20.6,18.8,33500
06-08-21,18.9,20.4,20.9,18.6,312756
09-08-21,20.9,22.4,22.4,20.9,255410
10-08-21,23.0,24.6,24.6,23.0,128140
11-08-21,26.0,24.6,26.9,24.3,118210
12-08-21,22.9,24.8,26.0,22.9,85109
13-08-21,24.8,25.0,25.2,23.7,78610
16-08-21,25.0,27.5,27.5,25.0,146815
17-08-21,28.0,27.9,30.0,27.5,99755
18-08-21,27.5,30.0,30.0,27.5,50200
19-08-21,28.5,30.6,31.9,27.9,61800
20-08-21,30.6,29.0,30.6,28.0,77100
23-08-21,27.0,26.1,28.6,26.1,69623
24-08-21,24.5,27.5,27.5,24.5,77400
25-08-21,26.3,27.5,27.5,26.3,11900
26-08-21,27.5,27.5,28.0,27.5,13039
27-08-21,27.5,29.0,29.8,27.5,40156
30-08-21,29.0,29.5,30.5,28.1,56000
31-08-21,29.5,29.5,29.8,28.8,48500
01-09-21,30.5,29.2,31.0,29.2,42351
06-09-21,28.5,29.3,29.8,28.5,110257
07-09-21,29.3,28.5,29.3,28.0,69150
08-09-21,28.5,28.7,28.8,28.0,15600
09-09-21,28.7,28.6,28.8,28.2,27008
10-09-21,28.6,28.3,28.6,28.3,20150
13-09-21,28.5,29.6,30.0,28.5,95700
14-09-21,29.6,32.5,32.5,29.5,347138
15-09-21,33.5,35.1,35.3,32.8,40283
16-09-21,35.1,33.6,35.1,33.4,24113
17-09-21,32.7,34.0,34.6,31.1,64960
20-09-21,34.0,32.7,34.0,32.3,39008
21-09-21,32.7,33.5,33.5,30.2,80000
22-09-21,33.6,34.5,34.5,32.5,42750
23-09-21,37.9,35.0,37.9,34.5,98604
24-09-21,34.5,33.0,34.6,32.6,73000
27-09-21,32.0,30.5,32.1,30.5,65700
28-09-21,30.5,32.0,32.2,30.0,74300
