Date,Open,Close,High,Low,Volume
16-11-20,1.8,1.8,1.8,1.8,0
17-11-20,1.8,1.9,1.9,1.8,13600
18-11-20,1.9,1.9,1.9,1.9,0
19-11-20,1.8,1.9,1.9,1.8,75000
20-11-20,1.9,1.9,2.0,1.9,29200
23-11-20,1.9,1.9,1.9,1.9,27000
24-11-20,1.9,1.9,1.9,1.9,5000
25-11-20,1.9,1.9,1.9,1.9,15700
26-11-20,1.9,1.9,1.9,1.9,5000
27-11-20,1.9,1.9,1.9,1.9,20800
30-11-20,1.9,1.9,1.9,1.9,12900
01-12-20,1.9,1.9,1.9,1.9,12200
02-12-20,1.9,1.9,1.9,1.9,30300
03-12-20,1.9,1.9,1.9,1.9,600
04-12-20,1.8,1.8,1.8,1.8,100
07-12-20,1.8,1.8,1.8,1.8,0
08-12-20,1.8,1.8,1.8,1.8,1
09-12-20,1.9,1.8,1.9,1.8,9900
10-12-20,1.9,1.9,1.9,1.9,3100
11-12-20,1.9,1.9,1.9,1.9,9100
14-12-20,1.9,1.9,2.0,1.9,12800
15-12-20,1.9,2.0,2.0,1.9,102400
16-12-20,2.0,1.9,2.1,1.9,15100
17-12-20,2.0,1.9,2.0,1.9,23800
18-12-20,2.0,2.0,2.0,2.0,15600
21-12-20,2.0,2.0,2.1,2.0,17000
22-12-20,2.0,2.0,2.0,2.0,25500
23-12-20,2.1,2.0,2.1,2.0,7100
24-12-20,2.0,2.0,2.0,2.0,27200
25-12-20,2.0,2.0,2.0,2.0,32600
28-12-20,2.0,2.0,2.0,2.0,1000
29-12-20,2.0,2.0,2.0,2.0,12750
30-12-20,2.0,2.0,2.0,2.0,5900
31-12-20,2.1,2.0,2.1,2.0,36600
04-01-21,2.1,2.2,2.2,2.1,62300
05-01-21,2.4,2.4,2.4,2.4,103100
06-01-21,2.6,2.6,2.6,2.6,308000
07-01-21,2.8,2.8,2.8,2.8,238700
08-01-21,2.9,3.0,3.0,2.9,249400
11-01-21,3.1,2.7,3.2,2.7,115550
12-01-21,2.7,2.8,2.9,2.5,189500
13-01-21,2.9,2.8,3.0,2.7,162400
14-01-21,2.8,3.0,3.0,2.8,172600
15-01-21,3.0,3.3,3.3,3.0,123350
18-01-21,3.4,3.6,3.6,3.4,104250
19-01-21,3.8,3.3,3.9,3.3,74640
20-01-21,3.2,3.3,3.3,3.0,57950
21-01-21,3.1,3.6,3.6,3.1,72500
22-01-21,3.4,3.9,3.9,3.4,171297
25-01-21,3.8,3.8,4.2,3.8,97660
26-01-21,3.6,3.9,4.0,3.5,25500
27-01-21,3.6,3.9,4.0,3.6,10500
28-01-21,3.6,3.8,3.8,3.6,1100
29-01-21,3.5,3.5,3.5,3.5,1100
01-02-21,3.2,3.2,3.6,3.2,39500
02-02-21,2.9,2.9,2.9,2.9,25100
03-02-21,2.7,3.0,3.0,2.7,28119
04-02-21,3.0,3.0,3.0,3.0,0
05-02-21,2.7,3.1,3.1,2.7,18200
08-02-21,3.1,3.1,3.1,3.0,108800
09-02-21,3.1,3.1,3.1,3.1,26593
17-02-21,3.0,3.1,3.1,3.0,500
18-02-21,3.1,3.1,3.1,3.1,0
19-02-21,2.9,3.1,3.1,2.9,11900
22-02-21,3.0,2.8,3.0,2.8,11900
23-02-21,2.7,2.9,3.0,2.7,13400
24-02-21,2.9,2.9,2.9,2.9,1700
25-02-21,2.9,2.9,2.9,2.9,100
