Date,Open,Close,High,Low,Volume
16-11-20,6.0,6.0,6.0,6.0,0
17-11-20,6.0,6.0,6.0,6.0,0
18-11-20,6.0,6.0,6.0,6.0,0
19-11-20,5.9,6.0,6.0,5.9,5100
20-11-20,6.0,6.0,6.0,6.0,0
23-11-20,5.8,6.0,6.0,5.8,1424
24-11-20,6.0,6.0,6.0,6.0,0
25-11-20,6.5,6.5,6.5,6.5,100
26-11-20,6.0,6.0,6.0,6.0,2310
27-11-20,6.0,6.0,6.0,6.0,0
30-11-20,6.0,6.0,6.0,6.0,50
01-12-20,6.0,6.0,6.0,6.0,50
02-12-20,6.2,6.1,6.2,6.1,2200
03-12-20,6.0,6.1,6.1,6.0,2373
04-12-20,6.1,6.1,6.1,6.1,0
07-12-20,6.1,6.1,6.1,6.1,0
08-12-20,6.0,6.5,6.5,6.0,2373
09-12-20,6.1,6.5,6.5,6.0,9766
10-12-20,6.5,6.5,6.5,6.5,0
11-12-20,6.5,6.5,6.5,6.5,3
14-12-20,6.5,6.0,6.5,6.0,5790
15-12-20,6.0,6.0,6.0,6.0,8107
16-12-20,6.2,6.5,6.5,6.2,1800
17-12-20,6.5,6.5,6.5,6.5,0
18-12-20,6.6,6.2,6.6,6.2,5124
21-12-20,6.1,6.2,6.2,6.1,7020
22-12-20,6.2,6.2,6.2,6.2,10267
23-12-20,6.2,6.2,6.2,6.2,34
24-12-20,6.2,6.2,6.2,6.2,5
25-12-20,6.8,6.8,6.8,6.8,190
28-12-20,6.2,6.2,6.2,6.2,600
29-12-20,6.2,6.2,6.2,6.2,13
30-12-20,6.2,6.2,6.2,6.2,82
31-12-20,5.7,5.7,5.7,5.7,150
04-01-21,6.0,6.2,6.2,5.9,12171
05-01-21,6.7,6.8,6.8,6.7,16125
06-01-21,6.6,6.5,7.3,6.5,14535
07-01-21,6.5,7.1,7.1,6.2,51400
08-01-21,6.7,7.1,7.7,6.4,189000
11-01-21,6.6,7.0,7.0,6.4,165139
12-01-21,6.9,6.9,7.1,6.5,120000
13-01-21,6.7,6.4,6.7,6.3,1428300
14-01-21,6.0,6.6,6.6,6.0,104174
15-01-21,6.6,6.6,6.6,6.3,21250
18-01-21,6.2,6.2,6.2,6.0,197195
19-01-21,6.2,6.3,6.4,6.0,128950
20-01-21,6.1,6.2,6.4,6.0,45805
21-01-21,6.4,6.1,6.4,6.1,54046
22-01-21,6.0,6.2,6.2,6.0,25600
25-01-21,6.2,6.1,6.2,6.0,19000
26-01-21,6.1,6.2,6.2,6.0,52200
27-01-21,6.0,6.1,6.1,6.0,13800
28-01-21,5.7,5.5,6.0,5.5,66500
29-01-21,5.0,5.8,5.9,5.0,51350
01-02-21,5.3,5.7,5.7,5.3,700
02-02-21,5.3,5.7,5.7,5.2,5500
03-02-21,5.7,5.8,5.8,5.7,1650
04-02-21,5.5,5.8,5.8,5.5,500
05-02-21,5.7,5.5,5.7,5.5,700
08-02-21,5.5,5.4,5.5,5.4,4300
09-02-21,5.8,5.8,5.8,5.8,100
17-02-21,5.8,5.8,5.8,5.7,3400
18-02-21,5.8,5.8,5.8,5.8,250
19-02-21,5.4,5.8,5.8,5.4,9500
22-02-21,5.8,5.8,5.8,5.7,4300
