Date,Open,Close,High,Low,Volume
16-11-20,5.0,4.9,5.1,4.9,899327
17-11-20,5.0,5.2,5.3,4.9,1789214
18-11-20,5.2,5.1,5.4,5.1,834770
19-11-20,5.2,5.1,5.2,5.0,558600
20-11-20,5.1,5.1,5.1,5.0,904680
23-11-20,5.1,5.1,5.1,5.0,343713
24-11-20,5.1,5.1,5.2,5.0,954434
25-11-20,5.1,5.1,5.2,5.0,1115136
26-11-20,5.1,5.1,5.2,5.1,564725
27-11-20,5.1,5.1,5.2,5.0,706777
30-11-20,5.1,5.1,5.2,5.0,597234
01-12-20,5.1,5.0,5.1,5.0,544730
02-12-20,5.1,5.0,5.1,5.0,1060429
03-12-20,5.0,5.0,5.1,5.0,645424
04-12-20,5.0,5.0,5.1,5.0,785256
07-12-20,5.0,5.0,5.1,5.0,457037
08-12-20,5.0,5.3,5.5,5.0,3114704
09-12-20,5.3,5.2,5.3,5.2,1034796
10-12-20,5.2,5.1,5.3,5.1,474375
11-12-20,5.1,5.1,5.2,5.0,704240
14-12-20,5.1,5.1,5.2,5.0,741980
15-12-20,5.1,5.1,5.2,5.0,981437
16-12-20,5.1,5.1,5.2,5.1,355241
17-12-20,5.2,5.1,5.2,5.1,872793
18-12-20,5.1,5.1,5.2,5.0,782727
21-12-20,5.1,5.4,5.5,5.1,2810546
22-12-20,5.4,5.8,5.8,5.4,4960380
23-12-20,5.8,5.7,6.0,5.6,2600214
24-12-20,5.7,5.4,5.8,5.2,2169043
25-12-20,5.4,5.5,5.6,5.3,1628412
28-12-20,5.6,5.6,5.7,5.5,1630460
29-12-20,5.6,5.6,5.7,5.5,1651345
30-12-20,5.6,6.1,6.1,5.6,4379260
31-12-20,6.7,6.5,6.7,6.3,4526429
04-01-21,6.5,6.4,6.6,6.2,2323453
05-01-21,6.4,7.0,7.0,6.2,4731308
06-01-21,7.1,6.9,7.5,6.7,3715268
07-01-21,6.9,7.0,7.1,6.9,1787262
08-01-21,7.1,7.0,7.3,6.8,2964820
11-01-21,7.0,7.1,7.2,6.9,2397990
12-01-21,7.1,7.8,7.8,6.9,4222004
13-01-21,7.8,8.3,8.5,7.8,4315253
14-01-21,8.3,8.4,8.4,7.9,2207671
15-01-21,8.4,8.3,8.5,8.2,2144588
18-01-21,8.3,8.7,9.1,8.2,3108210
19-01-21,8.7,7.9,8.8,7.9,4715291
20-01-21,7.8,7.4,8.0,7.2,3906080
21-01-21,7.4,8.1,8.1,7.3,2139037
22-01-21,8.1,7.7,8.2,7.6,1905671
25-01-21,7.7,7.6,7.9,7.3,2292567
26-01-21,7.6,7.0,7.6,6.9,3098004
27-01-21,7.0,6.3,7.0,6.3,3177078
28-01-21,6.2,5.7,6.3,5.7,1784379
29-01-21,5.2,5.8,6.0,5.2,2766400
01-02-21,5.8,5.4,6.0,5.3,1918700
02-02-21,5.4,5.6,5.6,5.2,1266525
03-02-21,5.6,6.1,6.1,5.5,1469111
04-02-21,6.6,6.2,6.6,6.0,1151100
05-02-21,6.3,6.2,6.4,6.1,801700
08-02-21,6.2,5.7,6.2,5.6,1584600
09-02-21,5.7,5.9,6.0,5.6,984124
17-02-21,5.9,6.4,6.4,5.9,821736
18-02-21,6.4,6.2,6.5,6.2,1091694
19-02-21,6.2,6.3,6.5,6.0,1575110
22-02-21,6.3,6.9,6.9,6.3,3041692
23-02-21,6.9,7.5,7.5,6.9,2652237
24-02-21,7.5,7.0,7.7,6.9,2096530
