Date,Open,Close,High,Low,Volume
16-11-20,12.0,12.3,12.3,11.8,3700
17-11-20,12.2,12.3,12.3,12.2,5110
18-11-20,12.0,12.0,12.0,12.0,1910
19-11-20,12.1,12.3,12.3,12.0,5200
20-11-20,12.0,12.3,12.3,12.0,10001
23-11-20,12.3,12.0,12.3,12.0,5700
24-11-20,12.3,12.0,12.3,12.0,5200
25-11-20,12.0,12.0,12.2,12.0,7000
26-11-20,12.0,12.0,12.0,11.7,16000
27-11-20,12.0,12.0,12.0,12.0,3700
30-11-20,12.0,12.0,12.0,11.8,1300
01-12-20,12.0,12.0,12.0,12.0,7500
02-12-20,12.0,12.0,12.0,12.0,2000
03-12-20,12.0,12.0,12.1,11.8,2320
04-12-20,12.0,11.8,12.1,11.8,8900
07-12-20,12.4,12.4,12.4,12.4,110
08-12-20,12.3,12.0,12.3,12.0,7100
09-12-20,11.9,12.0,12.0,11.9,2500
10-12-20,12.2,12.2,12.2,12.2,120
11-12-20,12.2,12.2,12.2,12.2,0
14-12-20,12.2,12.8,12.8,12.1,1500
15-12-20,12.8,12.8,12.8,12.8,0
16-12-20,12.8,12.8,12.8,12.8,500
17-12-20,11.9,12.0,12.0,11.8,14000
18-12-20,12.0,11.6,12.0,11.6,200
21-12-20,12.5,12.0,12.6,12.0,9200
22-12-20,11.7,12.0,12.7,11.7,2100
23-12-20,12.0,12.0,12.0,12.0,6100
24-12-20,12.0,12.0,12.0,12.0,5000
25-12-20,12.0,12.0,12.0,12.0,2700
28-12-20,12.0,12.0,12.0,11.8,8900
29-12-20,12.0,12.0,12.0,12.0,1000
30-12-20,11.8,12.0,12.0,11.8,2100
31-12-20,12.0,12.0,12.0,12.0,1300
04-01-21,12.0,12.0,12.0,12.0,23900
05-01-21,12.0,12.4,12.4,12.0,11100
06-01-21,12.4,12.4,12.4,12.0,3100
07-01-21,12.4,12.4,12.4,12.0,8520
08-01-21,12.4,12.9,13.0,12.3,14700
11-01-21,12.4,12.6,12.6,12.4,9700
12-01-21,12.4,12.7,12.7,12.4,1800
13-01-21,12.5,12.5,12.5,12.2,8500
14-01-21,12.5,12.6,12.6,12.5,22300
15-01-21,12.8,13.8,13.8,12.8,13900
18-01-21,14.0,15.0,15.1,13.6,21500
19-01-21,15.0,15.0,15.0,14.5,2800
20-01-21,13.6,14.9,14.9,13.5,11200
21-01-21,14.9,16.3,16.3,14.9,7000
22-01-21,15.9,15.0,15.9,15.0,600
25-01-21,15.0,14.8,15.0,14.8,1000
26-01-21,14.5,14.9,14.9,14.0,9000
27-01-21,14.2,14.5,14.5,13.5,32200
28-01-21,13.4,14.5,14.5,13.1,9910
29-01-21,14.0,14.5,14.5,14.0,3500
01-02-21,14.0,13.7,14.0,13.7,1200
02-02-21,13.7,13.9,13.9,13.7,1200
03-02-21,14.4,14.4,14.4,14.4,900
04-02-21,13.9,14.1,14.1,13.1,6000
05-02-21,14.8,14.8,14.8,14.8,100
08-02-21,13.7,14.3,14.3,13.4,21600
09-02-21,14.0,14.0,14.0,14.0,1000
17-02-21,15.3,15.3,15.3,15.3,100
18-02-21,14.0,14.0,14.0,14.0,500
19-02-21,14.0,13.2,14.0,13.2,1400
22-02-21,14.5,13.5,14.5,13.5,710
23-02-21,13.5,13.5,13.5,13.5,0
24-02-21,13.5,13.5,13.5,13.5,100
25-02-21,13.0,14.3,14.3,13.0,200
26-02-21,14.3,14.3,14.3,14.3,500
01-03-21,14.4,14.3,14.9,14.3,7600
02-03-21,14.9,14.4,14.9,14.3,700
03-03-21,14.4,14.4,14.4,14.4,2200
04-03-21,14.3,14.1,14.3,14.0,12200
05-03-21,14.1,15.5,15.5,14.1,14300
08-03-21,15.0,15.0,15.0,15.0,300
09-03-21,15.0,15.0,15.0,15.0,150
10-03-21,15.0,15.0,15.0,15.0,0
11-03-21,15.0,15.0,15.0,15.0,200
12-03-21,14.9,14.9,14.9,14.9,300
15-03-21,14.6,15.0,15.0,14.5,3000
16-03-21,15.0,15.6,15.6,15.0,1900
17-03-21,15.6,15.5,15.6,15.5,1200
18-03-21,15.0,15.0,15.0,15.0,1000
19-03-21,15.0,15.0,15.0,15.0,100
22-03-21,15.0,15.0,15.0,15.0,2400
23-03-21,15.8,15.8,15.8,15.8,1000
24-03-21,15.8,15.8,15.8,15.8,0
25-03-21,14.6,14.6,14.6,14.6,1900
26-03-21,15.0,15.2,15.2,15.0,1900
29-03-21,15.2,15.2,15.2,15.2,0
30-03-21,14.5,15.1,15.1,14.5,1311
31-03-21,15.1,15.1,15.1,15.1,601
01-04-21,15.1,15.1,15.1,15.1,0
02-04-21,15.1,15.1,15.1,15.1,1000
05-04-21,14.7,14.7,14.7,14.7,1100
06-04-21,15.8,15.8,15.8,15.8,100
07-04-21,15.6,15.2,15.6,15.2,10200
08-04-21,15.2,16.0,16.0,15.2,9100
09-04-21,16.0,16.0,16.0,16.0,7200
12-04-21,16.2,17.0,17.0,15.5,5800
13-04-21,17.0,17.0,17.0,17.0,0
14-04-21,16.2,17.4,17.4,16.2,11409
15-04-21,17.0,17.0,17.0,17.0,100
16-04-21,17.0,17.0,17.0,17.0,0
19-04-21,17.0,17.0,17.0,17.0,100
20-04-21,16.8,17.0,17.0,16.8,11600
22-04-21,17.0,17.0,17.0,17.0,0
23-04-21,17.0,17.0,17.0,17.0,0
26-04-21,16.0,16.0,16.0,16.0,100
27-04-21,16.0,16.0,16.0,16.0,409
28-04-21,15.2,15.2,15.2,15.2,2000
29-04-21,15.3,16.5,16.5,15.3,200
04-05-21,15.3,16.0,16.5,15.3,3600
05-05-21,16.5,16.0,16.5,15.2,1400
06-05-21,15.1,16.0,16.5,15.1,3000
07-05-21,15.2,16.0,16.5,15.2,2300
10-05-21,15.5,15.7,15.7,15.5,1500
