Date,Open,Close,High,Low,Volume
16-11-20,4.1,4.1,4.1,4.0,21700
17-11-20,4.1,4.0,4.1,4.0,700
18-11-20,4.1,4.0,4.1,4.0,8420
19-11-20,4.0,4.0,4.1,4.0,4900
20-11-20,4.1,4.1,4.1,4.1,3002
23-11-20,4.0,4.1,4.1,4.0,300
24-11-20,4.1,4.1,4.1,4.0,12900
25-11-20,4.1,4.0,4.1,4.0,50510
26-11-20,4.1,4.1,4.1,4.0,10700
27-11-20,4.0,4.1,4.1,3.9,3704
30-11-20,4.1,4.1,4.1,4.1,3200
01-12-20,4.0,4.2,4.2,4.0,22300
02-12-20,4.1,4.2,4.2,4.0,63124
03-12-20,4.1,4.2,4.2,4.0,19300
04-12-20,4.1,4.1,4.2,4.1,11900
07-12-20,4.1,4.2,4.2,4.1,16720
08-12-20,4.2,4.3,4.3,4.2,47500
09-12-20,4.3,4.4,4.5,4.3,57653
10-12-20,4.4,4.5,4.5,4.4,46700
11-12-20,4.5,4.6,4.6,4.4,75200
14-12-20,4.6,4.7,4.7,4.5,36853
15-12-20,4.6,4.5,4.6,4.5,23700
16-12-20,4.6,4.6,4.6,4.5,23000
17-12-20,4.6,4.8,4.8,4.6,50610
18-12-20,4.7,4.8,4.8,4.6,7205
21-12-20,4.7,4.8,4.9,4.7,30550
22-12-20,4.7,4.9,4.9,4.7,79400
23-12-20,4.8,4.7,4.8,4.7,4000
24-12-20,4.8,4.8,4.9,4.8,48304
25-12-20,4.4,4.8,4.8,4.4,5100
28-12-20,4.8,4.9,4.9,4.7,4950
29-12-20,4.9,4.9,4.9,4.9,4145
30-12-20,4.8,4.8,4.9,4.8,45413
31-12-20,4.7,5.0,5.0,4.7,20165
04-01-21,5.0,5.3,5.3,5.0,37250
05-01-21,5.3,5.3,5.4,5.3,701
06-01-21,5.3,5.4,5.4,5.1,11145
07-01-21,5.4,5.3,5.4,5.2,9900
08-01-21,5.4,5.3,5.5,5.2,22100
11-01-21,5.3,5.4,5.4,5.3,1499
12-01-21,5.3,5.3,5.3,5.2,10000
13-01-21,5.3,5.2,5.3,5.2,26400
