Date,Open,Close,High,Low,Volume
16-11-20,5.1,5.1,5.2,5.1,2517
17-11-20,5.1,5.1,5.2,5.1,153500
18-11-20,5.1,5.1,5.1,5.0,182000
19-11-20,5.1,5.3,5.3,5.1,128303
20-11-20,5.2,5.5,5.6,5.2,196703
23-11-20,5.5,5.5,5.7,5.5,291010
24-11-20,5.5,5.5,5.5,5.3,38100
25-11-20,5.4,5.4,5.4,5.3,63497
26-11-20,5.3,5.3,5.3,5.3,22700
27-11-20,5.2,5.4,5.4,5.2,27613
30-11-20,5.4,5.4,5.5,5.3,35400
01-12-20,5.3,5.3,5.4,5.3,17900
02-12-20,5.3,5.4,5.5,5.3,44500
03-12-20,5.4,5.4,5.4,5.3,14310
04-12-20,5.3,5.3,5.3,5.3,3100
07-12-20,5.4,5.4,5.5,5.4,19052
08-12-20,5.4,5.4,5.4,5.4,40400
09-12-20,5.4,5.4,5.4,5.4,8400
10-12-20,5.4,5.4,5.4,5.3,6503
11-12-20,5.4,5.4,5.4,5.4,25200
14-12-20,5.5,5.9,5.9,5.5,673110
15-12-20,6.1,5.9,6.2,5.9,45920
16-12-20,5.9,5.9,6.1,5.9,20910
17-12-20,5.9,5.7,5.9,5.6,62010
18-12-20,5.7,5.8,5.8,5.7,53310
21-12-20,5.8,6.2,6.3,5.8,141625
22-12-20,6.2,6.2,6.4,6.2,50427
23-12-20,6.1,6.2,6.2,6.1,71700
24-12-20,6.1,6.0,6.1,5.9,34710
25-12-20,6.0,6.2,6.2,6.0,25637
28-12-20,6.2,6.3,6.4,6.2,212270
29-12-20,6.3,6.6,6.8,6.3,308426
30-12-20,6.7,6.6,6.7,6.5,36580
31-12-20,6.4,6.4,6.4,6.3,6011
04-01-21,6.4,6.4,6.6,6.4,63600
05-01-21,6.4,6.4,6.5,6.3,24546
06-01-21,6.4,6.4,6.6,6.4,51118
07-01-21,6.3,6.5,6.5,6.3,36800
08-01-21,6.4,6.2,6.4,6.2,57364
11-01-21,6.4,6.3,6.4,6.3,8900
12-01-21,6.3,6.4,6.4,6.2,153000
13-01-21,6.4,6.5,6.5,6.4,113742
14-01-21,6.6,6.5,6.6,6.5,138100
15-01-21,6.5,6.5,6.6,6.5,126870
18-01-21,6.5,6.5,6.5,6.4,41435
19-01-21,6.5,6.2,6.5,5.9,382600
20-01-21,6.1,6.3,6.3,6.1,101820
21-01-21,6.3,6.3,6.3,6.2,96300
