Date,Open,Close,High,Low,Volume
16-11-20,25.6,25.6,25.6,25.6,0
17-11-20,28.0,28.0,28.0,28.0,100
18-11-20,28.0,28.0,28.0,28.0,0
19-11-20,28.0,28.0,28.0,28.0,0
20-11-20,28.0,28.0,28.0,28.0,0
23-11-20,27.9,27.9,27.9,27.9,700
24-11-20,27.9,27.9,27.9,27.9,0
25-11-20,29.9,29.9,29.9,29.9,100
26-11-20,29.9,29.9,29.9,29.9,0
27-11-20,29.9,29.9,29.9,29.9,0
30-11-20,29.9,29.9,29.9,29.9,0
01-12-20,29.9,29.9,29.9,29.9,0
02-12-20,29.9,29.9,29.9,29.9,0
03-12-20,29.9,29.9,29.9,29.9,0
04-12-20,29.9,29.9,29.9,29.9,0
07-12-20,29.9,29.9,29.9,29.9,0
08-12-20,29.9,29.9,29.9,29.9,0
09-12-20,29.9,29.9,29.9,29.9,0
10-12-20,29.9,29.9,29.9,29.9,0
11-12-20,29.9,29.9,29.9,29.9,0
14-12-20,29.9,29.9,29.9,29.9,0
15-12-20,27.0,27.0,27.0,27.0,100
16-12-20,24.3,24.3,24.3,24.3,100
17-12-20,21.9,21.9,22.0,21.9,2600
18-12-20,21.9,19.9,21.9,19.9,401
21-12-20,19.1,19.1,19.2,19.1,3500
22-12-20,20.0,20.0,20.0,20.0,400
23-12-20,19.0,19.0,19.0,19.0,200
24-12-20,19.0,19.0,19.0,19.0,0
25-12-20,19.0,19.0,19.0,19.0,0
28-12-20,18.5,20.5,20.5,18.5,200
29-12-20,19.3,19.3,19.3,19.3,200
30-12-20,19.3,19.3,19.3,19.3,0
31-12-20,19.3,19.3,19.3,19.3,100
04-01-21,19.3,19.3,19.3,19.3,0
05-01-21,19.5,19.7,19.7,19.5,300
06-01-21,19.6,19.7,19.7,19.6,500
07-01-21,19.7,19.7,19.7,19.7,0
08-01-21,19.9,19.9,19.9,19.9,100
11-01-21,19.8,19.8,19.8,19.8,100
12-01-21,20.3,19.7,20.4,19.7,400
13-01-21,19.7,19.7,19.7,19.7,0
14-01-21,17.9,17.9,17.9,17.9,100
15-01-21,17.9,17.9,17.9,17.9,0
18-01-21,19.6,19.6,19.6,19.6,100
19-01-21,17.8,20.0,21.0,17.8,3500
20-01-21,18.1,18.7,20.5,18.1,2300
21-01-21,20.5,20.0,20.5,19.2,1200
22-01-21,18.1,18.1,18.1,18.1,100
25-01-21,19.9,19.9,19.9,19.9,100
26-01-21,19.3,18.1,19.3,18.1,200
27-01-21,18.1,18.1,18.1,18.1,0
28-01-21,19.9,19.9,19.9,19.9,300
29-01-21,18.0,18.0,18.0,18.0,100
01-02-21,18.0,18.0,18.0,18.0,0
02-02-21,18.0,18.0,18.0,18.0,0
03-02-21,18.0,18.0,18.0,18.0,0
04-02-21,18.0,18.0,18.0,18.0,0
05-02-21,18.0,18.0,18.0,18.0,0
08-02-21,18.0,18.0,18.0,18.0,0
09-02-21,18.0,18.0,18.0,18.0,0
17-02-21,18.0,18.0,18.0,18.0,0
18-02-21,18.0,18.0,18.0,18.0,0
19-02-21,18.0,18.0,18.0,18.0,1
22-02-21,18.0,18.0,18.0,18.0,0
23-02-21,18.0,18.0,18.0,18.0,0
24-02-21,18.0,18.0,18.0,18.0,0
25-02-21,18.0,18.0,18.0,18.0,0
26-02-21,18.0,18.0,18.0,18.0,0
01-03-21,18.0,18.0,18.0,18.0,0
02-03-21,18.0,18.0,18.0,18.0,0
03-03-21,18.0,18.0,18.0,18.0,0
04-03-21,18.0,18.0,18.0,18.0,0
05-03-21,18.0,18.0,18.0,18.0,0
08-03-21,18.0,18.0,18.0,18.0,0
09-03-21,18.0,18.0,18.0,18.0,0
10-03-21,18.0,18.0,18.0,18.0,0
11-03-21,19.8,19.8,19.8,19.8,100
12-03-21,19.8,19.8,19.8,19.8,0
15-03-21,19.8,19.8,19.8,19.8,0
16-03-21,19.8,19.8,19.8,19.8,0
17-03-21,19.8,19.8,19.8,19.8,0
18-03-21,19.8,19.8,19.8,19.8,0
19-03-21,19.8,19.8,19.8,19.8,0
22-03-21,19.8,19.8,19.8,19.8,0
23-03-21,19.8,19.8,19.8,19.8,0
24-03-21,21.7,21.7,21.7,21.7,200
25-03-21,21.1,21.1,21.1,21.1,500
26-03-21,20.1,20.6,23.2,20.1,1300
29-03-21,20.6,20.6,20.6,20.6,0
30-03-21,20.1,20.1,20.1,20.1,200
31-03-21,20.1,20.1,20.1,20.1,0
01-04-21,20.1,20.1,20.1,20.1,0
02-04-21,18.2,18.2,18.2,18.2,200
05-04-21,18.2,18.2,18.2,18.2,0
06-04-21,18.2,18.2,18.2,18.2,0
07-04-21,20.0,20.0,20.0,20.0,100
08-04-21,22.0,20.6,22.0,20.6,900
09-04-21,20.1,20.1,20.1,20.1,100
12-04-21,20.1,20.1,20.1,20.1,0
13-04-21,18.6,18.6,18.6,18.6,100
14-04-21,18.6,18.6,18.6,18.6,0
15-04-21,18.6,18.6,18.6,18.6,0
16-04-21,18.6,18.6,18.6,18.6,0
19-04-21,20.4,20.4,20.4,20.4,2200
20-04-21,20.4,20.4,20.4,20.4,0
22-04-21,20.4,20.4,20.4,20.4,0
23-04-21,18.5,20.5,20.5,18.5,200
26-04-21,22.4,22.4,22.5,22.4,700
27-04-21,22.4,22.4,22.4,22.4,0
28-04-21,20.6,20.6,20.6,20.6,300
29-04-21,20.6,20.8,22.6,20.2,900
04-05-21,20.8,20.8,20.8,20.8,0
05-05-21,20.8,20.8,20.8,20.8,0
06-05-21,20.8,20.8,20.8,20.8,0
07-05-21,20.8,20.8,20.8,20.8,0
