Date,Open,Close,High,Low,Volume
16-11-20,10.0,9.0,10.0,8.6,15500
17-11-20,9.0,9.0,9.0,9.0,0
18-11-20,9.7,8.8,9.7,8.8,300
19-11-20,8.8,8.8,8.8,8.8,0
20-11-20,8.8,8.8,8.8,8.8,0
23-11-20,8.8,8.8,8.8,8.8,0
24-11-20,8.8,8.8,8.8,8.8,300
25-11-20,8.6,9.0,9.0,8.6,400
26-11-20,9.2,8.9,9.2,8.9,200
27-11-20,8.9,8.9,8.9,8.9,0
30-11-20,8.7,8.9,8.9,8.7,5100
01-12-20,8.9,8.9,8.9,8.9,0
02-12-20,8.5,8.6,8.6,8.5,1110
03-12-20,8.6,8.6,8.6,8.6,0
04-12-20,9.2,9.2,9.2,9.2,100
07-12-20,8.5,8.5,8.5,8.5,500
08-12-20,8.5,8.5,8.5,8.5,0
09-12-20,8.9,8.9,8.9,8.9,100
10-12-20,8.6,8.5,8.6,8.5,9700
11-12-20,8.5,8.5,8.5,8.5,0
14-12-20,8.5,8.5,8.5,8.5,900
15-12-20,8.6,8.5,8.6,8.5,11000
16-12-20,8.5,8.5,8.6,8.5,17300
17-12-20,8.5,8.5,8.5,8.5,7700
18-12-20,8.5,8.5,8.5,8.5,800
21-12-20,8.5,8.5,8.5,8.5,6400
22-12-20,8.5,8.5,8.5,8.3,6500
23-12-20,8.4,8.4,8.4,8.3,10845
24-12-20,8.3,8.2,8.3,8.2,10700
25-12-20,8.2,8.2,8.2,8.2,9000
28-12-20,8.4,8.1,8.4,8.1,16100
29-12-20,8.1,8.1,8.1,8.1,8900
30-12-20,8.2,8.2,8.2,8.2,110
31-12-20,8.4,8.1,8.4,8.1,300
04-01-21,8.2,8.0,8.2,8.0,10500
05-01-21,8.1,8.0,8.1,8.0,4200
06-01-21,8.0,8.0,8.0,8.0,3000
07-01-21,8.2,8.1,8.3,8.1,1200
08-01-21,8.1,8.0,8.1,8.0,14700
11-01-21,8.3,8.1,8.5,8.0,9900
12-01-21,8.6,8.0,8.6,8.0,12100
13-01-21,8.1,8.1,8.3,8.0,30400
14-01-21,8.1,8.8,8.8,8.0,40500
15-01-21,8.8,8.8,9.0,8.5,8500
18-01-21,8.4,9.2,9.3,8.4,37800
19-01-21,9.1,8.8,9.3,8.3,44100
20-01-21,8.6,8.7,8.7,8.4,14400
21-01-21,8.7,8.7,8.7,8.5,12200
22-01-21,8.9,8.2,8.9,8.0,38200
25-01-21,8.3,8.3,8.4,8.0,46400
26-01-21,8.5,9.0,9.1,8.3,116600
27-01-21,9.0,9.0,9.3,8.9,99600
28-01-21,9.0,8.5,9.0,8.1,16700
29-01-21,8.3,8.7,8.9,8.2,30000
01-02-21,8.2,8.0,8.2,7.9,49700
02-02-21,7.7,7.5,8.0,7.2,17000
03-02-21,7.0,8.2,8.2,7.0,4430
04-02-21,8.1,7.9,8.1,7.9,7700
05-02-21,7.9,7.9,8.1,7.9,24500
08-02-21,7.9,8.0,8.1,7.9,4700
09-02-21,8.0,8.0,8.0,7.6,1700
17-02-21,8.2,8.2,8.3,7.6,7700
18-02-21,8.3,8.3,8.3,7.7,3714
19-02-21,8.3,8.2,8.3,7.9,8800
22-02-21,8.2,8.1,8.2,8.1,17200
23-02-21,8.0,7.9,8.0,7.8,21500
24-02-21,8.0,7.9,8.1,7.9,25500
25-02-21,7.9,7.9,7.9,7.8,21200
26-02-21,7.8,7.8,7.8,7.8,1600
01-03-21,7.9,8.1,8.2,7.8,18500
02-03-21,7.9,7.9,8.0,7.8,12000
03-03-21,7.9,8.0,8.0,7.8,15500
04-03-21,8.0,8.1,8.1,8.0,2100
05-03-21,8.0,8.4,8.4,8.0,14900
08-03-21,8.4,8.5,8.6,8.4,26700
09-03-21,8.5,8.6,8.6,8.2,38900
10-03-21,8.6,8.6,8.6,8.2,66100
11-03-21,8.6,8.7,8.8,8.4,19200
12-03-21,8.6,8.4,8.6,8.2,36800
15-03-21,8.5,8.4,8.6,8.3,33700
16-03-21,8.5,8.8,8.9,8.3,126700
17-03-21,8.9,9.6,9.6,8.9,109614
18-03-21,10.5,10.1,10.5,9.0,47500
19-03-21,9.9,9.1,9.9,9.1,58000
22-03-21,9.1,9.0,9.1,8.5,124800
23-03-21,9.3,9.0,9.3,8.7,109100
24-03-21,9.0,8.8,9.0,8.5,58404
25-03-21,8.6,8.7,8.8,8.5,33500
26-03-21,8.7,8.8,9.0,8.5,79100
29-03-21,8.9,8.9,9.1,8.5,152000
30-03-21,9.0,9.4,9.6,9.0,116900
31-03-21,9.7,9.4,9.7,9.2,85300
01-04-21,9.2,9.2,9.2,9.0,123900
02-04-21,9.3,9.4,9.5,9.1,71800
05-04-21,9.5,9.5,9.5,9.3,37204
06-04-21,9.4,9.5,9.5,9.3,103300
07-04-21,9.4,10.0,10.3,9.4,228100
08-04-21,10.0,10.1,10.1,9.8,27301
09-04-21,10.0,10.1,10.1,9.9,34600
