Date,Open,Close,High,Low,Volume
16-11-20,13.6,13.3,14.0,13.2,125750
17-11-20,13.3,13.5,13.7,13.3,128500
18-11-20,13.3,13.6,13.6,13.1,125100
19-11-20,13.7,13.2,13.7,13.2,136540
20-11-20,13.3,13.4,13.6,13.3,123500
23-11-20,13.4,13.4,13.9,13.2,127550
24-11-20,13.4,13.5,13.9,13.4,131430
25-11-20,13.5,13.5,13.7,13.4,140600
26-11-20,13.5,13.4,13.6,13.3,127827
27-11-20,13.5,13.5,13.7,13.4,154930
30-11-20,13.5,13.4,13.6,13.3,133659
01-12-20,13.5,13.4,13.5,13.1,131200
02-12-20,13.4,13.4,13.5,13.1,129400
03-12-20,13.6,13.4,13.6,13.3,143300
04-12-20,13.8,13.4,13.8,13.3,135444
07-12-20,13.4,13.4,13.5,13.2,147303
08-12-20,13.5,13.4,13.5,13.0,135718
09-12-20,13.4,13.3,13.4,13.1,121752
10-12-20,13.4,13.2,13.4,13.0,121662
11-12-20,13.3,13.2,13.3,12.8,133346
14-12-20,13.9,13.2,13.9,13.0,122020
15-12-20,13.4,13.2,13.4,12.9,133214
16-12-20,13.3,13.2,13.3,13.0,123550
17-12-20,13.2,13.2,13.2,12.9,123270
18-12-20,13.2,13.1,13.2,13.0,121662
21-12-20,13.1,13.1,13.1,12.9,124382
22-12-20,13.5,13.2,13.5,12.8,129312
23-12-20,13.3,13.2,13.3,13.0,131615
24-12-20,13.5,13.3,13.5,13.0,133808
25-12-20,13.4,13.4,13.5,13.1,141570
28-12-20,13.5,13.6,13.8,13.5,134457
29-12-20,14.0,13.5,14.0,13.4,162695
30-12-20,13.7,13.6,13.7,13.5,135963
31-12-20,13.7,13.9,14.0,13.5,167910
04-01-21,14.3,15.2,15.2,14.0,148570
05-01-21,15.5,16.4,16.7,15.4,200908
06-01-21,16.6,18.0,18.0,16.5,571671
07-01-21,18.4,19.5,19.8,18.1,351322
08-01-21,19.7,17.6,20.1,17.6,392786
11-01-21,18.5,16.8,18.5,15.9,473150
12-01-21,16.6,16.4,16.6,15.2,492570
13-01-21,16.5,15.5,16.5,15.0,514486
14-01-21,15.8,15.3,15.9,14.9,619365
15-01-21,15.3,15.4,15.9,15.3,273341
18-01-21,15.4,16.9,16.9,15.4,405770
19-01-21,18.5,15.3,18.5,15.3,1025782
20-01-21,15.8,16.8,16.8,15.8,99351
21-01-21,18.4,18.4,18.4,18.4,70901
22-01-21,20.2,20.2,20.2,20.2,330546
25-01-21,22.2,22.2,22.2,20.3,1195144
26-01-21,24.4,22.6,24.4,20.8,1651435
27-01-21,22.5,21.8,22.6,20.6,408633
28-01-21,21.8,19.7,22.0,19.7,733915
29-01-21,17.8,20.3,21.0,17.8,487388
01-02-21,20.3,19.3,21.0,19.1,408410
02-02-21,19.4,19.6,19.9,19.0,425400
03-02-21,19.5,20.0,20.1,19.4,434408
04-02-21,20.1,21.0,21.5,20.1,427991
05-02-21,21.0,22.5,23.1,21.0,478875
08-02-21,23.3,22.5,24.0,21.0,472002
09-02-21,22.5,23.0,23.0,22.4,385324
17-02-21,23.0,23.3,23.7,22.9,525651
18-02-21,23.3,22.5,23.3,22.1,508284
19-02-21,22.2,22.3,22.5,21.2,425621
22-02-21,22.3,22.0,22.5,20.6,376720
23-02-21,22.0,22.0,22.1,21.6,266700
24-02-21,22.0,22.0,22.5,21.8,309830
25-02-21,22.1,22.1,22.5,21.8,388912
26-02-21,22.0,23.7,23.7,22.0,585418
01-03-21,23.7,25.6,25.8,23.7,385552
02-03-21,25.7,25.7,26.5,25.2,312126
03-03-21,25.6,25.2,25.8,24.9,380524
04-03-21,25.2,24.3,25.2,23.0,449100
05-03-21,24.3,25.2,25.2,23.4,299230
08-03-21,25.2,25.3,25.3,24.8,327829
09-03-21,25.3,25.4,25.5,24.7,302676
10-03-21,25.8,27.3,27.5,25.3,534520
11-03-21,27.4,26.9,27.8,25.6,390824
12-03-21,27.0,26.9,28.0,26.0,306000
15-03-21,26.9,26.8,26.9,26.3,285700
16-03-21,26.8,26.9,27.0,26.0,301025
17-03-21,26.9,26.4,27.0,26.4,294829
18-03-21,26.5,26.4,26.5,26.0,327550
19-03-21,26.4,26.6,26.7,26.1,315339
22-03-21,26.6,26.8,27.5,26.6,318872
23-03-21,26.8,26.4,26.8,26.3,313004
24-03-21,26.0,26.0,26.4,25.8,274655
25-03-21,26.1,25.3,26.2,23.5,401900
26-03-21,25.0,25.0,25.0,23.2,292451
29-03-21,25.1,24.5,25.2,24.2,290560
30-03-21,24.5,24.4,24.5,24.0,273050
31-03-21,25.0,24.7,25.0,24.4,242726
01-04-21,24.7,26.0,26.2,24.7,301810
02-04-21,26.1,26.0,26.9,26.0,286500
05-04-21,26.0,25.5,26.0,25.1,275100
06-04-21,25.0,25.4,25.7,25.0,279519
07-04-21,25.3,24.9,25.3,24.9,296647
08-04-21,24.9,24.8,25.4,24.5,257633
09-04-21,23.0,24.8,26.4,23.0,255900
12-04-21,24.8,24.6,25.5,24.2,297260
13-04-21,24.5,24.0,24.8,23.8,301270
14-04-21,24.0,23.9,24.0,23.5,294910
15-04-21,24.2,23.1,24.3,22.7,388912
16-04-21,23.0,22.1,23.0,21.9,381100
19-04-21,22.1,22.3,22.5,20.5,226440
20-04-21,22.2,22.5,23.4,22.2,289900
22-04-21,22.3,22.0,22.9,22.0,304932
23-04-21,22.0,22.4,22.4,21.5,179162
26-04-21,22.4,22.0,23.5,22.0,344650
27-04-21,22.2,21.9,22.3,21.8,252800
28-04-21,21.8,22.0,22.1,21.6,218500
29-04-21,22.1,21.9,22.1,21.8,245300
04-05-21,21.8,20.5,21.8,20.4,276100
05-05-21,20.6,20.9,21.0,20.3,268100
06-05-21,20.9,21.5,21.8,20.7,274500
07-05-21,21.2,20.8,21.3,20.6,170465
10-05-21,20.7,20.2,20.7,19.8,283600
11-05-21,20.2,19.9,20.4,19.6,293200
12-05-21,19.7,19.3,19.7,18.8,390815
13-05-21,19.1,19.2,19.4,19.0,272267
14-05-21,19.5,20.4,21.0,19.2,364850
17-05-21,20.6,19.9,21.0,19.6,295615
18-05-21,19.8,19.6,19.9,19.3,252060
19-05-21,19.3,19.3,19.4,19.0,253900
20-05-21,19.0,18.2,19.0,17.5,346310
21-05-21,18.0,19.1,19.1,17.6,336300
24-05-21,19.1,19.1,19.5,18.8,270663
25-05-21,19.3,19.6,19.9,19.2,340400
26-05-21,19.6,19.1,19.7,19.1,291278
27-05-21,19.2,19.0,19.3,18.6,271600
28-05-21,18.9,18.8,19.0,18.5,282000
31-05-21,18.5,18.1,18.7,18.1,339900
01-06-21,18.1,18.9,19.3,18.1,318112
02-06-21,18.9,19.5,19.6,18.4,328150
03-06-21,19.5,20.0,20.0,19.5,383282
04-06-21,20.0,21.8,22.0,20.0,589272
07-06-21,22.0,21.3,22.0,21.0,331877
08-06-21,21.1,19.5,21.1,19.5,362700
09-06-21,19.5,19.8,19.8,19.0,324910
10-06-21,20.0,19.7,20.0,19.3,318800
11-06-21,19.6,19.9,19.9,19.3,297552
14-06-21,19.9,19.8,20.2,19.8,298157
15-06-21,19.7,20.4,20.5,19.7,341200
16-06-21,20.7,21.2,21.7,20.6,404920
17-06-21,21.2,21.5,21.5,20.6,363422
18-06-21,21.3,21.5,21.6,21.0,345745
21-06-21,21.4,20.6,21.4,20.6,370653
22-06-21,20.6,20.7,21.1,20.4,332831
23-06-21,20.6,20.5,20.9,20.4,292355
24-06-21,20.6,20.5,20.8,20.4,311500
25-06-21,20.4,20.2,20.6,20.0,281312
28-06-21,20.1,19.6,20.6,19.6,313210
29-06-21,19.6,20.2,20.3,19.6,279377
30-06-21,20.5,20.2,20.5,20.0,286800
01-07-21,20.3,20.3,20.5,20.0,289829
02-07-21,20.1,20.3,20.4,20.1,257800
05-07-21,20.3,20.0,20.3,19.6,254000
06-07-21,20.0,19.7,20.0,19.7,272510
07-07-21,19.4,19.4,19.6,19.1,295210
08-07-21,19.3,19.4,21.1,19.2,280511
09-07-21,19.3,19.0,19.4,19.0,297100
12-07-21,18.9,18.1,18.9,17.5,237500
13-07-21,18.1,17.9,18.1,17.5,270124
14-07-21,19.0,18.3,19.0,17.8,240800
15-07-21,18.7,18.2,18.7,17.9,249700
16-07-21,18.2,18.0,18.5,18.0,235600
19-07-21,17.8,17.5,17.8,16.5,278002
20-07-21,17.5,17.5,17.6,17.3,246800
21-07-21,17.5,17.2,17.5,16.5,272140
22-07-21,17.2,17.4,17.4,16.8,209800
23-07-21,17.4,16.6,17.4,16.6,222800
26-07-21,16.6,16.8,16.9,16.1,214608
27-07-21,16.8,16.8,16.8,16.4,271528
28-07-21,16.9,16.9,17.1,16.5,222300
29-07-21,17.0,17.0,18.3,16.6,231340
30-07-21,16.9,18.7,18.7,16.5,444158
02-08-21,18.8,17.5,18.8,16.9,422752
03-08-21,17.5,17.9,17.9,17.4,220523
04-08-21,18.0,17.9,18.5,17.7,218302
05-08-21,18.2,17.8,18.2,17.5,295100
06-08-21,17.9,17.5,18.0,17.5,313305
09-08-21,17.6,17.6,17.7,17.3,274934
10-08-21,17.8,18.1,18.5,17.7,334515
11-08-21,18.2,18.5,19.0,18.0,349700
12-08-21,18.4,18.4,18.5,17.9,342822
13-08-21,18.4,18.1,18.4,17.8,330572
16-08-21,18.1,18.0,18.4,17.5,399427
17-08-21,18.0,17.9,18.3,17.6,376400
18-08-21,18.0,17.7,18.0,17.5,391700
19-08-21,17.7,18.0,18.0,17.6,317612
20-08-21,18.0,18.4,18.9,17.5,593320
23-08-21,18.3,20.2,20.2,18.1,598309
24-08-21,20.5,20.0,21.5,19.7,396645
25-08-21,20.0,20.2,20.2,18.8,470400
26-08-21,20.2,19.5,20.2,18.9,433410
27-08-21,19.5,19.5,19.8,18.8,351601
30-08-21,19.5,20.4,20.7,19.3,607633
31-08-21,20.4,19.9,20.5,19.8,468320
01-09-21,19.9,20.2,20.3,19.5,530249
06-09-21,20.2,20.9,21.3,19.9,724754
07-09-21,21.0,20.0,21.2,20.0,503191
08-09-21,19.5,20.2,20.2,18.5,416100
09-09-21,20.1,20.0,20.3,19.6,350630
10-09-21,19.5,19.6,20.0,19.3,389201
13-09-21,19.6,19.0,19.8,19.0,600010
14-09-21,19.0,19.0,19.2,18.8,396554
15-09-21,19.0,19.6,20.0,18.9,333808
16-09-21,20.0,19.3,20.1,19.2,344610
17-09-21,19.3,19.5,19.7,19.1,347321
20-09-21,19.5,19.2,19.5,19.1,460508
21-09-21,19.2,19.1,19.2,18.9,333933
22-09-21,19.1,21.0,21.0,19.1,709845
23-09-21,21.4,20.5,23.1,20.5,564500
24-09-21,20.5,20.7,21.0,20.0,309141
27-09-21,20.7,19.3,20.7,19.2,381282
28-09-21,19.3,19.1,19.3,18.6,395333
29-09-21,19.1,19.5,19.5,19.0,280613
30-09-21,19.5,19.6,19.9,19.4,289311
01-10-21,19.6,20.1,20.5,19.5,379814
04-10-21,20.1,20.6,21.5,20.1,418467
05-10-21,20.7,20.9,21.6,20.7,473355
06-10-21,21.0,20.9,21.2,20.6,370030
07-10-21,21.3,20.8,21.3,20.7,315250
08-10-21,20.7,20.9,21.1,20.6,427822
11-10-21,20.9,22.0,22.1,20.8,663511
12-10-21,22.0,24.2,24.2,22.0,611612
13-10-21,24.5,21.9,26.3,21.9,354030
14-10-21,22.0,24.0,24.0,21.5,530400
15-10-21,24.2,24.4,25.5,23.5,362213
18-10-21,23.9,23.8,24.8,22.0,921630
19-10-21,23.6,23.1,23.9,22.3,364536
20-10-21,23.1,22.3,23.1,22.0,399934
21-10-21,22.0,22.8,23.0,21.5,273800
22-10-21,22.9,23.0,23.8,22.0,204000
25-10-21,23.6,22.9,23.6,22.5,533955
26-10-21,22.9,22.9,23.3,22.6,439620
27-10-21,23.0,23.0,23.4,22.9,521291
28-10-21,23.1,22.5,23.1,22.0,791820
29-10-21,22.5,22.2,22.6,21.7,533106
01-11-21,24.4,24.4,24.4,24.4,256446
02-11-21,26.8,26.8,26.8,26.8,120063
03-11-21,29.4,28.0,29.4,24.4,1734161
04-11-21,28.3,30.8,30.8,27.5,979650
05-11-21,32.0,32.7,33.8,30.0,489814
08-11-21,32.7,30.7,32.7,29.6,811137
09-11-21,30.6,29.5,30.9,28.8,675713
10-11-21,29.5,28.5,29.7,27.7,844425
11-11-21,28.5,27.8,28.6,27.3,793371
12-11-21,27.8,30.4,30.5,26.5,1171325
15-11-21,30.9,31.5,33.0,30.4,766125
16-11-21,31.5,29.8,31.5,29.5,555921
17-11-21,29.8,31.9,32.5,28.8,1008614
18-11-21,32.5,33.4,33.7,32.0,784202
19-11-21,33.4,32.5,33.5,30.2,812810
22-11-21,32.3,29.3,32.3,29.3,611864
23-11-21,29.0,29.8,30.5,27.1,478130
24-11-21,29.9,28.8,30.7,28.6,423476
25-11-21,28.8,29.1,29.7,28.7,344310
26-11-21,29.2,28.9,30.3,28.7,456877
29-11-21,28.5,28.7,29.5,27.6,430720
30-11-21,28.7,28.8,29.9,28.5,443212
01-12-21,29.0,29.1,29.1,28.4,370000
02-12-21,29.1,30.0,31.0,29.1,587825
03-12-21,29.7,28.6,30.2,28.6,396501
06-12-21,28.6,25.9,28.8,25.8,456001
07-12-21,25.9,26.8,26.8,25.5,459494
08-12-21,26.8,26.6,27.4,26.5,303820
09-12-21,26.6,27.9,28.3,25.9,362817
10-12-21,27.9,27.5,28.0,27.0,319610
13-12-21,28.0,28.3,28.7,27.5,386400
14-12-21,28.0,27.8,28.5,27.3,397267
15-12-21,27.9,27.0,28.0,27.0,365112
16-12-21,27.1,27.5,27.7,26.9,345620
17-12-21,27.5,30.2,30.2,27.4,1079855
20-12-21,30.1,30.4,32.0,29.7,686959
21-12-21,30.2,29.6,30.3,29.5,486807
22-12-21,29.6,30.5,31.0,28.9,783509
23-12-21,30.4,31.0,31.5,29.3,971107
24-12-21,30.9,31.4,32.0,30.8,669072
27-12-21,31.4,30.7,32.0,30.5,492255
28-12-21,30.5,29.9,31.4,29.7,632880
29-12-21,29.9,28.2,29.9,27.1,981991
30-12-21,28.2,28.0,29.0,27.8,432156
31-12-21,27.9,27.5,28.5,27.3,463687
04-01-22,27.6,28.4,28.4,27.6,497589
05-01-22,28.4,28.2,28.4,28.0,464551
06-01-22,28.2,27.8,28.9,27.8,596327
07-01-22,27.9,27.4,28.4,27.3,596875
10-01-22,27.4,26.4,28.0,26.4,874589
11-01-22,26.4,26.0,27.0,25.6,685123
12-01-22,26.0,24.1,26.0,23.4,881033
13-01-22,24.1,21.7,24.1,21.7,747953
14-01-22,20.0,22.3,23.3,19.6,550669
17-01-22,22.4,20.1,23.3,20.1,571194
18-01-22,20.0,18.6,20.0,18.2,465642
19-01-22,17.8,19.2,19.6,17.7,373487
20-01-22,19.2,20.8,21.1,19.0,399789
21-01-22,21.5,20.2,21.5,20.2,365104
24-01-22,20.2,19.3,20.5,19.3,364291
25-01-22,19.3,19.7,19.7,18.5,331216
26-01-22,19.8,19.7,20.1,19.5,400592
27-01-22,19.9,20.5,21.1,19.8,300025
28-01-22,20.5,20.2,21.2,20.0,334986
07-02-22,20.3,20.7,21.0,20.3,322839
08-02-22,21.0,20.8,21.0,20.5,315465
09-02-22,20.8,20.9,21.2,20.5,359935
10-02-22,20.9,21.4,21.8,20.9,423672
11-02-22,21.5,21.0,21.5,20.9,310900
14-02-22,20.9,20.7,21.2,20.6,368100
15-02-22,20.5,20.7,20.9,20.3,387105
16-02-22,20.7,22.0,22.7,20.7,416081
17-02-22,22.1,22.2,22.7,22.0,364890
18-02-22,22.1,22.2,22.4,21.8,429230
21-02-22,22.3,23.1,23.2,22.2,474412
22-02-22,23.0,22.7,23.1,21.8,549785
23-02-22,22.7,22.6,23.1,22.5,403830
24-02-22,22.7,22.3,23.1,21.0,486160
25-02-22,22.3,22.4,22.9,22.3,388768
28-02-22,22.4,22.4,22.8,22.1,452691
01-03-22,22.4,22.8,23.1,22.4,416569
02-03-22,22.8,22.5,22.9,22.3,348450
03-03-22,22.5,22.4,22.8,22.3,379971
04-03-22,22.4,22.8,23.0,22.4,537211
07-03-22,22.8,22.9,23.2,22.7,433477
08-03-22,22.9,22.3,22.9,22.3,467606
09-03-22,22.3,22.3,22.7,21.7,433107
10-03-22,22.3,22.7,22.9,22.3,414670
11-03-22,22.7,24.9,24.9,22.7,1159247
14-03-22,25.0,24.8,25.3,24.2,474768
15-03-22,24.8,23.8,24.8,23.3,460532
16-03-22,23.3,24.5,25.1,23.1,464264
17-03-22,24.5,24.0,24.5,24.0,394920
18-03-22,24.9,24.3,24.9,24.1,389045
21-03-22,24.3,25.4,25.4,24.3,627545
22-03-22,25.4,25.2,25.9,25.2,557978
23-03-22,25.2,24.6,25.5,24.3,527415
24-03-22,24.6,24.3,24.6,23.8,518062
25-03-22,24.3,24.7,24.7,24.3,345753
28-03-22,24.8,24.4,25.0,23.9,655413
29-03-22,24.4,24.8,24.8,24.1,382583
30-03-22,24.8,24.3,24.8,24.1,490853
31-03-22,24.3,24.5,24.8,24.1,420200
01-04-22,24.5,24.5,24.5,24.0,386753
04-04-22,24.5,24.7,25.2,24.5,476865
05-04-22,24.7,25.5,25.9,24.7,797725
06-04-22,25.5,25.2,25.5,25.0,400612
07-04-22,25.3,24.5,25.4,24.5,400721
