Date,Open,Close,High,Low,Volume
16-11-20,32.6,32.5,32.9,32.5,28505
17-11-20,32.5,32.7,32.9,32.4,28320
18-11-20,32.7,32.7,32.9,32.6,21232
19-11-20,32.7,33.5,33.7,32.5,87050
20-11-20,33.6,33.8,33.9,33.5,49559
23-11-20,34.0,33.8,34.2,33.8,77768
24-11-20,33.8,33.3,33.8,33.1,28576
25-11-20,33.3,33.2,33.5,33.0,50107
26-11-20,33.2,33.8,33.9,33.2,99945
27-11-20,34.0,34.5,34.9,34.0,118871
30-11-20,34.5,34.6,35.5,34.5,65435
01-12-20,34.6,34.6,34.6,34.0,50611
02-12-20,34.6,34.4,34.7,34.1,47288
03-12-20,34.0,35.1,35.5,34.0,317693
04-12-20,35.1,36.1,36.3,35.1,245153
07-12-20,39.7,37.3,39.7,36.5,84070
08-12-20,37.3,36.8,37.5,36.5,144555
09-12-20,36.7,36.8,37.4,36.5,117666
10-12-20,36.8,36.5,36.9,36.5,92906
11-12-20,36.3,36.9,36.9,36.2,43230
14-12-20,37.0,36.9,37.0,36.1,45841
15-12-20,36.9,36.7,37.0,36.6,80616
16-12-20,36.7,36.5,36.7,36.2,60539
17-12-20,36.6,36.4,36.7,36.2,36556
18-12-20,36.4,36.3,36.4,35.8,67805
21-12-20,36.4,36.3,36.7,36.3,49085
22-12-20,36.4,36.3,36.4,34.4,97145
23-12-20,36.3,36.0,36.3,36.0,31532
24-12-20,36.0,35.9,36.3,35.0,70270
25-12-20,35.9,36.0,36.4,35.9,40649
28-12-20,36.6,36.2,36.6,35.2,62081
29-12-20,36.3,36.1,36.3,36.0,24882
30-12-20,36.2,36.0,36.2,36.0,19108
31-12-20,35.9,36.0,36.5,35.9,36054
04-01-21,36.5,37.1,37.5,36.0,135868
05-01-21,37.1,37.2,37.5,36.9,58734
06-01-21,37.2,36.6,37.2,36.5,113925
07-01-21,40.2,36.9,40.2,36.5,57815
08-01-21,36.5,36.6,37.0,36.5,36562
11-01-21,36.6,36.8,37.1,36.6,53874
12-01-21,36.8,36.9,36.9,36.6,63267
13-01-21,37.0,38.6,38.8,37.0,284810
14-01-21,38.9,38.2,38.9,38.2,46252
15-01-21,38.0,38.2,38.3,37.9,70603
18-01-21,38.0,37.4,38.0,37.1,97770
19-01-21,37.4,36.0,37.6,34.7,95946
20-01-21,36.4,36.0,36.4,35.0,69600
21-01-21,36.0,36.9,36.9,35.7,87105
22-01-21,36.9,36.7,36.9,36.7,14550
25-01-21,36.0,36.5,36.6,35.9,45054
26-01-21,36.0,36.0,36.5,35.6,120225
27-01-21,36.0,35.9,36.0,35.4,54817
28-01-21,35.6,32.4,35.6,32.4,145988
29-01-21,32.0,34.5,34.8,32.0,41650
01-02-21,34.0,34.1,34.1,33.6,7915
02-02-21,33.6,34.1,34.2,33.5,39090
03-02-21,34.0,34.4,34.5,34.0,21516
04-02-21,34.4,34.1,34.4,34.0,15471
05-02-21,34.2,34.1,34.8,34.0,48346
08-02-21,34.1,34.0,34.9,33.8,33228
09-02-21,33.8,34.4,34.5,33.8,23740
17-02-21,34.4,34.6,34.9,34.4,33800
18-02-21,34.8,36.0,36.3,34.7,56910
19-02-21,35.0,36.5,36.5,35.0,75162
22-02-21,36.0,36.1,36.5,36.0,24132
23-02-21,36.1,36.2,36.5,36.1,23570
24-02-21,36.2,35.9,36.2,35.7,48266
25-02-21,35.9,35.6,35.9,35.5,8800
26-02-21,35.2,35.8,35.8,35.2,14021
01-03-21,36.4,35.8,36.4,35.7,31409
02-03-21,36.0,36.1,36.1,35.7,46020
03-03-21,36.1,36.0,36.1,35.8,22654
04-03-21,36.2,36.3,36.5,35.8,63700
05-03-21,36.7,37.3,37.4,36.4,155614
08-03-21,37.3,37.3,38.2,37.3,82490
09-03-21,37.3,37.1,37.3,36.8,38342
10-03-21,37.1,36.7,37.1,36.4,76610
11-03-21,36.7,37.0,37.0,36.5,40900
12-03-21,37.0,36.6,37.0,36.5,31573
15-03-21,36.6,36.5,36.8,36.5,56363
16-03-21,36.6,36.3,36.6,36.2,40740
17-03-21,36.3,36.2,36.4,36.0,49035
18-03-21,36.3,36.3,36.4,36.0,50400
19-03-21,36.3,36.4,36.4,36.1,20110
22-03-21,36.4,36.3,36.4,36.1,38620
23-03-21,36.3,36.2,36.4,36.1,54700
24-03-21,36.0,35.9,36.1,35.7,121035
25-03-21,35.9,35.7,35.9,35.7,24970
26-03-21,35.7,36.0,36.0,35.6,42402
29-03-21,36.3,36.3,36.3,35.9,13933
30-03-21,36.5,36.0,36.6,36.0,18131
31-03-21,36.3,36.0,36.5,35.9,38552
01-04-21,36.0,36.2,36.5,35.9,44628
02-04-21,36.2,36.3,36.4,36.1,17400
05-04-21,36.3,36.3,36.3,36.0,21614
06-04-21,36.4,36.2,36.4,36.1,38443
07-04-21,36.2,36.4,36.5,36.0,51280
08-04-21,36.5,36.2,36.5,36.1,10733
09-04-21,36.3,36.2,36.3,36.1,47400
12-04-21,36.2,35.9,36.2,35.9,37417
13-04-21,35.9,35.6,35.9,35.5,88959
14-04-21,35.4,35.6,35.9,35.4,54900
15-04-21,35.7,35.5,35.7,35.5,17929
16-04-21,35.6,34.8,35.6,34.8,20137
19-04-21,35.0,34.7,35.2,34.5,12306
20-04-21,34.7,34.6,35.0,34.6,43616
22-04-21,35.7,35.4,35.8,35.0,28334
23-04-21,35.5,35.1,35.5,35.0,47835
26-04-21,35.5,35.0,35.5,35.0,38460
27-04-21,35.0,36.2,36.4,34.8,152700
28-04-21,36.2,35.2,36.2,35.0,21685
29-04-21,35.5,35.8,35.8,35.5,14420
04-05-21,35.8,36.3,36.5,35.2,52500
05-05-21,36.3,37.6,37.9,36.3,350594
06-05-21,37.7,37.2,38.0,37.0,43512
07-05-21,36.5,36.0,36.5,36.0,26088
10-05-21,36.0,37.0,37.2,35.1,202442
11-05-21,36.9,36.6,37.1,36.0,34270
12-05-21,36.5,36.1,36.5,35.9,14300
13-05-21,36.2,36.0,37.0,35.5,113164
14-05-21,36.0,36.0,36.0,35.6,20102
17-05-21,36.0,35.8,36.0,35.5,62600
18-05-21,35.6,37.5,37.5,35.0,376997
19-05-21,37.5,39.5,39.7,37.5,522445
20-05-21,39.5,40.6,41.4,39.5,329100
21-05-21,40.0,41.9,42.5,40.0,409304
24-05-21,41.9,43.0,43.2,40.5,364476
25-05-21,43.0,42.0,44.2,42.0,164585
26-05-21,42.0,43.8,44.2,41.1,278063
27-05-21,43.7,45.0,45.9,43.3,391712
28-05-21,45.0,44.6,45.5,43.0,93240
31-05-21,44.6,45.2,45.4,42.5,139929
01-06-21,45.2,44.0,46.5,43.1,119092
02-06-21,44.0,45.3,45.5,43.8,193900
03-06-21,46.0,47.4,47.5,45.4,264322
