Date,Open,Close,High,Low,Volume
16-11-20,7.1,7.1,7.1,7.1,0
17-11-20,7.1,7.1,7.1,7.1,42
18-11-20,7.1,7.1,7.1,7.1,4100
19-11-20,7.2,7.8,7.8,7.2,1100
20-11-20,7.7,7.7,7.7,7.7,3000
23-11-20,7.6,7.6,7.6,7.6,4800
24-11-20,7.6,7.6,7.6,7.6,2100
25-11-20,8.3,7.8,8.3,7.8,2200
26-11-20,7.5,7.4,7.5,7.4,3300
27-11-20,7.4,7.4,7.4,7.4,0
30-11-20,7.4,7.4,7.4,7.4,0
01-12-20,7.3,7.3,7.3,7.3,2000
02-12-20,7.3,7.3,7.3,7.3,0
03-12-20,7.3,7.3,7.3,7.3,16
04-12-20,7.3,7.3,7.3,7.3,200
07-12-20,7.9,7.9,7.9,7.9,100
08-12-20,7.9,7.9,7.9,7.9,0
09-12-20,7.9,7.9,7.9,7.9,0
10-12-20,7.9,7.9,7.9,7.9,0
11-12-20,7.3,7.4,7.4,7.3,1900
14-12-20,8.1,8.1,8.1,8.1,100
15-12-20,7.5,7.5,7.7,7.5,2200
16-12-20,7.5,7.5,7.5,7.5,0
17-12-20,8.2,8.2,8.2,8.2,100
18-12-20,8.2,8.2,8.2,8.2,0
21-12-20,8.2,8.2,8.2,8.2,10
22-12-20,7.6,7.6,7.6,7.6,110
23-12-20,7.9,7.8,8.0,7.7,3238
24-12-20,7.8,8.5,8.5,7.8,200
25-12-20,8.5,8.5,8.5,8.5,0
28-12-20,8.4,8.4,8.4,8.4,100
29-12-20,8.2,8.2,8.2,8.2,200
30-12-20,8.0,8.0,8.0,8.0,100
31-12-20,8.0,8.0,8.0,8.0,400
04-01-21,8.0,8.0,8.0,8.0,1000
05-01-21,8.8,8.8,8.8,8.8,100
06-01-21,8.8,8.8,8.8,8.8,0
07-01-21,8.3,8.1,8.3,8.1,3000
08-01-21,8.2,8.2,8.2,8.2,3000
11-01-21,8.2,8.2,8.2,8.2,0
12-01-21,8.2,8.2,8.2,8.2,0
13-01-21,8.3,8.3,8.3,8.3,200
14-01-21,8.3,8.3,8.3,8.3,0
15-01-21,7.5,7.5,7.5,7.5,100
18-01-21,8.0,7.9,8.0,7.6,1700
19-01-21,8.0,7.9,8.3,7.9,10400
20-01-21,7.7,7.8,7.8,7.7,300
21-01-21,7.8,7.8,7.8,7.8,0
22-01-21,8.0,8.0,8.0,8.0,5000
25-01-21,7.3,7.3,7.3,7.3,100
26-01-21,7.9,7.9,8.0,7.9,20000
27-01-21,7.9,7.9,7.9,7.9,2100
28-01-21,7.5,7.6,7.6,7.5,200
29-01-21,7.4,7.4,7.4,7.4,100
01-02-21,7.0,7.0,7.0,7.0,100
02-02-21,7.6,7.6,7.6,7.6,5100
03-02-21,7.6,7.6,7.6,7.6,0
04-02-21,7.6,7.6,7.6,7.6,0
05-02-21,7.6,7.9,8.0,7.6,700
08-02-21,7.9,7.9,7.9,7.9,0
09-02-21,7.9,7.9,7.9,7.9,0
17-02-21,7.9,8.0,8.0,7.9,2700
18-02-21,8.1,8.0,8.1,8.0,1000
19-02-21,7.6,8.1,8.1,7.6,2100
22-02-21,8.1,8.1,8.1,8.1,100
23-02-21,8.0,8.1,8.1,8.0,1200
24-02-21,8.1,8.1,8.1,8.1,6029
25-02-21,8.1,8.1,8.1,8.1,1000
26-02-21,8.1,8.1,8.1,8.1,1000
01-03-21,8.1,8.1,8.1,8.1,4000
02-03-21,8.1,8.1,8.1,8.1,300
03-03-21,8.1,8.1,8.1,8.1,1700
04-03-21,7.3,8.1,8.1,7.3,2100
05-03-21,8.1,8.1,8.1,8.1,9300
08-03-21,8.2,8.2,8.2,8.2,1770
09-03-21,9.0,8.5,9.0,8.2,4520
10-03-21,8.5,8.5,8.5,8.5,100
11-03-21,8.4,9.1,9.3,8.4,3000
12-03-21,10.0,10.0,10.0,10.0,700
15-03-21,9.0,10.6,11.0,9.0,1800
16-03-21,10.3,9.6,10.3,9.6,3200
17-03-21,9.4,8.9,9.4,8.9,400
18-03-21,8.9,8.9,8.9,8.9,1000
19-03-21,8.1,8.5,8.5,8.1,300
22-03-21,8.0,9.0,9.3,8.0,2700
23-03-21,8.9,9.9,9.9,8.9,1200
24-03-21,10.8,9.1,10.8,9.1,1700
25-03-21,9.3,9.2,9.3,9.1,2100
26-03-21,9.2,9.6,9.6,9.2,2015
29-03-21,8.7,9.6,9.6,8.7,1600
30-03-21,9.9,10.4,10.5,9.9,1400
31-03-21,10.4,10.4,10.4,10.4,0
01-04-21,10.9,10.9,10.9,10.9,1303
02-04-21,10.9,10.9,10.9,10.9,0
05-04-21,10.9,10.7,10.9,10.7,3000
06-04-21,10.7,10.7,10.7,10.7,0
07-04-21,9.8,9.8,9.8,9.8,348
08-04-21,9.8,9.8,9.8,9.8,0
09-04-21,8.9,10.7,10.7,8.9,800
12-04-21,10.7,10.7,10.7,10.7,79
13-04-21,10.7,10.7,10.7,10.7,70
14-04-21,10.7,10.7,10.7,10.7,0
15-04-21,10.7,10.7,10.7,10.7,21
16-04-21,10.0,9.7,10.0,9.7,700
19-04-21,9.7,9.7,9.7,9.7,700
20-04-21,9.0,9.0,9.0,9.0,100
22-04-21,9.0,9.0,9.0,9.0,0
23-04-21,8.1,8.1,8.1,8.1,100
26-04-21,8.1,8.1,8.1,8.1,0
27-04-21,8.1,8.1,8.1,8.1,0
28-04-21,7.7,7.7,7.7,7.7,1470
29-04-21,7.7,7.7,7.7,7.7,0
04-05-21,7.2,7.2,7.2,7.2,100
05-05-21,7.2,7.2,7.2,7.2,0
06-05-21,7.9,7.9,7.9,7.9,400
07-05-21,7.9,7.9,7.9,7.9,0
10-05-21,8.6,8.6,8.6,8.6,400
11-05-21,8.6,8.6,8.6,8.6,0
12-05-21,7.8,7.8,7.8,7.8,100
13-05-21,8.5,8.5,8.5,8.5,100
14-05-21,7.9,7.9,7.9,7.9,100
17-05-21,7.9,8.6,8.6,7.4,600
18-05-21,8.6,8.6,8.6,8.6,0
19-05-21,7.9,7.9,7.9,7.9,100
20-05-21,7.9,7.9,7.9,7.9,0
21-05-21,8.6,7.8,8.6,7.8,200
24-05-21,7.8,7.8,7.8,7.8,0
25-05-21,7.8,7.8,7.8,7.8,0
26-05-21,7.8,7.8,7.8,7.8,0
27-05-21,7.8,7.8,7.8,7.8,0
28-05-21,7.8,7.8,7.8,7.8,0
