Date,Open,Close,High,Low,Volume
16-11-20,7.1,7.1,7.1,7.1,500
17-11-20,7.2,7.2,7.2,7.2,1420
18-11-20,7.2,7.2,7.2,7.2,2000
19-11-20,7.2,7.2,7.2,7.2,2101
20-11-20,7.2,7.2,7.2,7.2,0
23-11-20,7.2,7.2,7.2,7.2,1000
24-11-20,7.2,7.2,7.2,7.2,1200
25-11-20,7.3,7.4,7.4,7.3,3400
26-11-20,7.4,7.4,7.4,7.4,0
27-11-20,7.5,7.5,7.5,7.5,200
30-11-20,7.5,7.5,7.5,7.5,2200
01-12-20,7.4,7.5,7.5,7.3,300
02-12-20,7.4,7.7,7.7,7.4,3400
03-12-20,7.7,7.7,7.7,7.7,1500
04-12-20,7.7,7.7,7.7,7.7,5200
07-12-20,7.6,7.7,7.7,7.6,1900
08-12-20,7.7,7.7,7.7,7.7,0
09-12-20,7.7,7.7,7.7,7.7,0
10-12-20,7.4,7.3,7.4,7.3,2100
11-12-20,7.4,7.4,7.4,7.4,320
14-12-20,7.6,7.6,7.6,7.6,100
15-12-20,7.6,7.6,7.6,7.6,2230
16-12-20,7.6,7.6,7.6,7.6,0
17-12-20,7.6,7.6,7.6,7.6,0
18-12-20,7.6,7.6,7.6,7.6,50
21-12-20,7.3,7.6,7.6,7.3,2200
22-12-20,7.4,7.3,7.5,7.1,19270
23-12-20,7.4,7.4,7.4,7.4,900
24-12-20,7.4,7.4,7.4,7.4,710
25-12-20,7.3,7.5,7.5,7.3,6118
28-12-20,7.6,7.6,7.6,7.6,140
29-12-20,7.5,7.5,7.5,7.5,150
30-12-20,7.5,7.5,7.5,7.5,100
31-12-20,7.6,7.5,7.6,7.5,7800
04-01-21,7.5,7.7,7.9,7.5,11300
05-01-21,7.7,7.7,7.7,7.7,14700
06-01-21,7.7,7.9,8.0,7.7,21100
07-01-21,8.0,7.9,8.0,7.5,2700
08-01-21,8.1,8.3,8.3,8.1,13110
11-01-21,8.3,8.2,8.3,8.1,10210
12-01-21,8.2,8.2,8.2,8.2,11100
13-01-21,8.2,8.3,8.7,8.2,17000
14-01-21,8.6,8.4,9.1,8.3,25200
15-01-21,8.6,9.2,9.2,8.6,4630
18-01-21,10.1,9.6,10.1,8.6,1610
19-01-21,8.8,9.5,9.5,8.7,34100
20-01-21,8.6,9.0,9.1,8.6,1790
21-01-21,8.4,8.1,8.5,8.1,21130
22-01-21,8.2,8.9,8.9,8.1,15700
25-01-21,8.8,8.9,8.9,8.8,6100
26-01-21,8.5,8.3,8.7,8.3,8000
27-01-21,8.6,8.7,8.7,8.6,200
28-01-21,8.2,7.9,8.2,7.9,3700
29-01-21,8.6,8.5,8.6,7.8,4519
01-02-21,8.5,8.5,8.5,8.5,600
02-02-21,8.5,8.5,8.5,8.5,0
03-02-21,8.8,8.3,8.9,8.3,310
04-02-21,8.1,8.1,8.1,8.1,100
05-02-21,8.1,8.1,8.1,8.1,1300
08-02-21,8.1,8.1,8.1,8.1,0
09-02-21,8.1,8.7,8.7,8.1,300
17-02-21,8.7,8.1,8.7,8.1,600
18-02-21,8.2,8.1,8.2,8.1,12800
19-02-21,8.1,8.4,8.4,8.1,3200
22-02-21,8.2,8.3,8.3,8.2,400
23-02-21,8.2,8.5,8.5,8.2,700
24-02-21,8.3,8.5,8.5,8.2,2300
25-02-21,8.4,8.2,8.4,8.2,6400
26-02-21,8.2,8.2,8.5,8.2,12200
01-03-21,8.3,8.3,8.3,8.2,12900
02-03-21,8.3,8.2,8.3,8.2,28500
03-03-21,8.2,8.2,8.3,8.2,19300
04-03-21,8.1,8.2,8.2,8.1,14100
05-03-21,8.1,8.2,8.2,8.1,67003
08-03-21,8.2,8.3,8.4,8.2,26400
09-03-21,8.3,8.3,8.3,8.2,37400
10-03-21,8.3,8.3,8.3,8.2,24810
11-03-21,8.3,8.5,8.5,8.3,5200
12-03-21,8.6,8.6,8.6,8.5,36100
15-03-21,8.6,8.7,9.2,8.4,13010
16-03-21,8.7,9.5,9.5,8.7,24900
17-03-21,9.4,9.7,9.9,9.4,130300
18-03-21,9.7,9.7,9.7,9.5,31240
19-03-21,9.0,10.0,10.0,9.0,26500
22-03-21,10.0,10.0,10.0,10.0,0
23-03-21,10.0,10.0,10.0,10.0,40
24-03-21,9.5,9.3,9.5,9.0,8600
25-03-21,9.1,9.1,9.2,8.7,24600
26-03-21,9.1,9.2,9.5,9.1,3100
29-03-21,9.5,9.5,9.5,9.2,6400
30-03-21,9.5,9.7,9.7,9.5,2300
31-03-21,9.7,9.8,9.8,9.7,32900
01-04-21,9.7,9.8,9.8,9.6,27760
02-04-21,9.8,9.8,9.9,9.7,69200
05-04-21,9.7,9.8,9.8,9.7,30400
06-04-21,9.8,10.0,10.5,9.8,47000
07-04-21,10.0,10.0,10.1,10.0,9900
08-04-21,10.0,10.1,10.2,10.0,2000
09-04-21,10.0,9.7,10.0,9.5,17800
12-04-21,9.7,9.8,9.8,9.6,4910
13-04-21,9.8,9.9,9.9,9.7,8700
14-04-21,9.9,10.0,10.1,9.8,14321
15-04-21,10.0,10.0,10.1,9.8,28620
16-04-21,9.8,10.1,10.1,9.6,26200
19-04-21,10.1,10.1,10.3,10.0,27020
20-04-21,10.0,10.2,10.2,9.8,41300
22-04-21,10.5,10.4,10.5,10.0,15100
23-04-21,10.4,10.5,11.0,10.0,40900
26-04-21,10.1,10.7,10.7,10.0,82510
27-04-21,10.7,10.9,11.0,10.0,89000
28-04-21,11.0,11.0,11.0,10.8,16300
29-04-21,11.0,11.0,11.1,10.6,61200
04-05-21,10.9,10.8,10.9,10.3,2410
05-05-21,10.3,10.9,10.9,10.2,30500
06-05-21,10.9,10.8,10.9,10.5,47000
07-05-21,10.7,10.8,10.8,10.5,25900
10-05-21,10.8,10.3,10.9,10.3,1200
11-05-21,10.7,10.3,10.7,10.3,15900
12-05-21,10.7,10.4,10.7,10.3,24600
