Date,Open,Close,High,Low,Volume
16-11-20,3.3,3.3,3.3,3.3,0
17-11-20,3.3,3.3,3.3,3.3,0
18-11-20,3.4,3.4,3.4,3.4,3300
19-11-20,3.4,3.4,3.4,3.4,0
20-11-20,3.4,3.4,3.4,3.4,0
23-11-20,3.4,3.4,3.4,3.4,0
24-11-20,3.4,3.4,3.4,3.4,0
25-11-20,3.4,3.4,3.4,3.4,0
26-11-20,3.4,3.4,3.4,3.4,0
27-11-20,3.4,3.4,3.4,3.4,1000
30-11-20,3.5,3.5,3.5,3.5,500
01-12-20,3.5,3.5,3.5,3.5,0
02-12-20,3.5,3.5,3.5,3.5,0
03-12-20,3.5,3.5,3.5,3.5,0
04-12-20,3.3,3.3,3.3,3.3,200
07-12-20,3.3,3.3,3.3,3.3,0
08-12-20,3.0,3.0,3.0,3.0,100
09-12-20,3.2,3.2,3.2,3.2,100
10-12-20,3.2,3.2,3.2,3.2,0
11-12-20,3.1,3.1,3.1,3.1,100
14-12-20,3.1,3.1,3.1,3.1,2000
15-12-20,3.1,3.1,3.1,3.1,0
16-12-20,3.3,3.2,3.3,3.2,2000
17-12-20,3.2,3.2,3.2,3.2,0
18-12-20,3.2,3.2,3.2,3.2,900
21-12-20,3.2,3.2,3.2,3.2,0
22-12-20,3.2,3.2,3.2,3.2,0
23-12-20,3.3,3.5,3.5,3.3,1100
24-12-20,3.5,3.5,3.5,3.5,0
25-12-20,3.5,3.5,3.5,3.5,0
28-12-20,3.5,3.5,3.5,3.5,0
29-12-20,3.5,3.5,3.5,3.5,0
30-12-20,3.5,3.5,3.5,3.5,0
31-12-20,3.5,3.5,3.5,3.5,29
04-01-21,3.5,3.5,3.5,3.5,0
05-01-21,3.5,3.5,3.5,3.5,0
06-01-21,3.3,3.3,3.3,3.3,1000
07-01-21,3.6,3.6,3.6,3.6,300
08-01-21,3.9,3.9,3.9,3.9,2700
11-01-21,3.9,3.9,3.9,3.9,10
12-01-21,3.9,3.9,3.9,3.9,0
13-01-21,3.9,3.9,3.9,3.9,0
14-01-21,3.9,3.9,3.9,3.9,0
15-01-21,3.9,4.2,4.2,3.9,11300
18-01-21,4.6,4.6,4.6,4.6,6019
19-01-21,4.6,4.6,4.6,4.6,0
20-01-21,4.6,4.6,4.6,4.6,0
21-01-21,5.0,5.0,5.0,5.0,6000
22-01-21,5.0,5.0,5.0,5.0,0
25-01-21,5.5,5.0,5.5,5.0,4100
26-01-21,4.9,4.9,4.9,4.9,5900
27-01-21,4.9,4.9,4.9,4.9,0
