Date,Open,Close,High,Low,Volume
16-11-20,4.6,4.6,4.6,4.6,0
17-11-20,4.6,4.6,4.6,4.6,0
18-11-20,4.6,4.6,4.6,4.6,0
19-11-20,4.6,4.6,4.6,4.6,0
20-11-20,4.6,4.6,4.6,4.6,0
23-11-20,4.6,4.6,4.6,4.6,0
24-11-20,4.6,4.6,4.6,4.6,0
25-11-20,4.6,4.6,4.6,4.6,0
26-11-20,4.6,4.6,4.6,4.6,0
27-11-20,4.3,4.3,4.3,4.3,3000
30-11-20,4.3,4.3,4.3,4.3,0
01-12-20,4.3,4.3,4.3,4.3,0
02-12-20,4.3,4.3,4.3,4.3,0
03-12-20,4.3,4.3,4.3,4.3,0
04-12-20,4.3,4.3,4.3,4.3,0
07-12-20,4.3,4.3,4.3,4.3,0
08-12-20,4.3,4.3,4.3,4.3,0
09-12-20,4.3,4.3,4.3,4.3,0
10-12-20,4.3,4.3,4.3,4.3,0
11-12-20,4.3,4.3,4.3,4.3,0
14-12-20,4.3,4.3,4.3,4.3,0
15-12-20,4.3,4.3,4.3,4.3,0
16-12-20,4.3,4.3,4.3,4.3,0
17-12-20,4.3,4.3,4.3,4.3,0
18-12-20,4.3,4.3,4.3,4.3,0
21-12-20,4.3,4.3,4.3,4.3,0
22-12-20,4.3,4.3,4.3,4.3,0
23-12-20,4.7,4.7,4.7,4.7,100
24-12-20,4.7,4.7,4.7,4.7,0
25-12-20,5.1,5.1,5.1,5.1,100
28-12-20,5.6,5.6,5.6,5.6,100
29-12-20,6.0,6.0,6.0,6.0,200
30-12-20,6.5,6.5,6.5,6.5,200
31-12-20,6.5,6.5,6.5,6.5,0
04-01-21,6.9,6.9,6.9,6.9,200
05-01-21,7.3,7.3,7.3,7.3,200
06-01-21,7.0,7.0,7.0,7.0,300
07-01-21,7.0,7.0,7.0,7.0,0
08-01-21,7.0,7.0,7.0,7.0,0
11-01-21,7.0,7.0,7.0,7.0,0
12-01-21,7.0,7.0,7.0,7.0,800
13-01-21,7.0,7.0,7.0,7.0,0
14-01-21,7.0,7.0,7.0,7.0,0
15-01-21,7.0,7.0,7.0,7.0,1500
18-01-21,7.0,7.0,7.0,7.0,0
19-01-21,7.0,7.0,7.0,7.0,0
20-01-21,7.0,7.0,7.0,7.0,0
21-01-21,7.0,7.0,7.0,7.0,0
22-01-21,7.0,7.0,7.0,7.0,1700
25-01-21,7.0,7.0,7.0,7.0,0
26-01-21,6.5,6.5,6.5,6.5,2000
27-01-21,6.5,6.5,6.5,6.5,0
28-01-21,6.5,6.5,6.5,6.5,0
29-01-21,6.5,6.5,6.5,6.5,500
01-02-21,6.5,6.5,6.5,6.5,0
02-02-21,6.5,6.5,6.5,6.5,0
03-02-21,6.5,6.5,6.5,6.5,0
04-02-21,6.5,6.5,6.5,6.5,0
05-02-21,6.5,6.5,6.5,6.5,0
08-02-21,6.5,6.5,6.5,6.5,0
09-02-21,6.5,6.5,6.5,6.5,0
17-02-21,6.5,6.5,6.5,6.5,538
18-02-21,6.5,6.5,6.5,6.5,0
19-02-21,6.5,6.5,6.5,6.5,0
22-02-21,6.5,6.5,6.5,6.5,0
23-02-21,6.8,7.1,7.1,6.8,1500
24-02-21,7.3,7.3,7.3,7.3,200
25-02-21,7.3,7.3,7.3,7.3,0
26-02-21,7.0,7.0,7.0,7.0,500
01-03-21,7.0,7.0,7.0,7.0,1500
02-03-21,7.0,7.0,7.0,7.0,4000
03-03-21,7.0,7.0,7.0,7.0,10
04-03-21,7.0,7.0,7.0,7.0,0
05-03-21,7.0,7.0,7.0,7.0,0
08-03-21,7.0,7.0,7.0,7.0,0
09-03-21,7.0,7.0,7.0,7.0,0
10-03-21,7.0,7.0,7.0,7.0,0
11-03-21,7.0,7.0,7.0,7.0,0
12-03-21,7.0,7.0,7.0,7.0,0
15-03-21,7.0,7.0,7.0,7.0,500
16-03-21,7.0,7.0,7.0,7.0,1
17-03-21,7.0,7.0,7.0,7.0,0
18-03-21,7.0,7.0,7.0,7.0,0
19-03-21,7.0,7.0,7.0,7.0,0
22-03-21,7.0,7.0,7.0,7.0,4000
23-03-21,7.0,7.0,7.0,7.0,0
24-03-21,7.0,7.0,7.0,7.0,0
25-03-21,7.0,7.0,7.0,7.0,0
26-03-21,7.0,7.0,7.0,7.0,3000
29-03-21,7.0,7.0,7.0,7.0,0
30-03-21,7.0,7.0,7.0,7.0,0
31-03-21,7.0,7.0,7.0,7.0,0
01-04-21,7.0,7.0,7.0,7.0,0
02-04-21,7.0,7.0,7.0,7.0,0
05-04-21,7.0,7.0,7.0,7.0,1
06-04-21,7.0,7.0,7.0,7.0,0
07-04-21,7.0,7.0,7.0,7.0,0
08-04-21,7.0,7.0,7.0,7.0,0
09-04-21,7.0,7.0,7.0,7.0,8
12-04-21,7.7,7.7,7.7,7.7,1000
13-04-21,7.7,7.7,7.7,7.7,2000
14-04-21,7.8,7.8,7.8,7.8,100
15-04-21,8.4,8.4,8.4,8.4,500
16-04-21,8.4,8.4,8.4,8.4,2000
19-04-21,8.4,8.4,8.4,8.4,0
20-04-21,8.4,8.4,8.4,8.4,0
22-04-21,8.4,8.4,8.4,8.4,1
23-04-21,8.4,8.4,8.4,8.4,0
26-04-21,8.4,8.4,8.4,8.4,0
27-04-21,7.7,7.7,7.7,7.7,3000
28-04-21,7.7,8.4,8.4,7.7,12500
29-04-21,8.4,8.4,8.4,8.4,0
04-05-21,8.4,8.4,8.4,8.4,0
05-05-21,8.4,8.4,8.4,8.4,2600
06-05-21,8.4,8.4,8.4,8.4,500
07-05-21,8.4,9.0,9.0,8.4,3000
10-05-21,9.0,9.6,9.9,9.0,7200
11-05-21,9.6,10.0,10.0,9.6,4937
12-05-21,10.0,9.9,10.0,9.9,400
13-05-21,9.4,9.4,9.4,9.4,600
14-05-21,9.4,8.6,9.4,8.6,1900
17-05-21,8.6,8.6,8.6,8.6,0
18-05-21,9.1,9.1,9.1,9.1,100
19-05-21,9.1,9.1,9.1,9.1,100
20-05-21,9.1,9.2,9.2,9.1,1100
21-05-21,9.2,9.2,9.2,9.2,500
24-05-21,9.2,9.1,9.2,9.1,3304
25-05-21,8.1,8.1,8.1,8.1,0
26-05-21,7.5,7.5,7.5,7.5,300
27-05-21,7.5,7.5,7.5,7.5,633
28-05-21,7.6,8.2,8.2,7.6,5800
31-05-21,9.0,9.0,9.0,9.0,100
01-06-21,9.0,9.0,9.0,9.0,100
02-06-21,9.0,9.0,9.0,9.0,200
03-06-21,9.0,9.0,9.0,9.0,0
04-06-21,9.4,9.4,9.4,9.4,1000
