Date,Open,Close,High,Low,Volume
16-11-20,11.4,11.1,11.4,11.1,172410
17-11-20,11.0,11.3,11.5,11.0,52610
18-11-20,11.3,11.1,11.3,11.0,58000
19-11-20,11.1,11.2,11.2,11.0,52311
20-11-20,11.2,11.2,11.2,11.0,30600
23-11-20,11.2,11.7,11.7,11.2,174120
24-11-20,11.7,11.6,11.8,11.3,134500
25-11-20,11.6,11.7,11.9,11.6,78910
26-11-20,11.6,11.5,11.6,11.5,28800
27-11-20,11.6,11.5,11.6,11.3,46020
30-11-20,11.4,11.4,11.5,11.2,80600
01-12-20,11.2,11.3,11.4,11.1,63300
02-12-20,11.3,11.2,11.4,11.2,40700
03-12-20,11.1,11.9,12.0,11.1,190430
04-12-20,11.9,11.8,12.0,11.7,112656
07-12-20,11.8,11.7,11.8,11.6,56000
08-12-20,11.8,11.7,11.8,11.5,52635
09-12-20,11.7,12.2,12.3,11.7,155400
10-12-20,12.2,12.2,12.3,12.0,101100
11-12-20,12.2,12.4,12.4,12.1,63726
14-12-20,12.5,12.5,12.7,12.2,62309
15-12-20,12.4,12.8,13.0,12.4,129120
16-12-20,12.9,12.7,13.0,12.6,74826
17-12-20,13.0,13.1,13.1,12.6,124400
18-12-20,13.0,13.2,13.2,12.9,48207
21-12-20,13.2,14.0,14.0,13.1,153350
22-12-20,14.0,14.3,14.3,13.6,186400
23-12-20,14.1,14.3,14.5,13.8,129510
24-12-20,13.9,13.8,14.2,13.8,88330
25-12-20,14.3,14.2,14.3,13.5,96000
28-12-20,14.0,14.5,14.7,14.0,112400
29-12-20,14.5,15.9,15.9,14.3,158712
30-12-20,16.5,17.4,17.4,16.5,111819
31-12-20,17.5,19.1,19.1,17.5,190410
04-01-21,19.3,18.5,21.0,18.5,90600
05-01-21,17.8,20.3,20.3,17.5,97100
06-01-21,20.4,22.0,22.3,20.4,161501
07-01-21,21.9,21.4,22.0,21.3,46900
08-01-21,20.4,21.4,21.5,20.4,53810
11-01-21,21.4,21.0,23.5,20.6,48900
12-01-21,20.6,20.5,20.9,19.7,55500
13-01-21,20.4,20.0,21.0,19.8,50500
14-01-21,20.0,20.2,22.0,19.8,146900
15-01-21,20.0,20.5,20.5,19.1,87000
18-01-21,20.2,22.5,22.5,19.2,297710
19-01-21,22.3,20.4,22.6,20.3,200303
20-01-21,20.6,22.2,22.2,20.5,38100
21-01-21,22.1,22.5,22.6,21.5,120527
22-01-21,21.2,21.8,22.5,21.0,168000
25-01-21,21.5,20.9,21.5,20.5,54200
26-01-21,20.9,20.5,21.0,18.9,55122
27-01-21,20.8,20.5,20.8,18.6,50900
28-01-21,17.0,15.3,17.0,15.3,83500
29-01-21,14.0,15.3,15.3,13.9,47300
01-02-21,15.4,14.9,15.6,14.3,43200
