Date,Open,Close,High,Low,Volume
16-11-20,12.6,12.7,12.8,12.4,8110
17-11-20,12.7,12.8,12.8,12.7,11509
18-11-20,12.8,13.2,13.2,12.6,30070
19-11-20,13.3,13.1,13.3,13.0,16440
20-11-20,13.1,13.0,13.1,13.0,3800
23-11-20,13.0,12.6,13.0,12.6,30600
24-11-20,12.6,12.7,12.7,12.5,11950
25-11-20,12.8,13.1,13.1,12.7,26190
26-11-20,13.1,14.4,14.4,13.1,227510
27-11-20,14.8,14.4,14.8,14.0,38230
30-11-20,14.4,14.1,14.4,14.0,42200
01-12-20,13.8,14.4,14.4,13.4,70509
02-12-20,14.4,15.7,15.8,14.2,74931
03-12-20,15.7,15.6,17.1,15.5,29310
04-12-20,15.2,15.3,15.5,15.0,25779
07-12-20,15.3,14.8,15.3,14.7,45069
08-12-20,14.8,14.9,15.0,14.7,23600
09-12-20,14.9,15.1,15.5,14.9,71400
10-12-20,15.2,15.6,15.8,15.1,130819
11-12-20,15.8,15.6,15.9,15.6,42361
14-12-20,15.6,16.0,16.2,15.6,112451
15-12-20,15.9,15.8,16.1,15.6,62010
16-12-20,15.8,16.0,16.3,15.8,21320
17-12-20,16.1,16.0,16.3,16.0,71540
18-12-20,16.0,15.9,16.0,15.8,24010
21-12-20,15.9,15.7,16.2,15.7,51710
22-12-20,15.7,16.2,16.4,15.7,22561
23-12-20,15.8,16.2,16.2,15.8,28910
24-12-20,16.2,16.2,16.2,15.0,18590
25-12-20,16.0,16.3,16.4,16.0,40520
28-12-20,16.2,16.2,16.4,16.1,34170
29-12-20,16.1,16.2,16.2,16.0,17320
30-12-20,16.0,15.9,16.2,15.9,41750
31-12-20,16.1,15.9,16.1,15.9,12530
04-01-21,16.0,16.1,16.2,15.8,33810
05-01-21,16.1,16.1,16.3,15.9,31600
06-01-21,16.0,16.4,16.6,16.0,40900
07-01-21,16.4,17.8,18.0,16.4,72510
08-01-21,18.0,17.3,18.0,17.3,37700
11-01-21,17.3,17.4,17.4,16.9,50790
12-01-21,17.6,18.4,18.4,17.4,121300
13-01-21,18.9,18.4,19.0,18.4,44591
14-01-21,18.4,18.0,18.4,18.0,31300
15-01-21,18.0,18.0,18.2,17.8,43020
18-01-21,18.0,17.5,18.6,17.5,63169
19-01-21,17.5,17.0,17.6,15.9,39000
20-01-21,16.0,16.9,17.5,15.8,31400
21-01-21,16.9,17.3,17.3,16.6,22400
22-01-21,17.3,17.5,17.5,17.0,22600
25-01-21,19.0,17.9,19.0,17.2,11200
26-01-21,17.9,16.9,17.9,16.9,28640
27-01-21,16.8,16.6,16.8,16.1,23800
28-01-21,16.5,15.1,16.5,15.0,35800
29-01-21,15.0,15.9,15.9,15.0,25000
01-02-21,14.5,14.8,16.0,14.4,11815
02-02-21,15.4,15.4,15.4,14.7,9500
03-02-21,15.4,16.0,16.0,15.4,3900
04-02-21,16.0,16.0,16.0,15.5,6200
05-02-21,15.0,16.1,16.1,15.0,11109
08-02-21,16.1,15.9,16.1,15.3,6300
09-02-21,15.0,15.9,16.3,14.4,5600
17-02-21,16.0,16.2,16.9,16.0,7200
18-02-21,17.2,16.3,17.2,16.2,12200
19-02-21,16.0,16.2,16.4,16.0,26000
22-02-21,16.8,16.2,16.8,16.2,26510
