Date,Open,Close,High,Low,Volume
16-11-20,24.7,24.7,24.7,24.7,100
17-11-20,26.5,26.5,26.5,26.5,400
18-11-20,26.5,26.5,26.5,26.5,100
19-11-20,26.5,26.5,26.5,26.5,600
20-11-20,26.5,26.5,26.5,26.5,400
23-11-20,24.7,26.5,26.5,24.7,900
24-11-20,26.5,26.5,26.5,26.5,0
25-11-20,26.0,26.0,26.0,26.0,100
26-11-20,26.1,26.1,26.1,26.1,100
27-11-20,26.0,26.0,26.0,26.0,200
30-11-20,26.0,26.0,26.0,26.0,0
01-12-20,26.0,26.0,26.0,26.0,0
02-12-20,27.0,27.0,27.0,27.0,600
03-12-20,27.0,27.0,27.0,27.0,89
04-12-20,25.5,25.5,25.5,25.5,100
07-12-20,25.5,25.5,25.5,25.5,0
08-12-20,25.7,25.5,25.7,25.5,1000
09-12-20,26.5,26.5,26.5,26.5,320
10-12-20,26.5,26.6,26.8,26.5,1500
11-12-20,26.7,26.6,26.7,26.6,3759
14-12-20,27.0,27.0,27.0,27.0,500
15-12-20,26.9,28.6,28.6,26.9,5004
16-12-20,27.0,27.5,27.5,27.0,1600
17-12-20,27.5,27.5,27.5,27.5,1200
18-12-20,27.5,27.5,27.5,27.5,400
21-12-20,25.8,25.8,25.8,25.8,100
22-12-20,25.8,27.3,27.3,25.8,1400
23-12-20,26.0,26.1,26.1,26.0,300
24-12-20,25.8,25.8,25.8,25.8,1000
25-12-20,25.8,25.8,25.8,25.8,1
28-12-20,26.0,26.0,26.0,26.0,4000
29-12-20,26.0,26.0,26.0,26.0,23
30-12-20,26.0,25.7,26.0,25.5,1341
31-12-20,25.7,25.7,25.7,25.7,100
04-01-21,25.7,25.7,25.7,25.7,0
05-01-21,25.9,25.8,25.9,25.8,2200
06-01-21,26.0,26.0,26.0,26.0,500
07-01-21,26.0,26.0,26.0,26.0,0
08-01-21,26.9,26.9,26.9,26.9,100
11-01-21,24.3,26.9,26.9,24.3,200
12-01-21,26.9,26.9,26.9,26.9,200
13-01-21,26.9,26.9,26.9,26.9,0
14-01-21,27.0,27.0,27.0,27.0,1200
15-01-21,27.0,27.0,27.0,27.0,1200
18-01-21,27.0,27.1,27.1,26.5,745
19-01-21,27.0,27.0,27.0,26.5,1800
20-01-21,27.0,27.0,27.0,27.0,1000
21-01-21,24.3,27.0,27.0,24.3,210
22-01-21,27.0,27.0,27.0,27.0,0
25-01-21,26.5,26.5,26.5,26.5,200
