Date,Open,Close,High,Low,Volume
16-11-20,56.5,56.7,56.9,56.5,1301
17-11-20,56.4,56.7,56.7,56.4,1700
18-11-20,56.5,56.7,56.7,56.5,700
19-11-20,56.7,56.7,56.7,56.7,0
20-11-20,51.2,56.7,56.7,51.2,500
23-11-20,52.5,56.9,56.9,52.5,3700
24-11-20,56.7,56.7,57.0,56.7,3107
25-11-20,56.7,56.7,56.7,56.7,144
26-11-20,51.1,56.7,56.7,51.1,225
27-11-20,54.3,56.1,56.7,54.3,2500
30-11-20,56.9,57.0,57.0,56.9,1810
01-12-20,53.0,56.0,57.0,53.0,2700
02-12-20,55.9,56.1,56.1,55.9,250
03-12-20,52.3,52.3,52.3,52.3,119
04-12-20,52.3,52.3,52.3,52.3,0
07-12-20,57.0,57.0,57.0,57.0,101
08-12-20,52.5,57.0,57.0,52.5,429
09-12-20,55.1,57.5,57.5,55.1,250
10-12-20,57.5,57.5,57.5,57.5,0
11-12-20,56.5,57.0,57.0,56.1,1300
14-12-20,57.0,57.0,57.0,57.0,10
15-12-20,53.4,56.9,56.9,53.4,1093
16-12-20,56.9,56.5,56.9,56.5,7000
17-12-20,56.7,56.5,56.7,56.5,2543
18-12-20,56.5,57.0,57.0,56.5,426
21-12-20,53.6,57.0,57.0,53.6,1084
22-12-20,57.0,57.0,57.0,57.0,3
23-12-20,56.1,56.0,56.1,56.0,3837
24-12-20,56.1,56.1,56.1,56.1,100
25-12-20,56.1,56.1,56.1,56.1,0
28-12-20,57.0,56.1,57.0,56.1,24165
29-12-20,58.0,56.5,59.0,56.5,7100
30-12-20,58.0,58.0,58.0,58.0,525
31-12-20,57.9,57.5,57.9,57.5,530
04-01-21,58.0,58.1,58.1,58.0,4100
05-01-21,58.0,60.3,60.3,58.0,6317
06-01-21,61.0,60.6,61.5,60.2,2868
07-01-21,60.6,60.5,61.0,60.5,10140
08-01-21,60.5,62.0,62.0,60.5,18340
11-01-21,62.0,62.0,62.5,61.2,18000
12-01-21,62.0,62.0,62.5,60.3,10757
13-01-21,60.8,60.7,63.0,60.5,10300
14-01-21,61.0,61.0,61.0,61.0,719
15-01-21,60.5,60.8,62.0,60.5,8175
18-01-21,61.0,61.1,61.1,61.0,2736
19-01-21,61.1,61.1,61.1,55.5,4956
20-01-21,61.1,58.2,61.1,58.2,592
21-01-21,61.0,61.1,61.1,61.0,1295
22-01-21,60.9,60.6,61.5,60.6,4806
25-01-21,60.6,60.7,62.0,60.6,2002
26-01-21,62.0,60.8,62.0,60.8,3000
27-01-21,61.0,61.0,61.0,60.8,1600
28-01-21,60.8,60.8,61.0,60.0,6400
29-01-21,60.9,60.9,61.5,60.9,4600
01-02-21,61.1,61.0,61.1,61.0,6277
02-02-21,61.1,61.1,61.1,61.1,1900
03-02-21,61.1,62.0,62.0,61.1,2093
04-02-21,62.0,61.6,62.0,61.6,500
05-02-21,61.6,61.6,61.6,61.6,0
08-02-21,61.6,61.6,61.6,61.6,403
09-02-21,62.9,63.0,63.0,62.9,848
17-02-21,63.5,63.1,64.0,63.1,1700
18-02-21,63.5,63.5,65.0,63.5,3100
19-02-21,63.6,63.6,63.6,63.5,3900
22-02-21,63.6,63.6,63.6,63.6,10
23-02-21,64.0,64.3,64.3,64.0,1700
24-02-21,64.9,65.0,65.0,64.9,307
25-02-21,65.9,65.3,65.9,65.3,514
26-02-21,65.1,65.1,65.5,65.1,701
01-03-21,59.0,60.3,65.0,59.0,700
02-03-21,61.3,62.1,62.1,61.3,231
03-03-21,62.8,62.8,62.8,62.8,115
04-03-21,64.2,64.2,64.2,64.2,122
05-03-21,65.1,64.5,65.9,64.5,2200
08-03-21,58.5,65.5,70.9,58.5,5130
09-03-21,67.0,65.7,70.0,65.6,7100
10-03-21,65.7,65.7,65.7,65.7,9
11-03-21,71.5,66.0,71.5,65.9,300
12-03-21,67.5,68.0,68.0,67.5,1553
15-03-21,69.5,69.2,69.5,69.1,700
16-03-21,71.0,69.4,71.0,69.4,2290
17-03-21,62.8,62.8,62.8,62.8,100
18-03-21,68.9,68.7,68.9,68.5,1381
19-03-21,67.3,67.3,67.3,67.3,1305
22-03-21,67.3,67.2,68.0,67.2,2037
23-03-21,69.3,67.6,70.0,67.6,746
24-03-21,70.0,70.0,70.0,70.0,8025
25-03-21,66.5,66.5,66.5,66.5,300
26-03-21,67.0,69.5,69.5,67.0,3916
29-03-21,63.0,68.0,68.0,63.0,290
30-03-21,68.0,68.0,68.0,68.0,200
31-03-21,70.2,67.6,74.8,67.6,1710
01-04-21,68.0,69.1,70.0,68.0,2372
02-04-21,67.7,67.9,70.0,67.7,500
05-04-21,63.1,67.6,70.4,63.1,3548
06-04-21,69.5,67.8,69.9,67.8,537
07-04-21,68.0,68.2,70.0,68.0,1200
08-04-21,68.3,68.4,70.0,68.3,900
09-04-21,67.8,67.8,70.0,67.8,1300
12-04-21,71.0,67.8,72.0,67.7,3953
13-04-21,67.8,67.6,70.0,67.6,1100
14-04-21,68.0,67.7,71.0,67.7,2400
15-04-21,61.8,67.7,70.0,61.8,3390
16-04-21,67.5,70.0,70.0,65.5,2000
19-04-21,70.0,67.5,70.0,67.0,2110
20-04-21,69.9,68.0,74.0,67.5,7300
22-04-21,69.9,68.0,70.0,63.0,14990
23-04-21,69.0,65.1,70.0,65.0,9200
26-04-21,65.0,65.0,65.1,65.0,1890
27-04-21,66.0,66.5,70.0,65.2,17203
28-04-21,70.0,66.7,70.0,66.7,2400
29-04-21,70.0,66.9,70.0,66.8,5700
04-05-21,70.0,66.0,70.0,66.0,3714
05-05-21,65.1,66.3,70.0,65.1,980
06-05-21,65.5,70.0,70.0,65.5,4500
07-05-21,63.8,63.8,65.6,63.8,3988
10-05-21,63.8,63.8,63.8,63.8,0
11-05-21,63.8,64.1,69.4,63.8,1396
12-05-21,68.6,65.7,69.0,64.1,2136
13-05-21,65.7,65.7,65.7,65.7,0
14-05-21,68.9,67.7,69.8,67.7,2104
17-05-21,68.6,69.0,69.0,68.6,435
18-05-21,65.5,65.5,65.5,65.5,100
19-05-21,65.1,66.2,69.0,65.1,500
20-05-21,66.2,66.2,66.2,66.2,0
21-05-21,69.7,66.1,70.0,66.1,504
24-05-21,69.8,65.5,70.0,65.5,1000
25-05-21,70.0,66.2,70.0,66.2,1200
26-05-21,70.0,66.8,70.0,66.6,1001
27-05-21,70.0,67.0,70.0,67.0,9803
28-05-21,69.9,67.7,70.1,67.2,17209
31-05-21,69.9,67.5,70.5,67.2,11737
01-06-21,69.9,67.9,70.0,67.6,20300
02-06-21,69.9,67.9,69.9,67.9,8900
03-06-21,69.9,68.3,69.9,68.3,8300
04-06-21,69.9,68.6,70.6,68.6,8520
07-06-21,68.1,72.0,72.0,68.1,5705
08-06-21,72.0,72.0,72.0,72.0,100
09-06-21,72.0,68.3,72.0,68.1,2710
10-06-21,65.1,65.1,65.1,65.1,100
11-06-21,65.1,65.1,65.1,65.1,0
14-06-21,69.8,69.9,71.0,69.8,713
15-06-21,69.9,69.9,69.9,69.9,11
16-06-21,69.9,67.1,69.9,66.8,8300
17-06-21,69.9,67.3,69.9,67.3,14400
18-06-21,67.1,67.1,67.2,67.1,616
21-06-21,69.9,67.2,69.9,67.2,8300
22-06-21,67.0,66.1,69.9,66.1,2500
23-06-21,69.9,66.0,69.9,66.0,8100
24-06-21,66.6,67.0,67.0,66.6,360
25-06-21,69.9,67.2,69.9,67.2,9200
28-06-21,70.4,66.9,70.4,66.9,3310
29-06-21,69.8,67.5,69.9,67.5,2500
30-06-21,67.3,67.7,69.9,67.3,308
01-07-21,69.8,67.7,69.8,67.7,210
02-07-21,69.9,67.6,69.9,67.6,200
05-07-21,69.9,67.7,69.9,67.7,200
06-07-21,67.7,67.7,67.7,67.7,20
07-07-21,67.7,67.7,67.7,67.7,0
08-07-21,69.8,67.9,71.0,67.5,60500
09-07-21,67.6,67.6,67.6,67.6,120
12-07-21,65.2,66.8,67.0,65.2,300
13-07-21,67.0,67.1,69.5,67.0,3900
14-07-21,66.6,66.6,66.6,66.6,100
15-07-21,67.0,66.8,67.0,66.8,477
16-07-21,69.0,67.6,69.9,67.1,901
19-07-21,66.5,66.5,66.5,66.5,100
20-07-21,66.2,66.7,69.5,66.1,1100
21-07-21,71.0,66.0,71.0,60.9,4800
22-07-21,64.5,66.2,68.5,64.5,400
23-07-21,65.6,65.8,65.9,65.6,12900
