Date,Open,Close,High,Low,Volume
16-11-20,6.8,6.8,6.8,6.8,600
17-11-20,6.8,6.8,6.8,6.8,0
18-11-20,6.8,6.8,6.8,6.8,200
19-11-20,6.8,6.8,6.8,6.8,0
20-11-20,6.8,6.8,6.8,6.8,0
23-11-20,6.8,7.1,7.1,6.8,3200
24-11-20,7.0,7.0,7.0,7.0,3200
25-11-20,6.9,6.9,7.0,6.8,8200
26-11-20,6.9,6.9,6.9,6.9,0
27-11-20,6.9,6.9,6.9,6.9,0
30-11-20,6.9,6.9,7.0,6.8,5800
01-12-20,6.9,6.9,6.9,6.9,5000
02-12-20,6.9,6.9,6.9,6.9,0
03-12-20,6.9,6.9,6.9,6.9,0
04-12-20,6.9,6.9,6.9,6.9,0
07-12-20,6.9,7.0,7.0,6.9,2500
08-12-20,6.9,6.9,6.9,6.9,100
09-12-20,6.9,7.0,7.1,6.9,8900
10-12-20,7.0,7.0,7.0,7.0,0
11-12-20,7.1,7.5,7.5,7.1,44600
14-12-20,7.5,7.5,7.5,7.5,0
15-12-20,7.4,7.5,7.5,7.4,9300
16-12-20,7.5,7.6,8.1,7.5,14890
17-12-20,7.6,7.6,7.6,7.6,0
18-12-20,7.6,7.6,7.6,7.6,100
21-12-20,7.6,7.6,7.6,7.6,0
22-12-20,7.9,7.8,7.9,7.7,2200
23-12-20,7.7,7.6,7.7,7.6,600
24-12-20,7.6,7.6,7.6,7.6,400
25-12-20,7.5,7.5,7.5,7.5,100
28-12-20,7.5,7.5,7.5,7.5,2500
29-12-20,7.5,7.5,7.5,7.5,1
30-12-20,8.2,8.2,8.2,8.2,100
31-12-20,8.2,8.2,8.2,8.2,0
04-01-21,8.0,8.0,8.1,8.0,28100
05-01-21,8.0,8.0,8.0,8.0,39891
06-01-21,8.0,8.2,8.2,8.0,115200
07-01-21,8.2,8.7,8.7,8.1,93000
08-01-21,8.7,8.6,8.7,8.4,13900
11-01-21,8.6,8.7,8.7,8.5,34700
12-01-21,8.7,9.4,9.4,8.7,139200
13-01-21,9.4,9.2,9.4,9.2,33000
14-01-21,8.9,9.3,9.3,8.9,6000
15-01-21,9.0,9.1,9.3,8.9,64800
18-01-21,9.0,9.0,9.2,8.9,332349
19-01-21,9.0,8.7,9.0,8.7,22700
20-01-21,8.5,8.5,8.6,8.3,17600
21-01-21,8.5,8.6,8.6,8.5,33804
22-01-21,8.6,8.5,8.6,8.4,42300
25-01-21,8.5,8.5,8.6,8.3,10800
26-01-21,8.2,8.4,8.4,8.2,7500
27-01-21,8.2,7.9,8.2,7.6,34139
28-01-21,7.6,7.2,7.6,7.2,100900
29-01-21,7.2,7.8,7.8,7.2,12400
01-02-21,7.8,7.8,7.9,7.8,21552
02-02-21,7.8,7.8,7.8,7.8,2100
03-02-21,7.7,8.1,8.1,7.7,14500
04-02-21,8.1,8.0,8.1,8.0,8400
05-02-21,8.1,8.0,8.1,8.0,7000
08-02-21,8.0,7.9,8.0,7.9,4800
09-02-21,7.9,7.8,7.9,7.8,1000
17-02-21,7.9,8.0,8.0,7.9,4200
18-02-21,8.0,8.1,8.1,7.9,4600
19-02-21,8.1,8.4,8.4,8.1,10952
22-02-21,8.4,8.3,8.4,8.3,3800
23-02-21,8.3,8.3,8.4,8.3,15600
24-02-21,7.8,7.9,8.0,7.8,2300
25-02-21,8.0,8.0,8.0,7.9,5700
26-02-21,8.0,8.1,8.1,8.0,1200
01-03-21,8.1,8.4,8.4,8.1,7000
02-03-21,8.2,8.4,8.4,8.2,1200
03-03-21,8.4,8.4,8.4,8.3,4952
04-03-21,8.4,8.1,8.4,8.0,31300
05-03-21,8.2,8.9,8.9,8.2,88900
08-03-21,8.9,9.4,9.5,8.9,132900
09-03-21,9.4,9.4,9.5,9.3,39050
10-03-21,9.3,9.2,9.3,9.0,57200
11-03-21,9.1,9.0,9.1,8.8,33550
12-03-21,8.9,9.1,9.1,8.8,35600
15-03-21,9.0,9.6,9.7,8.9,69000
16-03-21,9.6,9.4,9.6,9.2,39400
17-03-21,9.3,9.2,9.4,9.1,22400
18-03-21,9.2,9.1,9.2,9.1,16300
19-03-21,9.0,9.1,9.1,8.9,26200
22-03-21,9.0,9.2,9.2,9.0,37400
23-03-21,9.2,10.1,10.1,9.2,248200
24-03-21,10.1,10.2,10.5,9.7,177802
25-03-21,10.3,10.2,10.3,10.1,30300
26-03-21,9.5,9.7,9.8,9.5,33900
29-03-21,9.7,9.7,9.7,9.6,28828
30-03-21,9.6,9.6,9.7,9.5,20600
31-03-21,9.6,9.4,9.6,9.3,49800
01-04-21,9.4,9.8,9.8,9.2,129900
02-04-21,9.8,10.0,10.1,9.8,126100
05-04-21,10.1,9.9,10.1,9.6,34000
06-04-21,9.8,9.8,9.9,9.7,57200
07-04-21,9.8,10.2,10.5,9.7,184000
08-04-21,10.1,10.6,10.6,10.0,227203
09-04-21,10.5,10.8,10.9,10.5,202000
12-04-21,10.8,10.4,10.8,10.3,60000
13-04-21,10.4,10.2,10.4,10.2,70800
14-04-21,10.2,10.2,10.2,10.0,23600
15-04-21,10.2,10.2,10.2,10.0,71901
16-04-21,10.1,9.8,10.1,9.2,116200
19-04-21,9.8,9.8,9.8,9.6,26700
20-04-21,9.7,9.8,9.9,9.7,72102
22-04-21,9.6,9.6,9.8,9.6,34100
23-04-21,9.6,9.7,9.7,9.6,15001
26-04-21,10.5,9.7,10.5,9.5,11400
27-04-21,9.5,9.8,9.8,9.5,11400
28-04-21,9.8,9.8,9.8,9.5,1300
29-04-21,9.8,9.7,9.8,9.6,2100
04-05-21,9.5,9.5,9.5,9.5,25500
05-05-21,9.5,9.5,9.7,9.4,82600
06-05-21,9.5,9.7,9.8,9.5,86900
07-05-21,9.6,9.6,9.7,9.6,36800
10-05-21,9.5,9.4,9.5,9.3,18800
11-05-21,9.3,9.4,9.4,9.3,13300
12-05-21,9.4,9.4,9.5,9.4,19700
13-05-21,10.2,9.4,10.2,9.4,13100
14-05-21,9.5,9.6,10.0,9.5,52300
17-05-21,9.7,9.6,9.7,9.5,21400
18-05-21,9.7,9.4,9.7,9.4,16900
19-05-21,9.0,9.4,9.4,9.0,25700
20-05-21,9.4,9.2,9.4,9.2,28500
21-05-21,9.3,9.2,9.3,9.2,23200
