Date,Open,Close,High,Low,Volume
16-11-20,16.2,16.2,16.2,16.2,200
17-11-20,16.2,16.2,16.2,16.2,0
18-11-20,17.8,14.6,17.8,14.6,1275
19-11-20,14.6,14.6,14.6,14.6,9
20-11-20,13.3,13.2,13.3,13.2,500
23-11-20,13.2,14.5,14.5,13.2,1200
24-11-20,15.9,15.9,15.9,15.9,100
25-11-20,17.4,17.4,17.4,17.4,100
26-11-20,19.0,18.5,19.0,15.7,540
27-11-20,16.7,19.0,19.0,16.7,1200
30-11-20,17.1,19.0,19.0,17.1,9000
01-12-20,19.0,19.0,19.0,19.0,0
02-12-20,19.0,19.0,19.0,19.0,0
03-12-20,19.0,19.0,19.0,19.0,0
04-12-20,19.0,19.0,19.0,19.0,0
07-12-20,19.0,19.0,19.0,19.0,0
08-12-20,19.0,19.0,19.0,19.0,0
09-12-20,19.0,19.0,19.0,19.0,0
10-12-20,19.0,19.0,19.0,19.0,0
11-12-20,19.0,19.0,19.0,19.0,0
14-12-20,19.0,19.0,19.0,19.0,0
15-12-20,19.0,19.0,19.0,19.0,0
16-12-20,17.1,17.1,17.1,17.1,100
17-12-20,17.1,17.1,17.1,17.1,0
18-12-20,17.1,17.1,17.1,17.1,0
21-12-20,15.4,15.4,15.4,15.4,100
22-12-20,15.0,13.9,15.0,13.9,3685
23-12-20,15.2,15.2,15.2,15.2,1200
24-12-20,16.7,14.0,16.7,14.0,200
25-12-20,15.4,15.4,15.4,15.0,9610
28-12-20,14.0,16.6,16.7,14.0,600
29-12-20,17.0,17.9,17.9,15.0,4400
30-12-20,18.5,18.5,18.5,18.5,600
31-12-20,18.6,18.6,18.6,18.6,425
04-01-21,16.8,16.8,16.8,16.8,100
05-01-21,15.3,16.7,16.7,15.3,1700
06-01-21,16.6,16.6,16.6,16.6,2400
07-01-21,16.6,16.6,16.6,16.6,0
08-01-21,15.8,15.7,15.8,15.7,800
11-01-21,15.7,15.7,15.7,15.7,0
12-01-21,15.7,15.7,15.7,15.7,0
13-01-21,15.7,15.7,15.7,15.7,0
14-01-21,15.0,15.0,15.0,15.0,100
15-01-21,15.0,15.0,15.0,15.0,0
18-01-21,15.0,15.0,15.0,15.0,0
19-01-21,15.8,15.0,15.8,15.0,400
20-01-21,15.0,15.0,15.0,15.0,0
21-01-21,15.0,15.0,15.0,15.0,100
22-01-21,15.0,15.0,15.0,15.0,500
25-01-21,15.0,15.0,15.0,15.0,0
26-01-21,15.0,15.0,15.0,15.0,0
27-01-21,13.6,13.6,13.6,13.6,100
28-01-21,14.9,14.9,14.9,14.9,100
29-01-21,15.9,16.3,16.3,15.9,200
01-02-21,16.3,16.3,16.3,16.3,0
02-02-21,16.3,16.3,16.3,16.3,0
03-02-21,16.3,16.3,16.3,16.3,0
