Date,Open,Close,High,Low,Volume
16-11-20,18.2,16.0,18.2,16.0,14430
17-11-20,16.6,16.0,16.6,15.0,12443
18-11-20,15.1,15.9,15.9,15.1,4200
19-11-20,15.9,16.2,17.2,15.9,63367
20-11-20,16.2,16.8,17.0,16.2,42740
23-11-20,17.0,17.3,17.4,16.6,190730
24-11-20,17.3,17.1,17.5,16.9,96021
25-11-20,17.0,17.0,17.3,17.0,9686
26-11-20,16.3,16.9,17.0,16.2,23210
27-11-20,16.9,16.7,17.0,16.5,9500
30-11-20,16.7,16.7,16.9,16.3,79830
01-12-20,16.0,16.4,16.4,15.5,96210
02-12-20,16.0,16.7,16.9,15.6,39335
03-12-20,16.5,16.9,17.4,16.5,157636
04-12-20,16.9,16.3,17.1,15.9,99400
07-12-20,16.1,16.3,16.7,15.8,84800
08-12-20,15.8,15.5,15.8,15.0,68208
09-12-20,15.0,14.3,15.9,14.3,62950
10-12-20,14.6,15.4,15.4,14.6,27117
11-12-20,15.4,15.0,15.4,14.8,22310
14-12-20,15.3,14.6,15.3,14.6,51206
15-12-20,15.2,15.7,15.8,14.9,66054
16-12-20,15.7,15.8,15.9,15.7,7504
17-12-20,15.6,15.7,15.8,15.4,30010
18-12-20,15.8,15.0,15.8,15.0,17328
21-12-20,15.0,16.0,16.2,15.0,85069
22-12-20,15.7,15.8,15.8,15.3,1900
23-12-20,15.9,15.0,15.9,15.0,126122
24-12-20,14.8,14.8,15.4,14.7,29320
25-12-20,14.9,15.4,15.4,14.9,8060
28-12-20,15.3,15.1,15.3,15.1,20410
29-12-20,15.1,15.2,15.4,15.1,22100
30-12-20,15.3,15.1,15.3,14.9,19121
31-12-20,14.9,15.1,15.3,14.9,12455
04-01-21,15.1,15.3,15.3,15.1,11650
05-01-21,15.1,15.0,15.2,14.7,61250
06-01-21,15.4,15.4,15.5,15.1,34060
07-01-21,15.4,16.1,16.4,15.4,133730
08-01-21,16.1,16.7,16.9,16.1,89080
11-01-21,16.7,17.1,17.1,16.3,61210
