Date,Open,Close,High,Low,Volume
16-11-20,9.9,9.9,9.9,9.9,0
17-11-20,9.9,9.9,9.9,9.9,0
18-11-20,9.9,9.9,9.9,9.9,0
19-11-20,9.9,9.9,9.9,9.9,0
20-11-20,9.9,9.9,9.9,9.9,0
23-11-20,9.9,9.9,9.9,9.9,0
24-11-20,9.9,9.9,9.9,9.9,0
25-11-20,9.8,9.0,9.9,9.0,2600
26-11-20,9.0,9.0,9.0,9.0,0
27-11-20,8.2,8.2,8.2,8.2,1200
30-11-20,7.4,7.4,7.4,7.4,1500
01-12-20,6.7,6.7,6.7,6.7,2000
02-12-20,7.3,7.3,7.3,7.3,100
03-12-20,8.0,8.0,8.0,8.0,200
04-12-20,7.2,7.2,7.2,7.2,200
07-12-20,7.9,7.0,7.9,7.0,1000
08-12-20,7.7,7.7,7.7,7.7,100
09-12-20,8.0,8.0,8.0,8.0,2100
10-12-20,8.0,8.0,8.0,8.0,0
11-12-20,7.2,7.2,7.2,7.2,100
14-12-20,7.9,7.2,7.9,7.2,800
15-12-20,7.8,7.8,7.8,7.8,200
16-12-20,7.8,7.8,7.8,7.8,0
17-12-20,7.8,7.8,7.8,7.8,0
18-12-20,7.8,7.8,7.8,7.8,0
21-12-20,7.1,7.1,7.1,7.1,300
22-12-20,7.8,7.7,7.8,7.7,200
23-12-20,7.7,7.7,7.7,7.7,0
24-12-20,7.0,7.0,7.0,7.0,100
25-12-20,7.7,7.0,7.7,7.0,2100
28-12-20,7.6,7.6,7.6,7.6,100
29-12-20,7.6,7.6,7.6,7.6,100
30-12-20,7.6,7.6,7.6,7.6,0
31-12-20,7.6,7.6,7.6,7.6,1100
04-01-21,7.6,7.6,7.6,7.6,0
05-01-21,7.6,7.6,7.6,7.6,0
06-01-21,7.6,7.6,7.6,7.6,0
07-01-21,7.8,8.0,8.0,7.8,2200
08-01-21,8.0,8.0,8.0,8.0,0
11-01-21,8.0,8.0,8.0,8.0,0
12-01-21,7.2,7.2,7.3,7.2,800
13-01-21,7.8,7.2,7.8,7.2,800
