Date,Open,Close,High,Low,Volume
16-11-20,2.7,2.7,2.7,2.7,0
17-11-20,2.7,2.7,2.7,2.7,0
18-11-20,2.7,2.7,2.7,2.7,0
19-11-20,2.7,2.7,2.7,2.7,0
20-11-20,2.7,2.7,2.7,2.7,0
23-11-20,2.7,2.7,2.7,2.7,0
24-11-20,2.7,2.5,2.7,2.5,5400
25-11-20,2.5,2.5,2.5,2.5,500
26-11-20,2.5,2.5,2.5,2.5,0
27-11-20,2.7,2.7,2.7,2.7,100
30-11-20,2.7,2.7,2.7,2.7,0
01-12-20,2.7,2.7,2.7,2.7,0
02-12-20,2.7,2.7,2.7,2.7,0
03-12-20,2.7,2.7,2.7,2.7,0
04-12-20,2.5,2.7,2.7,2.5,2800
07-12-20,2.5,2.7,2.7,2.5,12600
08-12-20,2.5,2.7,2.7,2.5,5800
09-12-20,2.5,2.7,2.9,2.5,10600
10-12-20,2.7,2.7,2.7,2.7,200
11-12-20,2.7,2.7,2.7,2.7,0
14-12-20,2.5,2.7,2.7,2.5,4700
15-12-20,2.5,2.6,2.6,2.5,200
16-12-20,2.6,2.6,2.6,2.6,1500
17-12-20,2.6,2.6,2.6,2.6,22000
18-12-20,2.6,2.7,2.7,2.6,14500
21-12-20,2.6,2.7,2.7,2.6,41300
22-12-20,2.7,2.6,2.7,2.6,28800
23-12-20,2.7,2.7,2.8,2.5,201400
24-12-20,2.6,2.6,2.6,2.6,10000
25-12-20,2.8,2.7,2.8,2.6,25200
28-12-20,2.7,2.8,2.8,2.6,97600
29-12-20,2.7,2.7,2.8,2.7,47000
30-12-20,2.8,2.7,2.8,2.7,135600
31-12-20,2.7,2.7,2.8,2.7,20500
04-01-21,2.8,2.9,2.9,2.8,25100
05-01-21,2.9,3.1,3.1,2.9,147700
06-01-21,3.4,3.4,3.4,3.4,116000
07-01-21,3.5,3.7,3.7,3.5,132300
08-01-21,4.0,3.6,4.0,3.6,81800
11-01-21,3.5,3.6,3.7,3.3,154200
12-01-21,3.4,3.6,3.6,3.4,26000
13-01-21,3.6,3.7,3.7,3.6,34500
14-01-21,3.7,3.6,3.7,3.4,110300
15-01-21,3.4,3.5,3.6,3.4,56200
18-01-21,3.4,3.8,3.8,3.4,181000
19-01-21,3.8,3.6,3.9,3.5,329000
20-01-21,3.5,3.7,3.7,3.3,72800
21-01-21,3.7,3.6,3.8,3.5,73100
22-01-21,3.6,3.6,3.6,3.3,47200
25-01-21,3.6,3.9,3.9,3.5,473400
26-01-21,4.2,4.0,4.2,3.7,594300
27-01-21,4.1,3.8,4.1,3.6,87300
28-01-21,3.5,3.5,3.5,3.5,141100
29-01-21,3.2,3.2,3.5,3.2,180300
01-02-21,3.5,3.0,3.5,3.0,45300
02-02-21,2.9,3.1,3.2,2.8,35500
03-02-21,3.1,3.2,3.4,3.0,21200
04-02-21,3.3,3.2,3.3,3.1,22000
05-02-21,3.4,3.0,3.4,2.9,149000
08-02-21,3.0,3.1,3.1,2.7,111500
09-02-21,3.0,3.1,3.1,2.9,41500
17-02-21,3.1,3.4,3.4,3.1,107800
18-02-21,3.5,3.5,3.6,3.2,11800
19-02-21,3.2,3.2,3.2,3.2,20800
22-02-21,3.2,3.3,3.3,3.0,34000
23-02-21,3.3,3.3,3.3,3.1,21400
24-02-21,3.3,3.2,3.3,3.2,20400
25-02-21,3.2,3.2,3.2,3.1,27800
26-02-21,3.3,3.5,3.5,3.2,357800
01-03-21,3.7,3.5,3.7,3.5,36700
02-03-21,3.4,3.4,3.4,3.4,600
03-03-21,3.2,3.6,3.6,3.2,151100
04-03-21,3.6,3.9,3.9,3.6,444400
05-03-21,4.0,3.8,4.1,3.7,216400
08-03-21,3.7,3.8,3.9,3.5,178800
09-03-21,3.7,3.8,3.8,3.6,123600
10-03-21,3.8,3.8,3.9,3.8,198700
11-03-21,3.7,3.8,3.8,3.7,77100
12-03-21,3.7,3.6,3.8,3.6,93400
15-03-21,3.7,3.8,3.8,3.6,72600
16-03-21,3.7,3.7,3.7,3.6,39000
17-03-21,3.7,3.8,3.8,3.6,30800
18-03-21,3.7,3.7,3.7,3.6,13300
19-03-21,3.7,3.7,3.8,3.6,108500
22-03-21,3.7,4.0,4.0,3.6,646700
23-03-21,4.0,4.0,4.1,3.8,251100
24-03-21,4.0,3.8,4.0,3.8,142700
25-03-21,3.8,3.8,3.9,3.7,93500
26-03-21,3.8,3.8,3.8,3.5,73600
29-03-21,3.8,4.0,4.1,3.7,324500
30-03-21,4.0,4.2,4.3,4.0,145200
31-03-21,4.2,4.0,4.2,3.9,170200
01-04-21,4.0,4.0,4.0,3.9,108800
02-04-21,4.1,4.1,4.1,3.9,124700
05-04-21,4.1,4.0,4.1,3.8,256200
06-04-21,4.0,4.4,4.4,3.9,1390700
07-04-21,4.6,4.8,4.8,4.6,454500
08-04-21,4.8,4.8,5.1,4.5,627800
09-04-21,4.8,4.7,4.8,4.5,397900
12-04-21,4.7,5.1,5.1,4.6,1041500
13-04-21,5.1,5.0,5.5,4.8,1556700
14-04-21,5.0,4.9,5.0,4.6,711100
15-04-21,5.0,4.7,5.0,4.7,1774910
16-04-21,4.7,4.5,4.7,4.3,1623700
19-04-21,4.6,4.3,4.6,4.3,508700
20-04-21,4.3,4.2,4.3,3.9,1225500
22-04-21,4.2,3.9,4.2,3.9,704900
23-04-21,3.9,4.0,4.0,3.6,394600
26-04-21,4.0,3.6,4.0,3.6,556100
27-04-21,3.6,3.5,3.6,3.3,340400
28-04-21,3.5,3.7,3.8,3.4,535808
29-04-21,3.7,3.8,3.9,3.6,158100
04-05-21,3.8,3.6,3.8,3.5,223700
05-05-21,3.6,3.9,3.9,3.5,611500
06-05-21,3.9,3.9,3.9,3.7,262000
07-05-21,3.8,3.7,3.8,3.6,204700
10-05-21,3.6,3.6,3.6,3.4,376100
11-05-21,3.6,3.5,3.6,3.4,311900
12-05-21,3.5,3.7,3.7,3.4,233300
13-05-21,3.6,3.7,3.7,3.5,109305
14-05-21,3.6,3.7,3.7,3.5,154108
17-05-21,3.6,3.6,3.6,3.5,249200
18-05-21,3.5,3.8,3.8,3.5,547200
19-05-21,3.8,3.7,3.8,3.6,156400
20-05-21,3.6,3.5,3.6,3.5,123400
21-05-21,3.5,3.6,3.7,3.4,251725
24-05-21,3.6,3.7,3.7,3.5,126400
25-05-21,3.7,3.6,3.7,3.5,216500
26-05-21,3.5,3.5,3.6,3.4,213000
27-05-21,3.5,3.4,3.6,3.3,190300
28-05-21,3.4,3.4,3.5,3.3,456000
31-05-21,3.4,3.4,3.5,3.3,329900
01-06-21,3.4,3.6,3.6,3.4,203100
02-06-21,3.6,3.6,3.6,3.4,124800
03-06-21,3.6,3.8,3.9,3.5,691800
04-06-21,3.9,3.8,3.9,3.7,395800
07-06-21,3.8,3.7,3.8,3.6,226900
08-06-21,3.7,3.5,3.7,3.5,276700
09-06-21,3.5,3.7,3.7,3.3,475200
10-06-21,3.9,3.6,3.9,3.5,161000
11-06-21,3.6,3.6,3.7,3.5,88700
