Date,Open,Close,High,Low,Volume
16-11-20,15.2,14.6,15.2,14.6,214809
17-11-20,14.6,15.0,15.0,14.5,200250
18-11-20,15.0,14.9,15.0,14.7,197060
19-11-20,14.8,15.2,15.3,14.8,254571
20-11-20,15.3,15.6,15.9,15.3,348177
23-11-20,15.6,15.6,15.6,15.3,156886
24-11-20,15.5,15.3,15.6,15.2,201250
25-11-20,15.5,15.4,15.8,15.3,239943
26-11-20,15.4,15.4,15.4,15.2,83232
27-11-20,15.4,15.2,15.4,15.2,100488
30-11-20,15.1,15.1,15.3,15.1,118830
01-12-20,15.0,15.0,15.2,14.6,145350
02-12-20,15.0,14.9,15.0,14.8,122268
03-12-20,15.0,14.9,15.1,14.8,112327
04-12-20,15.1,15.5,15.5,15.0,393869
07-12-20,15.7,16.4,16.5,15.6,441295
08-12-20,16.4,16.2,16.4,16.0,245701
09-12-20,16.4,16.1,16.4,16.1,372061
10-12-20,16.2,16.0,16.2,15.8,285074
11-12-20,16.0,16.2,16.3,16.0,384043
14-12-20,16.3,16.2,16.5,16.2,300755
15-12-20,16.2,16.8,17.2,16.0,823641
16-12-20,16.8,16.8,17.0,16.6,157895
17-12-20,16.8,16.5,16.8,16.4,282502
18-12-20,16.5,17.0,17.2,16.5,671612
21-12-20,17.2,17.5,17.9,17.2,645317
22-12-20,15.9,18.2,18.6,15.9,778611
23-12-20,18.2,17.6,18.5,17.6,896439
24-12-20,17.7,17.3,17.9,16.8,477320
25-12-20,17.3,17.7,17.7,17.1,246867
28-12-20,17.8,18.6,19.0,17.6,1069556
29-12-20,18.8,18.5,19.2,18.4,602005
30-12-20,18.5,18.1,18.5,17.8,358210
31-12-20,18.1,18.0,18.2,17.7,332711
04-01-21,18.2,18.4,18.6,18.0,579213
05-01-21,18.4,18.0,18.5,18.0,410890
06-01-21,18.2,18.1,18.6,18.0,657234
07-01-21,18.4,18.4,18.6,17.9,620084
08-01-21,18.5,19.5,19.5,18.5,1063832
11-01-21,19.8,21.4,21.4,19.8,1559560
12-01-21,23.2,22.0,23.5,20.7,872011
13-01-21,22.0,21.3,22.5,21.1,683779
14-01-21,21.5,21.3,21.7,20.5,436199
15-01-21,21.4,22.2,22.3,21.2,793862
18-01-21,22.0,21.6,22.2,21.5,466411
19-01-21,21.8,19.5,21.8,19.5,868289
20-01-21,19.5,19.5,19.7,17.6,716998
21-01-21,19.7,20.2,20.5,19.2,474320
22-01-21,20.2,19.9,20.6,19.9,457086
25-01-21,19.8,19.6,19.9,19.2,391392
26-01-21,19.6,18.0,19.6,17.7,462910
27-01-21,17.7,16.4,17.9,16.3,486648
28-01-21,16.4,14.8,16.4,14.8,515512
29-01-21,13.4,15.6,15.9,13.4,397640
01-02-21,16.0,14.6,16.0,14.6,159870
02-02-21,14.5,15.0,15.2,14.4,187600
03-02-21,15.4,16.5,16.5,15.1,492526
04-02-21,16.6,17.2,17.4,16.6,373000
05-02-21,16.9,17.2,17.5,16.9,175505
08-02-21,17.2,16.5,17.6,15.9,334340
09-02-21,16.5,17.0,17.2,16.5,315225
17-02-21,17.8,18.7,18.7,17.8,479421
18-02-21,20.5,19.5,20.5,19.0,634584
19-02-21,19.5,18.7,19.5,18.6,387000
22-02-21,18.0,18.7,19.0,18.0,417410
23-02-21,18.7,19.1,19.5,18.7,538810
24-02-21,19.2,18.5,19.4,18.5,412579
25-02-21,18.6,18.8,19.3,18.4,199032
26-02-21,18.8,18.8,18.8,18.3,334900
01-03-21,18.8,19.3,19.5,18.5,483536
02-03-21,19.3,19.1,19.3,18.9,195641
03-03-21,19.3,18.8,19.3,18.6,248352
04-03-21,19.2,20.0,20.2,17.9,884701
05-03-21,20.3,20.8,21.3,20.3,1068191
08-03-21,20.8,21.3,22.0,20.8,555049
09-03-21,21.3,20.0,21.3,20.0,657944
10-03-21,20.0,19.8,20.0,19.4,483758
11-03-21,20.0,20.0,20.4,19.8,278600
12-03-21,20.0,19.8,20.7,19.5,388967
15-03-21,19.8,19.6,20.1,19.5,226111
16-03-21,19.6,19.3,19.6,19.0,294291
17-03-21,19.0,19.8,19.9,19.0,248900
18-03-21,19.8,19.7,20.3,19.5,129602
19-03-21,19.4,19.4,19.5,18.5,366400
22-03-21,19.4,19.1,19.5,19.0,249052
23-03-21,18.9,18.6,19.0,18.4,500100
24-03-21,18.5,17.9,18.5,17.3,533380
25-03-21,18.0,17.5,18.1,17.0,279200
26-03-21,17.6,17.6,17.7,16.3,346583
29-03-21,17.8,17.8,18.0,17.3,139900
30-03-21,17.8,18.1,18.1,17.7,218100
31-03-21,18.0,18.2,18.4,17.9,237835
01-04-21,18.2,18.7,18.8,17.8,347410
02-04-21,18.7,18.6,19.1,18.4,183000
05-04-21,18.5,18.4,18.6,18.2,314633
06-04-21,18.3,18.4,18.4,18.0,285900
07-04-21,18.6,18.6,18.8,18.3,256030
08-04-21,18.6,18.6,18.7,18.3,264810
09-04-21,19.0,18.4,19.0,18.2,486734
12-04-21,18.3,18.0,18.3,17.9,584018
13-04-21,18.0,17.9,18.1,17.8,348520
14-04-21,17.8,17.8,17.9,17.5,237260
15-04-21,18.0,17.7,18.2,17.5,294406
16-04-21,17.8,17.5,17.8,17.0,241910
19-04-21,17.1,17.1,17.3,16.9,166719
20-04-21,17.2,16.9,17.2,16.9,183130
22-04-21,16.8,15.4,16.9,15.4,285700
23-04-21,15.6,16.0,16.1,15.1,194300
26-04-21,16.3,15.4,16.3,15.4,103903
27-04-21,15.4,15.4,15.5,15.0,68200
28-04-21,15.5,15.7,15.8,15.3,78700
29-04-21,15.7,15.6,16.0,15.4,98800
04-05-21,15.0,15.5,15.6,15.0,186930
