Date,Open,Close,High,Low,Volume
16-11-20,6.3,6.2,6.3,6.1,275280
17-11-20,6.2,6.4,6.4,6.1,471630
18-11-20,6.4,6.4,6.4,6.3,357899
19-11-20,6.4,6.4,6.5,6.3,191608
20-11-20,6.4,6.5,6.5,6.3,356855
23-11-20,6.5,6.4,6.5,6.3,835038
24-11-20,6.4,6.3,6.4,6.0,300369
25-11-20,6.3,6.4,6.5,6.3,526352
26-11-20,6.3,6.4,6.4,6.2,286579
27-11-20,6.3,6.4,6.4,6.2,177739
30-11-20,6.4,6.1,6.4,6.1,249283
01-12-20,6.1,6.1,6.1,6.0,212727
02-12-20,6.1,6.2,6.2,6.0,191388
03-12-20,6.2,6.3,6.3,6.1,471340
04-12-20,6.3,6.3,6.3,6.2,142481
07-12-20,6.3,6.5,6.5,6.2,647189
08-12-20,6.5,6.3,6.5,6.3,343738
09-12-20,6.3,6.4,6.5,6.3,336450
10-12-20,6.4,6.4,6.5,6.3,285425
11-12-20,6.4,6.4,6.4,6.3,119543
14-12-20,6.4,6.7,6.8,6.4,691307
15-12-20,6.7,6.6,6.8,6.6,328558
16-12-20,6.7,6.8,6.8,6.7,450393
17-12-20,6.8,6.7,6.9,6.6,392757
18-12-20,6.7,6.8,6.8,6.6,153457
21-12-20,6.8,7.0,7.1,6.7,981378
22-12-20,7.0,7.1,7.1,6.8,467498
23-12-20,7.1,7.2,7.4,7.1,421995
24-12-20,7.2,7.1,7.3,6.8,468730
25-12-20,7.1,7.1,7.2,7.0,265468
28-12-20,7.1,7.8,7.8,7.0,1373558
29-12-20,8.0,8.2,8.5,7.9,1079631
30-12-20,8.2,8.2,8.4,8.1,374617
31-12-20,8.2,8.2,8.3,7.9,423875
04-01-21,8.3,8.4,8.9,8.0,638952
05-01-21,8.5,8.4,8.7,8.3,441927
06-01-21,8.7,8.6,9.0,8.4,629620
07-01-21,8.8,8.9,9.0,8.6,746513
08-01-21,9.0,9.1,9.2,8.8,578552
11-01-21,9.1,9.6,9.7,9.1,717549
12-01-21,9.6,9.4,9.8,9.1,644526
13-01-21,9.5,9.4,9.7,9.3,739269
14-01-21,9.4,9.2,9.4,9.1,547790
15-01-21,9.2,9.4,9.4,9.0,599030
18-01-21,9.4,9.2,9.5,9.1,459238
19-01-21,9.2,8.3,9.3,8.3,1428817
20-01-21,7.9,8.3,8.4,7.5,579571
21-01-21,8.5,8.7,8.8,8.1,412122
22-01-21,8.7,8.5,8.8,8.4,276171
25-01-21,8.5,8.3,8.5,8.0,237204
26-01-21,8.3,7.6,8.3,7.5,670030
27-01-21,7.6,7.1,7.8,7.1,515900
28-01-21,7.0,6.4,7.1,6.4,765412
29-01-21,5.8,7.0,7.0,5.8,371640
01-02-21,7.1,6.9,7.3,6.6,164450
02-02-21,6.9,7.0,7.1,6.6,162139
03-02-21,7.0,7.7,7.7,7.0,501368
04-02-21,7.7,7.8,8.2,7.7,360727
05-02-21,8.0,7.8,8.1,7.7,171218
08-02-21,7.8,7.7,7.9,7.5,370700
09-02-21,7.7,7.8,7.9,7.6,148524
17-02-21,7.9,8.5,8.5,7.9,1034588
18-02-21,8.9,9.1,9.3,8.8,1779436
19-02-21,9.1,9.0,9.1,8.7,473866
22-02-21,9.0,8.7,9.0,8.6,627110
23-02-21,8.7,8.9,9.3,8.7,850938
24-02-21,8.9,8.7,8.9,8.5,798557
25-02-21,8.8,8.8,8.9,8.5,375023
26-02-21,8.8,8.6,8.8,8.5,602873
01-03-21,8.6,8.9,8.9,8.5,591846
02-03-21,8.9,8.8,8.9,8.7,492895
03-03-21,8.8,8.7,8.8,8.6,509516
04-03-21,8.8,9.5,9.5,8.8,5291770
05-03-21,10.0,10.4,10.4,9.9,1115261
08-03-21,11.4,11.4,11.4,11.3,819029
09-03-21,12.3,11.9,12.3,10.8,6250328
10-03-21,12.0,11.6,12.0,11.1,1177312
11-03-21,11.4,11.5,11.8,11.4,913368
12-03-21,11.5,11.2,11.7,11.0,1576383
15-03-21,11.4,10.9,11.4,10.7,1678307
16-03-21,10.9,10.8,11.0,10.5,1168309
17-03-21,10.8,11.2,11.5,10.6,1374165
18-03-21,11.3,11.0,11.3,10.9,587817
19-03-21,10.8,10.9,11.0,10.3,1537941
22-03-21,10.9,10.6,10.9,10.5,954622
23-03-21,10.7,11.0,11.1,10.6,1227903
24-03-21,10.9,10.8,10.9,10.4,977479
25-03-21,10.9,10.5,11.1,10.5,581631
26-03-21,10.5,10.3,10.5,9.5,1417147
29-03-21,10.4,10.3,10.5,10.0,558102
30-03-21,10.3,10.5,10.5,10.1,831982
31-03-21,10.5,10.4,10.6,10.3,685554
01-04-21,10.5,10.8,10.9,10.3,952864
02-04-21,10.9,11.8,11.8,10.5,4098747
05-04-21,11.7,11.7,12.5,11.7,1493315
06-04-21,11.6,11.9,11.9,11.1,1154534
07-04-21,11.9,11.8,12.0,11.4,1160835
08-04-21,11.7,11.4,11.7,11.3,1192705
09-04-21,11.3,11.3,11.5,11.2,821522
12-04-21,11.3,11.1,11.5,10.9,1388983
13-04-21,11.2,10.5,11.3,10.5,1486202
14-04-21,10.5,11.5,11.5,10.5,2348838
15-04-21,11.7,11.3,12.1,11.2,997352
16-04-21,11.3,11.1,11.4,10.7,915141
19-04-21,10.8,10.8,11.1,10.6,765156
20-04-21,10.8,10.8,11.0,10.7,752660
22-04-21,10.8,9.9,10.8,9.9,805906
23-04-21,10.0,10.1,10.2,9.4,1014700
26-04-21,10.1,9.4,10.2,9.3,864590
27-04-21,9.4,9.6,9.6,9.0,310715
28-04-21,9.6,9.5,9.8,9.5,280950
29-04-21,9.6,9.7,9.8,9.5,308760
04-05-21,9.6,9.3,9.6,8.8,527510
05-05-21,9.5,10.2,10.2,9.5,873356
06-05-21,10.2,9.8,10.3,9.8,495226
07-05-21,9.7,9.5,9.8,9.4,358500
10-05-21,9.5,9.5,9.7,9.3,447499
11-05-21,9.5,9.8,10.3,9.5,1095871
12-05-21,9.9,10.0,10.2,9.8,585006
13-05-21,10.0,9.8,10.3,9.8,690304
14-05-21,9.8,9.8,9.8,9.6,523722
17-05-21,9.9,9.8,10.2,9.8,824068
18-05-21,10.0,9.8,10.0,9.7,542762
19-05-21,9.8,9.6,9.8,9.5,519593
20-05-21,9.5,9.3,9.6,9.2,801375
21-05-21,9.3,9.4,9.7,9.0,791084
24-05-21,9.5,9.7,9.8,9.4,398152
25-05-21,9.8,9.7,10.2,9.7,1123493
26-05-21,9.7,9.6,9.8,9.5,422020
27-05-21,9.6,9.3,9.7,9.2,596162
28-05-21,9.4,9.6,9.7,9.1,1004233
31-05-21,9.6,10.5,10.5,9.6,2430865
01-06-21,10.5,10.7,11.3,10.5,1746603
02-06-21,11.2,11.1,11.4,10.7,1882635
03-06-21,11.2,11.4,11.8,11.0,2801129
04-06-21,11.4,12.5,12.5,11.0,4931681
07-06-21,13.5,13.7,13.7,13.0,3825198
08-06-21,13.8,12.4,13.8,12.4,2769910
09-06-21,12.4,12.2,12.9,11.7,3147273
10-06-21,12.2,11.6,12.2,11.3,1726752
11-06-21,11.5,12.0,12.1,11.4,1241875
14-06-21,12.2,12.3,12.6,12.0,2695808
15-06-21,12.3,12.0,12.5,11.9,1547926
16-06-21,12.1,12.1,12.7,11.9,2074750
17-06-21,12.2,12.1,12.4,11.6,1314290
18-06-21,12.1,11.9,12.1,11.7,1881977
21-06-21,11.9,12.1,12.3,11.9,1687920
22-06-21,12.5,12.2,12.7,12.2,1705134
23-06-21,12.2,11.9,12.3,11.8,889267
24-06-21,11.9,12.0,12.3,11.8,1112496
25-06-21,12.2,12.0,12.2,11.7,951670
28-06-21,12.2,12.1,12.4,12.0,1317208
29-06-21,12.0,11.8,12.1,11.8,1021375
30-06-21,11.7,11.5,11.9,11.5,855489
01-07-21,11.5,11.2,11.7,10.8,1496027
02-07-21,11.3,11.2,11.7,11.2,998061
05-07-21,11.0,10.6,11.2,10.4,1605700
06-07-21,10.7,9.8,10.9,9.8,1082333
07-07-21,9.8,9.6,10.0,9.5,1387809
08-07-21,9.6,9.7,9.9,9.6,654499
09-07-21,9.7,9.4,9.8,9.3,746493
12-07-21,9.4,9.2,9.4,8.5,1311955
13-07-21,9.2,9.3,9.5,9.1,572093
14-07-21,9.3,9.3,9.5,9.1,478087
15-07-21,9.3,9.4,9.5,9.0,412390
16-07-21,9.3,9.2,9.5,9.2,422952
19-07-21,9.3,8.3,9.3,8.3,1530866
20-07-21,8.3,8.3,8.3,7.5,839155
21-07-21,8.3,8.2,8.5,8.0,556501
22-07-21,8.2,8.7,8.7,8.2,690450
23-07-21,8.7,8.6,8.7,8.4,546433
26-07-21,8.6,8.6,8.6,8.3,379512
27-07-21,8.6,8.8,9.0,8.6,704879
28-07-21,8.7,8.7,8.8,8.5,238237
29-07-21,8.7,8.7,8.8,8.6,432916
30-07-21,8.7,8.7,8.9,8.6,508900
02-08-21,8.7,8.8,8.9,8.5,765550
03-08-21,9.0,8.8,9.0,8.6,352324
04-08-21,8.8,9.2,9.3,8.7,1215885
05-08-21,9.1,9.2,9.2,8.9,508754
06-08-21,9.2,9.2,9.5,9.2,1227680
09-08-21,9.2,9.2,9.2,8.9,734027
10-08-21,9.2,9.7,9.8,9.1,1387206
11-08-21,9.7,9.8,10.1,9.7,1189169
12-08-21,9.7,9.7,9.8,9.5,559632
13-08-21,9.7,9.4,9.7,9.1,996594
16-08-21,9.3,9.4,9.5,9.2,710717
17-08-21,9.4,9.6,9.7,9.4,798288
18-08-21,9.6,9.6,9.7,9.4,835303
19-08-21,9.6,9.4,9.6,9.4,607857
20-08-21,9.4,8.9,9.4,8.8,1192429
23-08-21,8.9,8.7,9.0,8.6,762840
24-08-21,8.8,8.8,9.0,8.7,483554
25-08-21,8.9,9.0,9.0,8.8,302205
26-08-21,9.0,8.9,9.1,8.9,393493
27-08-21,8.9,9.0,9.1,8.7,632689
30-08-21,9.0,9.3,9.3,9.0,557128
31-08-21,9.3,9.6,9.7,9.3,1922252
01-09-21,9.6,9.6,9.7,9.4,808298
06-09-21,9.6,10.5,10.5,9.5,2570221
07-09-21,10.5,10.1,10.6,9.8,1319680
08-09-21,10.0,10.0,10.0,9.6,899331
09-09-21,10.0,10.1,10.4,9.8,1421422
10-09-21,10.1,10.1,10.2,10.0,796129
13-09-21,10.2,10.5,10.8,10.1,2715080
14-09-21,10.5,10.4,10.8,10.4,1321733
15-09-21,10.6,11.0,11.1,10.3,1849115
16-09-21,11.2,10.9,11.3,10.7,1175042
17-09-21,10.9,11.0,11.1,10.7,1738587
20-09-21,11.0,10.6,11.2,10.5,1834076
21-09-21,10.5,10.9,11.0,10.2,1612003
22-09-21,11.0,11.7,11.9,10.9,3709267
23-09-21,11.7,11.2,11.8,11.2,1534057
24-09-21,11.2,11.4,11.7,11.2,1621534
27-09-21,11.4,10.5,11.7,10.5,1714352
28-09-21,10.4,11.5,11.5,10.1,2210900
29-09-21,12.6,11.5,12.6,11.2,2590085
30-09-21,11.6,11.6,12.0,11.3,1063046
01-10-21,11.7,12.0,12.3,11.4,2667386
04-10-21,12.1,12.5,13.2,12.0,5795584
05-10-21,12.8,13.0,13.1,12.3,2136720
06-10-21,13.4,13.0,13.5,12.8,1446452
07-10-21,13.0,12.7,13.0,12.4,2208401
08-10-21,12.8,12.6,12.9,12.5,1356385
11-10-21,12.6,12.5,13.0,12.5,1618865
12-10-21,12.6,12.9,13.4,12.4,2507738
13-10-21,12.9,12.6,12.9,12.4,1309041
14-10-21,12.6,12.7,12.9,12.5,1255868
15-10-21,12.7,12.4,12.9,12.4,1611240
18-10-21,12.4,12.6,13.0,12.4,2001479
19-10-21,12.6,12.4,12.6,12.4,1085256
20-10-21,12.4,12.4,12.6,12.1,1091951
21-10-21,12.6,12.2,12.6,12.2,1080858
22-10-21,12.2,11.9,12.4,11.8,1764739
25-10-21,11.9,12.2,12.4,11.9,1208894
26-10-21,12.2,12.2,12.4,12.1,741270
27-10-21,12.2,12.7,12.8,12.2,1979730
28-10-21,12.8,13.0,13.0,12.7,1946986
29-10-21,13.0,13.0,13.4,12.8,1770887
01-11-21,13.0,12.7,13.0,12.7,1799367
02-11-21,12.7,13.9,13.9,12.5,3951392
03-11-21,13.9,13.2,14.6,13.2,2334074
04-11-21,13.2,13.4,13.4,12.8,999784
05-11-21,13.4,13.4,13.9,13.2,1757095
08-11-21,13.4,13.7,14.0,13.4,1287254
09-11-21,13.7,13.6,13.8,13.5,1057327
10-11-21,13.6,14.3,14.4,13.6,2379957
11-11-21,14.3,13.9,14.4,13.8,1441145
12-11-21,13.9,13.7,14.0,13.4,1345003
15-11-21,13.7,14.1,14.7,13.4,2642509
16-11-21,14.2,14.2,14.6,14.0,1934749
17-11-21,14.3,14.8,15.0,14.1,2287293
18-11-21,14.7,14.2,14.8,14.2,1772527
19-11-21,14.3,13.1,14.5,12.8,3155775
22-11-21,13.0,11.9,13.1,11.9,1862270
23-11-21,12.1,13.0,13.0,11.8,1117520
24-11-21,13.3,13.4,13.8,13.3,1409669
25-11-21,13.5,13.4,13.5,13.1,817126
26-11-21,13.4,12.9,13.5,12.8,1337688
29-11-21,12.9,12.8,12.9,12.2,1110022
30-11-21,12.8,13.6,14.0,12.8,1581467
01-12-21,13.6,13.4,13.7,13.2,742965
02-12-21,13.4,13.6,13.9,13.3,1190303
03-12-21,13.7,13.2,13.8,13.2,689469
06-12-21,13.2,12.5,13.2,12.2,698977
07-12-21,12.6,13.7,13.7,12.4,1633396
08-12-21,13.7,14.8,15.0,13.7,4509364
09-12-21,14.8,14.8,15.2,14.5,1746605
10-12-21,14.8,14.8,14.8,14.5,1555251
13-12-21,14.7,14.8,15.5,14.7,1342680
14-12-21,14.8,14.7,15.0,14.3,1706259
15-12-21,14.7,15.2,15.8,14.5,2068702
16-12-21,15.3,15.2,15.5,14.8,899645
17-12-21,15.2,14.9,15.7,14.9,1152660
20-12-21,14.7,14.5,14.9,13.8,2424878
21-12-21,14.5,14.8,14.9,14.3,1098651
22-12-21,14.8,14.7,15.3,14.6,1016655
23-12-21,14.8,16.0,16.1,14.2,2962318
24-12-21,16.1,16.4,17.3,16.1,2736992
27-12-21,16.8,16.4,17.0,16.3,947655
28-12-21,16.4,16.6,16.9,16.3,1359341
29-12-21,16.6,16.6,16.9,16.3,1106570
30-12-21,16.6,17.2,17.7,16.5,1720478
31-12-21,17.3,16.8,17.3,16.7,697345
04-01-22,16.8,17.2,17.7,16.5,1280116
05-01-22,17.5,16.7,17.6,16.7,1906813
06-01-22,16.8,16.8,17.3,16.5,1251064
07-01-22,17.0,17.2,17.6,17.0,903742
10-01-22,17.2,16.5,17.3,16.5,1721766
11-01-22,16.5,16.0,16.5,15.9,1000784
12-01-22,16.2,17.0,17.3,15.8,2993381
13-01-22,17.0,16.0,17.7,15.3,1657509
14-01-22,15.5,16.0,16.4,15.3,1003216
17-01-22,16.1,15.6,17.0,15.5,1769199
18-01-22,15.4,15.0,15.9,14.2,1998238
19-01-22,15.4,15.1,15.8,15.0,1015260
20-01-22,15.1,15.5,15.5,14.8,741261
