Date,Open,Close,High,Low,Volume
16-11-20,29.0,28.7,29.0,28.7,21500
17-11-20,29.2,30.0,31.5,28.0,122275
18-11-20,30.0,29.8,30.9,29.7,28850
19-11-20,29.6,29.9,29.9,29.4,19603
20-11-20,29.5,29.3,29.7,28.7,22411
23-11-20,29.3,29.7,30.0,29.3,71872
24-11-20,29.8,29.8,29.9,29.6,110385
25-11-20,29.7,31.1,31.9,29.7,131130
26-11-20,30.9,31.4,31.8,30.8,82698
27-11-20,31.5,31.6,31.8,31.4,30911
30-11-20,31.6,31.3,31.6,30.0,37052
01-12-20,30.9,31.1,31.2,30.4,126087
02-12-20,31.0,30.8,31.1,30.6,17642
03-12-20,30.8,31.3,31.3,30.8,19900
04-12-20,32.0,31.0,32.0,31.0,13349
07-12-20,31.0,31.1,31.1,30.7,34127
08-12-20,31.1,30.7,31.1,30.6,29362
09-12-20,30.7,31.0,31.1,30.7,23213
10-12-20,31.0,30.6,31.0,30.5,15516
11-12-20,30.5,30.6,30.8,30.5,16215
14-12-20,30.6,30.5,30.6,30.3,60410
15-12-20,31.0,30.4,31.2,30.3,73224
16-12-20,30.5,30.7,30.9,30.2,81378
17-12-20,30.7,30.5,30.9,30.5,21452
18-12-20,30.5,30.7,30.8,30.5,55726
21-12-20,30.9,30.6,31.0,30.6,28544
22-12-20,30.6,30.7,30.8,30.4,22622
23-12-20,30.8,32.6,33.0,30.8,159001
24-12-20,31.1,32.5,32.6,31.1,37430
25-12-20,32.1,32.3,32.5,31.8,18081
28-12-20,32.5,32.3,32.9,31.1,161216
29-12-20,32.0,31.6,32.3,31.0,55471
30-12-20,32.4,32.0,32.4,31.7,43536
31-12-20,31.9,31.8,32.0,31.5,12461
04-01-21,32.0,32.5,32.6,31.8,236550
05-01-21,32.5,33.3,33.5,32.5,140926
06-01-21,33.3,33.2,33.5,33.2,34835
07-01-21,33.2,32.9,33.2,32.5,62737
08-01-21,33.0,33.1,33.5,32.7,87838
11-01-21,33.0,33.4,34.0,32.9,144466
12-01-21,33.4,33.4,33.5,33.0,79048
13-01-21,33.4,33.4,34.0,33.2,164667
14-01-21,33.5,36.2,36.3,33.4,619266
15-01-21,34.9,36.1,36.9,34.9,119800
18-01-21,35.9,36.3,37.0,35.8,81502
19-01-21,35.8,32.7,36.0,32.7,248293
20-01-21,32.7,33.5,33.9,31.8,90600
21-01-21,34.0,35.5,36.4,33.5,122885
22-01-21,35.4,35.1,35.7,34.8,96200
25-01-21,35.1,35.0,35.5,34.5,136900
26-01-21,34.8,32.9,34.9,31.9,110478
27-01-21,32.9,32.8,33.6,32.1,102820
28-01-21,32.5,29.6,32.5,29.6,126103
29-01-21,26.8,31.5,32.5,26.7,74584
01-02-21,30.0,30.5,31.0,29.9,65300
02-02-21,30.5,30.5,30.9,29.7,25050
03-02-21,31.0,31.9,31.9,31.0,38501
04-02-21,31.9,31.5,32.2,31.0,34910
05-02-21,31.3,31.7,31.7,31.3,28725
08-02-21,31.7,31.0,31.7,30.5,26100
09-02-21,31.0,31.7,31.9,30.8,17200
17-02-21,31.7,32.2,32.5,31.6,25068
18-02-21,32.5,32.9,33.2,32.2,64217
19-02-21,32.9,32.7,32.9,32.6,43176
22-02-21,32.7,32.6,32.9,32.5,19493
23-02-21,32.6,32.0,32.7,32.0,32000
24-02-21,32.0,31.9,32.5,31.5,40903
25-02-21,32.5,32.5,35.0,32.0,68394
26-02-21,32.5,32.5,34.0,31.9,21100
