Date,Open,Close,High,Low,Volume
16-11-20,4.7,4.5,4.7,4.2,3700
17-11-20,4.5,4.5,4.5,4.5,1270
18-11-20,4.5,4.5,4.5,4.5,700
19-11-20,4.5,4.4,4.5,4.2,300
20-11-20,4.4,4.0,4.4,4.0,1000
23-11-20,4.3,4.4,4.4,4.3,1100
24-11-20,4.4,4.6,4.6,4.4,2000
25-11-20,4.2,4.3,4.4,4.2,600
26-11-20,4.0,4.5,4.5,4.0,500
27-11-20,4.5,4.5,4.5,4.5,502
30-11-20,4.5,4.5,4.5,4.5,0
01-12-20,4.4,4.8,4.8,4.4,3400
02-12-20,4.4,4.5,4.5,4.4,200
03-12-20,4.5,4.5,4.5,4.5,0
04-12-20,4.4,4.4,4.4,4.4,100
07-12-20,4.4,4.4,4.4,4.0,7110
08-12-20,4.0,4.3,4.3,4.0,9309
09-12-20,3.9,4.3,4.3,3.9,1363
10-12-20,4.4,4.4,4.4,4.4,100
11-12-20,4.4,4.4,4.4,4.4,0
14-12-20,4.4,4.4,4.4,4.4,0
15-12-20,4.4,4.4,4.4,4.4,0
16-12-20,4.4,4.4,4.4,4.4,72
17-12-20,4.4,4.4,4.4,4.4,0
18-12-20,4.1,4.3,4.3,4.1,310
21-12-20,4.3,4.3,4.3,4.3,0
22-12-20,4.3,4.3,4.3,4.3,65
23-12-20,4.0,4.0,4.0,3.9,3000
24-12-20,3.6,4.0,4.0,3.6,453
25-12-20,4.0,4.4,4.4,4.0,6813
28-12-20,4.4,4.8,4.8,4.4,37472
29-12-20,4.8,5.0,5.0,4.6,24920
30-12-20,5.0,5.0,5.0,4.9,7500
31-12-20,4.5,5.0,5.0,4.5,21235
04-01-21,4.5,4.8,4.8,4.5,380
05-01-21,4.4,4.6,4.8,4.4,10278
06-01-21,4.6,5.0,5.0,4.6,53313
07-01-21,4.6,5.0,5.0,4.5,32760
08-01-21,4.6,5.0,5.0,4.5,29338
11-01-21,4.6,4.9,4.9,4.5,20284
12-01-21,4.7,4.8,4.8,4.5,5152
13-01-21,4.7,5.0,5.1,4.7,35700
14-01-21,4.9,5.0,5.0,4.5,10837
15-01-21,4.8,4.6,4.8,4.6,13025
18-01-21,4.5,5.0,5.0,4.4,41610
19-01-21,5.0,4.9,5.0,4.5,30100
20-01-21,4.6,4.9,4.9,4.5,20200
21-01-21,4.5,4.8,4.9,4.5,42550
22-01-21,4.8,5.0,5.0,4.8,40800
25-01-21,4.6,4.9,4.9,4.6,2100
26-01-21,4.9,5.0,5.0,4.9,31866
27-01-21,4.7,4.8,4.9,4.7,486599
28-01-21,4.4,4.4,4.4,4.4,6000
29-01-21,4.1,4.8,4.8,4.1,217690
01-02-21,5.0,5.0,5.0,5.0,9000
02-02-21,5.0,5.0,5.0,5.0,10
03-02-21,4.5,4.6,4.8,4.5,22210
04-02-21,4.3,4.4,4.4,4.3,209500
05-02-21,4.1,4.3,4.3,4.1,84814
08-02-21,4.6,4.6,4.6,4.6,100
09-02-21,4.6,4.6,4.6,4.6,55
17-02-21,4.7,4.7,4.7,4.7,300
18-02-21,4.7,4.7,4.7,4.7,0
19-02-21,4.7,4.7,4.7,4.7,0
22-02-21,4.7,4.7,4.7,4.7,0
23-02-21,4.7,4.7,4.7,4.7,0
24-02-21,4.7,4.7,4.7,4.7,76
25-02-21,4.7,4.7,4.7,4.7,60
26-02-21,4.3,4.6,4.6,4.3,600
01-03-21,4.6,4.6,4.6,4.6,98
02-03-21,4.5,4.5,4.5,4.5,348
03-03-21,4.5,4.5,4.5,4.5,100
04-03-21,4.2,4.2,4.2,4.2,6374
05-03-21,3.9,4.2,4.2,3.8,7200
08-03-21,4.2,4.4,4.4,4.2,5420
09-03-21,4.4,4.4,4.4,4.4,1194
