Date,Open,Close,High,Low,Volume
16-11-20,3.8,3.9,3.9,3.7,50100
17-11-20,3.8,3.9,3.9,3.8,7700
18-11-20,3.9,4.2,4.2,3.9,127280
19-11-20,4.2,4.2,4.3,4.1,31700
20-11-20,4.1,4.1,4.1,4.0,18560
23-11-20,4.1,4.1,4.1,4.1,20300
24-11-20,4.0,4.1,4.1,4.0,42740
25-11-20,4.0,4.0,4.0,4.0,21100
26-11-20,4.0,4.0,4.0,3.8,129902
27-11-20,4.0,4.2,4.3,4.0,61800
30-11-20,4.2,4.3,4.3,4.2,59100
01-12-20,4.2,4.3,4.3,4.1,91900
02-12-20,4.3,4.5,4.6,4.3,239400
03-12-20,4.5,4.5,4.5,4.4,73900
04-12-20,4.3,4.5,4.5,4.3,460500
07-12-20,4.5,4.4,4.5,4.3,178100
08-12-20,4.3,4.5,4.5,4.3,47973
09-12-20,4.5,4.5,4.6,4.5,160874
10-12-20,4.5,4.5,4.5,4.3,80798
11-12-20,4.3,4.4,4.4,4.3,84800
14-12-20,4.3,4.5,4.6,4.3,135400
15-12-20,4.5,4.5,4.5,4.5,267900
16-12-20,4.4,4.5,4.5,4.3,54900
17-12-20,4.4,4.4,4.4,4.3,56900
18-12-20,4.4,4.6,4.8,4.4,210610
21-12-20,4.6,4.8,4.9,4.6,20545
22-12-20,4.7,4.8,4.8,4.6,34270
23-12-20,4.7,4.7,4.8,4.7,70100
24-12-20,4.7,4.6,4.7,4.3,59800
25-12-20,4.5,4.6,4.6,4.4,17800
28-12-20,4.6,4.7,4.7,4.6,23640
29-12-20,4.6,4.5,4.6,4.4,57448
30-12-20,4.6,4.5,4.6,4.4,26001
31-12-20,4.5,4.5,4.5,4.3,21020
04-01-21,4.5,4.7,4.9,4.5,182070
05-01-21,4.8,4.8,4.9,4.7,24200
06-01-21,4.8,4.7,4.8,4.6,114100
07-01-21,4.6,4.7,4.7,4.5,66932
08-01-21,4.7,4.7,4.8,4.7,126100
11-01-21,4.9,5.0,5.0,4.8,59664
12-01-21,4.9,4.8,4.9,4.8,29800
13-01-21,4.9,4.8,4.9,4.7,29600
14-01-21,4.7,4.8,4.8,4.7,124500
15-01-21,4.7,5.1,5.1,4.7,122890
18-01-21,5.1,5.2,5.2,5.0,126800
19-01-21,5.2,4.9,5.4,4.7,92410
20-01-21,4.8,4.7,4.8,4.6,63300
21-01-21,4.8,4.9,5.0,4.6,44306
22-01-21,5.0,5.3,5.3,5.0,640410
25-01-21,5.6,5.8,5.8,5.6,428483
26-01-21,6.1,6.3,6.3,6.1,1060432
27-01-21,6.8,6.6,6.9,6.4,942917
28-01-21,6.2,6.0,6.2,6.0,152200
29-01-21,5.6,5.5,6.0,5.4,249200
01-02-21,5.0,5.0,5.5,5.0,301600
02-02-21,4.6,5.0,5.0,4.5,248220
03-02-21,5.0,5.5,5.5,5.0,206400
04-02-21,5.6,5.4,5.8,5.1,87400
05-02-21,5.1,5.5,5.5,5.0,136508
08-02-21,5.5,5.0,5.5,5.0,275400
09-02-21,5.0,5.3,5.3,5.0,110500
17-02-21,5.3,5.3,5.5,5.0,79600
18-02-21,5.1,5.3,5.3,5.1,76735
19-02-21,5.3,5.4,5.6,5.2,110800
22-02-21,5.4,5.5,5.8,5.4,182900
23-02-21,5.5,5.6,5.7,5.5,43600
24-02-21,5.7,5.4,5.7,5.4,16800
25-02-21,5.5,5.5,5.6,5.4,24520
26-02-21,5.4,5.5,5.5,5.4,43200
01-03-21,5.5,5.6,5.6,5.4,121900
02-03-21,5.6,5.5,5.6,5.4,27001
03-03-21,5.5,5.8,6.0,5.5,269300
04-03-21,5.9,6.1,6.3,5.9,359510
05-03-21,6.0,6.2,6.2,5.9,163120
08-03-21,6.3,6.8,6.8,6.3,720024
09-03-21,7.3,6.7,7.3,6.5,184600
10-03-21,6.4,6.7,6.8,6.4,163600
11-03-21,6.5,6.5,6.6,6.5,177830
12-03-21,6.5,6.3,6.5,6.1,143900
15-03-21,6.2,6.4,6.5,6.2,44200
16-03-21,6.1,6.5,6.5,6.0,216508
17-03-21,6.5,6.8,7.0,6.3,1383700
18-03-21,6.9,6.7,7.0,6.7,187100
19-03-21,6.7,6.7,6.8,6.5,43214
22-03-21,6.7,7.0,7.1,6.5,698726
23-03-21,7.0,7.1,7.3,6.9,295300
24-03-21,7.0,7.0,7.0,6.4,244012
25-03-21,6.6,6.7,6.9,6.5,341102
26-03-21,6.7,6.6,6.7,6.3,199328
29-03-21,6.6,6.6,6.7,6.4,222912
30-03-21,6.6,6.8,6.9,6.5,112200
31-03-21,6.8,6.8,6.8,6.5,274700
01-04-21,6.6,6.7,6.8,6.6,129294
02-04-21,6.7,6.8,7.0,6.6,359400
05-04-21,6.8,7.4,7.4,6.7,780248
06-04-21,7.4,7.4,7.4,7.1,294754
07-04-21,7.4,7.4,7.6,7.2,268200
08-04-21,7.4,7.1,7.4,7.1,189000
09-04-21,7.2,7.1,7.2,7.0,153562
12-04-21,7.1,7.3,7.3,7.1,422008
13-04-21,7.3,7.3,7.8,7.3,504641
14-04-21,7.2,7.4,7.5,7.0,185000
15-04-21,7.5,7.0,7.6,7.0,336100
16-04-21,7.0,6.9,7.1,6.5,306275
19-04-21,6.9,7.0,7.0,6.5,112620
20-04-21,7.1,6.8,7.1,6.7,173400
