Date,Open,Close,High,Low,Volume
16-11-20,6.2,6.2,6.2,6.2,0
17-11-20,6.2,6.2,6.2,6.2,0
18-11-20,6.2,6.2,6.2,6.2,0
19-11-20,6.2,6.2,6.2,6.2,0
20-11-20,6.2,6.2,6.2,6.2,0
23-11-20,6.2,6.2,6.2,6.2,0
24-11-20,6.2,6.2,6.2,6.2,0
25-11-20,6.2,6.2,6.2,6.2,0
26-11-20,6.2,6.2,6.2,6.2,0
27-11-20,6.2,6.2,6.2,6.2,0
30-11-20,6.2,6.2,6.2,6.2,0
01-12-20,6.2,6.2,6.2,6.2,0
02-12-20,6.2,6.2,6.2,6.2,0
03-12-20,6.2,6.2,6.2,6.2,0
04-12-20,6.2,6.2,6.2,6.2,0
07-12-20,6.2,6.2,6.2,6.2,0
08-12-20,6.2,6.2,6.2,6.2,0
09-12-20,6.2,6.2,6.2,6.2,0
10-12-20,6.2,6.2,6.2,6.2,0
11-12-20,6.8,6.8,6.8,6.8,1000
14-12-20,6.8,6.8,6.8,6.8,0
15-12-20,6.8,6.8,6.8,6.8,0
16-12-20,6.8,6.8,6.8,6.8,0
17-12-20,6.8,6.8,6.8,6.8,0
18-12-20,6.8,6.8,6.8,6.8,0
21-12-20,6.8,6.8,6.8,6.8,0
22-12-20,6.8,6.8,6.8,6.8,0
23-12-20,6.8,6.8,6.8,6.8,0
24-12-20,6.8,6.8,6.8,6.8,0
25-12-20,6.8,6.8,6.8,6.8,0
28-12-20,6.8,6.8,6.8,6.8,0
29-12-20,6.8,7.4,7.4,6.8,1100
30-12-20,7.4,7.4,7.4,7.4,0
31-12-20,7.4,7.4,7.4,7.4,60
04-01-21,7.4,7.4,7.4,7.4,0
05-01-21,7.4,7.4,7.4,7.4,0
06-01-21,7.4,7.4,7.4,7.4,0
07-01-21,7.4,7.4,7.4,7.4,0
08-01-21,7.4,7.4,7.4,7.4,0
11-01-21,7.4,7.4,7.4,7.4,0
12-01-21,7.4,7.4,7.4,7.4,0
13-01-21,7.4,7.4,7.4,7.4,0
14-01-21,7.4,7.4,7.4,7.4,200
15-01-21,7.4,7.4,7.4,7.4,10
18-01-21,7.4,7.4,7.4,7.4,0
19-01-21,7.4,7.4,7.4,7.4,0
20-01-21,7.4,7.4,7.4,7.4,0
21-01-21,7.4,7.4,7.4,7.4,0
22-01-21,7.4,7.4,7.4,7.4,0
25-01-21,7.4,7.4,7.4,7.4,0
26-01-21,7.4,7.4,7.4,7.4,0
27-01-21,7.4,7.4,7.4,7.4,0
28-01-21,7.4,7.4,7.4,7.4,0
29-01-21,7.4,7.4,7.4,7.4,0
01-02-21,7.4,7.4,7.4,7.4,0
02-02-21,7.4,7.4,7.4,7.4,0
03-02-21,7.4,7.4,7.4,7.4,0
04-02-21,7.4,7.4,7.4,7.4,0
05-02-21,7.4,7.4,7.4,7.4,0
08-02-21,7.4,7.4,7.4,7.4,0
09-02-21,7.4,7.4,7.4,7.4,0
17-02-21,7.4,7.4,7.4,7.4,0
18-02-21,7.4,7.4,7.4,7.4,0
19-02-21,7.4,7.4,7.4,7.4,0
22-02-21,7.4,7.4,7.4,7.4,0
23-02-21,7.4,7.4,7.4,7.4,0
24-02-21,7.4,7.4,7.4,7.4,0
25-02-21,7.4,7.4,7.4,7.4,0
26-02-21,6.7,6.7,6.7,6.7,200
01-03-21,6.7,6.7,6.7,6.7,0
02-03-21,6.7,6.7,6.7,6.7,0
03-03-21,6.8,6.8,6.8,6.8,100
04-03-21,6.8,6.8,6.8,6.8,0
05-03-21,6.8,6.8,6.8,6.8,0
08-03-21,6.8,6.8,6.8,6.8,0
09-03-21,6.8,6.8,6.8,6.8,0
10-03-21,6.8,6.8,6.8,6.8,0
11-03-21,6.8,6.8,6.8,6.8,0
12-03-21,6.8,6.8,6.8,6.8,0
15-03-21,6.8,6.8,6.8,6.8,0
16-03-21,6.8,6.8,6.8,6.8,0
17-03-21,6.8,6.8,6.8,6.8,0
18-03-21,6.8,6.8,6.8,6.8,0
19-03-21,6.8,6.8,6.8,6.8,0
22-03-21,6.8,6.8,6.8,6.8,0
23-03-21,6.8,6.8,6.8,6.8,0
24-03-21,6.8,6.8,6.8,6.8,0
