Date,Open,Close,High,Low,Volume
16-11-20,35.0,35.0,35.0,35.0,0
17-11-20,35.0,35.0,35.0,35.0,0
18-11-20,35.0,35.0,35.0,35.0,0
19-11-20,35.0,35.0,35.0,35.0,0
20-11-20,35.0,35.0,35.0,35.0,0
23-11-20,35.0,35.0,35.0,35.0,0
24-11-20,36.9,37.0,37.0,36.9,5600
25-11-20,37.0,37.0,37.0,37.0,0
26-11-20,37.0,37.0,37.0,37.0,0
27-11-20,37.0,37.0,37.0,37.0,0
30-11-20,37.0,37.0,37.0,37.0,0
01-12-20,36.0,36.0,36.0,36.0,10000
02-12-20,36.0,36.0,36.0,36.0,0
03-12-20,36.0,36.0,36.0,36.0,0
04-12-20,36.0,36.0,36.0,36.0,0
07-12-20,36.0,36.0,36.0,36.0,300
08-12-20,36.0,35.9,39.5,35.9,1800
09-12-20,35.9,37.0,37.0,35.9,6300
10-12-20,37.0,37.0,37.0,37.0,6300
11-12-20,37.0,37.0,37.0,37.0,0
14-12-20,36.1,36.1,36.1,36.1,0
15-12-20,35.8,36.1,36.1,33.0,53300
16-12-20,35.5,35.5,35.5,35.5,1000
17-12-20,36.0,36.2,36.2,36.0,22700
18-12-20,35.9,36.2,36.2,35.9,2000
21-12-20,37.0,37.0,37.0,37.0,900
22-12-20,37.0,37.0,37.0,37.0,0
23-12-20,37.0,37.0,37.0,37.0,0
24-12-20,36.0,36.0,36.0,36.0,700
25-12-20,36.0,39.6,39.6,36.0,14200
28-12-20,39.6,39.6,39.6,39.6,0
29-12-20,39.5,39.5,39.5,39.5,200
30-12-20,42.0,42.0,42.0,42.0,700
31-12-20,42.0,42.0,42.0,42.0,0
04-01-21,40.0,40.0,40.0,40.0,1000
05-01-21,40.0,40.0,40.0,40.0,20
06-01-21,40.0,40.0,40.0,40.0,100
07-01-21,40.0,40.0,40.0,40.0,0
08-01-21,39.6,39.6,39.6,39.6,100
11-01-21,39.5,39.5,39.5,39.5,600
12-01-21,37.1,37.5,37.5,37.1,2000
13-01-21,37.5,37.5,37.5,37.5,1038
