Date,Open,Close,High,Low,Volume
16-11-20,15.7,15.7,15.7,15.7,500
17-11-20,15.7,15.7,15.7,15.5,5100
18-11-20,15.7,15.7,15.7,15.7,100
19-11-20,15.2,15.6,15.6,15.2,300
20-11-20,15.6,15.6,15.6,15.6,0
23-11-20,15.5,15.6,15.6,15.5,1000
24-11-20,15.6,15.6,15.6,15.6,0
25-11-20,15.6,15.8,15.8,15.6,2100
26-11-20,15.8,15.8,15.8,15.8,1000
27-11-20,15.8,15.8,15.8,15.8,9200
30-11-20,15.8,15.8,15.8,15.8,1500
01-12-20,15.8,15.8,15.8,15.8,0
02-12-20,15.8,15.8,15.8,15.8,1700
03-12-20,15.8,15.8,15.8,15.8,2800
04-12-20,15.8,15.8,15.8,15.8,4000
07-12-20,15.8,15.9,15.9,15.8,8800
08-12-20,15.9,15.9,15.9,15.9,100
09-12-20,15.9,15.9,15.9,15.8,7600
10-12-20,15.9,15.9,15.9,15.9,0
11-12-20,15.9,15.9,15.9,15.9,0
14-12-20,15.9,15.9,15.9,15.8,10900
15-12-20,16.0,16.0,16.0,16.0,100
16-12-20,16.0,16.2,16.2,16.0,1600
17-12-20,16.3,16.3,16.3,16.3,100
18-12-20,16.3,16.2,16.3,16.1,3000
21-12-20,16.2,16.2,16.3,16.2,2300
22-12-20,16.2,16.4,16.4,16.2,2300
23-12-20,16.2,16.5,16.5,16.2,3200
24-12-20,16.0,16.4,16.4,16.0,1100
25-12-20,16.4,16.4,16.4,16.4,400
28-12-20,16.4,16.5,16.5,16.4,1300
29-12-20,16.5,16.5,16.6,16.5,5700
30-12-20,16.5,16.5,16.5,16.5,1000
31-12-20,16.7,16.7,16.8,16.7,2000
04-01-21,17.0,17.2,17.5,17.0,5400
05-01-21,17.4,17.5,17.5,17.3,4300
06-01-21,17.7,17.5,17.7,17.5,3300
07-01-21,17.4,17.7,17.7,17.4,1200
08-01-21,17.5,17.3,17.7,17.0,14700
11-01-21,17.6,17.6,17.6,17.6,100
12-01-21,17.6,17.6,17.8,17.6,2400
13-01-21,17.6,17.6,17.7,17.5,14900
14-01-21,17.6,17.6,17.9,17.5,17700
15-01-21,17.6,17.6,17.6,17.6,2800
18-01-21,17.6,17.5,17.6,17.3,12400
19-01-21,17.3,17.2,17.3,16.8,14600
20-01-21,17.2,17.1,17.2,16.8,6800
21-01-21,17.1,17.2,17.2,17.1,2700
22-01-21,17.6,17.0,17.6,17.0,17900
25-01-21,17.0,17.0,17.0,17.0,0
26-01-21,17.1,17.0,17.9,17.0,2000
27-01-21,17.2,17.0,17.2,17.0,4500
28-01-21,16.7,16.4,16.7,16.4,7000
29-01-21,16.4,17.8,17.9,16.4,3500
01-02-21,17.1,17.0,17.1,17.0,3000
02-02-21,17.0,17.0,17.0,16.8,1200
03-02-21,16.8,16.8,16.8,16.8,4700
04-02-21,16.8,17.0,17.0,16.5,4800
05-02-21,17.0,17.0,17.0,17.0,700
08-02-21,16.7,16.7,16.7,16.7,1000
09-02-21,17.1,17.1,17.1,17.1,900
17-02-21,17.3,17.3,17.3,17.3,1400
18-02-21,17.5,17.5,17.5,17.5,100
19-02-21,17.1,17.0,17.1,16.9,2800
22-02-21,17.4,17.3,17.4,17.2,5500
23-02-21,17.3,17.3,17.3,17.1,2700
24-02-21,17.2,17.3,17.3,17.1,8400
25-02-21,17.3,17.3,17.3,17.3,1500
26-02-21,17.2,17.3,17.3,17.1,1800
01-03-21,17.3,17.8,17.8,17.3,19800
02-03-21,17.9,18.3,18.4,17.8,30900
03-03-21,18.0,18.9,18.9,17.8,23600
04-03-21,18.5,18.3,18.5,18.3,3900
05-03-21,17.8,18.3,18.3,17.8,2700
08-03-21,18.2,18.2,18.2,17.9,2810
09-03-21,17.9,17.7,18.2,17.5,3800
