Date,Open,Close,High,Low,Volume
16-11-20,81.4,81.4,81.4,81.4,500
17-11-20,73.4,73.4,73.4,73.4,106
18-11-20,73.4,73.4,73.4,73.4,0
19-11-20,70.0,70.0,70.0,70.0,300
20-11-20,77.0,70.1,77.0,70.1,250
23-11-20,77.1,77.1,77.1,77.1,131
24-11-20,80.9,80.9,80.9,80.9,100
25-11-20,81.0,88.9,88.9,81.0,200
26-11-20,86.0,95.0,95.0,86.0,1400
27-11-20,98.0,98.0,98.0,98.0,130
30-11-20,98.0,98.0,98.0,98.0,0
01-12-20,98.0,98.0,98.0,98.0,0
02-12-20,98.0,98.0,98.0,98.0,0
03-12-20,98.0,98.0,98.0,98.0,63
04-12-20,98.0,98.0,98.0,98.0,106
07-12-20,88.2,88.2,88.2,88.2,100
08-12-20,80.0,96.9,96.9,79.4,620
09-12-20,96.9,96.9,96.9,96.9,0
10-12-20,96.9,96.9,96.9,96.9,2
11-12-20,87.3,97.7,97.7,87.3,200
14-12-20,97.7,97.7,97.7,97.7,0
15-12-20,97.7,97.7,97.7,97.7,0
16-12-20,97.7,97.7,97.7,97.7,0
17-12-20,97.4,97.4,97.4,97.4,300
18-12-20,90.0,92.8,92.8,90.0,1424
21-12-20,92.7,92.7,92.7,92.7,100
22-12-20,92.7,92.7,92.7,92.7,0
23-12-20,92.7,92.7,92.7,92.7,0
24-12-20,93.0,93.0,93.0,93.0,100
25-12-20,93.0,93.0,93.0,93.0,0
28-12-20,93.0,93.0,93.0,93.0,0
29-12-20,93.0,93.0,93.0,93.0,0
30-12-20,93.0,93.0,93.0,93.0,10
31-12-20,93.0,93.0,93.0,93.0,30
04-01-21,93.0,93.0,93.0,93.0,0
05-01-21,93.0,93.0,93.0,93.0,100
06-01-21,93.0,93.0,93.0,93.0,0
07-01-21,93.0,93.0,93.0,93.0,0
08-01-21,93.0,96.5,96.5,93.0,200
11-01-21,96.5,96.5,96.5,96.5,0
12-01-21,104.9,97.9,104.9,87.1,530
13-01-21,97.9,97.9,97.9,97.9,0
14-01-21,97.9,97.9,97.9,97.9,0
15-01-21,97.9,97.9,97.9,97.9,0
18-01-21,97.9,97.9,97.9,97.9,1
19-01-21,97.9,97.9,97.9,97.9,0
20-01-21,97.9,97.9,97.9,97.9,0
21-01-21,89.0,96.4,96.4,89.0,200
22-01-21,92.0,92.0,92.0,92.0,100
25-01-21,90.0,93.2,93.2,89.9,500
26-01-21,93.2,93.2,93.2,93.2,0
